Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Donnarumma,Antonio Donnarumma,144831,Salernitana,Salernitana,https://cdn5.wyscout.com/photos/team/public/213_120x120.png,Serie C,GK,GK,100,,0,,0,35.0,1990-07-07,325000,2026-06-30,42,4267,0,0.0,0,0.0,0.63,70.0,Italy,['Italy'],right,192,96,False,1.1,0.13,66.67,0.21,80.0,0.04,0.06,0.0,0.97,1.48,0.0,3,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,63.64,0.0,0.0,0.02,8.14,0.13,0.19,12.95,89.25,6.71,79.87,0.0,0.0,8.94,99.53,4.01,66.32,29.97,46.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,49.18,0.02,0.0,0.17,37.5,0.0,0.0,2.85,82.22,99.22,5.44,45,0.9500000000000001,155,3.27,13,70.97,41.13,0.87,-3.87,-0.082,0.0,1.18,0.21,,,,0.0,0,0.0
V. De Lucia,Victor De Lucia,229247,Casertana,Casertana,https://cdn5.wyscout.com/photos/team/public/2172_120x120.png,Serie C,GK,GK,100,,0,,0,29.0,1996-05-28,300000,2027-06-30,42,4249,0,0.0,0,0.0,0.55,84.62,Italy,['Italy'],right,185,84,False,1.04,0.02,100.0,0.32,86.67,0.0,0.0,0.0,1.02,1.49,0.0,2,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,85.71,0.0,0.0,0.0,15.04,0.30000000000000004,0.19,23.05,82.35,13.87,72.06,0.02,0.0,13.51,97.18,9.51,61.47,31.57,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,46.36,0.19,0.0,0.17,0.0,0.0,0.0,6.97,74.77,98.03,7.52,49,1.04,165,3.49,13,70.3,51.3,1.09,2.3,0.049,0.0,1.06,0.32,,,,0.0,0,0.0
J. Furlan,Jacopo Furlan,187147,Lecco,Lecco,https://cdn5.wyscout.com/photos/team/public/209_120x120.png,Serie C,GK,GK,100,,0,,0,33.0,1993-02-22,150000,2027-06-30,40,4010,0,0.0,0,0.0,0.31,78.57,Italy,['Italy'],right,188,83,False,0.92,0.04,50.0,0.13,83.33,0.0,0.0,0.0,0.9,1.3900000000000001,0.02,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,10.62,0.16,0.09,15.35,87.28,8.87,80.51,0.02,100.0,10.5,98.72,4.78,62.91,30.16,48.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,58.82,0.04,50.0,0.11,40.0,0.02,0.0,3.7,72.12,97.65,5.72,36,0.81,153,3.43,16,76.47,46.27,1.04,10.27,0.23,0.0,1.1400000000000001,0.13,,,,0.0,0,0.0
S. Gori,Stefano Gori,322674,Brescia,Brescia,https://cdn5.wyscout.com/photos/team/public/188_120x120.png,Serie C,GK,GK,100,,0,,0,30.0,1996-03-09,500000,2028-06-30,40,3976,0,0.0,0,0.0,0.32,100.0,Italy,['Italy'],right,185,80,False,0.93,0.0,0.0,0.27,100.0,0.0,0.0,0.0,0.93,1.32,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,15.1,0.23,0.07,21.69,89.04,10.37,80.13,0.02,100.0,14.37,97.95,7.29,71.74,31.8,45.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,64.71,0.11,20.0,0.18,37.5,0.02,0.0,6.11,79.63,97.77,10.16,24,0.54,118,2.67,20,79.66,27.59,0.62,3.59,0.081,0.0,1.06,0.27,,,,0.0,0,0.0
D. Merelli,Davide Merelli,403582,Crotone,Crotone,https://cdn5.wyscout.com/photos/team/public/214_120x120.png,Serie C,GK,GK,100,,0,,0,30.0,1996-03-04,125000,2027-06-30,40,3969,0,0.0,0,0.41000000000000003,0.63,89.29,Italy,['Italy'],left,188,83,False,1.6800000000000002,0.02,100.0,0.39,94.12,0.0,0.0,0.0,1.6600000000000001,2.5700000000000003,0.02,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,17.78,0.18,0.36,27.64,83.84,16.1,73.94,0.0,0.0,17.78,98.34,9.84,57.83,31.85,50.3,0.01,0.02,0.0,0.0,0.0,0.0,0.0,3.29,42.07,0.36,6.25,0.45,20.0,0.02,0.0,6.19,72.53,97.72,10.95,40,0.91,132,2.99,13,69.7,38.06,0.86,-1.94,-0.044,0.0,1.6800000000000002,0.39,,,,0.0,0,0.0
C. Chiricò,Cosimo Chiricò,141678,Casarano,Casarano,https://cdn5.wyscout.com/photos/team/public/2169_120x120.png,Serie C,"RWF, CF, RW",RWF,46,CF,20,RW,12,34.0,1991-10-05,400000,,43,3960,19,12.37,10,7.34,16.84,44.13,Italy,['Italy'],left,169,72,False,3.3,3.7,63.19,0.5700000000000001,24.0,0.0,0.0,0.0,0.9500000000000001,1.38,0.8200000000000001,7,0.16,0,0.0,3.84,0.43,12,0.27,0.28,0,0.0,92,2.09,43.48,20.652,0.23,1.82,41.25,0.16,42.86,1.57,40.58,0.43,3.8200000000000003,53.57,11.23,41.9,2.55,2.34,0.14,24.16,1.7000000000000002,2.14,31.52,79.52,8.45,69.62,5.09,88.39,24.7,83.62,5.02,72.85,20.79,38.88,0.17,1.16,0.09,0.09,0.23,60.0,0.66,4.77,74.29,3.36,63.51,0.73,43.75,2.0,0.77,6.25,83.64,83.73,13.41,0,,0,,0,0.0,0.0,0.0,,,0.07,,0.5700000000000001,0.86,0.5,18.18,2.2,8,87.5
A. Dini,Andrea Dini,278650,Catania,Catania,https://cdn5.wyscout.com/photos/team/public/76_120x120.png,Serie C,GK,GK,100,,0,,0,30.0,1996-02-20,175000,2027-06-30,39,3915,0,0.0,0,0.0,0.34,80.0,Italy,['Italy'],right,184,79,False,0.9400000000000001,0.05,0.0,0.23,90.0,0.0,0.0,0.0,0.9400000000000001,1.34,0.02,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,8.64,0.18,0.11,14.23,87.08,7.08,75.97,0.0,0.0,9.33,98.77,4.9,64.79,30.14,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,57.35,0.07,0.0,0.09,50.0,0.0,0.0,3.79,76.97,98.55,6.32,25,0.5700000000000001,98,2.25,23,74.49,29.15,0.67,4.15,0.095,0.0,1.13,0.23,,,,0.0,0,0.0
S. Vitale,Samuele Vitale,-149760,Ascoli,Ascoli,https://cdn5.wyscout.com/photos/team/public/191_120x120.png,Serie C,GK,GK,100,,0,,0,23.0,2002-08-10,75000,2027-06-30,39,3884,0,0.0,0,0.0,0.44,94.74,Italy,['Italy'],right,178,77,False,0.81,0.07,100.0,0.32,100.0,0.0,0.0,0.02,0.74,1.5,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.05,0.0,16.82,0.16,0.07,26.35,90.68,13.16,84.15,0.02,100.0,21.06,96.81,5.24,66.81,23.24,39.26,0.0,0.0,0.02,0.0,0.0,0.0,0.02,1.07,47.83,0.05,0.0,0.19,50.0,0.0,0.0,3.71,58.75,97.57,11.45,23,0.53,110,2.55,21,79.09,29.24,0.68,6.24,0.145,0.0,0.72,0.32,,,,0.0,0,0.0
A. Tonti,Alessandro Tonti,254057,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,GK,GK,100,,0,,0,33.0,1992-05-28,300000,2026-06-30,38,3867,0,0.0,0,0.0,0.56,91.67,Italy,['Italy'],left,187,85,False,0.88,0.07,100.0,0.37,100.0,0.02,0.04,0.0,0.79,1.25,0.02,4,0.09,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.26,0.19,18.64,84.89,12.34,78.49,0.0,0.0,11.19,97.09,7.42,66.77,32.28,49.42,0.0,0.0,0.0,0.0,0.02,100.0,0.0,2.86,60.16,0.07,0.0,0.19,37.5,0.0,0.0,5.5600000000000005,83.26,98.36,5.68,47,1.09,167,3.89,11,71.86,45.11,1.05,-1.8900000000000001,-0.044,0.0,1.56,0.37,,,,0.0,0,0.0
F. Agazzi,Federico Agazzi,-169264,Alcione Milano,Alcione Milano,https://cdn5.wyscout.com/photos/team/public/g34075_120x120.png,Serie C,GK,GK,100,,0,,0,22.0,2004-04-18,0,2027-06-30,39,3843,0,0.0,0,0.0,0.56,91.67,Italy,['Italy'],right,188,78,True,1.29,0.0,0.0,0.33,100.0,0.0,0.0,0.0,1.29,1.72,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,60.0,0.0,0.0,0.0,13.3,0.28,0.21,21.36,88.16,11.1,79.75,0.02,100.0,15.08,97.98,6.23,65.04,27.77,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.8,57.14,0.02,0.0,0.09,25.0,0.02,0.0,4.87,72.6,97.26,8.55,28,0.66,147,3.44,16,80.95,44.47,1.04,16.47,0.386,0.0,1.33,0.33,,,,0.0,0,0.0
