Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Rosić,Dragan Rosić,451214,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,GK,GK,100,,0,,0,29.0,1996-09-22,0,2026-12-31,29,2871,0,0.0,0,0.0,0.34,81.82,Serbia,['Serbia'],left,194,86,False,1.32,0.06,50.0,0.22,100.0,0.0,0.0,0.0,1.29,1.8399999999999999,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.0,0.0,6.83,0.22,0.06,13.51,79.12,8.34,69.17,0.03,100.0,7.08,97.35,6.43,59.02,34.89,48.29,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.9100000000000001,47.54,0.13,0.0,0.06,0.0,0.0,0.0,4.55,76.55,94.59,4.64,27,0.85,124,3.89,12,78.23,37.44,1.17,10.44,0.327,0.0,1.13,0.22,,,,0.0,0,0.0
Z. Popović,Zoran Popović,258594,Železničar Pancevo,Železničar Pancevo,https://cdn5.wyscout.com/photos/team/public/g34577_120x120.png,Super Liga,GK,GK,100,,0,,0,37.0,1988-05-28,50000,2026-06-30,29,2833,0,0.0,0,0.0,0.5700000000000001,88.89,Serbia,"['Serbia', 'Croatia']",right,188,81,False,2.26,0.1,66.67,0.38,91.67,0.0,0.0,0.06,2.19,3.17,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.1,100.0,0.0,0.0,0.0,16.74,0.22,0.16,25.35,82.96,13.34,71.67,0.0,0.0,14.68,95.89,10.64,65.37,30.82,45.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,45.21,0.19,33.33,0.22,28.57,0.06,0.0,6.93,68.81,96.48,10.83,29,0.92,124,3.94,14,76.61,35.82,1.1400000000000001,6.82,0.217,0.0,2.06,0.38,,,,0.0,0,0.0
L. Nikolić,Lazar Nikolić,444192,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,RB,RB,100,,0,,0,26.0,1999-08-01,500000,2028-06-30,28,2775,1,0.29,1,3.05,15.21,57.14,Serbia,['Serbia'],right,177,71,False,9.11,8.69,61.19,1.72,49.06,0.26,0.37,0.23,3.54,5.02,1.1,4,0.13,0,0.0,2.43,0.03,1,0.03,0.01,0,0.0,11,0.36,9.09,9.091,0.03,3.02,34.41,0.03,0.0,2.98,34.78,0.49,1.72,73.58,3.5,57.41,0.45,2.04,0.13,26.69,1.26,0.65,39.7,74.92,18.88,68.21,4.41,93.38,29.68,84.04,7.07,54.13,20.93,34.99,0.1,0.88,0.1,0.0,0.16,60.0,0.49,6.91,69.01,3.92,47.11,0.65,50.0,0.78,1.01,10.93,74.48,79.2,11.38,0,,0,,0,0.0,0.0,0.0,,,0.32,,1.72,0.13,0.0,0.0,0.03,0,0.0
D. Pavlović,Dušan Pavlović,-596403,Radnički Niš,Radnički Niš,https://cdn5.wyscout.com/photos/team/public/g2850_120x120.png,Super Liga,"RCB, LCB",RCB,53,LCB,30,,0,21.0,2004-05-19,0,2027-06-30,28,2758,2,2.61,1,1.06,13.58,64.42,Serbia,['Serbia'],,0,0,False,9.82,5.65,77.46,3.98,61.48,0.26,0.36,0.9500000000000001,5.19,7.17,0.9500000000000001,7,0.23,0,0.0,0.39,0.07,2,0.07,0.09,1,0.03,16,0.52,43.75,12.5,0.03,0.26,25.0,0.13,25.0,0.13,25.0,0.03,0.23,42.86,1.6600000000000001,45.1,0.6900000000000001,1.01,0.23,30.12,0.16,0.78,45.46,86.65,17.98,76.04,2.64,98.77,40.07,91.29,5.16,53.8,21.71,37.4,0.03,0.16,0.03,0.0,0.0,0.0,0.13,6.27,71.35,0.98,36.67,0.49,33.33,0.36,0.07,8.42,68.22,94.65,20.75,0,,0,,0,0.0,0.0,0.0,,,1.44,,3.98,0.0,0.0,0.0,0.0,0,0.0
N. Simić,Nikola Simić,-339770,Partizan,Partizan,https://cdn5.wyscout.com/photos/team/public/699_120x120.png,Super Liga,"LCB, RCB",LCB,71,RCB,24,,0,19.0,2007-03-30,0,2029-06-30,28,2740,1,1.6600000000000001,0,0.18,11.53,64.67,Serbia,['Serbia'],right,185,0,False,6.34,4.86,71.62,3.12,62.11,0.16,0.26,0.30000000000000004,2.69,4.34,0.76,1,0.03,0,0.0,0.16,0.03,1,0.03,0.05,1,0.03,10,0.33,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,1.28,58.97,0.49,0.9500000000000001,0.0,38.17,0.36,0.66,52.69,90.09,23.29,83.78,3.32,94.06,48.48,93.36,4.2,52.34,19.79,31.21,0.01,0.1,0.03,0.03,0.0,0.0,0.0,7.19,76.26,0.36,54.55,0.2,16.67,0.2,0.0,8.93,76.47,96.63,20.5,0,,0,,0,0.0,0.0,0.0,,,2.43,,3.12,0.0,0.0,0.0,0.0,0,0.0
N. Miletić,Nemanja Miletić,307311,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,LB,LB,95,,0,,0,34.0,1991-07-26,100000,2026-06-30,28,2713,0,0.86,3,6.36,14.03,57.21,Serbia,['Serbia'],left,190,80,False,7.07,4.94,59.06,2.95,61.8,0.1,0.13,0.2,4.05,5.3,0.9,4,0.13,0,0.0,2.52,0.0,0,0.0,0.03,0,0.0,19,0.63,21.05,0.0,0.1,3.7199999999999998,33.93,3.52,33.96,0.2,33.33,0.56,1.63,69.39,4.35,56.49,1.03,2.7199999999999998,0.56,24.91,0.93,1.29,38.25,75.2,19.67,71.16,4.68,98.58,29.69,84.58,4.94,49.66,21.02,34.81,0.21,1.56,0.03,0.1,0.0,0.0,0.5,7.33,72.4,3.48,44.76,0.13,25.0,0.43,1.33,10.62,75.94,76.22,9.49,0,,0,,0,0.0,0.0,0.0,,,1.03,,2.95,1.63,0.13,25.0,2.59,0,0.0
N. Vasiljević,Nikola Vasiljević,294630,Javor Ivanjica,Javor Ivanjica,https://cdn5.wyscout.com/photos/team/public/1255_120x120.png,Super Liga,GK,GK,100,,0,,0,29.0,1996-06-24,200000,2026-06-30,27,2644,0,0.0,0,0.0,0.31,100.0,Serbia,['Serbia'],right,202,88,False,1.02,0.0,0.0,0.17,100.0,0.03,0.04,0.0,0.99,1.13,0.03,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,7.32,0.14,0.1,11.98,75.28,8.0,64.26,0.0,0.0,4.83,100.0,7.15,58.57,39.45,51.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,42.86,0.03,100.0,0.07,100.0,0.03,0.0,4.87,74.83,97.27,3.74,36,1.23,127,4.32,6,71.65,34.72,1.18,-1.28,-0.044,0.0,1.29,0.17,,,,0.0,0,0.0
M. Milikić,Mirko Milikić,517998,Železničar Pancevo,Železničar Pancevo,https://cdn5.wyscout.com/photos/team/public/g34577_120x120.png,Super Liga,"RCB, LCB",RCB,84,LCB,12,,0,24.0,2001-12-24,100000,,27,2640,0,1.25,0,0.21,11.66,59.65,Montenegro,['Montenegro'],right,194,80,False,8.32,3.99,58.97,4.64,65.44,0.14,0.2,0.65,5.83,8.37,1.23,8,0.27,0,0.0,0.07,0.0,0,0.0,0.04,0,0.0,10,0.34,10.0,0.0,0.0,0.1,33.33,0.0,0.0,0.1,33.33,0.0,0.07,0.0,0.89,42.31,0.38,0.44,0.0,45.2,0.31,0.68,61.47,87.24,28.06,78.61,3.89,100.0,53.42,93.17,7.94,48.07,21.26,42.57,0.01,0.17,0.0,0.0,0.0,0.0,0.07,9.2,62.59,1.19,40.0,0.75,31.82,0.41000000000000003,0.03,11.08,76.92,93.68,24.82,0,,0,,0,0.0,0.0,0.0,,,2.56,,4.64,0.0,0.0,0.0,0.0,0,0.0
M. Gašić,Mateja Gašić,-306108,Radnik Surdulica,Radnik Surdulica,https://cdn5.wyscout.com/photos/team/public/g6756_120x120.png,Super Liga,"RB, LB",RB,82,LB,14,,0,23.0,2003-02-16,0,2027-06-30,27,2639,1,0.48,5,4.8,15.93,58.46,Serbia,['Serbia'],right,0,0,False,8.53,7.61,69.06,2.46,47.22,0.0,0.0,0.2,3.27,4.59,1.23,8,0.27,0,0.0,2.18,0.03,1,0.03,0.02,0,0.0,13,0.44,30.77,7.692,0.17,3.34,33.67,0.51,46.67,2.83,31.33,0.41000000000000003,1.4,63.41,3.75,50.91,1.06,1.26,0.24,19.58,1.53,1.53,30.01,72.95,13.23,67.53,4.64,95.59,21.86,83.0,5.08,53.69,21.45,35.44,0.16,1.81,0.0,0.03,0.03,100.0,0.55,5.59,67.68,3.89,50.0,0.27,25.0,0.92,1.09,9.07,77.07,71.77,8.46,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.46,0.89,0.07,0.0,2.22,0,0.0
I. Davidović,Ivan Davidović,-275796,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,"LDMF, RDMF, AMF",LDMF,30,RDMF,21,AMF,11,30.0,1996-01-23,0,2027-06-30,29,2599,3,2.94,2,1.19,15.76,48.13,Serbia,['Serbia'],right,180,0,False,6.65,5.58,57.14,3.32,39.58,0.45,0.58,0.38,3.01,3.9,1.63,3,0.1,0,0.0,1.56,0.1,3,0.1,0.1,0,0.0,41,1.42,34.15,7.317,0.07,1.52,22.73,0.6900000000000001,20.0,0.8300000000000001,25.0,0.24,1.28,56.76,5.19,45.33,2.15,0.48,0.07,15.44,0.8,1.77,24.14,77.47,7.34,62.26,5.4,94.23,20.22,86.13,2.5300000000000002,39.73,18.01,31.45,0.04,0.21,0.1,0.0,0.0,0.0,0.24,2.67,63.64,1.07,32.26,0.0,0.0,0.1,0.24,3.01,60.92,84.06,7.17,0,,0,,0,0.0,0.0,0.0,,,0.66,,3.32,0.0,0.0,0.0,0.03,0,0.0
