Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Nacho Fernández,José Ignacio Fernández Iglesias,145424,Al Qadisiyah,Al Qadisiyah,https://cdn5.wyscout.com/photos/team/public/2877_120x120.png,Pro League,"CB, LCB, RCB",CB,49,LCB,25,RCB,19,36.0,1990-01-18,3000000,2027-06-30,34,3361,0,1.02,0,0.2,7.69,56.1,Spain,['Spain'],right,180,76,False,5.19,2.44,63.74,2.92,52.29,0.13,0.22,0.35000000000000003,3.51,5.7,0.59,3,0.08,0,0.0,0.13,0.0,0,0.0,0.03,0,0.0,17,0.46,0.0,0.0,0.0,0.13,40.0,0.05,0.0,0.08,66.67,0.0,0.35000000000000003,15.38,1.02,39.47,0.67,1.45,0.0,38.67,0.46,0.56,52.43,94.33,17.83,87.24,3.83,99.3,48.2,96.56,4.1,69.93,19.52,36.51,0.01,0.08,0.0,0.05,0.05,50.0,0.05,5.86,84.47,0.24,55.56,0.16,33.33,0.19,0.05,7.26,81.55,98.32,25.57,0,,0,,0,0.0,0.0,0.0,,,2.95,,2.92,0.0,0.0,0.0,0.0,0,0.0
M. Borjan,Milan Borjan,90655,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,GK,GK,100,,0,,0,38.0,1987-10-23,400000,2026-06-30,33,3329,0,0.0,0,0.03,0.78,79.31,Serbia,"['Serbia', 'Canada']",right,196,85,False,2.14,0.14,40.0,0.51,94.74,0.03,0.03,0.0,2.05,2.49,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,12.57,0.24,0.08,22.03,75.71,15.73,68.21,0.03,100.0,10.35,95.82,11.6,58.28,39.42,52.56,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.92,52.2,0.43,12.5,0.41000000000000003,26.67,0.08,0.0,8.38,76.13,95.81,5.8100000000000005,63,1.7000000000000002,182,4.92,3,65.38,62.25,1.6800000000000002,-0.75,-0.02,0.0,2.65,0.51,,,,0.0,0,0.0
C. Smalling,Chris Smalling,79474,Al Feiha,Al Feiha,https://cdn5.wyscout.com/photos/team/public/g9938_120x120.png,Pro League,"RCB, CB",RCB,82,CB,13,,0,36.0,1989-11-22,2500000,2026-06-30,34,3326,3,2.12,1,0.43,8.44,61.54,England,['England'],right,194,81,False,6.66,3.41,65.08,2.98,58.18,0.14,0.17,0.7000000000000001,4.3,5.26,0.7000000000000001,1,0.03,0,0.0,0.35000000000000003,0.08,3,0.08,0.06,2,0.05,12,0.32,50.0,25.0,0.03,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.19,85.71,0.51,63.16,0.5700000000000001,0.35000000000000003,0.05,25.52,0.27,0.22,35.42,89.84,10.8,72.68,1.79,100.0,30.98,95.11,4.41,52.76,22.7,40.54,0.01,0.11,0.0,0.0,0.0,0.0,0.11,3.08,55.26,0.35000000000000003,46.15,0.24,44.44,0.27,0.03,4.68,63.01,97.9,20.62,0,,0,,0,0.0,0.0,0.0,,,1.62,,2.98,0.0,0.0,0.0,0.0,0,0.0
A. El Mahdioui,Aschraf El Mahdioui,320072,Al Taawon,Al Taawon,https://cdn5.wyscout.com/photos/team/public/2798_120x120.png,Pro League,"DMF, LCMF",DMF,61,LCMF,23,,0,29.0,1996-05-24,3000000,2026-06-30,33,3318,0,0.5,1,1.13,10.09,55.91,Netherlands,"['Netherlands', 'Morocco']",right,185,77,False,7.7,4.94,59.34,1.6,50.85,0.11,0.15,0.35000000000000003,4.67,6.57,0.98,7,0.19,0,0.0,0.52,0.0,0,0.0,0.01,0,0.0,16,0.43,6.25,0.0,0.03,0.22,75.0,0.11,75.0,0.08,66.67,0.03,0.46,64.71,2.58,53.68,0.11,0.24,0.0,38.49,0.22,0.9,52.05,91.19,17.55,82.23,6.43,98.31,47.22,94.08,4.61,62.35,18.23,38.34,0.03,0.6000000000000001,0.05,0.14,0.05,50.0,0.24,8.82,83.08,1.63,55.0,0.65,37.5,0.68,0.16,8.41,80.65,95.88,20.42,0,,0,,0,0.0,0.0,0.0,,,0.71,,1.6,0.0,0.0,0.0,0.0,0,0.0
M. Rodák,Marek Rodák,319003,Al Ettifaq,Al Ettifaq,https://cdn5.wyscout.com/photos/team/public/2991_120x120.png,Pro League,GK,GK,100,,0,,0,29.0,1996-12-13,3000000,2027-06-30,33,3294,0,0.0,0,0.0,0.66,87.5,Slovakia,['Slovakia'],right,194,81,False,1.97,0.11,50.0,0.49,94.44,0.0,0.0,0.0,1.9100000000000001,2.6,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,11.31,0.30000000000000004,0.08,18.8,84.16,12.32,77.16,0.03,100.0,11.56,98.58,7.21,61.36,31.84,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,60.66,0.11,25.0,0.05,50.0,0.03,0.0,6.01,68.18,97.09,5.63,54,1.48,179,4.89,9,69.83,59.65,1.63,5.65,0.154,0.03,1.83,0.49,,,,0.0,0,0.0
Kewin,Kewin Oliveira Silva,301856,Dhamk,Dhamk,https://cdn5.wyscout.com/photos/team/public/g9287_120x120.png,Pro League,GK,GK,100,,0,,0,31.0,1995-01-25,1500000,,33,3294,0,0.0,0,0.0,0.66,87.5,Brazil,['Brazil'],right,189,84,False,1.99,0.08,66.67,0.41000000000000003,100.0,0.05,0.07,0.0,1.8900000000000001,2.52,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.08,66.67,0.0,0.0,0.0,11.5,0.36,0.19,18.55,84.39,10.68,74.94,0.0,0.0,11.23,98.05,7.32,63.43,34.41,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,43.28,0.03,0.0,0.11,75.0,0.0,0.0,4.73,75.14,97.09,7.51,51,1.3900000000000001,140,3.83,6,63.57,42.38,1.16,-8.62,-0.23600000000000002,0.0,1.75,0.41000000000000003,,,,0.0,0,0.0
Mohammed Mahzari,Mohammed Mater Mohsin Mahzari,-405049,Al Taawon,Al Taawon,https://cdn5.wyscout.com/photos/team/public/2798_120x120.png,Pro League,"RB, RB5",RB,73,RB5,22,,0,24.0,2002-05-19,0,2028-06-30,33,3276,1,1.96,2,2.35,14.2,55.32,Saudi Arabia,['Saudi Arabia'],right,174,71,False,9.04,7.12,68.34,1.81,31.82,0.22,0.31,0.16,3.96,5.65,0.55,3,0.08,0,0.0,1.54,0.03,1,0.03,0.05,0,0.0,17,0.47000000000000003,23.53,5.882,0.05,1.81,33.33,0.03,0.0,1.79,33.85,0.19,1.07,74.36,4.07,52.7,1.26,2.31,0.38,32.91,2.14,1.32,44.29,86.97,15.69,79.68,8.19,97.99,39.67,91.83,2.88,53.33,16.51,32.01,0.06,0.58,0.05,0.08,0.03,100.0,0.33,5.36,80.51,1.9500000000000002,46.48,0.19,42.86,0.63,0.52,7.12,72.97,87.59,11.73,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.81,0.0,0.0,0.0,0.0,0,0.0
A. Moris,Anthony Moris,53122,Al Khaleej,Al Khaleej,https://cdn5.wyscout.com/photos/team/public/2998_120x120.png,Pro League,GK,GK,100,,0,,0,36.0,1990-04-29,2000000,2027-06-30,33,3276,0,0.0,2,0.0,0.6000000000000001,77.27,Belgium,"['Belgium', 'Luxembourg']",right,186,75,False,1.15,0.05,50.0,0.36,76.92,0.0,0.0,0.0,1.13,1.6,0.0,4,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,14.29,0.22,0.27,22.97,83.73,13.82,75.15,0.03,0.0,14.07,96.88,8.9,62.96,32.37,48.28,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.5,37.36,0.30000000000000004,0.0,0.38,7.14,0.0,0.0,5.82,73.11,96.85,8.71,57,1.57,175,4.8100000000000005,4,67.43,53.81,1.48,-3.19,-0.088,0.0,1.29,0.36,,,,0.0,0,0.0
Tozé,António José Pinheiro de Carvalho,217209,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,"LCMF, LCMF3, AMF",LCMF,37,LCMF3,16,AMF,14,33.0,1993-01-14,3800000,,33,3253,9,8.69,5,5.68,9.88,48.74,Portugal,['Portugal'],right,174,66,False,4.54,4.07,54.42,0.86,12.9,0.5,0.61,0.17,1.83,2.22,1.13,2,0.06,0,0.0,2.16,0.25,6,0.17,0.24,2,0.06,73,2.02,35.62,12.329,0.14,1.96,36.62,0.66,41.67,1.3,34.04,0.36,1.3,55.32,3.8200000000000003,52.9,1.58,1.05,0.30000000000000004,23.74,1.47,1.19,31.26,82.83,9.13,72.42,6.89,95.18,27.03,88.74,2.32,53.57,19.16,37.83,0.16,1.6,0.03,0.0,0.03,0.0,0.22,5.17,77.01,2.05,54.05,0.08,33.33,0.33,0.77,4.84,78.29,85.25,10.13,0,,0,,0,0.0,0.0,0.0,,,0.72,,0.86,1.77,0.17,33.33,3.98,4,75.0
Marcelo Grohe,Marcelo Grohe,9187,Al Shabab,Al Shabab,https://cdn5.wyscout.com/photos/team/public/2257_120x120.png,Pro League,GK,GK,100,,0,,0,39.0,1987-01-13,400000,2026-06-30,32,3240,0,0.0,0,0.0,0.5,77.78,Brazil,"['Brazil', 'Germany']",right,188,81,False,1.3900000000000001,0.17,66.67,0.22,87.5,0.0,0.0,0.0,1.28,1.79,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.03,8.67,0.06,0.17,13.36,85.86,7.19,77.61,0.0,0.0,9.89,97.47,3.47,52.8,27.81,40.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,35.71,0.03,0.0,0.0,0.0,0.0,0.0,2.31,63.86,95.57,5.64,52,1.44,132,3.67,7,60.61,48.14,1.34,-3.86,-0.107,0.0,1.08,0.22,,,,0.0,0,0.0
