Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Gaudiešius,Vykintas Gaudiešius,-365888,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,GK,GK,100,,0,,0,19.0,2006-07-19,0,,8,758,0,0.0,0,0.0,0.47000000000000003,75.0,Lithuania,['Lithuania'],right,188,77,False,1.07,0.0,0.0,0.36,66.67,0.0,0.0,0.0,1.07,1.5899999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,0.24,0.36,23.15,86.15,9.02,67.11,0.0,0.0,16.86,97.18,6.29,56.6,28.08,40.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,44.83,98.21,13.3,7,0.8300000000000001,20,2.37,2,65.0,6.1,0.72,-0.9,-0.107,0.0,1.07,0.36,,,,0.0,0,0
M. Sidibe,Mohamed Aly Sidibe,-363267,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"RCMF, RDMF, DMF",RCMF,53,RDMF,34,DMF,12,24.0,2001-06-01,0,2026-12-31,8,758,0,0.21,0,0.49,19.35,59.51,Mali,['Mali'],right,0,0,False,13.18,9.02,69.74,2.73,47.83,0.71,1.06,0.59,6.17,9.18,2.14,1,0.12,0,0.0,1.31,0.0,0,0.0,0.02,0,0.0,6,0.71,33.33,0.0,0.0,0.36,66.67,0.12,100.0,0.24,50.0,0.0,1.31,63.64,6.17,53.85,0.24,0.9500000000000001,0.0,26.12,0.24,0.71,49.63,84.21,17.45,68.71,7.36,95.16,43.46,88.52,5.82,53.06,20.44,36.72,0.06,0.36,0.0,0.12,0.0,0.0,0.24,8.19,65.22,1.6600000000000001,50.0,0.47000000000000003,25.0,0.59,0.12,8.79,75.68,92.76,18.05,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.73,0.0,0.0,0.0,0.0,0,0
E. Mockus,Ernestas Mockus,513687,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,RCB,RCB,100,,0,,0,25.0,2000-08-05,0,,8,758,0,0.13,0,0.0,6.41,66.67,Lithuania,['Lithuania'],right,189,0,False,5.46,3.09,80.77,2.02,47.06,0.0,0.0,0.12,2.9699999999999998,4.41,0.47000000000000003,1,0.12,0,0.0,0.12,0.0,0,0.0,0.02,0,0.0,2,0.24,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,75.0,0.71,0.8300000000000001,0.0,30.51,0.0,0.36,42.27,83.71,17.69,71.14,2.73,95.65,34.91,91.5,7.36,46.77,23.16,41.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,58.82,0.59,40.0,0.8300000000000001,57.14,0.12,0.0,8.19,69.57,92.55,19.12,0,,0,,0,0.0,0.0,0.0,,,2.26,,2.02,0.0,0.0,0.0,0.0,0,0
B. Diawara,Bekaye Diawara,-567894,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,RB,RB,100,,0,,0,23.0,2002-07-25,0,2026-12-31,8,723,0,0.04,2,1.22,12.07,52.58,Mali,['Mali'],unknown,0,0,False,9.21,5.48,59.09,2.37,73.68,0.25,0.37,0.12,5.73,8.41,1.12,1,0.12,0,0.0,1.87,0.0,0,0.0,0.0,0,0.0,5,0.62,0.0,0.0,0.25,2.24,50.0,0.0,0.0,2.24,50.0,0.5,1.12,66.67,3.11,36.0,0.5,2.37,0.5,32.24,1.62,0.25,47.93,78.44,20.91,69.05,6.22,94.0,40.33,84.26,5.35,46.51,19.21,38.43,0.15,1.24,0.0,0.25,0.0,0.0,0.75,9.34,62.67,3.61,58.62,0.87,28.57,1.24,1.12,13.32,83.18,86.61,13.94,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.37,0.0,0.0,0.0,0.0,0,0
L. Zingertas,Linas Zingertas,517716,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,LB,LB,100,,0,,0,24.0,2002-01-26,0,,8,686,0,0.2,2,0.62,10.23,60.26,Lithuania,['Lithuania'],left,177,67,False,8.13,4.99,65.79,0.92,85.71,0.0,0.0,0.13,4.85,7.16,0.66,1,0.13,0,0.0,1.57,0.0,0,0.0,0.03,0,0.0,13,1.71,15.38,0.0,0.26,2.36,22.22,1.97,26.67,0.39,0.0,0.66,0.92,85.71,3.2800000000000002,56.0,0.66,1.44,0.39,24.27,1.71,1.05,35.55,69.0,15.74,62.5,6.69,88.24,27.55,76.19,5.64,53.49,19.55,31.82,0.08,1.57,0.13,0.0,0.0,0.0,0.52,7.08,64.81,3.41,38.46,1.57,41.67,0.92,0.79,9.71,71.62,68.33,7.87,0,,0,,0,0.0,0.0,0.0,,,0.26,,0.92,0.92,0.26,0.0,5.77,0,0
N. Komissarov,Nikita Komissarov,466648,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"LCMF, LDMF, AMF",LCMF,48,LDMF,38,AMF,13,26.0,2000-04-25,200000,,8,648,1,1.11,2,1.32,17.36,53.6,Estonia,['Estonia'],right,0,0,False,8.75,8.19,64.41,1.67,50.0,0.42,0.63,0.42,3.06,4.65,1.81,1,0.14,0,0.0,1.67,0.14,1,0.14,0.15,0,0.0,14,1.94,35.71,7.143,0.28,1.53,27.27,0.56,25.0,0.97,28.57,0.42,1.3900000000000001,40.0,5.42,41.03,0.97,0.42,0.0,24.72,0.8300000000000001,1.11,41.11,78.72,16.94,70.49,5.83,90.48,33.47,83.4,6.11,65.91,19.68,35.7,0.18,1.53,0.14,0.0,0.14,0.0,0.56,6.39,71.74,3.19,34.78,1.25,22.22,1.11,0.28,9.86,78.87,86.25,11.11,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.67,1.67,0.0,0.0,3.61,0,0
S. Amirzian,Sergejus Amirzian,487914,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"RW, RAMF",RW,51,RAMF,41,,0,26.0,1999-12-26,0,,8,642,4,2.17,1,1.78,15.42,45.45,Lithuania,"['Lithuania', 'Armenia']",right,175,60,False,5.47,4.49,71.88,1.6800000000000002,25.0,0.0,0.0,0.14,2.24,3.36,0.84,0,0.0,0,0.0,4.49,0.56,4,0.56,0.30000000000000004,1,0.14,14,1.96,50.0,28.571,0.14,5.47,25.64,0.56,50.0,4.77,23.53,1.82,4.07,51.72,7.43,43.4,4.21,2.52,0.14,16.4,1.82,0.14,24.39,58.05,6.03,39.53,4.35,74.19,17.94,69.53,1.12,25.0,18.51,20.79,0.25,1.54,0.28,0.14,0.0,0.0,0.98,1.6800000000000002,66.67,4.49,50.0,0.0,0.0,1.82,1.4,5.19,72.97,59.32,8.27,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.6800000000000002,0.28,0.14,0.0,0.28,0,0
J. Kasparavičius,Julius Kasparavičius,381449,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"LW, LAMF, AMF",LW,41,LAMF,24,AMF,14,31.0,1995-04-03,25000,2026-12-31,7,625,4,3.34,1,1.27,13.97,45.36,Lithuania,['Lithuania'],right,184,78,False,5.62,4.32,70.0,2.02,35.71,0.29,0.43,0.29,2.3,3.43,1.01,1,0.14,0,0.0,3.31,0.58,4,0.58,0.48,1,0.14,25,3.6,44.0,16.0,0.14,1.58,36.36,1.3,33.33,0.29,50.0,0.58,2.02,50.0,5.47,36.84,5.33,2.88,1.44,16.99,1.73,0.72,23.62,65.85,5.62,48.72,5.62,79.49,20.59,70.63,1.44,30.0,16.51,26.9,0.18,1.3,0.14,0.0,0.29,50.0,0.29,1.58,36.36,2.3,50.0,0.29,50.0,1.01,0.72,2.88,60.0,71.15,7.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.02,0.0,0.0,0.0,0.0,0,0
E. Kirjanov,Erik Kirjanov,-445784,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"LCB, LB",LCB,87,LB,12,,0,20.0,2005-10-28,0,2026-12-31,6,568,0,0.0,0,0.01,9.35,57.63,Lithuania,['Lithuania'],left,0,0,False,4.6,3.64,60.87,4.12,65.38,0.16,0.24,0.16,2.22,3.36,1.11,1,0.16,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9500000000000001,50.0,0.9500000000000001,50.0,0.0,0.0,0.0,0.16,0.0,1.11,28.57,0.48,1.27,0.16,31.06,0.48,0.32,43.73,79.35,19.49,63.41,5.55,100.0,35.65,88.44,7.13,37.78,23.33,40.4,0.0,0.16,0.16,0.16,0.0,0.0,0.0,7.92,50.0,1.9,33.33,0.63,0.0,0.48,0.63,9.51,66.67,92.86,15.53,0,,0,,0,0.0,0.0,0.0,,,3.17,,4.12,0.0,0.0,0.0,0.0,0,0
K. Ojo Aderounmu,Kazeem Ojo Aderounmu,-705622,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,CF,CF,100,,0,,0,26.0,2000-01-10,0,,8,489,3,3.7,1,0.96,28.34,33.77,Lithuania,['Lithuania'],unknown,0,0,False,4.6,6.8100000000000005,45.95,3.13,35.29,0.0,0.0,0.0,1.47,2.2,4.05,2,0.37,0,0.0,2.21,0.55,2,0.37,0.68,0,0.0,10,1.8399999999999999,60.0,30.0,0.18,2.39,15.38,0.92,40.0,1.47,0.0,0.18,2.58,28.57,13.44,28.77,6.99,1.8399999999999999,0.37,10.67,2.58,1.1,21.53,58.97,5.52,50.0,4.23,73.91,17.85,65.98,1.6600000000000001,33.33,17.19,15.3,0.18,1.29,0.37,0.0,0.0,0.0,0.18,2.76,33.33,1.47,25.0,0.0,0.0,2.02,0.37,1.29,85.71,52.0,4.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.13,0.0,0.0,0.0,0.0,1,100
