Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Merancio,Carlos Uriel Merancio Valdéz,-66803,Spokane Velocity,Spokane Velocity,https://cdn5.wyscout.com/photos/team/public/g-20255_120x120.png,USL League 1,GK,GK,100,,0,,0,27.0,1998-09-14,125000,,32,3251,0,0.0,0,0.0,0.22,62.5,Mexico,"['Mexico', 'United States']",right,189,85,False,0.97,0.03,100.0,0.14,80.0,0.0,0.0,0.0,0.9400000000000001,1.28,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.03,9.41,0.11,0.0,15.03,81.22,8.39,68.98,0.03,100.0,9.52,98.55,5.43,52.04,32.7,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,40.63,0.19,0.0,0.14,20.0,0.03,0.0,3.65,66.67,98.17,6.06,37,1.02,121,3.35,10,69.42,33.43,0.93,-3.5700000000000003,-0.099,0.03,0.55,0.14,,,,0.0,0,0.0
B. Evans,Brecc Evans,498657,Naples,Naples,https://cdn5.wyscout.com/photos/team/public/g-22288_120x120.png,USL League 1,LCB,LCB,86,,0,,0,26.0,1999-09-06,175000,2026-11-30,32,3200,1,1.62,0,0.75,9.0,59.06,United States,['United States'],,193,0,False,7.99,3.83,70.59,3.66,52.31,0.31,0.39,0.34,4.98,6.28,0.34,5,0.14,0,0.0,0.11,0.03,1,0.03,0.05,1,0.03,10,0.28,40.0,10.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.0,0.48,0.56,0.0,26.33,0.23,0.25,40.98,81.95,21.6,71.61,1.63,94.83,31.67,90.94,9.28,51.52,24.78,43.09,0.02,0.14,0.0,0.0,0.0,0.0,0.03,6.47,61.74,0.62,22.73,0.39,21.43,0.25,0.0,10.24,71.15,94.92,14.93,0,,0,,0,0.0,0.0,0.0,,,1.1,,3.66,0.0,0.0,0.0,0.0,0,0.0
J. Skelton,Jordan Skelton,-83641,One Knoxville SC,One Knoxville SC,https://cdn5.wyscout.com/photos/team/public/g-15173_120x120.png,USL League 1,RCB,RCB,99,,0,,0,28.0,1997-02-22,200000,2026-11-30,32,3153,2,1.87,0,0.58,11.67,64.06,England,['England'],,0,0,False,8.45,4.17,65.07,5.88,67.96,0.49,0.7000000000000001,0.91,5.25,7.62,1.08,4,0.11,0,0.0,0.11,0.06,2,0.06,0.05,1,0.03,13,0.37,23.08,15.385,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.06,50.0,0.8,42.86,0.63,0.46,0.0,33.45,0.11,0.46,46.56,89.45,17.67,79.64,2.65,96.77,41.36,94.41,5.2,50.0,23.08,43.94,0.02,0.09,0.06,0.0,0.0,0.0,0.06,5.54,62.89,0.6000000000000001,28.57,0.4,35.71,0.2,0.0,7.31,77.34,96.08,23.29,0,,0,,0,0.0,0.0,0.0,,,2.17,,5.88,0.06,0.0,0.0,0.0,0,0.0
N. Messer,Nathan Igor Messer,-421702,Portland Hearts of Pine,Portland Hearts of Pine,https://cdn5.wyscout.com/photos/team/public/g-22932_120x120.png,USL League 1,LB,LB,94,,0,,0,24.0,2001-07-06,0,2026-11-30,32,3130,6,3.46,4,5.74,16.76,53.34,England,"['England', 'France']",left,183,77,False,8.34,5.43,64.55,3.51,49.18,0.32,0.45,0.2,4.51,6.4,0.78,7,0.2,0,0.0,3.74,0.17,6,0.17,0.1,0,0.0,35,1.01,28.57,17.143,0.12,5.23,36.26,4.89,36.47,0.35000000000000003,33.33,0.81,2.8200000000000003,55.1,5.92,46.6,1.44,3.02,0.29,28.21,1.29,0.72,40.69,73.78,16.3,68.08,5.95,94.69,29.88,85.76,5.78,44.28,20.85,37.85,0.17,1.21,0.06,0.03,0.0,0.0,0.43,5.26,61.2,4.54,44.94,0.2,28.57,0.37,1.9300000000000002,10.01,72.13,68.19,11.3,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.51,0.63,0.2,42.86,1.5,0,0.0
E. Delgado,Edward Delgado,445269,Naples,Naples,https://cdn5.wyscout.com/photos/team/public/g-22288_120x120.png,USL League 1,GK,GK,100,,0,,0,27.0,1998-01-23,150000,2026-11-30,31,3088,0,0.0,0,0.0,0.5,70.59,United States,['United States'],,190,0,False,1.17,0.06,50.0,0.32,81.82,0.03,0.04,0.0,1.11,1.4,0.03,4,0.12,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.46,0.2,0.12,14.31,90.02,6.65,81.58,0.03,100.0,10.7,98.91,3.58,64.23,27.7,47.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,43.75,0.06,0.0,0.09,66.67,0.0,0.0,2.71,74.19,97.64,6.18,31,0.9,97,2.83,9,68.04,25.55,0.74,-5.45,-0.159,0.0,1.05,0.32,,,,0.0,0,0.0
C. Dimick,Clay Dimick,-128293,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RB, RCB3",RB,71,RCB3,22,,0,31.0,1994-12-07,175000,,31,3087,1,1.21,3,3.37,6.88,49.58,United States,['United States'],right,183,75,False,4.02,3.15,61.11,1.98,44.12,0.09,0.11,0.23,2.01,2.52,0.44,3,0.09,0,0.0,1.22,0.03,1,0.03,0.04,1,0.03,12,0.35000000000000003,25.0,8.333,0.09,2.42,44.58,0.06,0.0,2.3,45.57,0.26,0.17,33.33,1.02,34.29,1.31,0.55,0.0,25.6,2.27,0.29,32.13,85.03,10.15,76.72,6.27,96.28,26.62,91.89,3.15,56.48,19.27,39.32,0.1,0.76,0.0,0.0,0.03,0.0,0.5,3.29,68.14,2.16,54.05,0.12,0.0,0.52,1.02,6.47,78.38,84.86,10.79,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.98,0.03,0.03,100.0,0.0,0,0.0
N. Spielman,Nicholas Spielman,484119,Charlotte Independence,Charlotte Independence,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RCB, CB, LCB",RCB,57,CB,16,LCB,14,29.0,1996-08-02,0,,31,3083,1,1.94,0,0.27,8.52,61.3,United States,['United States'],,0,0,False,5.84,3.39,67.24,3.21,63.64,0.06,0.07,0.58,3.5,4.4,0.67,8,0.23,0,0.0,0.32,0.03,0,0.0,0.06,0,0.0,12,0.35000000000000003,25.0,8.333,0.0,0.15,60.0,0.03,100.0,0.12,50.0,0.0,0.23,62.5,0.73,40.0,0.55,1.05,0.0,28.73,0.53,0.23,41.89,91.15,16.81,83.33,1.9,96.92,36.81,94.92,4.93,63.91,21.09,40.49,0.01,0.09,0.03,0.0,0.0,0.0,0.0,4.38,70.0,0.53,33.33,0.32,36.36,0.15,0.09,6.83,79.91,97.13,19.3,0,,0,,0,0.0,0.0,0.0,,,1.02,,3.21,0.03,0.0,0.0,0.0,1,100.0
D. Waldeck,Derek Stephen Waldeck,-65929,Spokane Velocity,Spokane Velocity,https://cdn5.wyscout.com/photos/team/public/g-20255_120x120.png,USL League 1,LB,LB,94,,0,,0,27.0,1998-02-01,175000,,31,3037,1,0.27,1,2.76,15.26,51.46,United States,['United States'],left,173,68,False,8.42,7.59,59.38,1.8399999999999999,41.94,0.12,0.16,0.24,3.79,5.11,0.77,4,0.12,0,0.0,1.48,0.03,1,0.03,0.01,0,0.0,3,0.09,33.33,33.333,0.03,2.4,41.98,2.19,41.89,0.15,40.0,0.39,0.89,50.0,3.76,44.88,0.8,1.81,0.18,33.52,2.13,1.16,43.47,79.28,18.05,68.14,6.76,92.98,34.7,87.62,6.55,47.96,21.13,38.14,0.08,0.8,0.03,0.03,0.0,0.0,0.15,6.37,60.0,2.79,47.87,0.5,35.29,0.68,0.89,9.84,70.78,86.75,13.42,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.8399999999999999,0.71,0.03,0.0,1.96,0,0.0
H. Morse,Hunter  Morse,-430810,Portland Hearts of Pine,Portland Hearts of Pine,https://cdn5.wyscout.com/photos/team/public/g-22932_120x120.png,USL League 1,GK,GK,100,,0,,0,27.0,1998-10-12,0,,30,3006,0,0.0,0,0.0,0.9,90.0,United States,['United States'],unknown,190,0,False,1.8900000000000001,0.03,100.0,0.63,90.48,0.03,0.04,0.0,1.83,2.6,0.03,5,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,5.33,0.15,0.33,13.56,81.68,8.47,73.5,0.0,0.0,7.51,94.82,6.02,65.67,37.05,50.95,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.43,60.49,0.06,0.0,0.09,0.0,0.0,0.0,4.76,78.62,95.71,4.88,37,1.11,139,4.16,7,73.38,39.05,1.17,2.05,0.061,0.0,1.98,0.63,,,,0.0,0,0.0
J. Obregón,Juan Carlos Obregón,-46522,Westchester SC,Westchester SC,https://cdn5.wyscout.com/photos/team/public/g-23289_120x120.png,USL League 1,CF,CF,95,,0,,0,28.0,1997-10-29,150000,,30,3005,18,18.95,1,1.94,19.53,37.42,United States,"['United States', 'Honduras']",right,175,68,False,2.1,1.92,53.13,4.82,33.54,0.0,0.0,0.18,1.08,1.6600000000000001,1.2,8,0.24,0,0.0,2.46,0.54,13,0.39,0.5700000000000001,3,0.09,105,3.14,43.81,17.143,0.03,0.66,31.82,0.21,14.29,0.45,40.0,0.06,2.04,39.71,9.52,37.74,3.35,0.81,0.12,13.12,1.56,3.14,17.49,78.77,3.38,60.18,5.6,91.44,15.27,83.73,1.62,50.0,17.5,35.29,0.06,0.6000000000000001,0.09,0.0,0.12,50.0,0.21,1.77,50.85,1.08,50.0,0.27,44.44,0.54,0.15,1.62,79.63,76.88,5.18,0,,0,,0,0.0,0.0,0.0,,,0.36,,4.82,0.5700000000000001,0.33,36.36,0.12,8,62.5
