Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Baccar,Hichem Baccar,-184988,CS Sfaxien,CS Sfaxien,https://cdn5.wyscout.com/photos/team/public/2950_120x120.png,Ligue 1,"LB, LCB3, LCB",LB,46,LCB3,30,LCB,16,24.0,2001-05-23,0,2028-06-30,22,2237,7,6.7,1,0.97,14.24,53.11,Tunisia,['Tunisia'],left,184,0,False,7.24,5.27,67.18,3.62,50.0,0.16,0.30000000000000004,0.2,3.54,6.65,0.93,5,0.2,0,0.0,1.65,0.28,0,0.0,0.27,0,0.0,18,0.72,50.0,38.889,0.04,2.01,38.0,1.9300000000000002,39.58,0.08,0.0,0.2,1.01,52.0,3.62,42.22,0.72,1.57,0.28,22.53,1.05,1.25,34.08,78.51,14.81,69.57,4.99,95.97,25.51,88.17,6.68,53.01,21.84,36.53,0.04,0.32,0.0,0.0,0.0,0.0,0.16,4.83,70.0,1.9300000000000002,45.83,0.12,66.67,0.36,0.72,8.21,67.65,82.23,9.74,0,,0,,0,0.0,0.0,0.0,,,0.56,,3.62,0.12,0.0,0.0,0.24,8,87.5
S. Ben Hsan,Sabri Ben Hsan,319072,Etoile du Sahel,Etoile du Sahel,https://cdn5.wyscout.com/photos/team/public/710_120x120.png,Ligue 1,GK,GK,100,,0,,0,29.0,1996-06-13,0,,21,2155,0,0.0,0,0.0,0.75,88.89,Tunisia,['Tunisia'],right,189,0,False,1.0,0.08,50.0,0.38,88.89,0.0,0.0,0.0,0.96,2.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,5.43,0.21,0.29,10.9,86.97,4.64,73.87,0.0,0.0,8.27,95.96,2.63,58.73,29.32,41.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,31.25,0.04,0.0,0.04,0.0,0.0,0.0,1.8399999999999999,65.91,97.16,5.89,17,0.71,71,2.9699999999999998,10,76.06,20.16,0.84,3.16,0.132,0.0,1.34,0.38,,,,0.0,0,0.0
N. Farhati,Noureddine Farhati,-143325,Stade Tunisien,Stade Tunisien,https://cdn5.wyscout.com/photos/team/public/3415_120x120.png,Ligue 1,GK,GK,100,,0,,0,25.0,2000-09-14,0,2027-06-30,21,2138,0,0.0,0,0.0,0.88,100.0,Tunisia,['Tunisia'],right,188,0,False,1.3900000000000001,0.04,100.0,0.42,100.0,0.0,0.0,0.0,1.35,2.7199999999999998,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.38,100.0,0.0,0.0,0.0,7.87,0.21,0.59,14.86,88.1,7.2,79.53,0.0,0.0,10.61,96.83,4.21,67.0,31.73,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,66.67,0.13,66.67,0.0,0.0,0.08,0.0,3.62,69.77,96.97,6.95,7,0.29,51,2.15,15,86.27,13.5,0.5700000000000001,6.5,0.274,0.0,1.85,0.42,,,,0.0,0,0.0
H. Ben Abda,Hamza Ben Abda,504757,Club Africain,Club Africain,https://cdn5.wyscout.com/photos/team/public/g3479_120x120.png,Ligue 1,LCB,LCB,99,,0,,0,31.0,1995-03-14,650000,2027-06-30,20,2039,0,1.0,0,0.41000000000000003,9.05,62.44,Tunisia,['Tunisia'],left,189,0,False,3.84,2.38,59.26,3.62,60.98,0.22,0.47000000000000003,0.18,2.21,4.75,1.02,3,0.13,0,0.0,0.13,0.0,0,0.0,0.04,0,0.0,7,0.31,0.0,0.0,0.0,0.13,33.33,0.13,33.33,0.0,0.0,0.0,0.13,66.67,0.79,61.11,0.49,0.22,0.0,21.5,0.18,0.93,36.11,84.72,16.86,74.35,1.6800000000000002,97.37,28.34,91.9,7.64,58.96,23.08,38.4,0.02,0.13,0.04,0.0,0.0,0.0,0.0,5.3,60.83,0.66,26.67,0.35000000000000003,37.5,0.13,0.09,8.43,73.82,95.09,14.39,0,,0,,0,0.0,0.0,0.0,,,1.46,,3.62,0.0,0.0,0.0,0.0,0,0.0
A. Hallaoui,Abdessalem Hallaoui,485073,Monastir,Monastir,https://cdn5.wyscout.com/photos/team/public/g3490_120x120.png,Ligue 1,GK,GK,100,,0,,0,36.0,1989-06-28,100000,2026-06-30,20,2028,0,0.0,0,0.0,1.24,100.0,Tunisia,['Tunisia'],,0,0,False,1.29,0.04,100.0,0.62,100.0,0.04,0.08,0.0,1.2,2.2,0.0,3,0.13,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.44,100.0,0.0,0.0,0.0,6.75,0.36,0.67,13.18,85.52,6.39,73.61,0.04,100.0,9.05,95.59,4.13,63.44,30.67,47.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,39.13,0.18,25.0,0.04,0.0,0.0,0.0,2.9699999999999998,71.64,96.24,5.9,12,0.53,57,2.5300000000000002,10,78.95,14.92,0.66,2.92,0.13,0.0,1.33,0.62,,,,0.0,0,0.0
M. Ben Cherifia,Moez Ben Cherifia,138338,AS Soliman,AS Soliman,https://cdn5.wyscout.com/photos/team/public/g17074_120x120.png,Ligue 1,GK,GK,100,,0,,0,34.0,1991-06-24,500000,,19,1950,0,0.0,0,0.0,0.88,94.74,Tunisia,['Tunisia'],right,182,83,False,1.15,0.05,100.0,0.46,100.0,0.0,0.0,0.0,1.11,1.6600000000000001,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,87.5,0.0,0.0,0.0,6.28,0.09,0.55,11.82,81.25,6.14,68.42,0.0,0.0,7.52,98.16,4.2,52.75,36.03,50.66,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.43,48.39,0.14,33.33,0.09,0.0,0.05,0.0,2.31,68.0,95.76,5.45,20,0.92,88,4.06,5,77.27,26.04,1.2,6.04,0.279,0.0,1.8900000000000001,0.46,,,,0.0,0,0.0
A. Dahmen,Aymen Dahmen,483174,CS Sfaxien,CS Sfaxien,https://cdn5.wyscout.com/photos/team/public/2950_120x120.png,Ligue 1,GK,GK,100,,0,,0,29.0,1997-01-28,0,2028-06-30,19,1937,0,0.0,0,0.0,0.42,66.67,Tunisia,['Tunisia'],right,188,79,False,1.16,0.05,0.0,0.14,100.0,0.0,0.0,0.0,1.16,2.21,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,60.0,0.0,0.0,0.0,9.71,0.19,0.19,17.01,83.33,8.92,71.88,0.09,50.0,11.57,95.98,5.34,57.39,31.59,46.36,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.8599999999999999,52.5,0.09,0.0,0.0,0.0,0.0,0.0,4.14,67.42,97.5,7.43,9,0.42,53,2.46,12,83.02,14.98,0.7000000000000001,5.98,0.278,0.05,1.16,0.14,,,,0.0,0,0.0
H. Ben Chrifia,Hamza Ben Cherifia,319090,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,GK,GK,100,,0,,0,29.0,1996-07-17,0,,19,1928,0,0.0,0,0.0,1.17,92.0,Tunisia,['Tunisia'],right,181,0,False,1.21,0.09,50.0,0.65,100.0,0.0,0.0,0.0,1.17,1.72,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,88.89,0.0,0.0,0.0,4.76,0.0,0.51,10.04,71.63,7.1,62.5,0.0,0.0,4.76,97.06,5.27,48.67,42.99,55.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.89,53.23,0.33,14.29,0.09,50.0,0.05,0.0,3.59,68.83,94.83,2.71,18,0.84,66,3.08,8,72.73,18.48,0.86,0.48,0.022,0.0,1.26,0.65,,,,0.0,0,0.0
R. Chikhaoui,Raed Chikhaoui,-338035,Monastir,Monastir,https://cdn5.wyscout.com/photos/team/public/g3490_120x120.png,Ligue 1,"LCB, RCB, CB",LCB,49,RCB,30,CB,12,21.0,2004-06-09,0,2028-06-30,19,1928,3,1.31,0,0.03,8.96,63.54,Tunisia,['Tunisia'],right,191,0,False,4.8100000000000005,2.5700000000000003,56.36,4.11,70.45,0.47000000000000003,0.87,0.33,2.89,5.38,0.7000000000000001,4,0.19,0,0.0,0.33,0.14,3,0.14,0.06,3,0.14,9,0.42,44.44,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,1.26,59.26,0.51,0.28,0.0,22.36,0.23,1.07,34.12,89.06,13.16,78.37,1.12,91.67,30.67,93.15,3.45,52.7,22.37,38.89,0.0,0.05,0.0,0.0,0.05,100.0,0.0,3.17,58.82,0.33,42.86,0.28,33.33,0.09,0.0,5.09,63.3,96.88,17.93,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.11,0.0,0.0,0.0,0.0,0,0.0
F. Meskini,Fares Meskini,403645,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,RCB,RCB,88,,0,,0,29.0,1996-05-03,0,2027-06-30,19,1915,1,1.08,0,0.1,12.17,62.16,Tunisia,['Tunisia'],,0,0,False,7.57,3.52,74.67,5.73,54.92,0.05,0.07,0.28,4.89,7.16,0.66,1,0.05,0,0.0,0.28,0.05,1,0.05,0.05,0,0.0,8,0.38,37.5,12.5,0.0,0.23,20.0,0.0,0.0,0.23,20.0,0.09,0.14,66.67,0.9400000000000001,65.0,0.47000000000000003,0.19,0.0,7.99,0.0,1.03,22.51,70.35,13.39,61.05,1.27,96.3,15.09,79.13,7.19,53.59,24.44,37.54,0.0,0.05,0.05,0.05,0.0,0.0,0.05,4.5600000000000005,59.79,0.61,46.15,0.33,28.57,0.23,0.05,6.72,59.44,85.6,5.87,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,5.73,0.33,0.0,0.0,0.0,0,0.0
