Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. García,Ruben Elías García Rivera,-319290,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,"DMF, RCMF, LCMF",DMF,28,RCMF,23,LCMF,13,29.0,1996-04-14,0,,32,2983,0,1.43,0,0.58,13.94,56.71,Honduras,['Honduras'],,0,0,False,8.9,6.06,62.69,4.74,50.96,0.39,0.51,0.48,4.71,6.16,1.57,5,0.15,0,0.0,0.27,0.0,0,0.0,0.04,0,0.0,5,0.15,20.0,0.0,0.0,0.15,40.0,0.0,0.0,0.15,40.0,0.0,0.24,75.0,1.51,56.0,0.45,0.27,0.03,12.04,0.27,0.6900000000000001,24.11,84.11,8.45,73.21,2.81,95.7,21.63,87.73,2.38,51.9,19.26,31.32,0.02,0.24,0.03,0.0,0.0,0.0,0.03,3.26,77.78,0.30000000000000004,30.0,0.06,50.0,0.12,0.06,3.86,64.84,90.13,9.47,0,,0,,0,0.0,0.0,0.0,,,0.54,,4.74,0.03,0.0,0.0,0.0,0,0.0
M. Salinas,Manuel Alberto Salinas,-462756,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,"RCMF, LCMF",RCMF,26,LCMF,26,,0,31.0,1995-02-16,0,,32,2875,4,4.28,1,1.94,11.99,54.83,Honduras,['Honduras'],unknown,0,0,False,7.45,5.76,66.85,2.25,44.44,0.09,0.12,0.28,3.51,4.51,1.16,4,0.13,0,0.0,1.1,0.13,4,0.13,0.13,1,0.03,61,1.9100000000000001,27.87,6.557,0.03,0.66,28.57,0.19,16.67,0.44,35.71,0.06,0.5,68.75,2.6,43.37,0.66,0.41000000000000003,0.0,18.09,0.28,1.06,28.21,78.58,11.83,65.87,3.1,92.93,22.66,85.64,4.98,52.2,19.78,34.08,0.06,0.75,0.03,0.03,0.03,100.0,0.22,6.04,67.36,1.35,44.19,0.44,71.43,0.47000000000000003,0.19,5.89,76.6,87.8,9.23,0,,0,,0,0.0,0.0,0.0,,,0.13,,2.25,0.85,0.06,0.0,0.03,0,0.0
S. Pozantes,Samuel Ely Pozantes Pinto,-296496,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,"RB, RWB",RB,57,RWB,26,,0,24.0,2001-06-21,0,,32,2860,2,1.62,0,3.52,14.0,52.13,Honduras,['Honduras'],,0,0,False,6.99,5.85,60.22,1.8900000000000001,45.0,0.13,0.16,0.19,3.34,4.26,0.9400000000000001,4,0.13,0,0.0,2.74,0.06,1,0.03,0.05,0,0.0,21,0.66,33.33,4.7620000000000005,0.0,3.71,44.07,0.0,0.0,3.65,43.1,0.41000000000000003,1.6,52.94,5.0,43.4,1.2,0.8200000000000001,0.13,18.94,0.76,1.38,27.98,74.8,11.08,68.75,4.59,95.21,19.89,84.97,4.72,54.67,22.45,32.44,0.11,1.01,0.06,0.0,0.03,100.0,0.6000000000000001,5.19,66.67,3.3,49.52,0.5,31.25,0.41000000000000003,1.51,8.18,76.54,72.83,8.34,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.8900000000000001,0.09,0.0,0.0,0.0,0,0.0
J. Rivera,Javier Enrique Rivera Castillo,440541,Marathón,Marathón,https://cdn5.wyscout.com/photos/team/public/3651_120x120.png,Liga Nacional,"RCB, RCB3",RCB,83,RCB3,12,,0,27.0,1998-03-17,200000,2026-12-31,28,2754,1,0.9500000000000001,2,0.54,12.65,64.34,Panama,['Panama'],,187,0,True,7.91,5.1,75.64,4.93,59.6,0.13,0.19,0.39,3.92,5.71,0.98,6,0.2,0,0.0,0.26,0.03,1,0.03,0.03,1,0.03,16,0.52,31.25,6.25,0.07,0.2,16.67,0.03,0.0,0.13,25.0,0.1,0.2,33.33,1.18,50.0,0.72,0.6900000000000001,0.0,32.81,0.92,0.8200000000000001,46.34,82.23,23.89,71.55,3.04,93.55,35.1,91.99,11.05,52.37,24.91,43.01,0.02,0.26,0.03,0.0,0.07,0.0,0.16,9.05,57.76,1.4100000000000001,27.91,1.11,17.65,0.39,0.07,12.42,74.74,95.53,16.08,0,,0,,0,0.0,0.0,0.0,,,1.6,,4.93,0.03,0.03,0.0,0.0,0,0.0
E. Menjivar,Edrick Eduardo Menjivar Jonhnson,288179,Olimpia,Olimpia,https://cdn5.wyscout.com/photos/team/public/1324_120x120.png,Liga Nacional,GK,GK,100,,0,,0,33.0,1993-03-01,0,,28,2710,0,0.23,0,0.0,1.0,75.86,Honduras,['Honduras'],right,191,0,False,0.86,0.1,33.33,0.52,86.67,0.03,0.05,0.0,0.79,1.13,0.07,9,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.24,71.43,0.07,0.0,0.0,6.48,0.21,0.28,14.72,87.35,9.41,81.32,0.03,100.0,9.76,97.53,4.97,67.36,35.33,50.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,58.46,0.21,33.33,0.21,50.0,0.07,0.0,4.0,85.34,97.93,5.0,26,0.9,109,3.76,11,76.15,34.33,1.18,8.33,0.28700000000000003,0.03,1.52,0.52,,,,0.0,0,0.0
E. Hernández,Juan Emanuel Hernández Rodríguez,-115983,Olimpia,Olimpia,https://cdn5.wyscout.com/photos/team/public/1324_120x120.png,Liga Nacional,"RCB, LCB",RCB,59,LCB,37,,0,28.0,1997-10-30,350000,2026-12-31,30,2674,3,3.39,0,0.62,16.12,68.98,Uruguay,['Uruguay'],right,190,73,False,9.83,6.4,71.04,7.52,71.63,0.42,0.6000000000000001,0.52,4.86,6.97,1.22,6,0.2,0,0.0,0.52,0.1,3,0.1,0.12,2,0.07,26,0.91,38.46,11.538,0.0,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.1,100.0,0.91,65.38,1.12,0.21,0.07,17.13,0.35000000000000003,0.84,28.71,85.87,14.48,79.47,1.4,97.5,23.85,90.91,4.79,60.58,23.43,38.78,0.02,0.14,0.0,0.03,0.0,0.0,0.07,3.64,66.35,0.45,23.08,0.24,42.86,0.1,0.07,6.68,76.44,93.18,10.77,0,,0,,0,0.0,0.0,0.0,,,0.98,,7.52,0.03,0.0,0.0,0.0,0,0.0
D. Torres,Denovan Galileo Torres Pérez,261505,Juticalpa,Juticalpa,https://cdn5.wyscout.com/photos/team/public/g33741_120x120.png,Liga Nacional,GK,GK,100,,0,,0,36.0,1989-10-04,50000,,28,2658,1,0.76,0,0.29,1.08,87.5,Honduras,['Honduras'],,0,0,False,1.42,0.2,66.67,0.68,95.0,0.03,0.05,0.0,1.25,1.71,0.0,2,0.07,0,0.0,0.07,0.03,0,0.0,0.03,0,0.0,1,0.03,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.1,100.0,0.0,0.0,0.0,7.96,0.2,0.24,14.05,76.14,10.94,70.9,0.0,0.0,5.79,95.32,8.19,62.81,42.58,54.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,3.15,52.69,0.2,0.0,0.14,0.0,0.0,0.0,6.43,78.42,95.35,2.91,57,1.9300000000000002,171,5.79,5,66.67,51.48,1.74,-5.52,-0.187,0.0,2.03,0.68,,,,0.0,1,100.0
E. Maldonado Duarte,Edwin Eduardo Maldonado Duarte,-681711,Genesis Policia Nacional FC,Genesis Policia Nacional FC,https://cdn5.wyscout.com/photos/team/public/g-24203_120x120.png,Liga Nacional,"RCMF, LCMF, DMF",RCMF,29,LCMF,21,DMF,10,31.0,1994-06-04,0,,28,2652,2,0.74,3,1.23,15.54,52.4,Honduras,['Honduras'],,174,0,False,8.35,6.07,65.92,2.75,51.85,0.27,0.39,0.34,4.07,5.91,1.3599999999999999,5,0.17,0,0.0,0.78,0.07,2,0.07,0.03,0,0.0,21,0.71,23.81,9.524000000000001,0.1,0.85,32.0,0.14,50.0,0.58,23.53,0.03,0.61,55.56,4.62,36.76,0.24,0.51,0.0,21.48,0.44,0.81,36.38,85.63,11.23,74.32,6.45,95.26,30.54,90.67,5.02,64.19,19.87,33.14,0.04,0.48,0.1,0.0,0.0,0.0,0.14,5.8,70.76,1.56,41.3,0.54,43.75,0.48,0.27,5.9,79.31,91.94,13.47,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.75,0.61,0.14,50.0,0.51,0,0.0
Á. Tejeda,Ángel Gabriel Tejeda Escobar,259206,Genesis Policia Nacional FC,Genesis Policia Nacional FC,https://cdn5.wyscout.com/photos/team/public/g-24203_120x120.png,Liga Nacional,CF,CF,95,,0,,0,34.0,1991-06-01,125000,,28,2639,8,9.58,6,3.24,16.57,33.13,Honduras,['Honduras'],right,186,80,False,2.73,1.6400000000000001,56.25,5.46,30.0,0.03,0.05,0.14,1.77,2.56,0.99,3,0.1,1,0.03,2.01,0.27,6,0.2,0.33,2,0.07,73,2.49,36.99,10.959,0.2,0.85,44.0,0.44,46.15,0.41000000000000003,41.67,0.14,1.33,48.72,7.16,27.14,2.69,0.75,0.14,14.84,2.93,1.06,20.02,70.87,5.08,49.66,5.46,89.38,17.8,74.71,1.47,34.88,16.94,27.44,0.11,0.92,0.03,0.07,0.14,50.0,0.51,3.34,42.86,2.11,46.77,0.31,33.33,0.8200000000000001,0.34,2.49,73.97,68.1,5.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.03,,5.46,0.27,0.17,60.0,0.0,3,66.667
J. Orobio,Javier Alexis Orobio Rincón,433673,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,GK,GK,100,,0,,0,29.0,1996-07-03,0,,27,2631,0,0.4,0,0.0,0.96,78.57,Colombia,['Colombia'],,179,73,False,2.16,0.21,50.0,0.38,100.0,0.07,0.09,0.0,1.98,2.55,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.01,0,0.0,8,0.27,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.27,75.0,0.0,0.07,0.0,4.24,0.14,0.34,10.95,76.56,7.83,69.43,0.0,0.0,5.68,93.98,5.27,57.79,41.35,55.45,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.04,55.06,0.44,15.38,0.31,33.33,0.1,0.0,3.9699999999999998,81.03,94.32,3.01,33,1.13,139,4.75,5,76.26,38.1,1.3,5.1,0.17400000000000002,0.0,2.16,0.38,,,,0.0,0,0.0
