Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Schierl,Domenik Schierl,191473,Austria Lustenau,Austria Lustenau,https://cdn5.wyscout.com/photos/team/public/611_120x120.png,2. Liga,GK,GK,100,,0,,0,31.0,1994-07-20,400000,2026-06-30,22,2120,0,0.0,0,0.0,0.72,76.47,Austria,['Austria'],right,185,82,False,1.02,0.04,0.0,0.51,83.33,0.0,0.0,0.0,1.02,1.52,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.0,18.72,0.21,0.25,28.36,84.58,16.34,74.29,0.0,0.0,15.71,98.38,12.57,67.91,34.65,48.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,66.36,0.17,25.0,0.17,25.0,0.13,0.0,10.19,79.58,98.89,11.5,20,0.85,75,3.18,9,73.33,22.13,0.9400000000000001,2.13,0.09,0.0,1.32,0.51,,,,0.0,0,0.0
J. Kirchmayr,Juri Kirchmayr,-286855,Floridsdorfer AC,Floridsdorfer AC,https://cdn5.wyscout.com/photos/team/public/g8722_120x120.png,2. Liga,GK,GK,100,,0,,0,20.0,2005-11-12,0,2027-06-30,22,2107,0,0.0,0,0.0,0.73,88.24,Austria,['Austria'],,0,0,True,1.5,0.09,50.0,0.56,100.0,0.0,0.0,0.0,1.45,1.9500000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,17.04,0.26,0.04,24.18,78.09,11.7,59.49,0.0,0.0,14.14,96.68,10.04,51.91,36.31,51.61,0.0,0.0,0.0,0.04,0.0,0.0,0.0,3.63,40.0,0.13,33.33,0.21,40.0,0.04,0.0,6.66,69.87,95.45,12.22,13,0.56,57,2.43,12,77.19,14.2,0.61,1.2,0.051000000000000004,0.0,1.54,0.56,,,,0.0,0,0.0
D. Carlson,Dirk Carlson,387285,St. Pölten,St. Pölten,https://cdn5.wyscout.com/photos/team/public/1356_120x120.png,2. Liga,"LB, LWB",LB,61,LWB,22,,0,28.0,1998-04-01,250000,2026-06-30,22,2105,1,1.12,1,1.17,12.1,55.48,United States,"['United States', 'Luxembourg']",left,185,80,False,6.5,4.23,62.63,2.99,62.86,0.13,0.22,0.34,3.7199999999999998,6.46,0.73,1,0.04,0,0.0,0.9400000000000001,0.04,1,0.04,0.05,0,0.0,10,0.43,50.0,10.0,0.04,1.97,26.09,1.97,26.09,0.0,0.0,0.13,0.43,50.0,2.8200000000000003,45.45,0.81,1.15,0.17,30.23,1.71,0.73,41.52,81.57,11.67,65.2,9.79,96.07,36.09,88.39,3.63,42.35,18.95,37.87,0.05,0.43,0.04,0.0,0.04,0.0,0.21,3.76,51.14,2.05,35.42,0.17,25.0,0.38,0.43,6.58,61.69,82.01,12.36,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.99,0.0,0.0,0.0,0.0,0,0.0
L. Meisl,Luca Meisl,424058,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,"LCB, CB",LCB,62,CB,19,,0,27.0,1999-03-04,300000,,22,2100,1,1.34,0,0.5,15.43,63.61,Austria,['Austria'],right,184,80,False,8.91,5.87,69.34,5.19,56.2,0.21,0.30000000000000004,0.6000000000000001,4.63,6.45,0.81,3,0.13,0,0.0,0.47000000000000003,0.04,0,0.0,0.06,0,0.0,9,0.39,55.56,11.111,0.0,0.21,60.0,0.13,66.67,0.09,50.0,0.04,0.17,50.0,1.33,61.29,0.56,1.54,0.13,32.53,0.21,0.77,50.01,82.35,25.11,72.35,2.87,95.52,39.34,87.91,10.46,61.89,24.65,39.89,0.02,0.17,0.0,0.04,0.04,100.0,0.04,8.79,65.85,1.24,34.48,0.56,38.46,0.43,0.13,13.67,71.47,94.92,18.56,0,,0,,0,0.0,0.0,0.0,,,2.23,,5.19,0.09,0.09,50.0,0.0,1,100.0
M. Stendera,Marc Stendera,242779,St. Pölten,St. Pölten,https://cdn5.wyscout.com/photos/team/public/1356_120x120.png,2. Liga,"LCMF, DMF",LCMF,50,DMF,18,,0,30.0,1995-12-10,200000,,22,2070,8,5.72,5,7.44,15.91,59.56,Germany,['Germany'],right,174,73,False,8.7,6.7,68.18,1.96,53.33,0.43,0.76,0.26,3.7,6.46,1.3,2,0.09,0,0.0,2.48,0.35000000000000003,4,0.17,0.25,0,0.0,54,2.35,44.44,14.815,0.22,1.09,24.0,0.48,27.27,0.61,21.43,0.13,1.3,80.0,5.04,54.31,0.43,0.96,0.09,43.87,0.17,1.13,59.61,80.53,21.96,64.16,9.43,97.24,48.43,88.42,10.09,48.71,20.43,38.09,0.32,2.26,0.04,0.0,0.13,100.0,0.30000000000000004,13.22,60.86,3.48,42.5,1.26,44.83,1.35,0.22,11.17,77.82,88.26,20.0,0,,0,,0,0.0,0.0,0.0,,,0.78,,1.96,3.04,0.87,35.0,4.39,5,80.0
Flavio,Flavio Dos Santos Dias,334472,Floridsdorfer AC,Floridsdorfer AC,https://cdn5.wyscout.com/photos/team/public/g8722_120x120.png,2. Liga,"LWB, LB",LWB,66,LB,16,,0,30.0,1995-12-16,250000,2026-06-30,22,2051,1,3.19,1,2.48,15.45,45.17,Cape Verde Islands,['Cape Verde Islands'],right,173,70,False,4.96,2.94,67.16,1.9300000000000002,38.64,0.04,0.06,0.13,2.94,3.93,0.44,2,0.09,0,0.0,2.76,0.04,1,0.04,0.14,0,0.0,24,1.05,25.0,4.167,0.04,2.11,41.67,1.71,35.9,0.26,83.33,0.18,3.12,47.89,8.56,40.51,2.11,1.76,0.26,20.71,2.46,1.8399999999999999,30.94,76.88,8.29,56.08,9.52,94.47,25.85,83.02,3.07,48.57,19.0,35.95,0.11,0.79,0.04,0.0,0.18,75.0,0.35000000000000003,2.68,52.46,2.5,49.12,0.48,45.45,0.7000000000000001,0.88,4.74,66.67,79.57,8.16,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.9300000000000002,0.0,0.0,0.0,0.0,0,0.0
T. Gemicibaşi,Turgay Gemicibaşi,273259,Admira,Admira,https://cdn5.wyscout.com/photos/team/public/620_120x120.png,2. Liga,"LCMF, LCMF3, DMF",LCMF,50,LCMF3,15,DMF,14,29.0,1996-04-23,350000,2026-06-30,22,2039,4,4.06,3,5.76,14.21,55.59,Germany,"['Germany', 'Türkiye']",left,180,70,False,6.97,4.94,59.82,2.96,61.19,0.22,0.31,0.13,3.8,5.28,1.02,5,0.22,1,0.04,2.43,0.18,1,0.04,0.18,0,0.0,34,1.5,44.12,11.765,0.13,2.12,52.08,1.24,50.0,0.84,52.63,0.44,0.84,68.42,4.06,53.26,0.62,0.79,0.13,23.04,0.18,1.6800000000000002,41.01,78.69,13.68,62.58,7.46,95.27,33.15,86.55,5.96,44.44,20.33,33.8,0.25,2.21,0.18,0.13,0.13,66.67,0.53,6.71,63.82,2.96,59.7,0.49,63.64,0.75,1.02,7.77,69.32,85.71,14.21,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.96,2.74,0.26,50.0,5.83,4,75.0
S. Nesler-Täubl,Simon Nesler-Täubl,-348619,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,GK,GK,100,,0,,0,21.0,2005-01-04,0,2027-06-30,21,2027,0,0.07,0,0.0,1.02,78.26,Austria,['Austria'],left,187,0,True,2.04,0.18,75.0,0.67,80.0,0.0,0.0,0.0,1.9100000000000001,2.63,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.04,0.0,0.0,15.9,0.27,0.18,27.84,85.17,14.47,73.31,0.0,0.0,18.74,96.92,9.06,61.27,29.96,48.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,54.55,0.18,0.0,0.13,0.0,0.0,0.0,7.02,72.15,98.44,11.41,31,1.38,99,4.4,7,68.69,31.39,1.3900000000000001,0.39,0.017,0.0,2.4,0.67,,,,0.0,0,0.0
N. Pertlwieser,Niklas Pertlwieser,-318114,Amstetten,Amstetten,https://cdn5.wyscout.com/photos/team/public/g10902_120x120.png,2. Liga,"LCB3, LB",LCB3,60,LB,30,,0,22.0,2003-11-23,0,2027-06-30,22,2027,0,1.19,0,0.2,17.94,65.35,Austria,['Austria'],left,0,0,False,11.77,7.41,73.65,6.66,64.0,0.36,0.48,0.44,5.95,8.09,0.93,1,0.04,0,0.0,0.22,0.0,0,0.0,0.05,0,0.0,11,0.49,0.0,0.0,0.0,0.22,20.0,0.18,25.0,0.04,0.0,0.04,0.27,66.67,1.6,44.44,0.49,0.62,0.04,14.12,0.44,0.4,32.1,71.37,16.52,59.95,3.2,93.06,22.56,80.91,9.32,49.52,24.2,39.28,0.01,0.18,0.04,0.04,0.0,0.0,0.0,7.59,53.8,1.02,21.74,0.53,16.67,0.27,0.04,9.81,67.42,82.41,9.59,0,,0,,0,0.0,0.0,0.0,,,1.15,,6.66,0.18,0.09,0.0,0.0,0,0.0
B. Pernot,Barne Pernot,436190,Sturm Graz II,Sturm Graz II,https://cdn5.wyscout.com/photos/team/public/g8730_120x120.png,2. Liga,"DMF, LCB, RDMF",DMF,32,LCB,19,RDMF,17,26.0,1999-06-11,150000,,21,2024,0,1.18,0,0.44,16.9,57.11,Germany,['Germany'],right,188,76,False,9.03,6.05,69.85,6.67,48.67,0.13,0.18,0.36,4.67,6.43,1.38,3,0.13,1,0.04,0.36,0.0,0,0.0,0.05,0,0.0,12,0.53,25.0,0.0,0.0,0.18,25.0,0.0,0.0,0.18,25.0,0.0,0.31,57.14,1.2,40.74,0.98,0.76,0.04,20.23,0.22,0.31,40.06,78.14,19.21,64.81,3.02,94.12,33.75,84.19,6.14,46.38,20.22,35.44,0.02,0.22,0.0,0.0,0.04,0.0,0.0,8.09,60.44,0.93,33.33,0.22,40.0,0.53,0.04,9.38,67.3,93.71,14.14,0,,0,,0,0.0,0.0,0.0,,,0.84,,6.67,0.0,0.0,0.0,0.0,0,0.0
