Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Piirainen,Pyry Piirainen,472875,JIPPO,JIPPO,https://cdn5.wyscout.com/photos/team/public/g859_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,25.0,2000-03-14,50000,2026-12-31,27,2604,0,0.0,0,0.16,0.62,94.44,Finland,['Finland'],,190,0,False,1.83,0.1,66.67,0.24,100.0,0.0,0.0,0.0,1.76,2.41,0.0,2,0.07,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.21,100.0,0.0,0.0,0.0,22.74,0.21,0.24,33.25,89.29,16.9,80.78,0.0,0.0,21.67,99.2,11.51,71.17,28.79,44.28,0.01,0.03,0.0,0.0,0.0,0.0,0.0,2.25,55.38,0.07,0.0,0.17,20.0,0.0,0.0,8.19,78.48,98.17,15.14,31,1.07,113,3.91,6,72.57,36.51,1.26,5.51,0.19,0.0,1.04,0.24,,,,0.0,0,0.0
A. Sairinen,Akim Saeed Sairinen,293694,TPS,TPS,https://cdn5.wyscout.com/photos/team/public/719_120x120.png,Veikkausliiga,RCB,RCB,100,,0,,0,31.0,1994-05-22,25000,,27,2568,2,2.2800000000000002,0,0.47000000000000003,10.48,59.2,Finland,['Finland'],right,187,83,False,7.64,3.61,66.02,4.52,61.24,0.11,0.13,1.37,5.15,6.42,0.74,3,0.11,0,0.0,0.32,0.07,2,0.07,0.08,2,0.07,12,0.42,50.0,16.667,0.0,0.07,50.0,0.0,0.0,0.07,50.0,0.04,0.07,50.0,0.67,42.11,0.88,1.4,0.07,32.35,0.21,0.32,47.84,85.93,20.85,74.29,2.7,96.1,38.87,93.69,8.9,52.36,23.58,40.16,0.02,0.18,0.04,0.0,0.11,33.33,0.07,7.43,65.09,0.46,53.85,0.46,23.08,0.28,0.04,9.99,71.58,97.17,21.03,0,,0,,0,0.0,0.0,0.0,,,2.24,,4.52,0.0,0.0,0.0,0.0,0,0.0
O. Maukonen,Osku Maukonen,-344017,Lahti,Lahti,https://cdn5.wyscout.com/photos/team/public/656_120x120.png,Ykkösliiga,GK,GK,100,,0,,0,18.0,2007-02-15,0,2026-12-31,26,2518,0,0.0,0,0.0,0.64,88.89,Finland,['Finland'],unknown,0,0,False,1.29,0.07,50.0,0.5700000000000001,93.75,0.04,0.05,0.0,1.22,1.67,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47,0.21,0.11,21.48,89.02,8.76,75.1,0.0,0.0,15.23,99.06,6.25,64.57,28.02,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,51.72,0.07,50.0,0.11,0.0,0.0,0.0,4.5,68.25,98.76,11.54,27,0.97,75,2.68,10,64.0,24.08,0.86,-2.92,-0.10400000000000001,0.0,1.9300000000000002,0.5700000000000001,,,,0.0,0,0.0
E. Kallio,Elias Kallio,-447520,KäPa,KäPa,https://cdn5.wyscout.com/photos/team/public/g847_120x120.png,Ykkösliiga,"LW, LCMF3",LW,48,LCMF3,42,,0,22.0,2003-10-22,0,2025-12-31,28,2475,14,9.54,4,3.88,19.2,54.55,Finland,['Finland'],right,180,0,False,8.18,7.27,67.5,1.24,20.59,0.11,0.13,0.04,3.16,3.91,0.76,2,0.07,0,0.0,4.8,0.51,14,0.51,0.35000000000000003,0,0.0,87,3.16,37.93,16.092,0.15,1.85,25.49,1.67,23.91,0.07,50.0,0.11,4.84,60.15,8.84,49.38,4.8,4.98,0.62,30.0,2.84,0.55,39.31,79.09,9.85,64.94,11.56,94.65,34.91,84.17,2.58,47.89,17.27,34.92,0.14,1.02,0.04,0.04,0.33,66.67,0.65,4.11,61.06,2.8,59.74,0.4,54.55,1.9300000000000002,0.44,6.22,76.02,80.75,9.64,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.24,0.04,0.04,100.0,0.0,0,0.0
O. Helen,Onni  Helen,-357887,TPS,TPS,https://cdn5.wyscout.com/photos/team/public/719_120x120.png,Veikkausliiga,CF,CF,100,,0,,0,19.0,2006-01-19,0,,26,2410,14,13.29,4,1.82,22.67,39.87,Finland,['Finland'],,0,0,False,3.32,2.5,67.16,4.33,56.03,0.07,0.09,0.11,1.57,1.97,1.31,7,0.26,0,0.0,2.09,0.52,14,0.52,0.5,3,0.11,64,2.39,42.19,21.875,0.15,0.56,33.33,0.22,33.33,0.34,33.33,0.04,2.17,41.38,11.32,30.03,5.45,0.67,0.11,7.99,1.6800000000000002,2.58,13.74,73.1,2.32,58.06,4.07,85.32,12.77,75.73,0.45,50.0,16.58,14.26,0.07,0.8200000000000001,0.04,0.07,0.0,0.0,0.41000000000000003,1.16,74.19,0.86,43.48,0.07,50.0,1.05,0.11,1.05,64.29,75.0,3.73,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.33,0.0,0.0,0.0,0.0,0,0.0
O. Häggström,Oscar  Häggström,-342926,TPS,TPS,https://cdn5.wyscout.com/photos/team/public/719_120x120.png,Veikkausliiga,RB,RB,93,,0,,0,21.0,2004-04-24,0,2025-12-31,26,2410,1,1.56,0,0.54,17.14,54.68,Finland,['Finland'],right,0,0,False,8.96,8.44,62.39,1.87,56.0,0.15,0.18,0.15,3.55,4.39,1.46,4,0.15,0,0.0,1.49,0.04,1,0.04,0.06,0,0.0,15,0.56,46.67,6.667,0.0,1.38,29.73,0.07,50.0,1.31,28.57,0.22,1.2,68.75,4.11,45.45,1.01,1.9,0.26,23.15,1.27,0.97,32.71,79.45,12.7,70.0,5.64,96.03,27.49,85.87,4.0,51.4,19.64,35.51,0.02,0.41000000000000003,0.0,0.04,0.04,0.0,0.15,4.18,66.07,1.6800000000000002,51.11,0.15,0.0,0.67,0.37,6.76,64.64,84.91,9.9,0,,0,,0,0.0,0.0,0.0,,,0.71,,1.87,0.0,0.0,0.0,0.0,0,0.0
T. Karkulowski,Tobias  Karkulowski,-438934,Lahti,Lahti,https://cdn5.wyscout.com/photos/team/public/656_120x120.png,Ykkösliiga,RB,RB,91,,0,,0,21.0,2004-10-09,0,2025-12-31,26,2389,2,1.6099999999999999,5,2.87,22.38,57.41,Finland,['Finland'],unknown,0,0,False,12.73,8.82,73.08,2.94,55.13,0.45,0.61,0.38,5.84,7.94,1.62,7,0.26,0,0.0,2.52,0.08,2,0.08,0.06,2,0.08,25,0.9400000000000001,28.0,8.0,0.19,2.56,33.82,0.30000000000000004,25.0,2.22,35.59,0.38,2.9,45.45,8.17,41.94,1.85,2.19,0.15,25.96,3.24,1.51,37.18,75.08,17.14,69.45,6.48,96.51,31.12,82.08,3.58,43.16,17.42,27.86,0.11,0.79,0.11,0.0,0.08,100.0,0.49,6.03,68.75,2.98,50.63,0.26,42.86,1.02,0.64,9.76,68.34,74.04,7.84,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.94,0.0,0.0,0.0,0.0,0,0.0
A. Boström,Aapo Boström,-339757,TPS,TPS,https://cdn5.wyscout.com/photos/team/public/719_120x120.png,Veikkausliiga,"RDMF, DMF, RCMF",RDMF,49,DMF,20,RCMF,12,19.0,2006-03-20,0,2025-12-31,26,2374,0,2.04,5,1.26,18.46,56.88,Finland,['Finland'],right,0,0,False,11.22,9.02,71.43,1.3599999999999999,44.44,0.53,0.68,0.15,4.25,5.4,1.48,3,0.11,0,0.0,1.18,0.0,0,0.0,0.08,0,0.0,36,1.3599999999999999,13.89,0.0,0.19,1.1400000000000001,26.67,0.27,28.57,0.76,25.0,0.23,1.1,55.17,5.99,42.41,0.49,0.91,0.08,29.61,0.08,1.25,45.49,83.5,16.95,68.68,5.91,96.15,37.91,90.2,6.44,54.12,19.76,37.35,0.05,0.34,0.04,0.04,0.15,50.0,0.38,8.34,72.27,2.5,42.42,0.8300000000000001,22.73,0.76,0.42,8.95,73.31,91.97,16.53,0,,0,,0,0.0,0.0,0.0,,,0.64,,1.3599999999999999,0.23,0.19,20.0,0.11,0,0.0
A. Jouhi,Adam Jouhi,-455689,KäPa,KäPa,https://cdn5.wyscout.com/photos/team/public/g847_120x120.png,Ykkösliiga,"RCMF3, RCMF, LCMF",RCMF3,35,RCMF,23,LCMF,16,19.0,2006-09-20,0,2025-12-31,27,2348,2,1.42,3,2.39,19.82,56.09,Finland,['Finland'],right,177,0,False,8.82,9.05,63.56,1.03,37.04,0.34,0.44,0.11,2.7199999999999998,3.44,1.53,9,0.34,0,0.0,1.23,0.08,2,0.08,0.05,0,0.0,18,0.6900000000000001,33.33,11.111,0.11,0.42,54.55,0.11,33.33,0.23,66.67,0.08,1.3,55.88,7.13,50.54,1.03,1.19,0.08,41.32,1.0,2.99,55.62,89.52,14.76,79.74,10.85,95.76,50.48,91.72,4.71,69.11,17.63,33.78,0.09,0.84,0.08,0.0,0.08,50.0,0.38,7.4,80.83,2.22,70.69,0.5,61.54,1.11,0.23,8.16,77.0,93.69,20.05,0,,0,,0,0.0,0.0,0.0,,,1.07,,1.03,0.6900000000000001,0.04,0.0,2.45,0,0.0
P. Hietalahti,Pekka Hietalahti,-428731,KäPa,KäPa,https://cdn5.wyscout.com/photos/team/public/g847_120x120.png,Ykkösliiga,"RCB, RCB3, LCB",RCB,30,RCB3,28,LCB,27,20.0,2005-02-18,0,2025-12-31,26,2344,1,1.16,1,0.01,13.78,59.89,Finland,['Finland'],unknown,183,0,False,9.22,6.1,71.07,4.99,50.77,0.08,0.1,1.23,4.8,6.1,0.5,4,0.15,0,0.0,0.23,0.04,1,0.04,0.04,0,0.0,12,0.46,16.67,8.333,0.04,0.12,66.67,0.04,100.0,0.08,50.0,0.04,0.12,33.33,0.73,42.11,0.6900000000000001,0.96,0.04,41.08,0.27,0.35000000000000003,53.91,83.83,23.81,73.71,2.42,96.83,45.15,90.82,8.64,47.56,21.17,35.32,0.0,0.04,0.0,0.04,0.08,50.0,0.04,7.03,62.3,0.58,46.67,0.31,25.0,0.23,0.08,10.06,59.54,94.06,23.27,0,,0,,0,0.0,0.0,0.0,,,1.34,,4.99,0.0,0.0,0.0,0.0,0,0.0
