Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Horvath,Daniel Horvath,-357373,Kozármisleny,Kozármisleny,https://cdn5.wyscout.com/photos/team/public/g9114_120x120.png,NB II,"LCB, RCB3, RCB",LCB,39,RCB3,27,RCB,27,24.0,2001-05-14,0,2026-06-30,23,2182,2,1.8399999999999999,0,0.45,13.32,58.2,Hungary,['Hungary'],,0,0,False,10.35,4.78,62.07,5.57,60.0,0.7000000000000001,0.9500000000000001,0.91,6.68,9.07,1.32,4,0.16,0,0.0,0.62,0.08,2,0.08,0.08,0,0.0,11,0.45,54.55,18.182,0.0,0.49,50.0,0.08,50.0,0.41000000000000003,50.0,0.08,0.21,40.0,0.99,29.17,0.74,0.41000000000000003,0.0,29.29,1.07,0.54,48.71,83.32,19.88,69.5,5.2,98.41,40.13,90.44,8.13,50.25,23.53,40.86,0.02,0.25,0.0,0.0,0.04,100.0,0.04,6.72,55.21,1.4,41.18,0.91,36.36,0.37,0.21,9.69,71.91,92.8,20.62,0,,0,,0,0.0,0.0,0.0,,,3.55,,5.57,0.0,0.0,0.0,0.0,0,0.0
S. Lekai,Soma Lekai,312805,Kozármisleny,Kozármisleny,https://cdn5.wyscout.com/photos/team/public/g9114_120x120.png,NB II,GK,GK,100,,0,,0,30.0,1995-09-20,0,2027-06-30,22,2032,0,0.0,0,0.0,0.84,78.95,Hungary,['Hungary'],right,188,0,False,1.99,0.18,50.0,0.49,81.82,0.0,0.0,0.0,1.9,2.66,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,20.77,0.31,0.18,34.77,83.06,19.62,73.14,0.0,0.0,22.1,97.19,12.62,58.6,32.39,48.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,49.47,0.31,28.57,0.09,0.0,0.18,0.0,9.26,70.33,96.1,13.64,34,1.51,110,4.87,5,69.09,32.83,1.45,-1.17,-0.052000000000000005,0.0,1.99,0.49,,,,0.0,0,0.0
M. Kovalovszki,Máté Kovalovszki,-93080,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"RB, RW, RB5",RB,59,RW,10,RB5,10,26.0,1999-12-14,0,,23,2031,3,1.77,0,1.72,14.62,55.15,Hungary,['Hungary'],right,188,0,False,8.11,5.94,59.7,3.99,63.33,0.35000000000000003,0.45,0.18,4.21,5.33,1.02,2,0.09,0,0.0,2.26,0.13,3,0.13,0.08,1,0.04,19,0.84,47.37,15.789,0.0,2.75,30.65,0.31,71.43,2.35,24.53,0.53,1.24,82.14,2.79,49.21,1.6800000000000002,1.11,0.13,19.23,1.82,0.44,30.97,69.1,15.6,60.8,3.86,93.1,22.38,79.6,5.89,46.62,21.4,33.78,0.08,0.97,0.0,0.0,0.0,0.0,0.31,4.7,59.43,2.7,47.54,0.31,57.14,0.58,0.97,10.1,67.11,74.01,7.84,0,,0,,0,0.0,0.0,0.0,,,0.71,,3.99,0.71,0.27,50.0,0.04,0,0.0
K. Szűcs,Kristóf Szűcs,474358,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"DMF, RCMF, RDMF",DMF,24,RCMF,23,RDMF,17,29.0,1997-01-03,75000,2026-06-30,22,2031,0,0.17,0,1.04,14.22,54.83,Hungary,['Hungary'],right,176,77,False,10.59,8.6,60.31,2.5700000000000003,43.1,0.62,0.79,0.53,4.79,6.06,1.9100000000000001,7,0.31,0,0.0,0.35000000000000003,0.0,0,0.0,0.01,0,0.0,7,0.31,57.14,0.0,0.0,0.35000000000000003,25.0,0.13,33.33,0.18,25.0,0.04,0.27,33.33,1.33,50.0,0.22,0.18,0.0,13.07,0.13,0.84,28.58,72.56,13.6,57.0,3.81,96.51,22.47,81.26,5.76,41.54,19.9,34.48,0.05,0.31,0.0,0.0,0.0,0.0,0.04,6.51,53.06,1.2,29.63,0.31,0.0,0.22,0.09,6.74,63.82,84.71,7.53,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.5700000000000003,0.58,0.0,0.0,0.89,0,0.0
C. Spandler,Csaba Spandler,235268,Fehérvár,Fehérvár,https://cdn5.wyscout.com/photos/team/public/357_120x120.png,NB II,"LCB, LCB3, CB",LCB,41,LCB3,40,CB,10,30.0,1996-03-07,450000,2026-06-30,21,2004,0,0.76,0,0.30000000000000004,13.2,61.9,Hungary,['Hungary'],left,183,76,False,7.9,5.93,67.42,4.31,60.42,0.13,0.18,0.63,3.77,5.02,1.21,6,0.27,0,0.0,0.4,0.0,0,0.0,0.03,0,0.0,13,0.58,0.0,0.0,0.0,1.08,33.33,1.08,33.33,0.0,0.0,0.0,0.18,25.0,1.17,38.46,0.49,1.03,0.09,35.61,0.99,0.58,53.76,81.2,25.69,71.85,3.41,94.74,40.55,91.14,12.22,52.57,24.43,40.54,0.01,0.18,0.09,0.0,0.0,0.0,0.0,9.16,57.84,1.75,28.21,0.58,23.08,0.36,0.27,13.02,71.03,91.99,20.75,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,4.31,0.04,0.0,0.0,0.0,0,0.0
B. Pál,Barna Pál,-322986,Csákvári TK,Csákvári TK,https://cdn5.wyscout.com/photos/team/public/g19700_120x120.png,NB II,RCB,RCB,98,,0,,0,19.0,2007-02-11,0,2029-06-30,21,1993,2,1.9,0,0.12,14.5,61.06,Hungary,['Hungary'],unknown,0,0,False,8.58,5.42,71.67,5.46,56.2,0.27,0.37,0.59,4.43,6.07,0.99,2,0.09,0,0.0,0.45,0.09,2,0.09,0.09,1,0.05,9,0.41000000000000003,55.56,22.222,0.0,0.41000000000000003,11.11,0.09,0.0,0.32,14.29,0.05,0.23,80.0,1.04,47.83,0.77,0.72,0.09,22.44,0.14,0.63,38.34,81.51,16.26,67.22,2.94,96.92,30.75,90.16,7.18,48.43,22.45,38.22,0.01,0.09,0.0,0.0,0.0,0.0,0.05,4.65,50.49,0.59,15.38,0.27,16.67,0.09,0.09,7.36,57.67,93.61,16.26,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,5.46,0.0,0.0,0.0,0.0,0,0.0
C. Belényesi,Csaba Belényesi,312258,Kecskeméti TE,Kecskeméti TE,https://cdn5.wyscout.com/photos/team/public/1223_120x120.png,NB II,"CB, RCB",CB,74,RCB,13,,0,32.0,1994-03-03,325000,2027-06-30,21,1991,0,1.26,0,0.15,12.88,62.11,Hungary,['Hungary'],left,193,91,False,8.86,5.06,65.18,5.11,64.6,0.41000000000000003,0.63,0.5,5.15,8.01,1.27,4,0.18,0,0.0,0.09,0.0,0,0.0,0.06,0,0.0,7,0.32,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.68,60.0,0.54,0.41000000000000003,0.05,25.59,0.09,0.54,43.76,88.02,18.53,78.54,2.62,98.28,38.56,92.15,5.2,57.39,21.32,37.34,0.01,0.18,0.0,0.0,0.05,100.0,0.0,5.06,68.75,0.54,66.67,0.14,100.0,0.32,0.0,8.32,75.54,96.52,19.48,0,,0,,0,0.0,0.0,0.0,,,1.76,,5.11,0.0,0.0,0.0,0.0,0,0.0
J. Szalai,József Szalai,-253946,Mezőkövesd-Zsóry,Mezőkövesd-Zsóry,https://cdn5.wyscout.com/photos/team/public/3670_120x120.png,NB II,CF,CF,100,,0,,0,23.0,2002-11-11,0,2029-06-30,21,1965,10,8.04,0,0.79,24.14,37.0,Hungary,['Hungary'],right,194,81,False,2.98,1.28,57.14,8.84,43.52,0.0,0.0,0.18,2.24,3.09,0.55,2,0.09,0,0.0,1.6,0.46,8,0.37,0.37,1,0.05,32,1.47,59.38,31.25,0.0,0.18,25.0,0.09,50.0,0.09,0.0,0.05,1.79,38.46,10.53,31.3,2.11,0.64,0.09,12.18,2.66,2.11,17.36,76.78,3.94,51.16,4.85,83.96,16.21,79.38,0.96,42.86,15.48,20.88,0.04,0.55,0.0,0.0,0.0,0.0,0.32,1.74,60.53,0.5,27.27,0.05,0.0,0.41000000000000003,0.05,1.56,52.94,85.0,4.58,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.84,0.0,0.0,0.0,0.0,2,100.0
T. Turi,Tamás Turi,323008,Kozármisleny,Kozármisleny,https://cdn5.wyscout.com/photos/team/public/g9114_120x120.png,NB II,"LB, LCB3",LB,78,LCB3,17,,0,30.0,1995-08-19,0,2026-06-30,22,1960,0,0.13,2,3.64,15.02,58.1,Hungary,['Hungary'],left,179,0,False,9.05,7.62,60.84,3.31,59.72,0.32,0.43,0.14,4.09,5.48,1.29,4,0.18,0,0.0,1.01,0.0,0,0.0,0.01,0,0.0,7,0.32,0.0,0.0,0.09,1.56,38.24,1.33,37.93,0.18,50.0,0.51,0.87,47.37,2.43,52.83,0.32,2.5300000000000002,0.23,33.89,1.06,0.96,49.04,73.31,27.37,62.58,3.99,96.55,39.17,82.65,8.4,36.07,22.04,41.75,0.17,0.92,0.05,0.09,0.0,0.0,0.37,10.84,55.93,2.39,42.31,0.78,17.65,0.51,0.64,12.81,72.76,86.25,13.36,0,,0,,0,0.0,0.0,0.0,,,1.24,,3.31,1.56,0.0,0.0,1.6099999999999999,0,0.0
Á. Bódi,Ádám Bódi,123592,Duna Aszfalt Tiszakécskei,Duna Aszfalt Tiszakécskei,https://cdn5.wyscout.com/photos/team/public/g2674_120x120.png,NB II,"RW, RWF, RAMF",RW,35,RWF,15,RAMF,14,35.0,1990-10-18,200000,,21,1939,5,3.34,4,4.79,12.07,49.23,Hungary,['Hungary'],right,173,65,False,4.83,3.81,56.1,2.65,42.11,0.28,0.41000000000000003,0.05,2.41,3.52,0.74,4,0.19,0,0.0,3.25,0.23,2,0.09,0.16,0,0.0,30,1.3900000000000001,43.33,16.667,0.19,3.67,35.44,0.37,37.5,3.25,34.29,0.46,1.62,80.0,4.22,51.65,0.93,0.74,0.09,30.36,2.0,0.97,40.66,72.26,13.88,61.54,5.01,93.52,31.79,80.0,5.29,51.75,20.19,35.46,0.22,2.41,0.09,0.14,0.14,33.33,0.46,7.98,59.88,4.36,48.94,0.74,37.5,1.07,1.44,9.05,81.03,74.36,14.48,0,,0,,0,0.0,0.0,0.0,,,0.46,,2.65,2.88,0.51,27.27,5.11,3,100.0
