Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Liit,Sander Alex Liit,-124326,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"CB, RCB",CB,60,RCB,39,,0,23,2003-04-11,0,2026-12-31,13,1270,0,0.27,1,2.01,11.48,62.35,Estonia,['Estonia'],right,184,0,False,7.51,3.9,78.18,4.32,50.82,0.14,0.18,1.42,4.32,5.51,0.21,0,0.0,0,0.0,0.14,0.0,0,0.0,0.02,0,0.0,4,0.28,25.0,0.0,0.07,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.64,44.44,1.42,0.21,0.0,22.46,0.43,0.5,34.3,81.2,14.31,66.83,1.77,96.0,29.13,87.59,5.1,44.44,21.73,43.39,0.14,0.35000000000000003,0.0,0.0,0.0,0.0,0.21,3.54,50.0,0.5700000000000001,25.0,0.28,25.0,0.28,0.07,6.73,55.79,93.17,14.53,0,,0,,0,0.0,0.0,0.0,,,1.2,,4.32,0.07,0.07,100.0,0.0,0,0
Pedro Andrade,Pedro Andrade Drozina,-344249,Paide,Paide,https://cdn5.wyscout.com/photos/team/public/3627_120x120.png,A.LeCoq Premium Liiga,"LCB, RCB",LCB,76,RCB,22,,0,21,2005-04-20,0,2026-12-31,13,1247,0,0.34,0,0.07,11.11,72.73,Brazil,['Brazil'],unknown,184,70,False,8.59,5.77,78.75,3.03,83.33,0.07,0.11,0.58,3.9699999999999998,5.85,0.65,2,0.14,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,4,0.29,50.0,0.0,0.0,0.29,25.0,0.14,0.0,0.14,50.0,0.07,0.43,16.67,1.3,22.22,0.36,0.72,0.07,33.63,0.29,0.36,49.01,89.1,17.97,79.12,2.81,94.87,43.81,93.25,4.91,55.88,19.95,37.01,0.0,0.29,0.0,0.07,0.0,0.0,0.0,4.76,74.24,0.65,22.22,0.22,33.33,0.07,0.07,7.43,71.84,95.56,24.39,0,,0,,0,0.0,0.0,0.0,,,1.8,,3.03,0.14,0.14,0.0,0.0,0,0
K. Nõmm,Karl-Romet Nõmm,286998,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,GK,GK,100,,0,,0,28,1998-01-04,0,2026-12-31,13,1246,0,0.0,0,0.55,1.23,70.59,Estonia,['Estonia'],right,199,89,False,2.09,0.07,100.0,0.36,60.0,0.0,0.0,0.0,2.02,2.22,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,0.0,0.0,0.0,9.75,0.07,0.43,18.92,81.3,10.33,68.53,0.0,0.0,12.06,95.21,6.79,57.45,35.27,52.65,0.04,0.14,0.0,0.0,0.0,0.0,0.0,2.96,56.1,0.22,33.33,0.43,50.0,0.07,0.0,5.2,76.39,96.49,8.23,23,1.6600000000000001,81,5.85,0,71.6,24.71,1.79,1.71,0.124,0.0,2.31,0.36,,,,0.0,0,0
A. Frolov,Andre Frolov,25979,Nõmme United,Nõmme United,https://cdn5.wyscout.com/photos/team/public/g7395_120x120.png,A.LeCoq Premium Liiga,"LCMF, RCMF, DMF",LCMF,58,RCMF,26,DMF,15,38,1988-04-18,50000,2026-12-31,13,1246,4,4.62,2,1.74,14.74,52.45,Estonia,['Estonia'],both,175,76,False,8.6,5.71,59.49,1.3,55.56,0.29,0.38,0.72,4.91,6.54,1.23,3,0.22,0,0.0,1.73,0.29,0,0.0,0.33,0,0.0,20,1.44,30.0,20.0,0.14,1.9500000000000002,44.44,0.87,66.67,1.08,26.67,0.43,0.79,54.55,6.07,44.05,1.81,0.9400000000000001,0.22,29.83,0.58,1.81,45.14,80.16,17.26,68.62,6.57,93.41,37.7,86.59,5.63,48.72,18.71,34.79,0.13,1.01,0.14,0.0,0.0,0.0,0.29,9.1,75.4,2.6,47.22,0.36,40.0,0.51,0.87,7.73,75.7,86.41,13.29,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.3,0.9400000000000001,0.0,0.0,2.24,5,80
M. Lukka,Marco Lukka,288249,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,LCB,LCB,100,,0,,0,29,1996-12-04,150000,2027-12-31,13,1246,0,0.55,0,0.42,12.35,63.16,Estonia,['Estonia'],right,187,73,False,10.62,6.72,79.57,3.11,41.86,0.0,0.0,1.08,5.27,5.78,0.72,3,0.22,0,0.0,0.43,0.0,0,0.0,0.04,0,0.0,5,0.36,40.0,0.0,0.0,0.72,30.0,0.22,33.33,0.51,28.57,0.14,0.07,100.0,0.9400000000000001,46.15,1.16,0.29,0.0,20.01,0.22,0.43,36.48,79.21,16.76,68.53,2.6,91.67,28.17,88.72,7.58,48.57,23.92,39.87,0.03,0.14,0.0,0.0,0.0,0.0,0.07,5.27,64.38,0.72,40.0,0.07,0.0,0.07,0.22,8.38,62.93,92.47,13.43,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,3.11,0.0,0.0,0.0,0.0,0,0
D. Andreas,Deivid Andreas,-98235,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,LDMF,LDMF,96,,0,,0,23,2002-06-01,0,,13,1243,0,0.88,1,1.6600000000000001,15.49,49.53,Estonia,['Estonia'],,0,0,True,9.2,7.82,59.26,1.88,38.46,0.51,0.56,0.36,4.05,4.44,0.9400000000000001,1,0.07,0,0.0,1.74,0.0,0,0.0,0.06,0,0.0,27,1.9500000000000002,22.22,0.0,0.07,1.88,30.77,1.09,46.67,0.72,10.0,0.14,0.9400000000000001,76.92,3.84,35.85,0.58,1.16,0.07,14.63,0.29,0.29,28.96,68.75,12.82,62.15,3.62,90.0,21.43,77.03,5.65,50.0,20.26,34.83,0.12,1.09,0.0,0.0,0.0,0.0,0.07,5.43,69.33,2.68,37.84,0.36,20.0,0.51,0.65,7.82,62.04,69.83,8.4,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.88,2.24,0.22,33.33,4.49,0,0
I. Kartau,Imre Kartau,-387790,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"RCMF, LCMF, DMF",RCMF,38,LCMF,25,DMF,14,20,2006-02-17,0,,13,1226,0,0.06,0,0.30000000000000004,10.13,62.32,Estonia,['Estonia'],,0,0,False,7.12,4.85,71.21,1.17,50.0,0.15,0.18,0.37,3.52,4.43,0.66,1,0.07,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,2,0.15,0.0,0.0,0.0,1.25,29.41,0.29,0.0,0.81,27.27,0.15,0.22,33.33,2.2800000000000002,51.61,0.51,0.37,0.07,19.31,0.29,1.54,31.49,73.19,11.38,54.84,5.07,95.65,25.25,82.27,5.07,39.13,20.58,37.57,0.02,0.29,0.0,0.0,0.07,0.0,0.07,5.51,50.67,1.76,20.83,0.73,0.0,0.29,0.29,5.73,52.56,77.27,9.69,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.17,0.07,0.0,0.0,0.22,0,0
R. Siht,Rommi Siht,-347417,Nõmme Kalju,Nõmme Kalju,https://cdn5.wyscout.com/photos/team/public/2924_120x120.png,A.LeCoq Premium Liiga,"RCMF3, LCMF3, RW",RCMF3,29,LCMF3,20,RW,12,19,2006-06-30,0,2028-12-31,13,1220,1,2.45,4,2.52,15.86,54.42,Estonia,['Estonia'],unknown,0,0,False,7.67,5.61,69.74,3.47,59.57,0.0,0.0,0.15,3.76,5.29,0.81,1,0.07,0,0.0,1.99,0.07,1,0.07,0.18,1,0.07,14,1.03,57.14,7.143,0.30000000000000004,2.07,28.57,0.15,0.0,1.8399999999999999,32.0,0.44,1.62,50.0,4.87,40.91,3.02,0.66,0.0,19.77,1.33,1.03,28.92,79.59,8.93,66.94,7.08,97.92,23.98,87.38,2.95,52.5,18.71,36.32,0.19,1.33,0.07,0.07,0.07,0.0,0.96,4.06,65.45,2.43,66.67,0.22,66.67,1.77,0.59,4.94,82.09,81.13,7.82,0,,0,,0,0.0,0.0,0.0,,,0.81,,3.47,0.07,0.0,0.0,0.15,0,0
D. Rudenko,Daniil Rudenko,-127838,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"RWB, RW, RAMF",RWB,28,RW,15,RAMF,12,22,2003-08-09,0,2026-12-31,13,1219,1,2.92,4,4.18,21.63,51.54,Ukraine,['Ukraine'],,0,0,False,10.78,7.68,69.23,4.06,41.82,0.07,0.09,0.59,5.39,6.87,0.66,3,0.22,0,0.0,3.84,0.07,1,0.07,0.22,0,0.0,34,2.51,26.47,2.941,0.30000000000000004,3.91,22.64,0.89,41.67,2.88,17.95,0.66,5.09,44.93,8.79,43.7,3.77,2.14,0.22,20.45,1.48,1.55,27.83,66.31,9.67,58.78,6.13,84.34,21.78,75.93,2.36,46.88,19.7,40.43,0.31,1.48,0.0,0.07,0.0,0.0,0.44,3.32,57.78,2.44,42.42,0.15,50.0,0.74,0.81,6.05,56.1,65.26,7.01,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,4.06,3.03,0.37,20.0,2.88,0,0
Z. Beglarishvili,Zakaria Beglarishvili,92465,Nõmme United,Nõmme United,https://cdn5.wyscout.com/photos/team/public/g7395_120x120.png,A.LeCoq Premium Liiga,"AMF, CF",AMF,70,CF,10,,0,36,1990-04-30,75000,2026-12-31,13,1218,4,1.5,5,0.97,12.78,41.62,Georgia,['Georgia'],left,171,58,False,2.81,2.81,57.89,0.37,60.0,0.0,0.0,0.0,1.18,1.57,0.22,0,0.0,0,0.0,2.96,0.30000000000000004,4,0.30000000000000004,0.11,0,0.0,24,1.77,41.67,16.667,0.37,1.33,33.33,0.59,37.5,0.67,33.33,0.22,2.73,62.16,8.57,36.21,1.48,1.48,0.07,22.17,0.74,0.96,29.56,73.25,13.82,66.31,3.84,92.31,25.34,77.84,2.88,51.28,18.11,34.68,0.07,0.96,0.0,0.15,0.30000000000000004,25.0,0.59,6.43,75.86,4.95,44.78,0.89,41.67,1.77,0.52,7.39,86.0,81.91,6.95,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,0.37,1.33,0.22,0.0,2.88,0,0
