Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Adebanjo,Jacob Olorunwa Adebanjo,397326,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,LCB,LCB,98,,0,,0,32.0,1993-09-05,100000,,18,1738,3,3.32,1,0.5,11.86,60.26,Nigeria,['Nigeria'],right,184,78,False,8.86,4.87,68.09,3.62,64.29,0.1,0.12,0.78,5.44,6.47,0.98,7,0.36,0,0.0,0.67,0.16,3,0.16,0.17,2,0.1,18,0.93,50.0,16.667,0.05,0.16,33.33,0.16,33.33,0.0,0.0,0.0,0.26,60.0,1.45,42.86,1.04,0.88,0.0,37.18,0.31,0.36,51.63,83.85,26.67,73.01,1.5,93.1,41.79,91.57,9.68,51.34,22.92,38.18,0.03,0.05,0.0,0.0,0.0,0.0,0.05,8.13,64.33,0.78,13.33,0.67,23.08,0.16,0.05,12.27,74.68,97.0,20.71,0,,0,,0,0.0,0.0,0.0,,,0.98,,3.62,0.05,0.05,100.0,0.0,0,0
D. Kepot,Daniel  Kepot,-335011,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"RB, RCB",RB,69,RCB,22,,0,24.0,2000-12-21,0,2025-12-31,18,1648,0,1.09,1,1.13,10.81,59.09,Finland,['Finland'],unknown,0,0,False,9.94,5.24,68.75,1.09,70.0,0.11,0.13,0.33,6.23,7.39,0.05,2,0.11,0,0.0,0.44,0.0,0,0.0,0.06,0,0.0,10,0.55,20.0,0.0,0.05,1.09,15.0,0.0,0.0,1.09,15.0,0.22,0.38,42.86,2.68,40.82,1.2,1.04,0.33,24.63,1.37,0.71,37.96,78.85,16.93,70.0,4.97,92.31,32.38,85.67,4.48,45.12,18.85,32.52,0.06,0.49,0.05,0.0,0.05,0.0,0.22,4.21,66.23,1.42,30.77,0.33,0.0,0.38,0.16,7.86,55.56,88.0,10.92,0,,0,,0,0.0,0.0,0.0,,,1.75,,1.09,0.0,0.0,0.0,0.0,0,0
W. Wegye,Wegye Wegye,-256843,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,CF,CF,100,,0,,0,25.0,2000-09-18,0,,19,1494,13,6.99,0,0.77,24.04,30.33,Finland,['Finland'],unknown,0,0,False,3.31,3.8,57.14,6.51,30.56,0.06,0.07,0.12,1.08,1.29,0.96,2,0.12,0,0.0,2.23,0.78,13,0.78,0.42,1,0.06,26,1.57,76.92,50.0,0.0,0.24,75.0,0.06,0.0,0.12,100.0,0.06,1.57,50.0,9.64,21.25,3.07,0.54,0.12,7.17,1.3900000000000001,0.78,13.31,74.21,2.17,58.33,4.16,84.06,13.07,74.19,0.0,0.0,12.15,0.0,0.05,0.66,0.0,0.06,0.12,50.0,0.18,0.96,37.5,0.30000000000000004,80.0,0.12,50.0,0.54,0.18,0.9,80.0,73.91,2.77,0,,0,,0,0.0,0.0,0.0,,,0.06,,6.51,0.0,0.0,0.0,0.06,0,0
M. Raniowski,Maciej Raniowski,426227,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,GK,GK,100,,0,,0,29.0,1996-04-02,0,2026-12-31,15,1455,0,0.0,1,0.44,0.62,80.0,Poland,['Poland'],,0,0,False,2.66,0.0,0.0,0.49,75.0,0.0,0.0,0.0,2.66,3.11,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.19,0.19,28.7,79.53,16.14,67.43,0.0,0.0,17.32,95.71,11.32,55.19,34.7,51.34,0.03,0.12,0.0,0.0,0.0,0.0,0.06,4.7,43.42,0.19,33.33,0.74,33.33,0.0,0.0,7.73,72.8,95.05,11.26,25,1.55,71,4.39,4,64.79,22.46,1.3900000000000001,-2.54,-0.157,0.0,2.41,0.49,,,,0.0,0,0
S. Atakayi,Serge Atakayi,347957,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"LW, RW, LWF",LW,23,RW,19,LWF,16,26.0,1999-01-30,10000,,17,1361,2,3.81,4,4.14,17.85,48.15,Congo DR,"['Congo DR', 'Finland']",right,171,65,False,4.43,3.17,75.0,0.46,28.57,0.0,0.0,0.0,2.05,2.5300000000000002,0.2,1,0.07,1,0.07,5.55,0.13,2,0.13,0.25,0,0.0,34,2.25,29.41,5.882,0.26,3.44,36.54,1.79,37.04,1.5899999999999999,33.33,0.6000000000000001,6.61,54.0,12.3,43.55,3.64,2.65,0.99,19.64,1.98,1.72,28.04,75.47,6.75,60.78,6.55,95.96,22.75,82.56,1.98,60.0,18.61,24.23,0.27,2.25,0.07,0.07,0.26,25.0,0.6000000000000001,3.37,56.86,4.03,54.1,0.4,33.33,1.79,1.06,4.43,83.58,73.55,10.25,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.46,1.32,0.0,0.0,1.92,1,0
L. Nuorela,Luka Nuorela,-674187,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"DMF, RDMF",DMF,60,RDMF,15,,0,20.0,2005-04-27,0,,16,1288,0,0.06,0,0.06,12.72,54.4,Finland,['Finland'],,0,0,True,10.69,7.34,66.67,1.6800000000000002,29.17,0.63,0.76,0.63,5.17,6.27,1.26,5,0.35000000000000003,1,0.07,0.35000000000000003,0.0,0,0.0,0.0,0,0.0,2,0.14,0.0,0.0,0.0,0.49,28.57,0.07,100.0,0.42,16.67,0.07,0.56,37.5,1.8900000000000001,37.04,0.14,0.35000000000000003,0.07,23.69,0.28,0.42,38.29,81.93,11.74,64.29,6.71,93.75,33.19,86.11,4.68,56.72,19.49,30.71,0.0,0.14,0.0,0.0,0.07,0.0,0.07,7.34,71.43,0.84,41.67,0.35000000000000003,60.0,0.28,0.14,6.78,67.01,91.74,15.23,0,,0,,0,0.0,0.0,0.0,,,1.05,,1.6800000000000002,0.0,0.0,0.0,0.0,0,0
F. Friberg,Felix Friberg,-286905,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,LB,LB,97,,0,,0,20.0,2005-02-18,0,2025-12-31,12,1114,0,0.37,0,1.99,16.89,61.24,Finland,['Finland'],left,177,70,False,10.5,9.69,72.5,0.65,50.0,0.48,0.58,0.0,2.99,3.56,1.13,8,0.65,0,0.0,3.15,0.0,0,0.0,0.03,0,0.0,12,0.97,33.33,0.0,0.0,4.36,37.04,4.2,36.54,0.16,50.0,0.5700000000000001,1.7000000000000002,71.43,4.36,42.59,0.73,1.29,0.08,29.25,1.37,0.5700000000000001,39.02,75.78,15.43,66.49,7.19,95.51,28.44,88.92,6.54,43.21,21.15,40.53,0.16,0.97,0.0,0.08,0.08,0.0,0.48,6.38,65.82,4.69,46.55,0.65,12.5,0.73,1.45,9.61,68.07,71.11,10.91,0,,0,,0,0.0,0.0,0.0,,,0.32,,0.65,0.89,0.16,50.0,1.8599999999999999,0,0
J. Adarkwa,Justice Adarkwa,-569976,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"RCMF, LCMF, RCMF3",RCMF,23,LCMF,18,RCMF3,17,20.0,2005-08-11,0,,18,1073,0,0.27,1,0.6000000000000001,20.8,45.16,Ghana,['Ghana'],unknown,0,0,False,8.56,7.72,64.13,1.51,22.22,0.75,0.88,0.0,2.85,3.32,1.34,4,0.34,1,0.08,1.43,0.0,0,0.0,0.02,0,0.0,6,0.5,16.67,0.0,0.08,0.42,20.0,0.17,50.0,0.25,0.0,0.08,2.01,54.17,9.39,31.25,0.34,1.34,0.25,30.03,0.84,1.17,45.96,85.4,10.9,73.85,12.33,97.96,43.53,87.09,2.01,62.5,18.12,25.6,0.05,0.75,0.0,0.08,0.34,50.0,0.5,5.7,72.06,1.43,58.82,0.34,50.0,0.84,0.08,5.03,73.33,86.77,15.85,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.51,0.0,0.0,0.0,0.0,0,0
Ricardo Cardoso,Ricardo Gué Rosa Cardoso,-161254,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"RW, LW, RWF",RW,35,LW,20,RWF,19,24.0,2001-09-23,0,,14,1053,9,5.76,1,1.15,23.16,43.54,Portugal,['Portugal'],,164,54,False,4.7,4.27,64.0,2.8200000000000003,30.3,0.0,0.0,0.17,1.97,2.37,0.68,3,0.26,0,0.0,6.32,0.77,8,0.68,0.49,2,0.17,48,4.1,56.25,18.75,0.09,1.97,17.39,0.6000000000000001,0.0,1.2,21.43,0.34,5.98,60.0,13.42,42.04,5.5600000000000005,2.91,0.17,18.38,2.91,1.03,25.98,70.72,6.84,55.0,5.9,91.3,21.71,77.17,2.31,55.56,19.04,28.56,0.1,1.28,0.09,0.0,0.34,25.0,0.43,3.59,61.9,2.91,52.94,0.9400000000000001,27.27,1.88,0.34,4.02,72.34,72.62,7.18,0,,0,,0,0.0,0.0,0.0,,,0.09,,2.8200000000000003,0.09,0.09,0.0,0.09,1,100
Agostinho Chipesse,Agostinho Lomunda Chipesse,-700004,KPV,KPV,https://cdn5.wyscout.com/photos/team/public/g879_120x120.png,Ykkönen,"LW, LAMF, LWF",LW,40,LAMF,18,LWF,14,21.0,2004-01-15,0,,10,843,3,3.11,0,0.29,27.44,43.19,Angola,['Angola'],unknown,0,0,False,6.94,5.98,60.71,2.67,20.0,0.11,0.12,0.0,3.2,3.64,1.3900000000000001,1,0.11,0,0.0,4.06,0.32,3,0.32,0.33,0,0.0,22,2.35,40.91,13.636,0.0,0.75,14.29,0.43,25.0,0.32,0.0,0.11,4.38,68.29,14.73,44.2,2.88,3.95,0.43,18.15,1.6,2.24,26.16,84.08,4.27,72.5,7.9,94.59,24.56,87.83,0.85,37.5,15.35,26.4,0.03,0.85,0.11,0.0,0.0,0.0,0.11,1.17,72.73,1.07,40.0,0.11,0.0,0.64,0.11,2.03,52.63,80.77,8.33,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.67,0.0,0.0,0.0,0.0,0,0
