Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Gianniotis,Andreas Gianniotis,219921,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,GK,GK,100,,0,,0,33.0,1992-12-18,500000,2027-06-30,25,2502,0,0.0,0,0.06,0.29,75.0,Greece,['Greece'],right,190,80,False,1.37,0.14,50.0,0.14,100.0,0.0,0.0,0.0,1.29,1.65,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,15.9,0.11,0.07,23.53,85.93,12.05,75.52,0.0,0.0,14.21,97.97,9.32,67.57,32.73,48.96,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.59,58.33,0.14,50.0,0.25,42.86,0.11,0.0,6.69,78.49,96.98,10.72,36,1.29,106,3.81,5,66.04,33.69,1.21,-2.31,-0.083,0.0,0.65,0.14,,,,0.0,0,0.0
I. Grbić,Ivo Grbić,273290,Fatih Karagümrük,Fatih Karagümrük,https://cdn5.wyscout.com/photos/team/public/g3014_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1996-01-18,3500000,2027-06-30,25,2471,0,0.0,0,0.0,0.84,95.65,Croatia,['Croatia'],right,195,83,True,2.15,0.25,100.0,0.51,92.86,0.0,0.0,0.0,1.8900000000000001,2.4,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,15.3,0.07,0.11,24.44,91.06,12.38,83.82,0.11,100.0,19.05,97.71,5.39,67.57,26.06,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,50.0,0.04,0.0,0.15,0.0,0.0,0.0,4.12,72.57,98.99,10.82,46,1.6800000000000002,145,5.28,3,68.28,41.2,1.5,-4.8,-0.17500000000000002,0.0,1.49,0.51,,,,0.0,0,0.0
M. Lis,Mateusz Lis,408090,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,GK,GK,100,,0,,0,29.0,1997-02-27,1600000,2027-06-30,25,2470,0,0.0,0,0.0,0.9500000000000001,80.77,Poland,['Poland'],right,192,83,False,1.6,0.07,50.0,0.77,80.95,0.0,0.0,0.0,1.57,1.98,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.04,0.04,0.0,8.64,0.26,0.29,14.36,72.34,12.72,70.49,0.04,100.0,3.1,92.94,11.08,67.76,46.88,53.15,0.0,0.04,0.0,0.04,0.0,0.0,0.0,7.72,66.51,0.51,28.57,0.36,30.0,0.15,0.0,8.27,86.78,91.89,1.35,18,0.66,89,3.24,14,79.78,23.24,0.85,5.24,0.191,0.0,1.6,0.77,,,,0.0,0,0.0
D. Goutas,Dimitrios Goutas,262361,Gençlerbirliği,Gençlerbirliği,https://cdn5.wyscout.com/photos/team/public/825_120x120.png,Süper Lig,"RCB, LCB",RCB,78,LCB,12,,0,31.0,1994-04-04,2800000,2027-06-30,25,2392,2,2.6,0,0.0,8.99,66.95,Greece,['Greece'],right,189,81,False,8.01,3.05,67.9,3.91,69.23,0.11,0.14,0.8300000000000001,5.83,7.08,0.45,3,0.11,0,0.0,0.19,0.08,2,0.08,0.1,1,0.04,11,0.41000000000000003,27.27,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.6000000000000001,68.75,0.49,0.11,0.0,21.75,0.34,0.41000000000000003,34.88,85.33,14.97,76.38,2.45,98.46,29.01,91.83,5.87,53.21,23.29,41.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,56.25,0.26,42.86,0.34,11.11,0.11,0.0,7.07,67.02,92.87,15.31,0,,0,,0,0.0,0.0,0.0,,,1.81,,3.91,0.0,0.0,0.0,0.0,0,0.0
E. Shomurodov,Eldor Shomurodov,334731,İstanbul Başakşehir,İstanbul Başakşehir,https://cdn5.wyscout.com/photos/team/public/826_120x120.png,Süper Lig,"CF, AMF",CF,56,AMF,34,,0,30.0,1995-06-29,5000000,2027-06-30,25,2380,16,12.43,3,1.19,14.14,36.1,Uzbekistan,['Uzbekistan'],right,190,76,True,2.34,2.12,69.64,3.06,27.16,0.0,0.0,0.11,0.87,1.32,0.53,0,0.0,0,0.0,2.27,0.61,14,0.53,0.47000000000000003,2,0.08,71,2.68,49.3,22.535,0.11,0.8300000000000001,31.82,0.53,42.86,0.30000000000000004,12.5,0.15,1.5899999999999999,42.86,6.43,28.82,3.52,1.74,0.8300000000000001,16.75,1.63,0.5700000000000001,21.97,78.83,5.79,72.55,3.59,91.58,20.46,81.7,0.76,55.0,16.64,20.71,0.04,0.61,0.08,0.0,0.11,0.0,0.34,2.68,74.65,1.32,51.43,0.19,20.0,0.98,0.19,2.5,78.79,80.65,8.21,0,,0,,0,0.0,0.0,0.0,,,0.23,,3.06,0.0,0.0,0.0,0.0,2,100.0
M. Şengezer,Muhammed Şengezer,428933,İstanbul Başakşehir,İstanbul Başakşehir,https://cdn5.wyscout.com/photos/team/public/826_120x120.png,Süper Lig,GK,GK,100,,0,,0,29.0,1997-01-05,1700000,2028-06-30,24,2378,0,0.0,1,0.38,0.68,77.78,Türkiye,['Türkiye'],right,192,78,False,1.3599999999999999,0.04,0.0,0.42,90.91,0.0,0.0,0.0,1.3599999999999999,2.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,20.7,0.38,0.23,29.07,87.24,15.78,78.9,0.0,0.0,19.49,97.86,9.5,66.14,31.13,48.97,0.01,0.04,0.0,0.04,0.0,0.0,0.08,3.71,52.04,0.30000000000000004,12.5,0.42,45.45,0.08,0.0,6.85,81.22,97.54,12.3,27,1.02,108,4.09,7,75.0,31.47,1.19,4.47,0.169,0.0,1.25,0.42,,,,0.0,0,0.0
R. van Drongelen,Rick van Drongelen,399765,Samsunspor,Samsunspor,https://cdn5.wyscout.com/photos/team/public/1343_120x120.png,Süper Lig,"LCB, LCB3",LCB,81,LCB3,12,,0,27.0,1998-12-20,1400000,2028-06-30,24,2376,2,1.52,0,0.08,13.94,62.5,Netherlands,['Netherlands'],left,188,81,False,9.39,6.21,70.12,4.8100000000000005,56.69,0.04,0.05,0.5700000000000001,5.0,7.02,1.33,3,0.11,0,0.0,0.27,0.08,2,0.08,0.06,0,0.0,12,0.45,33.33,16.667,0.0,0.27,14.29,0.27,14.29,0.0,0.0,0.08,0.08,50.0,0.98,46.15,0.64,1.63,0.11,38.45,0.19,0.34,53.94,87.92,25.64,81.24,2.61,97.1,47.08,91.95,6.67,61.93,23.23,42.91,0.0,0.15,0.0,0.0,0.04,100.0,0.04,8.37,76.47,0.9500000000000001,48.0,0.49,53.85,0.5700000000000001,0.0,12.77,78.34,95.45,21.67,0,,0,,0,0.0,0.0,0.0,,,1.44,,4.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
A. Cherni,Mohamed Amin Cherni,-241756,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,"LWB, LB5",LWB,70,LB5,22,,0,24.0,2001-07-07,0,2028-06-30,25,2375,0,0.27,3,2.64,14.67,48.06,France,"['France', 'Tunisia']",left,183,77,False,6.78,5.87,55.48,2.58,52.94,0.04,0.05,0.04,3.49,4.36,1.48,1,0.04,0,0.0,3.56,0.0,0,0.0,0.01,0,0.0,12,0.45,16.67,0.0,0.11,5.12,39.26,5.12,39.26,0.0,0.0,0.64,3.15,46.99,5.19,39.42,0.64,1.3599999999999999,0.30000000000000004,16.94,1.44,0.49,26.22,65.61,9.66,55.69,6.1,91.93,16.37,78.7,4.96,48.09,22.84,36.19,0.1,1.02,0.0,0.0,0.0,0.0,0.30000000000000004,4.28,58.41,4.8100000000000005,40.94,0.45,25.0,0.38,2.01,7.16,75.66,57.29,7.28,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.58,0.04,0.0,0.0,1.06,0,0.0
O. Koçuk,Okan Koçuk,214799,Samsunspor,Samsunspor,https://cdn5.wyscout.com/photos/team/public/1343_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1995-07-27,1000000,2028-06-30,24,2374,0,0.0,0,0.0,0.49,76.92,Türkiye,['Türkiye'],right,187,76,False,1.06,0.08,100.0,0.27,71.43,0.0,0.0,0.0,0.99,1.35,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,12.32,0.34,0.08,17.93,85.2,8.8,74.14,0.04,100.0,12.06,96.23,5.88,62.58,30.2,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,36.84,0.08,0.0,0.0,0.0,0.0,0.0,4.8100000000000005,67.72,95.91,8.34,27,1.02,84,3.18,8,67.86,23.18,0.88,-3.8200000000000003,-0.145,0.0,0.99,0.27,,,,0.0,0,0.0
K. Paal,Kenneth Paal,275116,Antalyaspor,Antalyaspor,https://cdn5.wyscout.com/photos/team/public/1189_120x120.png,Süper Lig,LB,LB,79,,0,,0,28.0,1997-06-24,2800000,2028-06-30,25,2370,0,0.18,0,0.35000000000000003,12.08,50.63,Netherlands,"['Netherlands', 'Suriname']",left,174,70,False,6.61,6.08,55.63,2.05,48.15,0.49,0.62,0.23,2.73,3.46,1.03,3,0.11,0,0.0,0.84,0.0,0,0.0,0.01,0,0.0,8,0.30000000000000004,12.5,0.0,0.0,0.91,45.83,0.91,45.83,0.0,0.0,0.15,0.87,43.48,3.0,44.3,0.23,0.42,0.11,21.57,1.44,1.06,29.81,85.1,10.67,72.6,6.27,98.79,26.32,91.49,2.73,34.72,18.59,37.84,0.01,0.27,0.04,0.04,0.0,0.0,0.11,3.7199999999999998,68.37,1.1400000000000001,50.0,0.15,0.0,0.23,0.42,4.44,64.1,89.62,8.05,0,,0,,0,0.0,0.0,0.0,,,0.65,,2.05,0.19,0.04,0.0,0.04,0,0.0
