Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Bouzanis,Dean Bouzanis,97595,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/2336_120x120.png,A-League,GK,GK,100,,0,,0,35.0,1990-10-02,125000,2026-06-30,20,2010,0,0.0,1,0.0,0.63,78.57,Australia,"['Australia', 'Greece']",right,189,84,False,2.01,0.04,0.0,0.4,88.89,0.04,0.06,0.0,1.97,2.59,0.04,4,0.18,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.13,66.67,0.0,0.04,0.0,23.73,0.13,0.09,32.28,77.53,18.04,62.53,0.04,100.0,15.9,96.9,16.16,59.56,37.58,51.7,0.0,0.0,0.0,0.04,0.0,0.0,0.04,7.93,48.02,0.99,13.64,0.85,31.58,0.13,0.0,10.61,75.53,96.95,13.21,25,1.12,71,3.18,6,64.79,20.44,0.92,-4.5600000000000005,-0.20400000000000001,0.04,1.6099999999999999,0.4,,,,0.0,0,0
Y. Salas,Youstin Delfin Salas Gómez,279658,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/2336_120x120.png,A-League,"RB, RB5, RWB",RB,64,RB5,20,RWB,13,29.0,1996-06-17,400000,2027-06-30,20,2010,0,0.07,0,1.02,16.79,57.6,Costa Rica,['Costa Rica'],right,173,67,False,11.82,8.06,69.44,2.73,45.9,1.57,2.06,0.04,4.66,6.12,0.67,3,0.13,0,0.0,1.6099999999999999,0.0,0,0.0,0.0,0,0.0,6,0.27,16.67,0.0,0.0,2.24,34.0,0.0,0.0,2.24,34.0,0.18,1.3,62.07,3.94,47.73,0.36,1.12,0.09,20.55,2.7800000000000002,1.43,32.1,68.34,13.7,56.21,5.06,93.81,25.52,77.19,4.34,34.02,19.48,33.16,0.05,0.76,0.0,0.04,0.04,0.0,0.13,5.15,52.17,2.8200000000000003,42.86,0.81,16.67,0.67,0.72,7.12,64.15,74.38,9.09,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.73,0.0,0.0,0.0,0.0,0,0
S. Wootton,Scott Wootton,157043,Perth Glory,Perth Glory,https://cdn5.wyscout.com/photos/team/public/2329_120x120.png,A-League,"LCB, CB",LCB,88,CB,10,,0,34.0,1991-09-12,300000,2027-06-30,20,1985,0,0.61,1,0.4,9.75,57.67,England,['England'],right,188,78,False,6.26,3.85,57.65,4.31,64.21,0.05,0.05,0.68,3.99,4.63,0.36,4,0.18,0,0.0,0.05,0.0,0,0.0,0.03,0,0.0,5,0.23,20.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.68,0.09,0.0,37.5,0.32,0.09,50.46,89.22,22.62,80.96,1.9,88.1,43.16,94.54,7.25,58.13,21.2,42.02,0.02,0.18,0.0,0.05,0.0,0.0,0.14,6.76,65.1,0.8200000000000001,38.89,0.73,31.25,0.32,0.0,9.07,80.5,96.91,21.99,0,,0,,0,0.0,0.0,0.0,,,1.27,,4.31,0.0,0.0,0.0,0.0,0,0
M. Sutton,Matthew Sutton,522644,Perth Glory,Perth Glory,https://cdn5.wyscout.com/photos/team/public/2329_120x120.png,A-League,GK,GK,100,,0,,0,26.0,2000-03-07,200000,2028-06-30,20,1985,0,0.0,0,0.0,0.68,80.0,Australia,['Australia'],right,194,73,False,1.63,0.14,66.67,0.36,87.5,0.05,0.05,0.0,1.5,1.74,0.05,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,17.0,0.09,0.05,22.53,87.32,8.61,72.63,0.0,0.0,16.55,97.81,5.89,59.23,26.53,46.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,31.43,0.09,0.0,0.09,0.0,0.0,0.0,3.31,63.01,97.09,12.47,32,1.45,100,4.53,3,68.0,27.4,1.24,-4.6,-0.209,0.0,0.9500000000000001,0.36,,,,0.0,0,0
F. De Vries,Francis De Vries,217899,Auckland FC,Auckland FC,https://cdn5.wyscout.com/photos/team/public/g-21927_120x120.png,A-League,"LB, LWB",LB,79,LWB,11,,0,31.0,1994-11-28,375000,2029-06-30,20,1969,1,2.3,4,5.19,13.85,53.8,New Zealand,"['New Zealand', 'Switzerland']",left,188,80,False,7.31,5.67,62.9,2.61,70.18,0.05,0.07,0.37,3.7,5.41,0.96,2,0.09,0,0.0,2.83,0.05,1,0.05,0.1,0,0.0,13,0.59,23.08,7.692,0.18,3.7,48.15,3.52,45.45,0.18,100.0,0.64,1.42,61.29,3.34,42.47,0.87,1.42,0.23,29.8,1.74,0.14,43.1,72.43,20.48,64.73,6.76,93.92,32.36,82.06,7.18,40.13,20.23,39.44,0.24,1.78,0.18,0.18,0.05,100.0,0.6900000000000001,8.0,52.57,4.39,56.25,0.41000000000000003,44.44,0.78,1.92,11.06,70.25,70.28,9.69,0,,0,,0,0.0,0.0,0.0,,,0.23,,2.61,1.6,0.09,0.0,1.97,1,0
J. Smits,Joshua Smits,149369,Adelaide United,Adelaide United,https://cdn5.wyscout.com/photos/team/public/2330_120x120.png,A-League,GK,GK,100,,0,,0,33.0,1992-11-06,450000,2027-06-30,20,1966,0,0.0,0,0.0,0.67,92.86,Netherlands,['Netherlands'],right,190,77,False,1.54,0.05,0.0,0.48,100.0,0.0,0.0,0.0,1.54,2.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,21.41,0.24,0.14,31.31,81.26,18.81,69.31,0.0,0.0,19.72,99.27,11.5,51.05,30.54,50.12,0.0,0.0,0.05,0.05,0.0,0.0,0.0,3.32,37.68,0.29,0.0,0.53,45.45,0.05,0.0,7.46,67.1,99.55,10.63,28,1.35,110,5.29,3,74.55,33.62,1.62,5.62,0.27,0.0,1.3,0.48,,,,0.0,0,0
R. Grant,Rhyan Grant,69302,Sydney,Sydney,https://cdn5.wyscout.com/photos/team/public/2328_120x120.png,A-League,RB,RB,94,,0,,0,35.0,1991-02-26,500000,2027-06-30,20,1965,0,2.06,1,2.21,13.26,45.62,Australia,['Australia'],right,176,79,False,7.84,5.5600000000000005,57.39,2.71,39.29,0.24,0.33,0.29,4.4,6.08,0.58,4,0.18,0,0.0,0.68,0.0,0,0.0,0.1,0,0.0,13,0.63,7.69,0.0,0.05,0.92,57.89,0.05,0.0,0.87,61.11,0.19,0.34,28.57,2.32,27.08,1.8900000000000001,0.53,0.24,29.61,0.92,0.48,40.84,87.32,15.97,80.3,5.66,96.58,37.94,90.18,1.98,46.34,15.84,28.9,0.11,0.58,0.05,0.0,0.0,0.0,0.34,4.55,73.4,1.26,61.54,0.39,37.5,0.63,0.53,6.68,68.84,88.21,11.08,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.71,0.0,0.0,0.0,0.0,0,0
H. Devenish-Meares,Harrison Devenish-Meares,-195063,Sydney,Sydney,https://cdn5.wyscout.com/photos/team/public/2328_120x120.png,A-League,GK,GK,100,,0,,0,29.0,1996-10-27,25000,2027-06-30,20,1965,0,0.0,0,0.0,0.97,90.0,Australia,['Australia'],right,190,0,False,1.5,0.0,0.0,0.63,100.0,0.0,0.0,0.0,1.5,2.07,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,16.94,0.15,0.34,24.73,85.13,10.06,69.71,0.0,0.0,17.9,98.38,6.73,51.08,27.39,47.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,38.46,0.29,0.0,0.19,25.0,0.0,0.0,4.55,59.57,96.54,12.58,18,0.87,99,4.79,8,81.82,23.79,1.15,5.79,0.28,0.0,2.23,0.63,,,,0.0,0,0
M. Woud,Michael Woud,393834,Auckland FC,Auckland FC,https://cdn5.wyscout.com/photos/team/public/g-21927_120x120.png,A-League,GK,GK,100,,0,,0,27.0,1999-01-16,200000,2027-06-30,20,1904,0,0.0,0,0.0,0.66,85.71,New Zealand,"['New Zealand', 'Netherlands']",left,196,89,False,1.56,0.09,100.0,0.28,83.33,0.0,0.0,0.0,1.47,2.14,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,6.24,0.05,0.09,11.25,79.83,6.71,68.31,0.0,0.0,6.48,97.81,4.73,56.0,34.04,51.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,46.15,0.24,20.0,0.28,50.0,0.05,0.0,3.36,69.01,96.55,4.11,20,0.9500000000000001,63,2.98,7,68.25,20.34,0.96,0.34,0.016,0.0,1.04,0.28,,,,0.0,0,0
A. Grant,Alex Grant,241495,Sydney,Sydney,https://cdn5.wyscout.com/photos/team/public/2328_120x120.png,A-League,LCB,LCB,94,,0,,0,32.0,1994-01-23,550000,2027-06-30,20,1894,1,1.82,0,0.03,12.22,56.79,England,"['England', 'Australia']",left,191,82,False,7.95,4.13,54.88,5.08,65.35,0.1,0.14,0.86,5.58,7.64,0.45,4,0.19,0,0.0,0.2,0.05,1,0.05,0.09,1,0.05,11,0.55,18.18,9.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,1.21,33.33,0.7000000000000001,0.7000000000000001,0.0,45.13,0.25,0.5,59.36,89.66,25.2,82.83,2.7199999999999998,96.3,54.23,93.41,5.13,50.0,19.89,41.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6.04,67.5,0.2,25.0,0.30000000000000004,0.0,0.05,0.0,9.61,69.11,96.2,26.46,0,,0,,0,0.0,0.0,0.0,,,2.16,,5.08,0.0,0.0,0.0,0.0,0,0
