Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Ćetković,Aleksa Ćetković,-157008,Arsenal Tivat,Arsenal Tivat,https://cdn5.wyscout.com/photos/team/public/g4166_120x120.png,First League,"LCMF, RCMF",LCMF,48,RCMF,13,,0,22.0,2004-02-13,50000,2026-06-30,22,2105,2,1.75,1,0.26,21.55,50.6,Montenegro,['Montenegro'],right,187,78,False,10.48,8.85,63.29,5.34,50.4,0.04,0.05,0.04,4.83,5.79,1.67,2,0.09,0,0.0,0.73,0.09,2,0.09,0.07,0,0.0,16,0.68,18.75,12.5,0.04,0.68,25.0,0.13,66.67,0.56,15.38,0.17,0.77,50.0,4.7,42.73,1.07,0.21,0.04,13.94,0.43,1.5,31.34,72.03,13.25,58.39,4.83,92.92,26.34,77.11,4.32,48.51,17.86,33.49,0.01,0.38,0.0,0.0,0.09,50.0,0.17,6.03,57.45,1.5,40.0,0.38,22.22,0.51,0.21,5.6,59.54,79.17,8.21,0,,0,,0,0.0,0.0,0.0,,,0.38,,5.34,0.0,0.0,0.0,0.0,0,0
J. Drešaj,Jonathan Drešaj,466665,Dečić,Dečić,https://cdn5.wyscout.com/photos/team/public/1992_120x120.png,First League,RB,RB,100,,0,,0,25.0,2000-03-15,500000,2027-06-30,22,2076,0,0.37,3,2.19,15.13,49.57,Montenegro,['Montenegro'],,0,0,False,8.54,7.46,62.79,1.9500000000000002,31.11,0.09,0.11,0.13,3.77,4.71,0.61,2,0.09,0,0.0,2.6,0.0,0,0.0,0.02,0,0.0,9,0.39,22.22,0.0,0.13,3.12,43.06,0.0,0.0,3.12,43.06,0.56,2.25,51.92,4.64,36.45,0.9500000000000001,1.56,0.13,20.55,1.34,0.52,31.69,77.02,10.79,67.47,5.77,93.23,24.67,85.06,3.99,53.26,19.31,33.06,0.1,0.74,0.09,0.09,0.04,0.0,0.56,3.29,61.84,3.03,52.86,0.22,40.0,0.65,1.3,7.46,66.28,79.25,10.45,0,,0,,0,0.0,0.0,0.0,,,1.26,,1.9500000000000002,0.0,0.0,0.0,0.04,0,0
A. Kaludjerović,Andrija Kaludjerović,110597,Mornar,Mornar,https://cdn5.wyscout.com/photos/team/public/1993_120x120.png,First League,"DMF, RDMF, LDMF",DMF,30,RDMF,29,LDMF,25,32.0,1993-10-29,300000,2027-06-01,21,2020,0,0.26,0,0.22,20.63,56.8,Montenegro,['Montenegro'],right,169,65,False,11.23,8.15,63.39,2.23,46.0,2.36,3.31,0.13,3.7,5.18,1.65,5,0.22,0,0.0,0.98,0.0,0,0.0,0.01,0,0.0,12,0.53,16.67,0.0,0.0,0.4,33.33,0.13,66.67,0.22,20.0,0.0,0.9400000000000001,71.43,7.0,53.5,0.04,0.62,0.0,27.09,0.09,1.56,46.78,86.1,14.93,74.33,6.77,94.74,41.93,88.31,4.5,69.31,17.55,38.37,0.01,0.27,0.04,0.0,0.09,100.0,0.13,7.89,76.84,0.85,57.89,0.22,60.0,0.31,0.18,7.49,70.83,92.39,16.4,0,,0,,0,0.0,0.0,0.0,,,0.58,,2.23,0.04,0.0,0.0,0.0,0,0
M. Kordić,Marko Kordić,214363,Petrovac,Petrovac,https://cdn5.wyscout.com/photos/team/public/1996_120x120.png,First League,GK,GK,100,,0,,0,31.0,1995-02-22,175000,2027-06-30,21,2016,1,0.76,0,0.0,0.49,100.0,Montenegro,"['Montenegro', 'Serbia']",right,190,80,False,1.43,0.09,100.0,0.31,100.0,0.0,0.0,0.0,1.34,1.85,0.0,2,0.09,0,0.0,0.04,0.04,0,0.0,0.03,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,18.44,0.85,0.13,29.24,86.72,14.87,76.58,0.0,0.0,17.86,99.0,11.38,67.45,33.31,50.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,51.61,0.58,15.38,0.4,33.33,0.0,0.0,7.68,83.72,97.36,13.53,22,0.98,79,3.5300000000000002,5,72.15,22.16,0.99,0.16,0.007,0.0,0.98,0.31,,,,0.0,1,100
N. Jovicić,Nemanja  Jovicić,-92085,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,LCB,LCB,99,,0,,0,25.0,2000-04-13,0,2026-06-30,21,1999,0,0.22,0,0.0,13.51,61.0,Serbia,['Serbia'],left,0,0,False,10.22,5.31,68.64,3.96,60.23,0.41000000000000003,0.53,0.63,6.17,8.01,1.31,2,0.09,0,0.0,0.23,0.0,0,0.0,0.01,0,0.0,4,0.18,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.27,83.33,1.4,51.61,0.18,0.77,0.05,32.96,0.14,0.36,50.92,85.41,24.85,74.09,2.9699999999999998,93.94,42.86,92.54,8.01,47.75,22.29,40.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.04,47.32,0.36,0.0,0.32,14.29,0.0,0.0,9.27,67.48,97.38,18.91,0,,0,,0,0.0,0.0,0.0,,,2.07,,3.96,0.0,0.0,0.0,0.0,0,0
A. Čepić,Arsenije Čepić,-324076,Jedinstvo,Jedinstvo,https://cdn5.wyscout.com/photos/team/public/g3219_120x120.png,First League,"DMF, LDMF",DMF,55,LDMF,26,,0,22.0,2003-11-12,0,,21,1979,0,1.0,0,0.34,20.1,57.24,Montenegro,['Montenegro'],,0,0,False,10.91,8.05,68.93,1.8599999999999999,56.1,0.27,0.34,0.45,5.09,6.41,1.05,3,0.14,0,0.0,1.5,0.0,0,0.0,0.05,0,0.0,17,0.77,41.18,0.0,0.0,0.18,25.0,0.05,0.0,0.14,33.33,0.0,1.46,78.13,7.82,50.0,0.36,0.96,0.05,25.24,0.23,1.18,46.57,86.62,15.64,75.29,6.14,97.04,41.88,90.12,4.55,57.0,17.62,38.25,0.02,0.41000000000000003,0.0,0.0,0.0,0.0,0.14,7.41,74.23,0.91,40.0,0.09,0.0,0.23,0.05,7.05,77.42,91.67,16.37,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.8599999999999999,0.0,0.0,0.0,0.0,0,0
V. Giljen,Vladan Giljen,82800,Sutjeska,Sutjeska,https://cdn5.wyscout.com/photos/team/public/1997_120x120.png,First League,GK,GK,100,,0,,0,36.0,1989-12-07,100000,2027-06-01,21,1968,0,0.0,0,0.0,0.32,100.0,Montenegro,['Montenegro'],right,189,91,False,1.78,0.0,0.0,0.14,100.0,0.0,0.0,0.0,1.78,2.45,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,13.67,0.14,0.09,21.72,78.95,13.49,68.81,0.0,0.0,11.71,96.88,10.02,57.99,34.84,49.15,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.33,35.29,0.14,0.0,0.05,0.0,0.05,0.0,7.18,71.97,95.86,7.73,22,1.01,80,3.66,8,72.5,20.13,0.92,-1.87,-0.08600000000000001,0.0,0.87,0.14,,,,0.0,0,0
M. Raičević,Milivoje Raičević,199726,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,"CF, AMF",CF,48,AMF,41,,0,32.0,1993-07-21,50000,,22,1964,6,4.47,2,1.9,21.68,44.61,Montenegro,['Montenegro'],both,186,77,False,7.01,5.41,57.63,5.41,44.07,0.46,0.59,0.09,3.44,4.43,1.33,1,0.05,0,0.0,2.02,0.27,6,0.27,0.21,2,0.09,39,1.79,46.15,15.385,0.09,0.37,0.0,0.14,0.0,0.14,0.0,0.0,2.75,40.0,8.66,39.68,2.02,1.7000000000000002,0.32,24.75,1.24,1.37,33.04,76.7,9.58,55.5,8.34,91.76,31.34,79.68,1.33,27.59,15.42,23.99,0.09,1.1,0.05,0.05,0.23,40.0,0.5,4.12,64.44,2.06,37.78,0.55,25.0,0.78,0.0,3.71,66.67,85.26,8.71,0,,0,,0,0.0,0.0,0.0,,,0.09,,5.41,0.0,0.0,0.0,0.0,0,0
L. Ujkaj,Leon Ujkaj,452597,Dečić,Dečić,https://cdn5.wyscout.com/photos/team/public/1992_120x120.png,First League,"RCB, LCB",RCB,61,LCB,38,,0,29.0,1997-03-03,175000,,21,1961,1,0.2,1,0.54,14.14,64.94,Montenegro,['Montenegro'],right,190,0,False,10.42,6.52,72.54,2.8,62.3,0.14,0.17,0.55,5.55,7.02,0.87,1,0.05,1,0.05,0.46,0.05,1,0.05,0.01,1,0.05,1,0.05,100.0,100.0,0.05,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.41000000000000003,88.89,3.17,57.97,0.05,2.16,0.18,37.5,0.23,1.24,56.91,86.85,25.06,76.01,4.91,96.26,47.36,92.25,9.5,59.9,21.66,35.58,0.03,0.28,0.0,0.0,0.0,0.0,0.09,8.86,64.77,0.92,55.0,0.78,52.94,0.5,0.05,12.3,77.24,96.11,22.44,0,,0,,0,0.0,0.0,0.0,,,3.99,,2.8,0.0,0.0,0.0,0.0,0,0
A. Osmanović,Abdel Osmanović,517999,Jezero,Jezero,https://cdn5.wyscout.com/photos/team/public/g4191_120x120.png,First League,"RB, RCB",RB,70,RCB,29,,0,25.0,2001-01-12,50000,,21,1936,0,0.13,2,1.28,16.6,52.66,Montenegro,['Montenegro'],right,181,0,False,9.34,6.69,63.89,3.49,48.0,0.33,0.42,0.23,4.74,6.17,0.98,2,0.09,0,0.0,1.67,0.0,0,0.0,0.01,0,0.0,7,0.33,0.0,0.0,0.09,2.09,33.33,0.0,0.0,2.05,31.82,0.14,1.81,51.28,5.16,41.44,0.6000000000000001,0.84,0.19,30.68,1.02,0.84,44.3,81.53,18.41,71.46,4.14,96.63,37.89,88.1,4.51,46.39,19.98,36.48,0.06,0.46,0.14,0.05,0.05,100.0,0.33,4.46,60.42,1.77,44.74,0.28,16.67,0.42,0.7000000000000001,7.3,66.24,91.64,16.13,0,,0,,0,0.0,0.0,0.0,,,1.12,,3.49,0.05,0.0,0.0,0.0,0,0
