Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Alfonso Herrero,Alfonso Herrero Peinador,160233,Málaga,Málaga,https://cdn5.wyscout.com/photos/team/public/770_120x120.png,Segunda División,GK,GK,100,,0,,0,32.0,1994-04-21,400000,2028-06-30,40,3981,0,0.0,0,0.0,0.75,72.73,Spain,['Spain'],right,183,83,False,1.2,0.11,60.0,0.43,78.95,0.05,0.07,0.0,1.09,1.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,18.81,0.43,0.25,25.77,86.14,13.13,74.01,0.02,100.0,16.28,99.44,9.5,63.33,32.56,52.45,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2.69,50.42,0.11,20.0,0.16,14.29,0.02,0.0,6.65,75.85,98.67,11.94,51,1.15,194,4.39,10,73.71,57.15,1.29,6.15,0.139,0.0,1.22,0.43,,,,0.0,0,0.0
Juan Soriano,Juan Soriano Oropesa,335226,Leganés,Leganés,https://cdn5.wyscout.com/photos/team/public/2520_120x120.png,Segunda División,GK,GK,100,,0,,0,28.0,1997-08-23,1500000,2027-06-30,40,3954,0,0.0,0,0.0,0.68,93.33,Spain,['Spain'],right,185,78,False,1.46,0.09,75.0,0.41000000000000003,100.0,0.02,0.03,0.0,1.37,1.98,0.02,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,15.41,0.5,0.18,23.49,84.21,15.59,77.08,0.0,0.0,12.61,98.38,10.88,67.78,34.08,48.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,56.03,0.11,0.0,0.16,42.86,0.0,0.0,8.35,77.11,98.77,7.4,48,1.09,176,4.01,12,72.73,47.28,1.08,-0.72,-0.016,0.0,1.55,0.41000000000000003,,,,0.0,0,0.0
Ander Cantero,Ander Cantero Armendáriz,216217,Burgos,Burgos,https://cdn5.wyscout.com/photos/team/public/4080_120x120.png,Segunda División,GK,GK,100,,0,,0,31.0,1995-01-09,1000000,2027-06-30,40,3945,0,0.0,0,0.0,0.46,80.0,Spain,['Spain'],left,189,82,False,0.87,0.02,100.0,0.37,87.5,0.0,0.0,0.0,0.84,1.11,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.0,0.0,7.98,0.23,0.02,13.3,85.08,6.41,72.6,0.0,0.0,8.37,97.28,4.86,65.26,33.08,47.22,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.87,47.37,0.0,0.0,0.0,0.0,0.0,0.0,4.02,68.75,97.58,6.59,33,0.75,141,3.22,17,76.6,38.88,0.89,5.88,0.134,0.0,1.55,0.37,,,,0.0,0,0.0
Édgar Badía,Édgar Badía Guardiola,103136,Cultural Leonesa,Cultural Leonesa,https://cdn5.wyscout.com/photos/team/public/2102_120x120.png,Segunda División,GK,GK,100,,0,,0,34.0,1992-02-12,1400000,2026-06-30,40,3928,0,0.24,0,0.22,0.5,72.73,Spain,['Spain'],right,181,79,False,1.63,0.09,50.0,0.34,80.0,0.0,0.0,0.0,1.58,2.03,0.07,4,0.09,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.02,0.0,0.0,16.22,0.25,0.05,24.54,85.9,13.2,76.04,0.0,0.0,15.92,98.71,8.59,62.4,30.2,43.88,0.01,0.02,0.0,0.0,0.0,0.0,0.02,2.06,37.78,0.32,14.29,0.48,19.05,0.05,0.0,5.18,71.24,97.6,10.52,65,1.49,194,4.45,7,66.49,61.15,1.4,-3.85,-0.088,0.0,1.01,0.34,,,,0.0,0,0.0
Andrés Fernández,Andrés Eduardo Fernández Moreno,62591,Almería,Almería,https://cdn5.wyscout.com/photos/team/public/50_120x120.png,Segunda División,GK,GK,100,,0,,0,39.0,1986-12-16,400000,2027-06-30,39,3925,0,0.0,0,0.0,0.39,82.35,Spain,['Spain'],right,187,82,False,1.88,0.05,100.0,0.16,71.43,0.02,0.03,0.0,1.81,2.59,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,14.19,0.28,0.18,22.4,88.13,11.37,79.03,0.0,0.0,14.97,97.7,7.38,69.25,30.4,46.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,63.41,0.07,0.0,0.07,33.33,0.0,0.0,6.26,71.79,98.17,10.02,57,1.31,198,4.54,8,71.21,63.55,1.46,6.55,0.15,0.0,1.51,0.16,,,,0.0,0,0.0
Jon Mikel,Jon Mikel Magunagoitia Blasco,476312,Eibar,Eibar,https://cdn5.wyscout.com/photos/team/public/780_120x120.png,Segunda División,GK,GK,100,,0,,0,25.0,2000-08-06,600000,2026-06-30,40,3925,0,0.16,0,0.0,0.5700000000000001,80.0,Spain,['Spain'],right,183,78,False,1.24,0.09,50.0,0.41000000000000003,88.89,0.0,0.0,0.0,1.19,1.48,0.02,2,0.05,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,1,0.02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.02,0.0,0.0,16.76,0.28,0.05,23.5,86.24,12.02,75.57,0.0,0.0,14.56,99.06,8.92,65.55,31.3,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,47.25,0.23,0.0,0.18,12.5,0.02,0.0,6.28,74.09,97.37,10.48,38,0.87,146,3.35,17,73.97,41.71,0.96,3.71,0.085,0.0,1.44,0.41000000000000003,,,,0.0,0,0.0
D. Horkaš,Dinko Horkaš,420586,Las Palmas,Las Palmas,https://cdn5.wyscout.com/photos/team/public/775_120x120.png,Segunda División,GK,GK,100,,0,,0,27.0,1999-03-10,1200000,2028-06-30,39,3812,0,0.0,0,0.0,0.35000000000000003,80.0,Croatia,"['Croatia', 'Bosnia and Herzegovina']",right,189,77,False,1.8399999999999999,0.12,40.0,0.19,100.0,0.02,0.03,0.0,1.77,2.6,0.02,1,0.02,1,0.02,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,22.19,0.17,0.07,32.04,84.16,17.42,73.58,0.05,100.0,21.89,98.27,10.1,53.97,26.5,45.75,0.0,0.0,0.02,0.02,0.0,0.0,0.0,1.8900000000000001,27.5,0.31,7.69,0.42,16.67,0.02,0.0,6.66,55.67,96.69,12.11,37,0.87,145,3.42,13,74.48,38.39,0.91,1.3900000000000001,0.033,0.02,1.02,0.19,,,,0.0,0,0.0
Mario Soriano,Mario Soriano Carreño,-75779,Deportivo La Coruña,Deportivo La Coruña,https://cdn5.wyscout.com/photos/team/public/58_120x120.png,Segunda División,"LCMF, RCMF, AMF",LCMF,22,RCMF,15,AMF,14,24.0,2002-04-22,0,2028-06-30,40,3737,6,3.89,5,4.32,10.81,48.33,Spain,['Spain'],right,163,60,False,4.94,3.68,65.36,0.22,44.44,0.12,0.16,0.14,2.41,3.25,0.46,3,0.07,0,0.0,1.57,0.14,6,0.14,0.09,0,0.0,54,1.3,29.63,11.111,0.12,0.51,23.81,0.19,25.0,0.31,23.08,0.07,1.3,64.81,5.54,39.57,1.35,1.6600000000000001,0.22,40.05,0.22,1.11,49.23,91.29,13.87,84.38,9.8,97.05,46.46,93.47,2.26,61.7,17.28,34.93,0.1,0.84,0.07,0.02,0.34,64.29,0.43,7.23,80.67,1.52,57.14,0.51,47.62,0.92,0.14,6.0,83.13,94.71,16.86,0,,0,,0,0.0,0.0,0.0,,,0.99,,0.22,0.07,0.0,0.0,0.02,0,0.0
Rubén Yáñez,Orlando Rubén Yáñez Alabart,262198,Sporting Gijón,Sporting Gijón,https://cdn5.wyscout.com/photos/team/public/657_120x120.png,Segunda División,GK,GK,100,,0,,0,32.0,1993-10-12,1800000,2028-06-30,38,3731,0,0.0,0,0.41000000000000003,0.8200000000000001,79.41,Spain,['Spain'],right,188,85,False,1.47,0.05,50.0,0.53,86.36,0.02,0.03,0.0,1.42,1.73,0.05,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,85.71,0.0,0.0,0.0,9.02,0.07,0.19,14.45,77.3,10.32,69.63,0.0,0.0,6.27,95.38,8.18,63.42,36.72,48.7,0.01,0.02,0.0,0.0,0.0,0.0,0.0,3.04,65.08,0.19,12.5,0.14,33.33,0.07,0.0,6.3,76.63,96.62,3.5700000000000003,49,1.18,156,3.76,11,68.59,45.29,1.09,-3.71,-0.089,0.0,1.62,0.53,,,,0.0,0,0.0
Grego Sierra,Gregorio Sierra Pérez,189954,Burgos,Burgos,https://cdn5.wyscout.com/photos/team/public/4080_120x120.png,Segunda División,LCB,LCB,95,,0,,0,33.0,1993-03-05,700000,2028-06-30,38,3717,2,1.3599999999999999,1,0.7000000000000001,10.99,62.33,Spain,['Spain'],left,186,74,False,7.7,5.18,69.63,2.83,59.83,0.36,0.47000000000000003,0.63,3.73,4.86,1.04,7,0.17,0,0.0,0.29,0.05,2,0.05,0.03,0,0.0,12,0.29,16.67,16.667,0.02,0.17,42.86,0.15,33.33,0.02,100.0,0.0,0.27,63.64,1.07,45.45,0.36,0.92,0.05,29.64,0.34,0.41000000000000003,41.89,86.65,16.97,74.32,1.6,96.97,34.75,93.94,6.97,51.39,22.78,39.36,0.02,0.19,0.02,0.02,0.0,0.0,0.17,5.33,61.82,0.56,26.09,0.61,28.0,0.1,0.07,7.34,72.61,96.4,20.19,0,,0,,0,0.0,0.0,0.0,,,1.07,,2.83,0.0,0.0,0.0,0.0,0,0.0
