Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Chaine,Sipho Chaine,454464,Orlando Pirates,Orlando Pirates,https://cdn5.wyscout.com/photos/team/public/1216_120x120.png,PSL,GK,GK,100,,0,,0,29.0,1996-12-14,700000,,22,2152,0,0.0,0,0.0,0.5,91.67,South Africa,['South Africa'],,178,69,False,1.13,0.04,100.0,0.42,90.0,0.0,0.0,0.0,1.09,1.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,18.57,0.21,0.13,25.43,89.31,12.34,80.34,0.0,0.0,19.61,99.15,5.77,56.52,27.52,50.96,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.63,55.56,0.17,25.0,0.29,71.43,0.04,0.0,4.06,76.29,97.89,11.92,9,0.38,47,1.97,15,80.85,13.22,0.55,4.22,0.176,0.0,1.09,0.42,,,,0.0,0,0
M. Mkhize,Mfanafuthi Mkhize,-320744,Durban City,Durban City,https://cdn5.wyscout.com/photos/team/public/g-23627_120x120.png,PSL,"LCB, LB, LCB3",LCB,61,LB,24,LCB3,12,27.0,1998-05-05,0,,22,2147,1,0.67,0,0.48,13.71,55.35,South Africa,['South Africa'],unknown,0,0,False,6.54,2.93,78.57,6.41,49.67,0.5,0.68,0.42,3.73,5.08,0.67,3,0.13,0,0.0,0.8,0.04,1,0.04,0.03,1,0.04,8,0.34,37.5,12.5,0.0,0.67,37.5,0.63,40.0,0.04,0.0,0.13,0.54,76.92,2.85,51.47,0.63,0.42,0.0,20.2,0.21,0.96,33.33,75.97,17.1,65.69,2.47,89.83,22.97,87.23,9.77,51.93,25.05,39.68,0.02,0.13,0.0,0.04,0.0,0.0,0.04,6.41,58.17,0.92,45.45,0.29,57.14,0.21,0.21,8.59,63.9,86.87,10.86,0,,0,,0,0.0,0.0,0.0,,,1.05,,6.41,0.08,0.0,0.0,0.0,0,0
D. Keet,Darren Keet,88796,Durban City,Durban City,https://cdn5.wyscout.com/photos/team/public/g-23627_120x120.png,PSL,GK,GK,100,,0,,0,36.0,1989-08-05,100000,2026-06-30,22,2147,0,0.0,1,0.18,1.01,87.5,South Africa,['South Africa'],left,183,82,False,1.9300000000000002,0.04,100.0,0.8,89.47,0.0,0.0,0.0,1.8900000000000001,2.5700000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.0,0.0,0.0,8.01,0.08,0.25,15.89,82.85,10.14,74.79,0.0,0.0,8.3,97.47,7.55,67.22,38.88,51.44,0.01,0.04,0.0,0.0,0.0,0.0,0.04,2.39,56.14,0.17,0.0,0.08,100.0,0.04,0.0,5.78,82.61,97.62,5.28,15,0.63,61,2.56,12,75.41,14.91,0.62,-0.09,-0.004,0.0,2.14,0.8,,,,0.0,0,0
A. Jiyane,Ayanda Jiyane,-500346,Golden Arrows,Golden Arrows,https://cdn5.wyscout.com/photos/team/public/2558_120x120.png,PSL,"RCB, LCB",RCB,58,LCB,33,,0,23.0,2002-09-16,0,,22,2065,0,0.0,0,0.36,8.85,65.02,South Africa,['South Africa'],unknown,0,0,False,7.98,4.01,81.52,2.5700000000000003,47.46,0.13,0.18,0.7000000000000001,4.58,6.19,0.09,1,0.04,0,0.0,0.22,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.22,40.0,0.09,0.0,0.13,66.67,0.0,0.13,100.0,1.18,51.85,0.26,0.5700000000000001,0.0,32.56,0.26,0.61,50.08,87.55,21.92,79.52,3.01,95.65,45.63,91.88,4.23,43.3,19.88,31.85,0.02,0.09,0.04,0.0,0.0,0.0,0.09,4.53,75.96,0.35000000000000003,37.5,0.13,33.33,0.17,0.09,8.93,63.9,95.46,21.14,0,,0,,0,0.0,0.0,0.0,,,2.5700000000000003,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
S. Stephens,Sage Stephens,168971,Stellenbosch FC,Stellenbosch FC,https://cdn5.wyscout.com/photos/team/public/2876_120x120.png,PSL,GK,GK,100,,0,,0,34.0,1991-04-08,50000,,21,2047,0,0.0,0,0.0,0.7000000000000001,75.0,South Africa,['South Africa'],right,187,80,False,1.98,0.18,75.0,0.4,77.78,0.04,0.07,0.0,1.8,2.69,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.0,0.0,0.0,10.42,0.18,0.13,18.38,84.45,9.89,73.78,0.04,0.0,12.22,97.84,6.07,58.7,34.35,54.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,50.65,0.26,33.33,0.35000000000000003,12.5,0.13,0.0,4.4,77.0,98.31,7.83,23,1.01,77,3.39,5,70.13,23.34,1.03,0.34,0.015,0.0,1.19,0.4,,,,0.0,0,0
L. Seema,Lebone Seema,-359462,Orlando Pirates,Orlando Pirates,https://cdn5.wyscout.com/photos/team/public/1216_120x120.png,PSL,RCB,RCB,98,,0,,0,22.0,2003-04-05,0,,20,1953,1,1.12,0,0.07,8.53,54.05,South Africa,['South Africa'],unknown,0,0,False,6.27,3.59,69.23,2.7199999999999998,47.46,0.05,0.07,0.23,3.73,5.96,0.6900000000000001,5,0.23,0,0.0,0.32,0.05,1,0.05,0.05,0,0.0,8,0.37,37.5,12.5,0.0,0.14,33.33,0.0,0.0,0.14,33.33,0.0,0.23,40.0,1.52,36.36,0.51,0.8300000000000001,0.0,34.79,0.09,0.14,49.31,87.85,21.57,79.49,5.16,96.43,43.18,92.21,5.99,57.69,22.3,44.23,0.0,0.09,0.0,0.09,0.05,100.0,0.05,7.5600000000000005,68.9,0.88,36.84,0.6000000000000001,38.46,0.09,0.05,9.95,75.46,95.54,18.62,0,,0,,0,0.0,0.0,0.0,,,4.06,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0
E. Tapé,Eliezer Ira Tapé,-127471,TS Galaxy FC,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-9524_120x120.png,PSL,GK,GK,100,,0,,0,28.0,1997-08-31,0,,20,1951,0,0.0,0,0.0,1.15,84.0,Côte d'Ivoire,"[""Côte d'Ivoire""]",right,192,85,False,1.85,0.05,100.0,0.8300000000000001,83.33,0.0,0.0,0.0,1.8,2.55,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.05,0.0,0.0,13.15,0.42,0.23,20.67,81.03,12.09,70.61,0.0,0.0,11.95,96.91,8.67,59.04,38.1,53.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,51.76,0.14,33.33,0.14,33.33,0.05,0.0,6.18,77.61,96.65,8.26,28,1.29,94,4.34,4,70.21,26.21,1.21,-1.79,-0.083,0.0,2.26,0.8300000000000001,,,,0.0,0,0
M. Modise,Gadinkame Malebogo Modise,484453,Chippa United,Chippa United,https://cdn5.wyscout.com/photos/team/public/4100_120x120.png,PSL,LB,LB,76,,0,,0,27.0,1999-02-06,0,2027-06-30,21,1947,0,0.41000000000000003,1,1.25,10.49,52.42,South Africa,['South Africa'],left,179,70,False,6.98,4.02,62.07,2.45,49.06,0.14,0.18,0.14,4.35,5.73,0.65,1,0.05,0,0.0,1.48,0.0,0,0.0,0.02,0,0.0,11,0.51,18.18,0.0,0.05,2.17,34.04,2.17,34.04,0.0,0.0,0.14,0.97,66.67,3.05,50.0,0.23,1.62,0.09,22.93,0.8300000000000001,0.88,33.1,74.16,14.79,65.31,4.71,94.12,24.73,84.49,6.24,46.67,22.17,39.45,0.06,0.6000000000000001,0.0,0.0,0.05,0.0,0.09,6.19,57.46,2.73,40.68,0.46,10.0,0.51,0.79,8.6,72.58,77.44,9.01,0,,0,,0,0.0,0.0,0.0,,,1.29,,2.45,1.29,0.09,50.0,0.79,0,0
R. Williams,Ronwen Williams,171341,Mamelodi Sundowns,Mamelodi Sundowns,https://cdn5.wyscout.com/photos/team/public/2557_120x120.png,PSL,GK,GK,100,,0,,0,34.0,1992-01-21,1000000,2028-06-30,20,1944,0,0.0,0,0.0,0.79,88.24,South Africa,['South Africa'],right,184,79,False,2.18,0.09,50.0,0.56,100.0,0.0,0.0,0.05,2.13,4.73,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,66.67,0.0,0.0,0.0,25.0,0.8300000000000001,0.23,34.86,92.43,16.48,84.83,0.0,0.0,28.75,98.39,6.11,64.39,25.58,44.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,57.14,0.19,75.0,0.14,33.33,0.19,0.0,4.8100000000000005,70.19,99.46,17.08,11,0.51,46,2.13,9,76.09,12.97,0.6000000000000001,1.97,0.091,0.0,1.3900000000000001,0.56,,,,0.0,0,0
V. Letlapa,Vuyo  Letlapa,-691669,Sekhukhune United,Sekhukhune United,https://cdn5.wyscout.com/photos/team/public/g-13608_120x120.png,PSL,"LB, LWB",LB,79,LWB,12,,0,22.0,2003-08-08,0,,22,1933,0,1.1,1,1.02,16.71,49.86,South Africa,['South Africa'],,0,0,False,8.05,5.31,70.18,3.17,54.41,0.28,0.39,0.14,4.05,5.59,0.74,0,0.0,0,0.0,2.61,0.0,0,0.0,0.05,0,0.0,25,1.16,32.0,0.0,0.05,2.89,37.1,2.75,38.98,0.14,0.0,0.09,2.37,49.02,6.33,35.29,1.44,1.6800000000000002,0.37,23.7,2.1,0.79,33.38,73.78,9.45,59.61,5.87,91.27,25.98,82.62,4.52,46.39,22.11,38.97,0.05,0.56,0.0,0.0,0.05,0.0,0.33,3.8200000000000003,57.32,2.33,40.0,0.33,14.29,0.14,1.12,7.22,58.06,79.27,12.8,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.17,0.05,0.05,100.0,0.0,0,0
