Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Vázquez,Enzo Javier Vázquez,-426486,Central Norte,Central Norte,https://cdn5.wyscout.com/photos/team/public/g7061_120x120.png,Primera Nacional,GK,GK,100,,0,,0,25.0,2000-09-07,0,,7,693,0,0.0,0,0.0,0.65,100.0,Argentina,['Argentina'],,0,0,False,1.43,0.0,0.0,0.52,100.0,0.0,0.0,0.0,1.43,2.08,0.0,3,0.39,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,6.23,0.0,0.39,16.36,70.63,10.26,54.43,0.0,0.0,8.7,98.51,7.53,39.66,42.18,57.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,38.89,0.39,0.0,0.52,0.0,0.0,0.0,4.03,70.97,97.73,5.71,4,0.52,22,2.86,4,81.82,4.01,0.52,0.01,0.001,0.0,2.73,0.52,,,,0.0,0,0
G. Soto,Gonzalo Manuel Soto,131286,Gimnasia y Tiro,Gimnasia y Tiro,https://cdn5.wyscout.com/photos/team/public/g8015_120x120.png,Primera Nacional,RCB,RCB,100,,0,,0,36.0,1990-04-03,50000,2026-12-31,7,693,0,0.29,0,0.47000000000000003,11.56,61.8,Argentina,"['Argentina', 'Italy']",right,190,85,False,6.62,5.19,85.0,3.77,48.28,0.13,0.21,0.39,2.08,3.31,1.04,1,0.13,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,3,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,75.0,0.65,0.0,0.0,15.45,0.39,0.13,22.99,86.44,7.27,66.07,1.56,100.0,19.48,96.0,3.51,33.33,23.24,39.71,0.06,0.13,0.0,0.0,0.0,0.0,0.0,2.6,35.0,0.52,0.0,0.39,0.0,0.13,0.0,2.6,55.0,96.04,13.12,0,,0,,0,0.0,0.0,0.0,,,1.3,,3.77,0.0,0.0,0.0,0.0,0,0
M. Guanini,Manuel Guanini,406304,Gimnasia y Tiro,Gimnasia y Tiro,https://cdn5.wyscout.com/photos/team/public/g8015_120x120.png,Primera Nacional,LCB,LCB,100,,0,,0,30.0,1996-02-14,175000,2026-12-31,7,693,0,0.31,0,0.0,11.82,69.23,Argentina,"['Argentina', 'Spain']",right,191,86,False,7.66,4.16,71.88,4.16,75.0,0.26,0.41000000000000003,0.52,4.42,7.03,0.52,2,0.26,0,0.0,0.39,0.0,0,0.0,0.04,0,0.0,5,0.65,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,1.82,35.71,1.04,1.69,0.0,25.06,0.52,0.52,37.14,79.72,21.82,69.64,1.3,80.0,28.57,87.73,8.57,53.03,25.22,47.91,0.0,0.0,0.0,0.13,0.0,0.0,0.0,7.92,62.3,1.04,25.0,0.65,40.0,0.39,0.0,10.65,73.17,97.7,11.3,0,,0,,0,0.0,0.0,0.0,,,0.78,,4.16,0.13,0.0,0.0,0.0,0,0
N. Carrizo,Nicolás Roberto Carrizo,324896,All Boys,All Boys,https://cdn5.wyscout.com/photos/team/public/1333_120x120.png,Primera Nacional,GK,GK,100,,0,,0,34.0,1991-07-04,25000,2026-12-31,7,687,0,0.0,0,0.0,0.52,75.0,Argentina,['Argentina'],right,182,78,False,1.05,0.13,0.0,0.39,100.0,0.0,0.0,0.0,1.05,1.9,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.13,12.58,76.04,9.3,67.61,0.0,0.0,5.24,95.0,7.34,62.5,41.89,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,56.67,0.26,0.0,0.0,0.0,0.0,0.0,5.11,79.49,100.0,3.01,4,0.52,22,2.88,4,81.82,6.62,0.87,2.62,0.343,0.0,1.44,0.39,,,,0.0,0,0
L. Montoya,Lautaro Oscar Montoya,432112,Gimnasia y Tiro,Gimnasia y Tiro,https://cdn5.wyscout.com/photos/team/public/g8015_120x120.png,Primera Nacional,LB,LB,100,,0,,0,31.0,1994-10-07,125000,,7,684,0,0.41000000000000003,3,1.27,16.84,57.81,Argentina,"['Argentina', 'Spain']",left,171,70,True,10.13,9.47,61.11,1.32,30.0,0.66,1.04,0.0,3.68,5.83,1.58,3,0.39,0,0.0,2.11,0.0,0,0.0,0.05,0,0.0,8,1.05,50.0,0.0,0.39,2.63,20.0,2.24,17.65,0.26,50.0,0.53,1.58,66.67,4.74,55.56,0.13,0.79,0.0,24.21,1.97,1.58,36.18,66.55,15.39,51.28,5.0,89.47,26.97,78.05,6.58,38.0,21.01,37.35,0.17,1.45,0.0,0.0,0.13,0.0,0.26,6.32,47.92,3.68,21.43,1.05,12.5,0.39,0.53,8.29,63.49,73.33,9.87,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.32,1.71,0.53,25.0,1.58,0,0
M. Budiño,Matías Alexis Budiño,-255631,Colón,Colón,https://cdn5.wyscout.com/photos/team/public/105_120x120.png,Primera Nacional,GK,GK,100,,0,,0,30.0,1995-07-03,175000,2028-12-31,7,677,0,0.0,0,0.0,0.27,100.0,Argentina,['Argentina'],right,186,73,True,1.33,0.0,0.0,0.27,100.0,0.0,0.0,0.0,1.33,2.19,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,13.43,82.18,10.1,76.32,0.0,0.0,6.78,98.04,6.65,66.0,39.57,56.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7199999999999998,53.57,0.13,0.0,0.4,66.67,0.13,0.0,4.52,94.12,100.0,3.06,5,0.66,13,1.73,4,61.54,2.59,0.34,-2.41,-0.32,0.0,1.06,0.27,,,,0.0,0,0
F. Rasmussen,Federico Rasmussen,226499,Colón,Colón,https://cdn5.wyscout.com/photos/team/public/105_120x120.png,Primera Nacional,LCB,LCB,100,,0,,0,34.0,1992-03-04,400000,2026-12-31,7,677,0,0.13,0,0.0,13.69,71.84,Argentina,['Argentina'],left,191,82,True,7.18,5.72,74.42,4.79,69.44,0.0,0.0,0.13,2.92,4.82,0.66,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.93,85.71,0.13,0.4,0.0,19.81,0.13,0.53,33.77,87.4,12.5,73.4,1.33,100.0,28.85,94.01,4.92,48.65,22.31,42.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,52.38,0.27,50.0,0.13,100.0,0.13,0.0,5.58,61.9,95.62,18.21,0,,0,,0,0.0,0.0,0.0,,,1.06,,4.79,0.0,0.0,0.0,0.0,0,0
F. Rojas,Fabricio Daniel Hernán Rojas,-406383,Gimnasia y Tiro,Gimnasia y Tiro,https://cdn5.wyscout.com/photos/team/public/g8015_120x120.png,Primera Nacional,"RW, CF, RAMF",RW,49,CF,23,RAMF,15,25.0,2000-11-10,0,2026-12-31,7,676,1,1.87,1,0.42,25.03,43.09,Argentina,['Argentina'],right,167,0,False,4.93,3.73,67.86,3.99,36.67,0.4,0.64,0.0,2.0,3.19,1.8599999999999999,3,0.4,0,0.0,3.33,0.13,1,0.13,0.25,1,0.13,17,2.26,29.41,5.882,0.13,2.66,20.0,0.13,100.0,2.5300000000000002,15.79,0.27,3.99,53.33,12.51,38.3,3.46,2.26,0.4,12.51,2.0,1.8599999999999999,17.71,60.15,5.72,60.47,2.5300000000000002,78.95,13.98,70.48,1.46,36.36,19.54,28.35,0.06,0.27,0.0,0.0,0.0,0.0,0.27,2.26,52.94,2.26,41.18,0.27,0.0,0.4,0.27,2.8,61.9,51.35,4.93,0,,0,,0,0.0,0.0,0.0,,,0.13,,3.99,0.0,0.0,0.0,0.0,0,0
I. Zafarana,Iván Matías Zafarana,-137870,All Boys,All Boys,https://cdn5.wyscout.com/photos/team/public/1333_120x120.png,Primera Nacional,"RCB, RB, LCB",RCB,46,RB,24,LCB,17,30.0,1995-04-22,150000,2027-12-31,7,675,1,0.15,1,0.08,17.47,58.78,Argentina,['Argentina'],right,184,83,False,8.93,6.4,72.92,5.6,59.52,0.53,0.98,0.4,3.73,6.83,1.07,2,0.27,0,0.0,0.93,0.13,1,0.13,0.02,0,0.0,4,0.53,50.0,25.0,0.13,0.13,100.0,0.0,0.0,0.13,100.0,0.0,0.53,75.0,2.5300000000000002,42.11,0.53,0.8,0.0,9.47,0.53,0.67,24.13,69.06,15.73,60.17,1.2,88.89,17.07,75.0,6.93,53.85,23.21,37.98,0.01,0.13,0.0,0.0,0.13,100.0,0.13,5.33,47.5,0.67,60.0,0.4,66.67,0.4,0.13,8.27,69.35,86.49,4.93,0,,0,,0,0.0,0.0,0.0,,,0.67,,5.6,0.0,0.0,0.0,0.0,0,0
M. Peinipil,Mauro Martín Peinipil,-78230,Colón,Colón,https://cdn5.wyscout.com/photos/team/public/105_120x120.png,Primera Nacional,RB,RB,100,,0,,0,27.0,1999-04-03,0,2026-12-31,7,668,0,0.11,1,0.29,8.22,60.66,Argentina,"['Argentina', 'Italy']",right,179,70,False,5.52,3.91,72.41,2.02,53.33,0.0,0.0,0.0,2.69,4.44,0.27,0,0.0,0,0.0,1.35,0.0,0,0.0,0.02,0,0.0,2,0.27,50.0,0.0,0.13,3.23,33.33,0.0,0.0,3.23,33.33,0.4,0.0,0.0,1.21,33.33,0.67,1.35,0.67,25.6,1.08,0.13,39.75,72.88,21.02,70.51,3.1,95.65,29.51,82.65,7.54,51.79,22.28,40.51,0.04,0.4,0.0,0.4,0.13,100.0,0.27,8.62,65.63,3.64,33.33,0.27,50.0,0.67,0.81,11.72,86.21,74.12,11.45,0,,0,,0,0.0,0.0,0.0,,,0.81,,2.02,0.0,0.0,0.0,0.0,0,0
