Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Kouagba,Loïc Kouagba,367335,Boluspor,Boluspor,https://cdn5.wyscout.com/photos/team/public/1346_120x120.png,1. Lig,LCB,LCB,85,,0,,0,31.0,1994-06-09,400000,2027-06-30,32,3156,1,1.55,1,0.39,8.78,58.44,France,"['France', ""Côte d'Ivoire""]",left,182,82,False,5.39,3.91,61.31,2.42,62.35,0.06,0.1,0.48,2.94,5.18,0.88,2,0.06,0,0.0,0.26,0.03,1,0.03,0.04,0,0.0,5,0.14,40.0,20.0,0.03,0.17,33.33,0.17,33.33,0.0,0.0,0.06,0.17,66.67,1.45,41.18,0.2,0.91,0.09,33.51,0.5700000000000001,0.43,46.23,93.58,15.48,85.27,3.74,97.71,42.92,96.54,3.14,56.36,19.04,36.24,0.01,0.06,0.0,0.0,0.03,100.0,0.09,2.91,70.59,0.29,40.0,0.2,57.14,0.09,0.09,4.88,68.42,97.89,21.62,0,,0,,0,0.0,0.0,0.0,,,2.62,,2.42,0.0,0.0,0.0,0.0,0,0.0
C. Topaloğlu,Cihan Topaloğlu,214808,Ümranıyespor,Ümranıyespor,https://cdn5.wyscout.com/photos/team/public/g19664_120x120.png,1. Lig,GK,GK,100,,0,,0,34.0,1992-03-30,125000,2026-06-30,32,3141,0,0.0,1,0.6000000000000001,0.6000000000000001,85.71,Türkiye,['Türkiye'],left,186,76,False,1.38,0.06,100.0,0.34,83.33,0.03,0.04,0.0,1.29,1.6099999999999999,0.0,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.11,75.0,0.0,0.0,0.0,13.47,0.2,0.2,20.14,84.5,10.32,71.94,0.0,0.0,12.98,98.68,7.16,58.8,31.97,48.89,0.02,0.03,0.0,0.0,0.0,0.0,0.03,1.98,44.93,0.29,0.0,0.23,25.0,0.0,0.0,4.84,71.01,97.4,8.83,41,1.17,137,3.93,9,70.07,43.01,1.23,2.01,0.058,0.0,1.15,0.34,,,,0.0,0,0.0
J. Szumski,Jakub Szumski,157344,Sakaryaspor,Sakaryaspor,https://cdn5.wyscout.com/photos/team/public/1349_120x120.png,1. Lig,GK,GK,100,,0,,0,34.0,1992-03-06,100000,2027-06-30,32,3126,0,0.0,0,0.26,0.52,100.0,Poland,['Poland'],right,194,78,False,1.9300000000000002,0.06,100.0,0.32,100.0,0.03,0.04,0.0,1.8399999999999999,2.39,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.03,0.0,12.01,0.09,0.06,19.32,79.88,11.69,68.47,0.0,0.0,11.4,97.22,7.92,54.91,32.41,47.59,0.01,0.03,0.0,0.0,0.0,0.0,0.0,2.19,46.05,0.43,46.67,0.32,36.36,0.2,0.0,5.64,67.35,97.56,7.08,53,1.53,173,4.98,6,69.36,54.54,1.57,1.54,0.044,0.0,1.09,0.32,,,,0.0,0,0.0
M. Orbanić,Matija  Orbanić,518148,BB Erzurumspor,BB Erzurumspor,https://cdn5.wyscout.com/photos/team/public/g19670_120x120.png,1. Lig,GK,GK,100,,0,,0,25.0,2000-05-29,350000,2027-06-30,32,3126,0,0.0,0,0.02,0.77,84.62,Croatia,['Croatia'],left,192,80,False,1.3900000000000001,0.03,100.0,0.47000000000000003,93.75,0.0,0.0,0.0,1.3599999999999999,2.01,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,71.43,0.0,0.0,0.0,15.95,0.15,0.24,24.4,89.91,11.59,82.35,0.0,0.0,18.41,98.07,5.96,65.17,28.43,43.18,0.0,0.03,0.0,0.03,0.0,0.0,0.0,1.19,32.5,0.12,25.0,0.15,20.0,0.03,0.0,4.27,65.28,97.33,12.21,23,0.68,70,2.08,16,67.14,19.66,0.58,-3.34,-0.099,0.0,1.48,0.47000000000000003,,,,0.0,0,0.0
Ç. Akbaba,Çağlar Şahin Akbaba,277167,Vanspor FK,Vanspor FK,https://cdn5.wyscout.com/photos/team/public/g2346_120x120.png,1. Lig,GK,GK,100,,0,,0,31.0,1995-03-17,325000,2026-06-30,31,3079,0,0.0,0,0.0,0.76,92.31,Türkiye,['Türkiye'],right,187,75,False,1.55,0.06,100.0,0.41000000000000003,92.86,0.03,0.05,0.0,1.46,2.35,0.0,2,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.03,100.0,0.15,100.0,0.0,0.06,0.0,17.95,0.12,0.29,25.63,84.83,11.9,71.74,0.0,0.0,16.78,97.74,8.74,60.87,29.51,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,41.84,0.23,12.5,0.26,33.33,0.03,0.0,5.44,73.66,96.08,12.69,35,1.02,129,3.77,9,72.87,38.65,1.13,3.65,0.107,0.0,1.26,0.41000000000000003,,,,0.0,0,0.0
A. Nukan,Atınç Nukan,130121,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,"LCB, CB",LCB,65,CB,34,,0,32.0,1993-07-20,225000,2026-06-30,31,3067,2,1.96,1,1.19,9.4,63.02,Türkiye,['Türkiye'],left,196,86,False,8.92,3.63,70.83,4.32,60.84,0.33,0.43,0.76,6.02,7.7,0.6000000000000001,6,0.18,0,0.0,0.18,0.06,2,0.06,0.06,1,0.03,14,0.42,21.43,14.286,0.03,0.06,100.0,0.03,100.0,0.03,100.0,0.0,0.03,100.0,0.39,61.54,0.88,0.30000000000000004,0.0,22.34,0.30000000000000004,0.42,34.68,84.05,14.21,71.06,1.6,100.0,29.69,90.12,4.93,47.24,23.34,41.25,0.04,0.18,0.0,0.03,0.0,0.0,0.12,4.5,57.05,0.5700000000000001,47.37,0.45,26.67,0.33,0.06,6.53,67.59,95.19,16.33,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.32,0.0,0.0,0.0,0.0,0,0.0
E. Kardeşler,Erce Kardeşler,267979,Amed SK,Amed SK,https://cdn5.wyscout.com/photos/team/public/g9161_120x120.png,1. Lig,GK,GK,100,,0,,0,32.0,1994-03-14,425000,2026-06-30,31,3042,0,0.0,0,0.0,0.38,92.31,Türkiye,['Türkiye'],right,184,79,False,1.3,0.06,50.0,0.18,100.0,0.0,0.0,0.0,1.27,1.82,0.03,5,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.03,10.47,0.18,0.15,16.6,83.42,9.23,72.12,0.0,0.0,11.39,97.92,5.21,51.7,30.53,49.44,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.3,40.91,0.15,0.0,0.24,12.5,0.03,0.0,3.34,63.72,97.42,6.89,32,0.9500000000000001,117,3.46,12,72.65,32.92,0.97,0.92,0.027,0.0,0.89,0.18,,,,0.0,0,0.0
G. Kaya,Gökcan Kaya,306620,Iğdır FK,Iğdır FK,https://cdn5.wyscout.com/photos/team/public/g-14609_120x120.png,1. Lig,RB,RB,52,,0,,0,30.0,1995-08-07,450000,2026-06-30,32,3005,2,0.74,3,2.94,9.85,52.58,Denmark,"['Denmark', 'Türkiye']",right,180,68,False,5.9,4.43,64.19,1.4100000000000001,40.43,0.18,0.28,0.15,2.88,4.47,0.54,3,0.09,0,0.0,1.62,0.06,2,0.06,0.02,0,0.0,12,0.36,33.33,16.667,0.09,1.62,35.19,0.06,50.0,1.53,33.33,0.12,1.53,54.9,2.94,41.84,1.4100000000000001,2.01,0.27,28.96,1.8900000000000001,0.42,39.98,79.48,15.78,69.83,5.87,93.37,33.48,86.14,4.91,48.17,19.13,36.01,0.09,0.87,0.03,0.03,0.15,60.0,0.51,6.2,64.73,2.61,51.72,0.5700000000000001,52.63,1.4100000000000001,0.54,7.43,70.56,85.04,12.01,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.4100000000000001,0.0,0.0,0.0,0.0,0,0.0
O .Çalışkan,Oğuzcan Çalışkan,-313882,Ankara Keçiörengücü,Ankara Keçiörengücü,https://cdn5.wyscout.com/photos/team/public/g7284_120x120.png,1. Lig,"RCB, LCB",RCB,51,LCB,47,,0,23.0,2002-11-06,0,2027-06-30,31,2999,4,3.37,2,0.46,11.88,63.13,Türkiye,['Türkiye'],unknown,0,0,False,7.35,4.26,71.13,4.59,59.48,0.21,0.29,0.66,4.11,5.61,1.11,3,0.09,0,0.0,0.39,0.12,4,0.12,0.1,3,0.09,20,0.6000000000000001,30.0,20.0,0.06,0.06,50.0,0.06,50.0,0.0,0.0,0.03,0.21,85.71,0.78,46.15,1.08,0.30000000000000004,0.0,21.79,0.24,0.51,31.63,86.53,14.46,76.14,2.37,97.47,27.46,92.35,4.11,48.18,20.72,37.3,0.01,0.06,0.0,0.0,0.0,0.0,0.06,3.36,58.93,0.18,50.0,0.18,33.33,0.18,0.03,5.04,64.88,96.31,12.21,0,,0,,0,0.0,0.0,0.0,,,1.9500000000000002,,4.59,0.0,0.0,0.0,0.0,0,0.0
V. Soldo,Vinko Soldo,386603,Pendikspor,Pendikspor,https://cdn5.wyscout.com/photos/team/public/g9153_120x120.png,1. Lig,"LCB, LCB3",LCB,71,LCB3,28,,0,28.0,1998-02-15,200000,2027-06-30,31,2993,2,1.5899999999999999,1,0.26,7.76,63.18,Croatia,['Croatia'],left,186,81,False,6.13,4.21,65.71,2.2,60.27,0.12,0.18,0.51,3.25,4.82,1.02,5,0.15,0,0.0,0.24,0.06,2,0.06,0.05,2,0.06,9,0.27,55.56,22.222,0.03,0.21,28.57,0.15,40.0,0.0,0.0,0.0,0.03,100.0,0.21,85.71,0.54,1.11,0.0,34.94,0.45,0.24,49.5,89.49,21.38,82.14,3.22,97.2,44.29,93.55,4.99,56.02,20.29,34.56,0.01,0.21,0.0,0.03,0.0,0.0,0.12,5.8,76.68,0.63,33.33,0.33,27.27,0.27,0.06,9.17,76.39,96.22,19.91,0,,0,,0,0.0,0.0,0.0,,,2.1,,2.2,0.0,0.0,0.0,0.0,0,0.0
