Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Baturins,Ivans Baturins,335240,FK Tukums 2000,FK Tukums 2000,https://cdn5.wyscout.com/photos/team/public/g4147_120x120.png,Virsliga,GK,GK,100,,0,,0,28.0,1997-06-25,175000,,14,1340,0,0.0,0,0.0,0.87,92.31,Latvia,['Latvia'],right,192,77,False,1.1400000000000001,0.0,0.0,0.74,90.91,0.0,0.0,0.0,1.1400000000000001,1.35,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,9.74,0.0,0.13,16.86,80.88,8.13,65.29,0.07,100.0,10.07,98.0,6.78,55.45,32.55,46.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,51.72,0.07,0.0,0.0,0.0,0.0,0.0,4.43,71.21,95.08,8.19,24,1.6099999999999999,62,4.16,1,61.29,16.29,1.09,-7.71,-0.518,0.0,2.01,0.74,,,,0.0,0,0
M. Ošs,Mārcis Ošs,182297,SK Super Nova,SK Super Nova,https://cdn5.wyscout.com/photos/team/public/g4151_120x120.png,Virsliga,"RCB, CB",RCB,71,CB,28,,0,34.0,1991-07-25,175000,2026-11-30,14,1333,3,1.9300000000000002,0,0.15,14.18,64.29,Latvia,['Latvia'],right,192,82,False,7.43,3.85,78.95,6.68,70.71,0.34,0.42,0.68,4.05,5.06,0.47000000000000003,2,0.14,0,0.0,0.41000000000000003,0.2,3,0.2,0.13,1,0.07,15,1.01,33.33,20.0,0.0,0.2,0.0,0.0,0.0,0.14,0.0,0.0,0.34,20.0,1.69,32.0,1.82,0.34,0.14,14.18,0.2,0.74,27.41,83.0,10.87,70.19,2.84,92.86,22.42,89.46,4.79,56.34,22.45,40.64,0.01,0.07,0.0,0.0,0.0,0.0,0.0,3.04,57.78,0.47000000000000003,42.86,0.14,100.0,0.47000000000000003,0.0,4.79,61.97,95.29,11.48,0,,0,,0,0.0,0.0,0.0,,,1.62,,6.68,0.0,0.0,0.0,0.0,0,0
A. Černomordijs,Antonijs Černomordijs,302570,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,RCB,RCB,88,,0,,0,29.0,1996-09-26,425000,,14,1326,1,0.38,4,0.84,9.64,55.63,Latvia,['Latvia'],right,190,78,False,5.9,3.5300000000000002,73.08,2.65,48.72,0.0,0.0,0.27,3.33,6.45,0.88,3,0.2,0,0.0,0.27,0.07,1,0.07,0.03,1,0.07,4,0.27,50.0,25.0,0.27,0.14,50.0,0.0,0.0,0.14,50.0,0.0,0.27,25.0,1.97,44.83,0.81,1.09,0.0,49.89,0.75,0.48,65.29,91.48,28.1,85.51,1.97,93.1,59.39,95.31,5.77,52.94,20.72,41.02,0.06,0.34,0.0,0.0,0.0,0.0,0.2,10.11,79.87,0.48,14.29,0.61,33.33,0.34,0.07,11.61,82.46,95.81,30.75,0,,0,,0,0.0,0.0,0.0,,,0.88,,2.65,0.0,0.0,0.0,0.0,0,0
A. Dvořák,Adam Dvořák,-127682,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,GK,GK,100,,0,,0,21.0,2004-07-28,0,,14,1323,0,0.0,1,0.62,1.16,70.59,Czech Republic,['Czech Republic'],left,189,78,False,1.29,0.0,0.0,0.8200000000000001,66.67,0.0,0.0,0.0,1.29,1.52,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,66.67,0.0,0.0,0.0,10.82,0.41000000000000003,0.27,18.5,76.1,12.18,65.36,0.0,0.0,8.16,99.17,10.27,58.28,38.11,49.42,0.04,0.07,0.0,0.0,0.0,0.0,0.07,3.74,47.27,0.41000000000000003,50.0,0.41000000000000003,33.33,0.27,0.0,7.07,74.04,97.8,6.19,28,1.9,72,4.9,3,61.11,24.17,1.6400000000000001,-3.83,-0.261,0.0,1.9,0.8200000000000001,,,,0.0,0,0
R. Jurkovskis,Raivis Jurkovskis,359153,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,"RB, LB",RB,79,LB,17,,0,29.0,1996-12-09,400000,2026-11-13,14,1321,0,0.23,3,2.66,10.7,50.32,Latvia,['Latvia'],right,187,73,False,5.86,4.29,65.08,1.98,41.38,0.14,0.26,0.34,2.93,5.66,0.61,2,0.14,0,0.0,3.88,0.0,0,0.0,0.02,0,0.0,9,0.61,11.11,0.0,0.2,6.06,42.7,1.02,26.67,4.97,45.21,0.68,1.98,62.07,3.68,42.59,2.59,2.11,0.61,41.56,2.45,0.2,53.82,81.14,20.17,77.03,7.63,94.64,44.01,88.24,3.88,57.89,19.09,37.28,0.18,1.23,0.0,0.07,0.0,0.0,0.75,7.09,72.12,4.97,65.75,0.55,37.5,1.57,2.45,11.72,84.3,85.6,17.03,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.98,0.0,0.0,0.0,0.0,0,0
K. Čudars,Kristers Čudars,447907,Ogre United,Ogre United,https://cdn5.wyscout.com/photos/team/public/g-21229_120x120.png,Virsliga,"LCMF, RCMF, DMF",LCMF,38,RCMF,25,DMF,10,26.0,1999-09-03,75000,2026-11-30,14,1298,5,3.7800000000000002,0,0.36,19.21,44.77,Latvia,['Latvia'],right,186,80,False,8.18,7.21,50.0,3.95,52.63,0.14,0.17,0.55,4.44,5.3,2.77,1,0.07,0,0.0,1.3900000000000001,0.35000000000000003,2,0.14,0.26,1,0.07,29,2.01,20.69,17.241,0.0,0.62,33.33,0.21,33.33,0.35000000000000003,40.0,0.07,1.32,57.89,5.27,38.16,1.53,1.04,0.14,21.7,1.32,1.32,35.43,74.56,13.59,62.76,5.34,92.21,29.54,79.11,5.27,53.95,18.97,36.4,0.03,0.42,0.0,0.0,0.0,0.0,0.07,5.96,63.95,1.6600000000000001,37.5,0.35000000000000003,60.0,0.62,0.21,7.5600000000000005,70.64,83.12,10.68,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.95,0.14,0.07,0.0,0.07,3,100
D. Holoubek,David Holoubek,-132131,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,"LCMF, RCMF, DMF",LCMF,59,RCMF,15,DMF,15,23.0,2002-06-19,0,,14,1267,0,0.54,1,1.07,19.53,53.82,Czech Republic,['Czech Republic'],right,0,0,False,7.8100000000000005,5.82,64.63,1.99,50.0,0.0,0.0,0.43,4.05,4.83,0.78,1,0.07,0,0.0,2.91,0.0,0,0.0,0.04,0,0.0,16,1.1400000000000001,12.5,0.0,0.07,1.1400000000000001,50.0,0.5,71.43,0.64,33.33,0.07,3.27,63.04,9.73,51.09,0.78,1.56,0.28,22.8,0.5700000000000001,2.42,42.55,81.64,14.14,70.85,7.88,92.79,38.86,84.83,2.56,47.22,16.63,33.44,0.08,0.5700000000000001,0.07,0.0,0.21,66.67,0.36,5.75,72.84,1.78,60.0,0.5,28.57,0.64,0.5,6.32,67.42,86.74,12.86,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.99,0.0,0.0,0.0,0.43,0,0
Ž. Lipušček,Žiga Lipušček,378649,FK RFS,FK RFS,https://cdn5.wyscout.com/photos/team/public/g6676_120x120.png,Virsliga,"LCB, CB",LCB,74,CB,16,,0,29.0,1997-01-05,800000,2027-06-30,13,1248,3,1.27,1,0.11,11.47,69.18,Slovenia,['Slovenia'],left,199,88,False,5.48,3.68,74.51,4.9,67.65,0.0,0.0,0.72,2.74,4.87,1.08,3,0.22,0,0.0,0.58,0.22,3,0.22,0.09,3,0.22,12,0.87,41.67,25.0,0.07,0.22,33.33,0.07,0.0,0.14,50.0,0.0,0.29,50.0,1.6600000000000001,60.87,1.01,1.3,0.0,43.63,0.43,0.72,56.54,90.43,23.29,82.04,2.38,100.0,49.4,95.62,6.92,55.21,20.66,42.82,0.01,0.22,0.0,0.07,0.07,0.0,0.0,9.16,74.02,1.01,57.14,0.43,16.67,0.58,0.07,9.59,82.71,96.24,23.0,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.9,0.0,0.0,0.0,0.0,0,0
G. Mihaļcovs,Gļebs Mihaļcovs,-257770,BFC Daugavpils,BFC Daugavpils,https://cdn5.wyscout.com/photos/team/public/g14966_120x120.png,Virsliga,"RB, LB",RB,69,LB,25,,0,22.0,2004-03-15,125000,,13,1248,0,0.01,2,0.84,15.87,60.0,Latvia,['Latvia'],right,180,0,False,10.02,8.73,69.42,1.23,47.06,0.29,0.35000000000000003,0.07,3.68,4.49,1.08,2,0.14,0,0.0,1.51,0.0,0,0.0,0.0,0,0.0,2,0.14,0.0,0.0,0.14,2.09,37.93,0.87,41.67,1.23,35.29,0.5,1.44,50.0,4.04,48.21,0.5,1.23,0.29,23.15,1.6600000000000001,1.6600000000000001,35.26,80.37,17.09,75.11,5.84,98.77,28.92,87.78,4.33,50.0,19.46,31.77,0.06,0.5,0.0,0.0,0.0,0.0,0.36,6.06,71.43,1.73,37.5,0.0,0.0,0.22,0.72,9.3,75.97,78.69,8.8,0,,0,,0,0.0,0.0,0.0,,,0.72,,1.23,0.07,0.0,0.0,0.0,0,0
K. Zviedris,Krišjānis Zviedris,447699,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,GK,GK,100,,0,,0,29.0,1997-01-25,150000,,13,1240,0,0.0,0,0.0,0.73,90.0,Latvia,['Latvia'],right,188,78,False,0.65,0.07,100.0,0.44,100.0,0.0,0.0,0.0,0.58,1.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,8.85,0.22,0.29,13.06,92.22,5.59,83.12,0.0,0.0,11.69,96.89,1.38,52.63,24.83,36.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,42.86,0.07,0.0,0.0,0.0,0.0,0.0,1.45,60.0,98.89,6.53,16,1.16,35,2.54,4,54.29,12.53,0.91,-3.47,-0.252,0.0,1.02,0.44,,,,0.0,0,0
