Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Mohamed Abbas Jaafar,Ammar Mohamed Abbas Jaafar,465734,Al Najma,Al Najma,https://cdn5.wyscout.com/photos/team/public/g3617_120x120.png,Premier League,GK,GK,100,,0,,0,27.0,1999-02-10,0,,15,1565,0,0.0,0,0.0,0.75,92.31,Bahrain,['Bahrain'],,186,74,False,2.88,0.29,80.0,0.23,100.0,0.0,0.0,0.0,2.65,3.73,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,7.99,0.12,0.17,15.93,80.87,10.41,73.48,0.0,0.0,10.29,95.53,5.64,54.08,31.8,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,44.44,0.06,0.0,0.17,0.0,0.0,0.0,4.43,62.34,95.51,5.12,23,1.32,72,4.14,4,68.06,20.75,1.19,-2.25,-0.129,0.0,1.27,0.23,,,,0.0,0,0.0
A. Asayyid Shaber ibrahim,Alawi Hashim Asayyid Shaber ibrahim,-679130,Al Ahli,Al Ahli,https://cdn5.wyscout.com/photos/team/public/3132_120x120.png,Premier League,GK,GK,100,,0,,0,,,0,,15,1564,0,0.0,0,0.0,1.27,72.73,Bahrain,['Bahrain'],,0,0,False,1.38,0.06,0.0,0.92,81.25,0.0,0.0,0.0,1.38,1.82,0.0,3,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,4.55,0.17,0.4,11.62,77.72,7.02,65.57,0.06,100.0,7.14,96.77,4.49,47.44,32.41,42.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,18.18,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,59.65,96.05,4.37,21,1.21,78,4.49,4,73.08,24.31,1.4,3.31,0.19,0.06,2.24,0.92,,,,0.0,0,0.0
Mohamed Abdul Qayoom,Mohammed Abdul Qayoom Dur Mohamed Abubakar,-167210,Al Najma,Al Najma,https://cdn5.wyscout.com/photos/team/public/g3617_120x120.png,Premier League,"RCMF, LDMF, LCMF",RCMF,35,LDMF,31,LCMF,13,24.0,2001-06-04,0,,15,1547,1,1.18,1,1.04,14.54,50.4,Bahrain,['Bahrain'],left,179,67,False,7.74,6.22,60.75,2.09,41.67,0.47000000000000003,0.66,0.12,3.49,4.92,1.16,0,0.0,0,0.0,0.93,0.06,1,0.06,0.07,0,0.0,17,0.99,29.41,5.882,0.06,0.99,29.41,0.64,36.36,0.35000000000000003,16.67,0.23,0.7000000000000001,50.0,3.84,40.91,1.75,0.47000000000000003,0.0,21.58,0.41000000000000003,0.93,33.16,80.0,12.16,68.42,4.42,96.05,29.09,85.2,3.08,47.17,18.04,35.52,0.06,0.7000000000000001,0.0,0.0,0.0,0.0,0.17,6.11,64.76,1.63,46.43,0.35000000000000003,33.33,0.87,0.29,5.99,69.9,86.77,11.0,0,,0,,0,0.0,0.0,0.0,,,0.12,,2.09,0.12,0.0,0.0,0.06,0,0.0
O. Rajab Zayed,Omar Salem Rajab Zayed,-525579,A'Ali,A'Ali,https://cdn5.wyscout.com/photos/team/public/g-20726_120x120.png,Premier League,GK,GK,100,,0,,0,30.0,1995-05-26,0,,15,1536,0,0.0,0,0.0,1.01,93.75,Bahrain,['Bahrain'],unknown,0,0,False,0.9400000000000001,0.25,100.0,0.63,90.0,0.06,0.09,0.0,0.63,0.91,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.99,0.06,0.19,13.71,82.57,6.67,68.87,0.0,0.0,9.37,97.32,4.28,51.47,30.64,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,60.0,0.06,0.0,0.0,0.0,0.0,0.0,3.46,61.82,95.15,6.48,15,0.9400000000000001,54,3.4,4,72.22,12.48,0.78,-2.52,-0.158,0.0,1.82,0.63,,,,0.0,0,0.0
R. Boumessous,Rachid Boumessous,-347519,Al Hadd,Al Hadd,https://cdn5.wyscout.com/photos/team/public/g9981_120x120.png,Premier League,LCB,LCB,77,,0,,0,24.0,2002-01-14,0,,15,1536,0,0.61,1,0.33,8.85,63.12,Algeria,['Algeria'],unknown,0,0,False,7.53,3.33,73.58,3.14,68.0,0.31,0.48,0.63,4.77,7.35,0.5,2,0.12,0,0.0,0.56,0.0,0,0.0,0.04,0,0.0,7,0.44,42.86,0.0,0.06,0.31,20.0,0.06,0.0,0.25,25.0,0.06,0.38,83.33,1.13,50.0,0.5,0.5,0.0,25.79,0.25,0.31,37.47,83.75,17.26,72.36,2.2,97.14,29.69,93.02,7.53,50.0,23.87,46.6,0.02,0.06,0.0,0.0,0.0,0.0,0.06,5.65,50.0,0.88,14.29,0.56,22.22,0.25,0.06,6.9,69.09,91.88,14.69,0,,0,,0,0.0,0.0,0.0,,,1.88,,3.14,0.06,0.0,0.0,0.0,0,0.0
Gabriel Vasconcelos,Gabriel Monteiro Vasconcelos,419016,Bahrain SC,Bahrain SC,https://cdn5.wyscout.com/photos/team/public/g3624_120x120.png,Premier League,"CF, RCMF3, RW",CF,58,RCMF3,14,RW,11,29.0,1996-03-15,0,,15,1498,2,2.59,4,2.92,17.72,33.9,Brazil,['Brazil'],right,173,72,False,3.0,2.16,58.33,1.8,10.0,0.54,0.65,0.12,1.2,1.44,1.1400000000000001,2,0.12,0,0.0,2.2800000000000002,0.12,2,0.12,0.16,0,0.0,26,1.56,34.62,7.692,0.24,0.72,50.0,0.48,37.5,0.24,75.0,0.18,2.94,42.86,10.69,34.27,2.4,1.56,0.12,25.65,1.8599999999999999,1.74,34.19,81.72,9.73,69.75,7.21,90.83,31.12,83.4,2.34,69.23,16.1,27.32,0.18,1.08,0.0,0.06,0.18,66.67,0.66,5.11,74.12,2.1,42.86,0.24,50.0,1.2,0.36,4.99,74.7,87.15,10.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8,0.12,0.0,0.0,0.24,0,0.0
Mohammad Aleikish,Mohammad Ahmad Suleimanan Aleikish,-260477,Al Hadd,Al Hadd,https://cdn5.wyscout.com/photos/team/public/g9981_120x120.png,Premier League,CF,CF,80,,0,,0,29.0,1996-10-04,0,,15,1489,5,4.92,2,0.53,18.82,42.41,Jordan,['Jordan'],,0,0,False,3.63,3.63,55.36,5.32,40.24,0.13,0.2,0.0,1.49,2.3,1.3,1,0.06,0,0.0,2.14,0.30000000000000004,5,0.32,0.32,1,0.06,30,1.9500000000000002,53.33,16.667,0.13,0.65,40.0,0.32,40.0,0.32,40.0,0.26,1.43,59.09,6.23,39.58,3.83,0.39,0.06,8.76,1.75,2.27,12.13,71.12,4.09,53.97,2.21,91.18,10.71,76.36,0.78,25.0,16.02,18.09,0.03,0.32,0.0,0.0,0.06,0.0,0.26,1.43,45.45,1.04,62.5,0.06,0.0,0.78,0.26,1.62,60.0,71.43,3.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.32,0.0,0.0,0.0,0.0,0,0.0
Bara' Marei,Bara' Sami Mousa Marei,373485,Al Hadd,Al Hadd,https://cdn5.wyscout.com/photos/team/public/g9981_120x120.png,Premier League,"RCB, RCB3",RCB,81,RCB3,10,,0,31.0,1994-04-13,0,,15,1488,0,0.12,0,0.04,7.73,68.91,Saudi Arabia,"['Saudi Arabia', 'Jordan']",right,186,81,False,5.65,4.22,67.69,2.14,75.76,0.06,0.1,0.32,2.73,4.21,0.52,0,0.0,0,0.0,0.06,0.0,0,0.0,0.01,0,0.0,3,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.71,63.64,0.32,0.26,0.06,20.52,0.39,0.32,30.19,91.18,9.81,79.47,1.69,100.0,27.21,94.99,2.99,56.52,20.66,37.88,0.0,0.13,0.0,0.06,0.0,0.0,0.0,2.73,61.9,0.32,60.0,0.06,0.0,0.13,0.0,3.44,75.47,97.17,16.04,0,,0,,0,0.0,0.0,0.0,,,1.49,,2.14,0.0,0.0,0.0,0.0,0,0.0
Robson,Robson da Silva,396715,A'Ali,A'Ali,https://cdn5.wyscout.com/photos/team/public/g-20726_120x120.png,Premier League,"RCMF, AMF, RDMF",RCMF,47,AMF,25,RDMF,12,30.0,1995-07-14,0,,15,1487,2,1.62,1,1.46,11.27,48.55,Brazil,['Brazil'],right,0,0,False,3.52,2.67,60.98,2.15,45.45,0.13,0.19,0.07,1.76,2.56,0.46,2,0.12,0,0.0,1.43,0.12,1,0.07,0.11,0,0.0,31,2.02,32.26,6.452,0.07,0.52,50.0,0.13,50.0,0.33,40.0,0.0,1.11,47.06,5.01,42.86,0.39,0.85,0.2,25.53,0.33,1.24,34.38,81.63,11.14,64.33,3.91,100.0,28.52,86.76,5.34,57.32,21.91,40.21,0.1,1.11,0.07,0.07,0.26,0.0,0.13,7.75,65.55,1.3,40.0,0.59,33.33,0.33,0.26,7.29,76.79,92.0,14.65,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.15,1.9500000000000002,0.46,42.86,2.2800000000000002,1,100.0
Diego Cardoso,Diego Cardoso Nogueira,180823,A'Ali,A'Ali,https://cdn5.wyscout.com/photos/team/public/g-20726_120x120.png,Premier League,CF,CF,98,,0,,0,32.0,1994-03-06,50000,,15,1474,6,4.79,0,0.37,14.66,34.08,Brazil,['Brazil'],right,177,70,False,2.37,2.3,48.57,3.81,34.48,0.07,0.1,0.07,1.18,1.72,1.38,2,0.12,0,0.0,1.51,0.37,6,0.39,0.31,2,0.13,31,2.04,48.39,19.355,0.0,0.13,0.0,0.07,0.0,0.07,0.0,0.0,1.51,34.78,6.97,32.08,2.37,0.59,0.07,7.49,1.8399999999999999,1.25,11.57,86.93,1.71,65.38,4.73,93.06,11.24,88.3,0.2,66.67,15.36,9.05,0.02,0.46,0.0,0.0,0.0,0.0,0.07,0.59,44.44,0.26,75.0,0.0,0.0,0.33,0.07,0.66,70.0,90.24,2.7,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.81,0.0,0.0,0.0,0.0,0,0.0
