Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Havekotte,Mike Havekotte,215540,TOP Oss,TOP Oss,https://cdn5.wyscout.com/photos/team/public/852_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,30.0,1995-09-12,300000,2027-06-30,30,2907,0,0.0,0,0.0,0.37,75.0,Netherlands,['Netherlands'],right,187,79,False,0.62,0.06,50.0,0.22,85.71,0.0,0.0,0.0,0.59,0.68,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,0.0,0.0,16.35,0.28,0.06,25.85,87.07,15.82,79.26,0.0,0.0,12.45,99.25,13.37,75.69,37.16,49.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,65.0,0.09,0.0,0.12,75.0,0.03,0.0,10.9,84.38,99.35,9.54,51,1.58,173,5.36,6,70.52,49.18,1.52,-1.82,-0.056,0.0,0.9,0.22,,,,0.0,0,0.0
P. van de Merbel,Pepijn van de Merbel,-54629,Den Bosch,Den Bosch,https://cdn5.wyscout.com/photos/team/public/847_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,23.0,2002-03-18,0,2026-06-30,30,2897,0,0.0,0,0.0,0.5,62.5,Netherlands,['Netherlands'],right,186,82,False,1.06,0.06,0.0,0.31,70.0,0.06,0.08,0.0,0.99,1.22,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,21.09,0.4,0.03,30.57,78.76,20.01,68.63,0.0,0.0,14.76,98.74,15.78,60.24,36.49,50.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,41.13,0.25,12.5,0.4,7.69,0.03,0.0,10.84,76.79,98.05,9.57,54,1.6800000000000002,180,5.59,4,70.0,47.71,1.48,-6.29,-0.195,0.0,1.9,0.31,,,,0.0,0,0.0
Y. Schoonderwaldt,Youri Schoonderwaldt,-194754,VVV Venlo,VVV Venlo,https://cdn5.wyscout.com/photos/team/public/147_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,25.0,2000-03-13,125000,2026-06-30,30,2895,0,0.0,1,0.05,0.78,88.0,Netherlands,['Netherlands'],left,195,83,False,1.87,0.03,100.0,0.53,88.24,0.0,0.0,0.0,1.83,2.25,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.12,100.0,0.0,0.0,0.0,20.95,0.22,0.12,33.3,85.15,19.9,78.13,0.0,0.0,19.65,97.63,13.65,67.2,30.48,44.68,0.0,0.03,0.0,0.03,0.0,0.0,0.03,3.45,62.16,0.16,0.0,0.31,50.0,0.03,0.0,10.79,75.5,95.75,12.44,46,1.43,169,5.25,6,72.78,50.93,1.58,4.93,0.153,0.0,1.9300000000000002,0.53,,,,0.0,0,0.0
S. Westerveld,Sem Westerveld,-195058,MVV,MVV,https://cdn5.wyscout.com/photos/team/public/849_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,23.0,2002-07-18,400000,2026-06-30,30,2889,0,0.0,1,0.0,1.34,95.35,Spain,"['Spain', 'Netherlands']",right,190,74,True,1.99,0.06,100.0,0.93,96.67,0.0,0.0,0.0,1.9300000000000002,2.0,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.25,87.5,0.0,0.0,0.0,21.59,0.19,0.31,33.55,83.75,19.25,72.65,0.0,0.0,21.03,98.37,12.49,59.35,31.74,50.14,0.0,0.0,0.0,0.03,0.0,0.0,0.03,3.36,37.96,0.25,0.0,0.28,33.33,0.0,0.0,9.69,74.6,98.84,13.43,59,1.8399999999999999,186,5.79,4,68.28,54.13,1.69,-4.87,-0.152,0.0,2.55,0.93,,,,0.0,0,0.0
J. Treichel,Justin Treichel,-116547,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,23.0,2003-03-04,50000,2026-06-30,30,2888,0,0.0,0,0.0,0.72,78.26,Germany,['Germany'],left,188,79,False,1.28,0.09,66.67,0.47000000000000003,80.0,0.0,0.0,0.03,1.22,1.49,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,22.69,0.22,0.22,30.51,89.38,13.37,77.62,0.03,100.0,21.0,99.26,9.5,67.54,28.98,43.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,52.5,0.06,0.0,0.03,0.0,0.0,0.0,7.95,74.51,99.03,16.14,45,1.4,141,4.39,7,68.09,42.55,1.33,-2.45,-0.076,0.0,1.43,0.47000000000000003,,,,0.0,0,0.0
M. Spenkelink,Mark Spenkelink,471327,RKC Waalwijk,RKC Waalwijk,https://cdn5.wyscout.com/photos/team/public/846_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,29.0,1997-01-27,125000,2027-06-30,30,2887,0,0.0,0,0.0,0.6900000000000001,72.73,Netherlands,['Netherlands'],right,196,86,False,1.25,0.0,0.0,0.44,71.43,0.0,0.0,0.0,1.25,1.51,0.0,2,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.16,80.0,0.0,0.0,0.0,17.86,0.12,0.12,25.44,84.8,14.87,75.89,0.03,0.0,14.0,98.0,11.41,68.85,31.34,44.9,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.5899999999999999,50.98,0.06,0.0,0.12,0.0,0.0,0.0,9.51,72.46,98.37,9.57,44,1.37,136,4.24,6,67.65,42.09,1.31,-1.9100000000000001,-0.06,0.0,1.28,0.44,,,,0.0,0,0.0
J. Kruiver,Jay Kruiver,-140302,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,RB,RB,98,,0,,0,24.0,2001-05-02,225000,2026-06-30,30,2866,1,1.9100000000000001,2,2.49,16.36,52.78,Netherlands,['Netherlands'],right,0,0,False,7.98,7.03,58.04,2.67,55.29,0.41000000000000003,0.5,0.38,3.49,4.25,0.9400000000000001,2,0.06,0,0.0,1.63,0.03,1,0.03,0.06,0,0.0,17,0.53,23.53,5.882,0.06,2.39,23.68,0.0,0.0,2.39,23.68,0.53,1.57,58.0,4.68,46.31,1.13,1.13,0.19,27.54,0.8200000000000001,1.32,37.75,81.78,15.01,73.43,6.59,97.62,32.31,89.31,3.14,46.0,19.57,32.57,0.08,0.53,0.0,0.0,0.09,33.33,0.31,4.87,71.61,2.26,36.11,0.28,22.22,0.63,0.5700000000000001,8.86,75.18,86.53,10.96,0,,0,,0,0.0,0.0,0.0,,,1.51,,2.67,0.0,0.0,0.0,0.0,0,0.0
R. Niemeijer,Reuven Niemeijer,447106,De Graafschap,De Graafschap,https://cdn5.wyscout.com/photos/team/public/153_120x120.png,Eerste Divisie,"CF, AMF",CF,41,AMF,27,,0,30.0,1995-03-27,400000,2026-06-30,30,2862,15,15.58,2,2.84,11.29,42.9,Netherlands,['Netherlands'],right,178,80,False,3.49,3.14,53.0,2.33,24.32,0.22,0.31,0.13,1.6,2.29,0.75,5,0.16,0,0.0,3.3,0.47000000000000003,15,0.47000000000000003,0.49,2,0.06,110,3.46,44.55,13.636,0.06,1.67,26.42,0.9400000000000001,40.0,0.6900000000000001,9.09,0.28,2.17,57.97,4.15,46.21,4.25,0.9400000000000001,0.19,23.18,1.6400000000000001,0.88,28.4,74.86,8.21,61.69,7.36,93.16,23.9,80.53,2.92,54.84,19.62,38.0,0.09,0.72,0.09,0.03,0.22,28.57,0.38,4.4,67.14,2.55,46.91,0.75,37.5,1.26,0.47000000000000003,4.97,75.95,76.8,7.86,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.33,0.09,0.09,0.0,0.03,1,0.0
J. Müller,Joey Paul Müller,496954,Roda JC,Roda JC,https://cdn5.wyscout.com/photos/team/public/148_120x120.png,Eerste Divisie,"RDMF, RCMF, LB",RDMF,57,RCMF,11,LB,10,25.0,2000-08-30,450000,2026-06-30,30,2848,1,2.17,1,1.6800000000000002,13.27,50.95,Germany,['Germany'],right,180,72,False,7.49,4.99,68.99,2.37,42.67,0.03,0.04,0.44,4.01,4.9,0.76,3,0.09,0,0.0,1.04,0.03,1,0.03,0.07,0,0.0,30,0.9500000000000001,30.0,3.333,0.03,0.54,23.53,0.25,25.0,0.28,22.22,0.06,1.11,57.14,3.7,37.61,1.26,0.76,0.03,26.32,0.32,0.63,39.31,87.22,10.93,73.41,7.71,97.13,36.12,89.85,2.65,64.29,17.29,30.71,0.05,0.47000000000000003,0.03,0.03,0.0,0.0,0.13,4.55,77.78,1.01,62.5,0.16,40.0,0.63,0.19,4.93,65.38,94.22,14.22,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.37,0.03,0.03,100.0,0.28,0,0.0
M. Bergsen,Menno Bergsen,478232,Helmond Sport,Helmond Sport,https://cdn5.wyscout.com/photos/team/public/851_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,26.0,1999-08-26,150000,2028-06-30,30,2834,0,0.0,0,0.0,0.5700000000000001,77.78,Netherlands,['Netherlands'],right,186,76,False,1.97,0.1,66.67,0.29,100.0,0.0,0.0,0.0,1.9100000000000001,2.27,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,21.59,0.25,0.1,29.41,81.1,16.01,67.06,0.0,0.0,16.67,98.29,12.7,58.75,32.33,46.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,38.36,0.13,0.0,0.16,20.0,0.03,0.0,8.42,68.68,97.93,12.29,51,1.62,131,4.16,7,61.07,47.89,1.52,-3.11,-0.099,0.0,1.33,0.29,,,,0.0,0,0.0
