Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Carević,Lazar Carević,386291,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,GK,GK,100,,0,,0,27.0,1999-03-16,1500000,2028-06-30,28,2778,0,0.0,0,0.0,0.52,93.75,Montenegro,['Montenegro'],right,195,85,False,0.97,0.06,100.0,0.29,88.89,0.0,0.0,0.0,0.91,1.29,0.0,4,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,17.95,0.23,0.19,25.27,91.28,8.52,77.19,0.0,0.0,20.18,99.2,5.09,59.87,24.75,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,37.5,0.06,0.0,0.19,16.67,0.0,0.0,3.34,62.14,98.58,15.94,24,0.78,113,3.66,14,78.76,27.87,0.9,3.87,0.125,0.0,0.84,0.29,,,,0.0,0,0.0
Gabriel Batista,Gabriel Batista de Souza,425508,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,GK,GK,100,,0,,0,27.0,1998-06-03,800000,2028-06-30,28,2776,0,0.0,0,0.0,0.75,73.91,Italy,['Italy'],right,191,78,False,1.26,0.1,33.33,0.58,83.33,0.0,0.0,0.0,1.23,1.71,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.0,0.0,11.51,0.23,0.16,17.57,83.39,9.73,72.67,0.0,0.0,10.08,97.75,7.46,64.35,33.74,50.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,48.61,0.13,0.0,0.23,28.57,0.0,0.0,4.96,77.12,97.14,6.8100000000000005,35,1.13,102,3.31,8,65.69,34.88,1.13,-0.12,-0.004,0.0,1.52,0.58,,,,0.0,0,0.0
Renan Ribeiro,Renan Ribeiro,97659,Estrela Amadora,Estrela Amadora,https://cdn5.wyscout.com/photos/team/public/g-12861_120x120.png,Primeira Liga,GK,GK,100,,0,,0,35.0,1990-03-23,150000,2026-06-30,27,2705,0,0.0,0,0.0,0.67,85.0,Brazil,['Brazil'],right,193,87,False,1.06,0.07,50.0,0.43,92.31,0.03,0.05,0.0,1.0,1.44,0.03,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,12.08,0.1,0.17,17.83,80.41,9.12,67.52,0.0,0.0,10.78,96.3,6.99,56.67,32.28,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,34.88,0.13,0.0,0.17,20.0,0.0,0.0,5.06,62.5,95.04,8.05,45,1.5,126,4.19,7,64.29,43.18,1.44,-1.82,-0.061,0.0,1.63,0.43,,,,0.0,0,0.0
Bernardo,Bernardo Caltabiano Parise Fontes,-148123,Tondela,Tondela,https://cdn5.wyscout.com/photos/team/public/g11833_120x120.png,Primeira Liga,GK,GK,100,,0,,0,23.0,2002-07-23,0,2029-06-30,27,2680,0,0.13,0,0.0,0.74,77.27,Brazil,"['Brazil', 'Italy']",left,196,90,False,2.05,0.1,100.0,0.44,92.31,0.03,0.04,0.03,1.9100000000000001,2.32,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,40.0,0.07,0.0,0.0,11.28,0.13,0.1,17.4,79.92,10.21,67.43,0.0,0.0,10.01,96.98,7.39,56.82,35.48,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,45.16,0.4,16.67,0.34,0.0,0.07,0.0,5.21,70.97,97.44,6.55,44,1.48,136,4.57,5,67.65,44.76,1.5,0.76,0.026000000000000002,0.0,1.78,0.44,,,,0.0,0,0.0
L. Horníček,Lukáš Horníček,-104881,Sporting Braga,Sporting Braga,https://cdn5.wyscout.com/photos/team/public/165_120x120.png,Primeira Liga,GK,GK,100,,0,,0,23.0,2002-07-13,0,2028-06-30,27,2679,0,0.0,0,0.0,0.54,81.25,Czech Republic,['Czech Republic'],right,194,90,False,2.15,0.0,0.0,0.37,81.82,0.0,0.0,0.03,2.15,3.48,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,23.05,0.24,0.1,29.03,87.38,14.78,78.86,0.0,0.0,21.67,98.76,7.29,54.38,25.94,44.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,47.37,0.03,0.0,0.24,42.86,0.0,0.0,4.97,61.49,97.05,12.53,27,0.91,93,3.12,10,70.97,20.88,0.7000000000000001,-6.12,-0.20600000000000002,0.0,0.97,0.37,,,,0.0,0,0.0
Joel Robles,Joel Robles Blázquez,95877,Estoril,Estoril,https://cdn5.wyscout.com/photos/team/public/1542_120x120.png,Primeira Liga,GK,GK,100,,0,,0,35.0,1990-06-17,700000,2028-06-30,27,2653,0,0.0,0,0.0,0.34,80.0,Spain,['Spain'],right,197,95,False,1.3900000000000001,0.07,50.0,0.24,85.71,0.0,0.0,0.0,1.3599999999999999,1.8900000000000001,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,7.9,0.07,0.1,13.03,81.51,8.18,73.03,0.0,0.0,7.23,97.18,5.8,61.99,32.59,46.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,54.35,0.07,0.0,0.07,50.0,0.0,0.0,4.48,70.45,95.0,4.07,44,1.49,118,4.0,5,62.71,40.6,1.38,-3.4,-0.115,0.0,0.81,0.24,,,,0.0,0,0.0
F. Bacher,Felix Bacher,-78304,Estoril,Estoril,https://cdn5.wyscout.com/photos/team/public/1542_120x120.png,Primeira Liga,"LCB, CB",LCB,47,CB,39,,0,25.0,2000-10-25,500000,2028-06-30,27,2653,2,0.9500000000000001,0,0.21,16.08,62.03,Austria,['Austria'],right,190,81,False,8.75,6.0,67.23,5.43,55.63,0.1,0.14,0.54,4.61,6.44,1.02,3,0.1,0,0.0,0.31,0.07,2,0.07,0.03,2,0.07,7,0.24,28.57,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,1.9300000000000002,57.89,0.68,0.17,0.0,32.23,0.27,0.88,45.25,89.43,19.23,81.48,1.76,96.15,40.67,93.08,4.58,57.04,19.09,34.84,0.01,0.07,0.03,0.0,0.03,100.0,0.03,4.0,73.73,0.14,25.0,0.14,25.0,0.1,0.0,6.24,66.85,96.73,18.69,0,,0,,0,0.0,0.0,0.0,,,1.29,,5.43,0.0,0.0,0.0,0.0,0,0.0
Diogo Costa,Diogo Meireles Costa,377255,Porto,Porto,https://cdn5.wyscout.com/photos/team/public/157_120x120.png,Primeira Liga,GK,GK,100,,0,,0,26.0,1999-09-19,45000000,2030-06-30,27,2634,0,0.0,0,0.0,0.55,87.5,Portugal,"['Portugal', 'Switzerland']",right,188,84,False,1.26,0.0,0.0,0.38,90.91,0.0,0.0,0.0,1.26,1.9,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,0.0,18.72,0.34,0.07,24.6,88.75,11.86,78.39,0.0,0.0,16.95,98.59,7.55,67.87,27.22,47.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,58.02,0.21,0.0,0.17,20.0,0.07,0.0,5.06,76.35,99.35,10.46,11,0.38,55,1.88,17,80.0,12.51,0.43,1.51,0.052000000000000005,0.0,1.23,0.38,,,,0.0,0,0.0
Sidney Lima,Sidney Alexssander Pena De Lima,438399,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,"RCB3, RCB",RCB3,57,RCB,32,,0,29.0,1997-01-17,700000,2027-06-30,27,2624,1,1.24,0,0.66,11.46,56.29,Brazil,['Brazil'],right,182,72,False,7.0,4.25,63.71,4.15,49.59,0.17,0.24,0.58,4.12,5.66,0.89,7,0.24,1,0.03,0.51,0.03,1,0.03,0.04,0,0.0,12,0.41000000000000003,16.67,8.333,0.0,0.6900000000000001,40.0,0.07,100.0,0.62,33.33,0.17,0.41000000000000003,41.67,1.27,40.54,0.41000000000000003,0.79,0.03,29.74,0.27,0.72,41.26,86.2,14.65,70.49,3.64,95.28,35.36,92.53,5.25,49.02,21.73,42.19,0.02,0.27,0.0,0.0,0.03,0.0,0.1,5.25,62.75,1.06,48.39,0.38,18.18,0.21,0.27,6.86,69.0,94.63,19.17,0,,0,,0,0.0,0.0,0.0,,,1.85,,4.15,0.14,0.14,0.0,0.0,0,0.0
Luan Patrick,Luan Patrick Wiedthauper,-120699,Estrela Amadora,Estrela Amadora,https://cdn5.wyscout.com/photos/team/public/g-12861_120x120.png,Primeira Liga,"RCB, RCB3",RCB,51,RCB3,45,,0,24.0,2002-01-20,1300000,2028-06-30,27,2598,0,0.0,0,0.0,8.73,57.54,Brazil,['Brazil'],right,190,80,False,7.76,4.61,60.15,1.63,57.45,0.48,0.7000000000000001,0.8300000000000001,4.5,6.49,0.76,3,0.1,1,0.03,0.24,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.24,14.29,0.0,0.0,0.24,14.29,0.03,0.31,66.67,0.9400000000000001,48.15,0.24,1.32,0.03,30.0,0.21,0.24,46.56,87.43,21.1,79.97,2.94,92.94,39.91,92.19,6.41,60.54,21.15,40.61,0.0,0.0,0.03,0.03,0.0,0.0,0.0,4.12,73.11,0.48,35.71,0.28,25.0,0.17,0.07,8.45,65.57,95.91,18.64,0,,0,,0,0.0,0.0,0.0,,,2.04,,1.63,0.0,0.0,0.0,0.0,0,0.0
J. Ramírez,Jesús Andrés Ramírez Díaz,412273,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/164_120x120.png,Primeira Liga,CF,CF,98,,0,,0,27.0,1998-05-04,900000,2027-06-30,27,2580,14,15.13,1,0.76,22.92,35.31,Venezuela,['Venezuela'],left,187,76,False,2.55,2.23,54.69,10.36,37.37,0.07,0.1,0.17,1.26,1.76,1.47,5,0.17,0,0.0,2.06,0.49,9,0.31,0.53,2,0.07,75,2.62,46.67,18.667,0.03,0.38,0.0,0.24,0.0,0.14,0.0,0.03,1.6400000000000001,51.06,6.94,29.65,3.2800000000000002,0.66,0.07,8.62,1.53,0.98,14.44,76.09,2.9699999999999998,63.53,4.26,89.34,13.57,79.43,0.49,42.86,14.98,13.54,0.03,0.56,0.03,0.03,0.03,0.0,0.17,1.4,60.0,0.45,46.15,0.1,0.0,0.35000000000000003,0.03,0.98,64.29,74.75,3.45,0,,0,,0,0.0,0.0,0.0,,,0.45,,10.36,0.03,0.03,100.0,0.0,6,83.333
Paulinho Bóia,Paulo Henrique Pereira da Silva,489377,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/164_120x120.png,Primeira Liga,"LW, LWF, LAMF",LW,43,LWF,27,LAMF,17,27.0,1998-06-26,700000,2026-06-30,28,2573,4,4.07,2,3.66,19.2,44.26,Brazil,['Brazil'],right,171,64,False,4.72,4.27,55.74,1.85,28.3,0.31,0.44,0.03,2.03,2.83,1.15,5,0.17,0,0.0,4.06,0.14,4,0.14,0.14,0,0.0,51,1.78,41.18,7.843,0.07,2.38,16.18,1.96,16.07,0.42,16.67,0.21,4.97,57.75,10.49,48.0,2.13,2.87,0.73,15.53,2.55,1.96,20.64,68.31,5.25,52.0,4.37,91.2,15.64,80.54,2.8,41.25,21.05,36.42,0.13,1.12,0.03,0.03,0.21,33.33,0.42,2.62,53.33,2.52,37.5,0.7000000000000001,20.0,0.84,0.56,3.5,65.0,66.06,7.63,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.85,0.59,0.03,0.0,0.84,0,0.0
V. Froholdt,Victor Froholdt,-192193,Porto,Porto,https://cdn5.wyscout.com/photos/team/public/157_120x120.png,Primeira Liga,"RCMF3, RCMF",RCMF3,61,RCMF,22,,0,20.0,2006-02-25,0,2030-06-30,27,2539,4,4.37,4,1.98,16.13,49.23,Denmark,['Denmark'],right,187,0,False,6.8100000000000005,5.74,64.81,2.55,45.83,0.04,0.05,0.43,3.05,4.5600000000000005,1.13,2,0.07,0,0.0,1.35,0.14,4,0.14,0.15,1,0.04,27,0.96,25.93,14.815,0.14,0.85,29.17,0.11,0.0,0.74,33.33,0.11,1.45,56.1,5.85,39.39,1.9100000000000001,1.81,0.64,16.38,0.32,1.21,22.72,85.34,5.99,77.51,6.24,92.61,21.45,87.93,0.43,66.67,14.49,11.83,0.07,0.6000000000000001,0.0,0.0,0.04,100.0,0.35000000000000003,1.88,79.25,0.92,61.54,0.04,100.0,0.46,0.25,2.13,56.67,87.58,5.71,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.55,0.0,0.0,0.0,0.04,0,0.0
Naves,Kaiky Marques Naves,-132942,Alverca,Alverca,https://cdn5.wyscout.com/photos/team/public/g1691_120x120.png,Primeira Liga,RCB3,RCB3,94,,0,,0,23.0,2002-05-08,0,2028-12-31,26,2537,1,1.3599999999999999,0,0.28,12.27,61.56,Brazil,['Brazil'],right,184,78,True,10.15,6.53,69.02,3.16,56.18,0.04,0.04,0.96,5.61,6.55,0.8200000000000001,6,0.21,1,0.04,0.25,0.04,1,0.04,0.05,1,0.04,13,0.46,15.38,7.692,0.0,0.25,42.86,0.0,0.0,0.25,42.86,0.07,0.18,40.0,0.85,37.5,0.6000000000000001,0.6000000000000001,0.04,33.17,0.21,0.18,47.78,84.19,22.1,74.8,2.7,93.42,38.24,91.09,9.29,56.87,23.66,38.33,0.01,0.14,0.0,0.0,0.04,0.0,0.07,6.99,65.99,0.74,19.05,0.67,15.79,0.14,0.11,11.35,72.19,93.38,19.83,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.16,0.0,0.0,0.0,0.0,0,0.0
Léo Santos,Leonardo Rodrigues dos Santos,398741,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/164_120x120.png,Primeira Liga,"RCB, RCB3",RCB,65,RCB3,30,,0,27.0,1998-12-09,900000,2027-06-30,26,2536,3,1.67,2,1.3900000000000001,12.28,56.65,Brazil,['Brazil'],right,186,80,False,7.52,4.26,65.83,4.12,56.9,0.14,0.19,0.75,4.58,6.21,1.1400000000000001,11,0.39,0,0.0,0.43,0.11,3,0.11,0.06,3,0.11,18,0.64,33.33,16.667,0.07,0.21,33.33,0.04,0.0,0.11,66.67,0.04,0.25,42.86,1.6,35.56,1.17,0.75,0.14,23.74,0.35000000000000003,0.64,36.7,85.3,14.37,72.1,2.73,96.1,30.73,92.15,5.75,50.62,20.94,39.04,0.05,0.21,0.0,0.04,0.04,100.0,0.14,3.9699999999999998,58.93,0.75,38.1,0.46,23.08,0.28,0.07,5.61,67.72,96.5,15.22,0,,0,,0,0.0,0.0,0.0,,,2.06,,4.12,0.0,0.0,0.0,0.0,0,0.0
Nabil Touaizi,Nabil Zoubdi Touaizi,496627,Alverca,Alverca,https://cdn5.wyscout.com/photos/team/public/g1691_120x120.png,Primeira Liga,"RWB, RB5",RWB,65,RB5,32,,0,25.0,2001-02-01,200000,2028-06-30,27,2532,1,1.82,3,3.2,14.86,47.37,Spain,"['Spain', 'Morocco']",right,183,77,False,6.61,4.94,60.43,1.92,48.15,0.28,0.34,0.14,3.34,4.05,0.85,6,0.21,0,0.0,3.34,0.04,0,0.0,0.06,0,0.0,14,0.5,35.71,7.143,0.11,3.84,37.96,0.0,0.0,3.84,37.96,0.75,3.27,52.17,6.26,40.91,1.32,1.71,0.39,22.54,1.07,0.71,31.24,74.52,10.38,68.15,6.68,95.21,23.96,83.83,3.59,50.5,18.73,31.92,0.11,0.64,0.04,0.0,0.0,0.0,0.46,3.7,65.38,3.73,44.76,0.5,42.86,0.43,1.53,7.96,72.32,66.24,8.42,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.92,0.0,0.0,0.0,0.04,1,100.0
A. Trubin,Anatoliy Trubin,506249,Benfica,Benfica,https://cdn5.wyscout.com/photos/team/public/158_120x120.png,Primeira Liga,GK,GK,100,,0,,0,24.0,2001-08-01,0,2028-06-30,25,2499,0,0.0,0,0.0,0.58,100.0,Ukraine,['Ukraine'],right,199,86,False,0.79,0.04,100.0,0.4,100.0,0.0,0.0,0.0,0.76,1.2,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.07,0.0,0.0,8.25,0.11,0.14,13.29,90.51,6.73,82.35,0.04,100.0,9.9,99.27,3.39,64.89,25.86,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,58.33,0.0,0.0,0.07,100.0,0.07,0.0,2.99,71.08,98.73,5.69,16,0.58,67,2.41,12,76.12,19.43,0.7000000000000001,3.43,0.124,0.0,0.8300000000000001,0.4,,,,0.0,0,0.0
