Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Petrovic,Igor  Petrovic,-193250,Loznica,Loznica,https://cdn5.wyscout.com/photos/team/public/g3806_120x120.png,Prva Liga,"LCB, RCB",LCB,55,RCB,44,,0,25.0,2000-11-03,0,,28,2708,0,0.6000000000000001,0,0.64,9.74,63.82,Serbia,['Serbia'],,189,0,False,7.08,3.39,65.69,4.05,68.03,0.1,0.13,0.23,4.75,6.09,0.63,4,0.13,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,5,0.17,20.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.1,100.0,0.9,48.15,0.4,0.5,0.07,22.13,0.2,0.30000000000000004,36.96,87.32,12.8,72.21,3.02,98.9,33.5,91.87,3.42,43.69,21.33,37.2,0.02,0.07,0.03,0.0,0.0,0.0,0.03,2.29,52.17,0.1,0.0,0.13,25.0,0.07,0.0,4.85,47.95,96.46,17.81,0,,0,,0,0.0,0.0,0.0,,,2.69,,4.05,0.0,0.0,0.0,0.0,0,0.0
M. Živković,Mladen Živković,143430,Zemun,Zemun,https://cdn5.wyscout.com/photos/team/public/1258_120x120.png,Prva Liga,GK,GK,100,,0,,0,36.0,1989-08-26,100000,2026-06-30,28,2700,0,0.0,0,0.0,0.67,90.0,Serbia,['Serbia'],right,188,81,False,1.13,0.07,50.0,0.43,100.0,0.0,0.0,0.0,1.1,1.34,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,75.0,0.0,0.0,0.0,10.5,0.13,0.30000000000000004,18.73,79.89,11.07,68.67,0.03,0.0,8.97,98.51,9.77,62.8,35.63,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,44.44,0.23,14.29,0.0,0.0,0.03,0.0,5.97,77.09,96.33,7.27,24,0.8,98,3.27,12,75.51,25.53,0.85,1.53,0.051000000000000004,0.0,1.87,0.43,,,,0.0,0,0.0
A. Simic,Aleksandar Simic,-233647,Trayal Kruševac,Trayal Kruševac,https://cdn5.wyscout.com/photos/team/public/g6759_120x120.png,Prva Liga,GK,GK,100,,0,,0,24.0,2001-04-06,0,,28,2699,0,0.0,0,0.0,0.8300000000000001,88.0,Serbia,"['Serbia', 'Bosnia and Herzegovina']",right,193,0,False,1.57,0.13,75.0,0.5700000000000001,100.0,0.0,0.0,0.0,1.47,2.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,20.51,0.17,0.2,30.18,86.74,17.17,78.83,0.0,0.0,19.74,97.64,10.4,66.35,31.49,49.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,50.62,0.30000000000000004,22.22,0.1,66.67,0.07,0.0,8.1,73.66,97.27,12.2,33,1.1,99,3.3,6,66.67,29.49,0.98,-3.51,-0.117,0.0,1.87,0.5700000000000001,,,,0.0,0,0.0
J. Mitrović,Jovan Mitrović,-189486,Smederevo 1924,Smederevo 1924,https://cdn5.wyscout.com/photos/team/public/g22531_120x120.png,Prva Liga,"RCB, LCB",RCB,69,LCB,27,,0,25.0,2001-01-25,0,2026-06-30,28,2699,2,0.81,0,0.44,14.21,59.39,Serbia,['Serbia'],,0,0,False,9.1,6.14,66.85,4.9,57.82,0.23,0.35000000000000003,0.77,4.77,7.14,1.4,7,0.23,0,0.0,0.27,0.07,2,0.07,0.03,2,0.07,11,0.37,36.36,18.182,0.0,0.23,28.57,0.07,50.0,0.17,20.0,0.07,0.1,66.67,1.33,47.5,0.63,0.8,0.0,34.78,0.53,0.9,52.62,83.4,23.81,71.85,3.9,97.44,43.18,91.74,9.2,45.65,23.69,42.95,0.01,0.13,0.0,0.0,0.0,0.0,0.03,7.8,51.28,1.3,20.51,0.93,21.43,0.23,0.1,10.3,68.28,93.14,21.87,0,,0,,0,0.0,0.0,0.0,,,3.47,,4.9,0.0,0.0,0.0,0.0,0,0.0
D. Jovanović,Djordje Jovanović,509761,Zemun,Zemun,https://cdn5.wyscout.com/photos/team/public/1258_120x120.png,Prva Liga,LCB,LCB,95,,0,,0,25.0,2001-01-07,0,2026-06-30,28,2696,0,1.09,0,0.0,10.82,61.73,Serbia,['Serbia'],,0,0,False,8.18,3.84,66.96,4.44,66.17,0.4,0.49,0.8300000000000001,5.21,6.34,0.97,3,0.1,1,0.03,0.0,0.0,0,0.0,0.04,0,0.0,4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,48.28,0.30000000000000004,0.4,0.03,20.43,0.27,0.8,34.55,84.83,12.35,65.41,2.44,95.89,29.51,90.61,5.04,50.99,22.46,34.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,53.16,0.17,0.0,0.17,20.0,0.0,0.0,5.37,49.07,96.42,17.69,0,,0,,0,0.0,0.0,0.0,,,1.97,,4.44,0.0,0.0,0.0,0.0,0,0.0
F. Stamenkovic,Filip Stamenkovic,508319,Dinamo,Dinamo,https://cdn5.wyscout.com/photos/team/public/g-24180_120x120.png,Prva Liga,"RCB, CB, LCB",RCB,60,CB,24,LCB,14,27.0,1998-09-15,175000,,27,2642,0,0.55,1,0.85,10.29,65.23,Serbia,['Serbia'],right,192,79,False,6.34,2.76,71.6,4.91,71.53,0.14,0.21,0.31,4.22,6.5,0.85,7,0.24,0,0.0,0.14,0.0,0,0.0,0.02,0,0.0,8,0.27,37.5,0.0,0.03,0.07,50.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.78,34.78,0.55,0.07,0.0,9.2,0.24,0.68,20.92,76.71,10.46,63.19,1.16,97.06,16.52,85.57,4.33,43.31,23.63,38.99,0.03,0.14,0.0,0.0,0.0,0.0,0.03,3.61,44.34,0.34,20.0,0.2,0.0,0.14,0.03,5.08,57.72,90.04,7.87,0,,0,,0,0.0,0.0,0.0,,,0.89,,4.91,0.03,0.03,0.0,0.0,0,0.0
N. Kodžić,Nikola Kodžić,-272219,Smederevo 1924,Smederevo 1924,https://cdn5.wyscout.com/photos/team/public/g22531_120x120.png,Prva Liga,"LAMF, LW",LAMF,51,LW,33,,0,28.0,1997-12-18,300000,2026-06-30,28,2543,9,4.67,2,2.4,18.83,44.36,Serbia,['Serbia'],right,186,77,False,5.73,4.57,69.77,4.18,45.76,0.14,0.21,0.0,2.41,3.64,1.2,2,0.07,0,0.0,2.65,0.32,9,0.32,0.17,2,0.07,38,1.34,34.21,23.684,0.07,1.8399999999999999,32.69,1.63,30.43,0.21,50.0,0.28,2.8,51.9,8.32,32.34,1.98,2.69,0.07,22.93,1.73,0.74,33.23,75.51,12.0,64.31,8.53,93.36,27.96,82.28,3.43,43.3,18.61,36.45,0.08,1.13,0.07,0.14,0.18,80.0,0.53,5.27,57.05,3.33,47.87,0.35000000000000003,60.0,1.38,0.6000000000000001,6.02,75.88,76.5,7.08,0,,0,,0,0.0,0.0,0.0,,,0.25,,4.18,0.0,0.0,0.0,0.14,0,0.0
M. Jevtović,Milan Jevtović,258642,Borac Čačak,Borac Čačak,https://cdn5.wyscout.com/photos/team/public/701_120x120.png,Prva Liga,"LAMF, LW, CF",LAMF,42,LW,25,CF,14,32.0,1993-06-13,250000,2026-06-30,27,2516,5,7.75,2,4.45,17.38,45.06,Serbia,['Serbia'],right,184,77,False,7.01,5.08,58.45,1.6800000000000002,31.91,0.64,0.92,0.18,3.4,4.86,0.79,3,0.11,0,0.0,4.11,0.18,2,0.07,0.28,1,0.04,46,1.65,32.61,10.87,0.07,3.93,30.0,3.47,28.87,0.39,27.27,0.8200000000000001,4.44,53.23,8.91,40.96,3.36,2.15,0.21,19.32,1.8599999999999999,0.5700000000000001,29.65,69.72,10.19,63.51,5.44,92.11,23.47,78.35,2.25,49.21,17.65,26.56,0.16,0.97,0.07,0.0,0.07,50.0,0.5700000000000001,4.04,63.72,3.9699999999999998,46.85,0.36,60.0,1.11,1.18,5.62,73.89,68.04,7.83,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.6800000000000002,0.61,0.0,0.0,1.1400000000000001,4,75.0
A. Stanković,Aleksandar Stanković,385231,OFK Vršac,OFK Vršac,https://cdn5.wyscout.com/photos/team/public/g-16413_120x120.png,Prva Liga,GK,GK,100,,0,,0,28.0,1998-02-17,50000,2026-06-30,26,2512,0,0.0,0,0.0,0.25,100.0,Serbia,['Serbia'],right,191,80,False,1.25,0.04,100.0,0.18,100.0,0.0,0.0,0.04,1.22,1.8599999999999999,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,0.21,0.07,25.47,89.87,13.15,82.83,0.18,80.0,17.09,98.95,8.35,71.24,30.58,47.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,52.46,0.14,0.0,0.18,40.0,0.0,0.0,5.77,84.47,97.76,11.18,25,0.9,76,2.7199999999999998,10,67.11,24.87,0.89,-0.13,-0.005,0.11,1.11,0.18,,,,0.0,0,0.0
F. Vasiljevic,Filip  Vasiljevic,-194535,Grafičar,Grafičar,https://cdn5.wyscout.com/photos/team/public/g4182_120x120.png,Prva Liga,"DMF, LCMF",DMF,66,LCMF,15,,0,23.0,2002-10-05,0,,26,2511,0,0.47000000000000003,2,0.33,18.28,61.76,Serbia,['Serbia'],,172,0,False,11.4,8.39,70.94,2.47,39.13,0.32,0.56,0.18,5.13,8.9,1.43,5,0.18,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,6,0.22,33.33,0.0,0.07,0.25,28.57,0.0,0.0,0.18,40.0,0.11,0.43,33.33,4.44,57.26,0.11,1.18,0.07,25.73,0.11,2.8,45.48,87.31,15.27,74.41,6.27,97.14,41.83,90.66,3.41,50.53,18.7,35.04,0.01,0.25,0.0,0.0,0.04,0.0,0.11,6.92,73.58,0.54,40.0,0.04,0.0,0.11,0.07,6.16,76.16,93.9,18.82,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.47,0.04,0.0,0.0,0.0,0,0.0
