Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Sánchez,Liborio Vicente Sánchez Ledezma,41586,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,GK,GK,100,,0,,0,36.0,1989-10-09,100000,2026-06-30,36,3459,0,0.03,0,0.0,0.7000000000000001,85.19,Mexico,['Mexico'],right,183,78,False,1.17,0.1,25.0,0.47000000000000003,94.44,0.03,0.04,0.0,1.12,1.6800000000000002,0.08,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.03,0.0,0.0,4.37,0.13,0.13,11.16,85.08,5.93,76.32,0.0,0.0,7.99,95.77,3.12,58.33,31.28,43.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,37.93,0.03,0.0,0.0,0.0,0.0,0.0,2.55,69.39,96.22,4.8100000000000005,46,1.2,159,4.14,11,71.07,39.38,1.02,-6.62,-0.17200000000000001,0.0,1.4100000000000001,0.47000000000000003,,,,0.0,0,0.0
K. Moscoso,Kevin Jorge Amilcar Moscoso Mayén,416514,Mixco,Mixco,https://cdn5.wyscout.com/photos/team/public/g13497_120x120.png,Liga Nacional,GK,GK,100,,0,,0,32.0,1993-06-13,200000,2026-06-30,35,3374,0,0.0,0,0.0,0.67,88.0,Guatemala,['Guatemala'],right,185,80,False,1.71,0.03,100.0,0.27,90.0,0.0,0.0,0.0,1.6800000000000002,2.4,0.0,4,0.11,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.27,80.0,0.0,0.0,0.0,5.25,0.16,0.11,14.46,80.81,9.95,73.73,0.03,0.0,8.75,96.04,5.71,57.48,38.44,55.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,55.73,0.35000000000000003,23.08,0.11,0.0,0.08,0.0,4.4,81.21,96.82,4.19,36,0.96,125,3.33,12,71.2,30.67,0.8200000000000001,-5.33,-0.14200000000000002,0.0,1.49,0.27,,,,0.0,0,0.0
A. García Flores,Allan Lester García Flores,-277725,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,"DMF, RDMF, LDMF",DMF,33,RDMF,20,LDMF,14,27.0,1998-10-29,0,,35,3234,0,1.28,2,0.75,17.64,52.68,Guatemala,['Guatemala'],right,0,0,False,11.6,8.74,66.56,2.14,50.65,0.5,0.75,0.39,5.29,7.94,1.3900000000000001,8,0.22,0,0.0,0.89,0.0,0,0.0,0.04,0,0.0,26,0.72,23.08,0.0,0.06,0.31,27.27,0.14,40.0,0.14,20.0,0.03,1.1400000000000001,46.34,4.79,31.4,0.28,0.78,0.14,25.74,0.25,0.61,41.16,85.19,12.97,71.03,6.15,94.57,36.57,88.51,4.29,61.04,18.61,32.7,0.02,0.33,0.03,0.0,0.19,57.14,0.17,6.21,69.96,0.8300000000000001,53.33,0.25,33.33,0.31,0.08,5.87,70.62,92.58,15.75,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.14,0.0,0.0,0.0,0.0,0,0.0
M. Jiménez,Miguel Jiménez Ponce,126611,Malacateco,Malacateco,https://cdn5.wyscout.com/photos/team/public/3533_120x120.png,Liga Nacional,GK,GK,100,,0,,0,35.0,1990-03-14,700000,2026-06-30,33,3182,0,0.0,0,0.0,0.42,80.0,Mexico,['Mexico'],left,182,82,False,1.16,0.06,50.0,0.23,100.0,0.0,0.0,0.0,1.13,1.55,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.08,100.0,0.0,0.0,0.0,5.4,0.2,0.08,11.6,77.32,8.06,68.42,0.06,100.0,5.85,98.07,5.74,56.16,39.68,53.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,44.74,0.11,0.0,0.08,33.33,0.0,0.0,3.85,77.21,97.46,3.34,42,1.19,141,3.99,10,70.21,39.01,1.1,-2.99,-0.085,0.03,0.93,0.23,,,,0.0,0,0.0
Ederson Cabezas,Ederson Ancízar Cabezas Quiñónez,-119506,Achuapa,Achuapa,https://cdn5.wyscout.com/photos/team/public/g13492_120x120.png,Liga Nacional,GK,GK,100,,0,,0,25.0,2000-07-04,0,2026-06-30,33,3137,0,0.0,0,0.2,0.9500000000000001,84.85,Colombia,['Colombia'],right,191,0,False,2.04,0.14,80.0,0.55,89.47,0.03,0.04,0.0,1.8900000000000001,2.31,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,66.67,0.0,0.0,0.0,4.07,0.26,0.17,11.68,74.94,8.52,67.34,0.0,0.0,5.57,95.88,6.08,55.66,41.07,54.35,0.01,0.03,0.0,0.0,0.0,0.0,0.03,2.44,45.88,0.52,11.11,0.2,28.57,0.06,0.0,4.45,77.42,95.19,2.98,36,1.03,169,4.85,9,78.7,45.57,1.31,9.57,0.275,0.0,2.12,0.55,,,,0.0,0,0.0
A. Bajan,Daniel Alexander Bajan Morales,-722672,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,"RB, RCMF3, AMF",RB,22,RCMF3,19,AMF,15,26.0,1999-08-08,0,2026-06-30,36,3128,4,3.87,7,5.0,16.29,48.06,Guatemala,['Guatemala'],,0,0,False,6.65,6.07,68.25,1.67,37.93,0.12,0.18,0.14,2.39,3.65,0.52,3,0.09,0,0.0,2.93,0.12,4,0.12,0.11,0,0.0,40,1.15,40.0,10.0,0.2,2.88,34.0,0.8300000000000001,51.72,2.01,27.14,0.46,2.47,55.81,7.11,35.63,1.47,1.87,0.09,28.77,2.01,1.04,38.64,75.65,16.17,68.86,4.4,90.2,32.37,81.33,3.48,55.37,18.28,29.83,0.14,1.29,0.09,0.09,0.32,36.36,0.4,6.68,67.67,3.31,46.09,0.55,36.84,0.75,1.04,9.44,75.61,80.31,11.11,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.67,1.15,0.0,0.0,2.47,0,0.0
D. Suazo,Dayron Andres Suazo Arzu,-121957,Achuapa,Achuapa,https://cdn5.wyscout.com/photos/team/public/g13492_120x120.png,Liga Nacional,"LCB, LCB3, RCB",LCB,48,LCB3,27,RCB,11,27.0,1999-02-21,0,2026-06-30,34,3127,1,0.73,1,0.92,15.46,55.49,Honduras,['Honduras'],right,0,0,False,9.38,5.7,61.11,4.84,56.55,0.26,0.32,0.43,5.64,7.01,1.24,9,0.26,0,0.0,0.52,0.03,1,0.03,0.02,1,0.03,11,0.32,27.27,9.091,0.03,0.29,30.0,0.06,0.0,0.23,37.5,0.03,0.49,70.59,2.56,40.45,0.43,0.37,0.03,15.34,0.4,0.55,28.46,72.7,15.86,62.25,1.04,88.89,20.92,82.81,7.28,45.06,23.13,38.36,0.03,0.06,0.0,0.0,0.0,0.0,0.06,4.2,45.89,0.58,30.0,0.4,28.57,0.17,0.12,7.48,54.23,89.9,8.55,0,,0,,0,0.0,0.0,0.0,,,0.49,,4.84,0.12,0.0,0.0,0.0,0,0.0
R. Corado,Randall Emerson Corado Ruano,-345384,Achuapa,Achuapa,https://cdn5.wyscout.com/photos/team/public/g13492_120x120.png,Liga Nacional,"RB, LB, LB5",RB,35,LB,30,LB5,28,21.0,2004-09-01,0,2026-06-30,34,3111,0,0.5,0,0.74,13.22,49.23,Guatemala,['Guatemala'],right,177,67,True,7.96,6.68,60.61,1.71,44.07,0.55,0.68,0.29,3.36,4.17,0.67,8,0.23,0,0.0,1.42,0.0,0,0.0,0.01,0,0.0,11,0.32,27.27,0.0,0.0,2.05,30.99,1.3,26.67,0.75,38.46,0.26,1.45,48.0,3.15,35.78,0.61,1.01,0.23,23.0,1.82,0.46,32.0,75.95,15.07,69.87,4.17,93.75,25.14,85.16,5.0,47.98,19.75,34.13,0.02,0.2,0.0,0.0,0.0,0.0,0.09,5.03,74.71,1.74,33.33,0.09,0.0,0.29,0.55,7.84,63.1,75.26,8.42,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.71,0.0,0.0,0.0,0.0,0,0.0
C. Monterroso,Carlos Antonio Monterroso Cruz,-102178,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,"RB, LB",RB,57,LB,27,,0,26.0,1999-05-29,0,,34,3080,2,1.3900000000000001,0,0.84,17.24,54.92,Guatemala,['Guatemala'],,0,0,False,10.46,8.91,62.3,2.5700000000000003,44.32,0.26,0.38,0.29,4.65,6.79,1.29,8,0.23,0,0.0,1.34,0.06,2,0.06,0.04,0,0.0,20,0.58,35.0,10.0,0.0,0.76,46.15,0.15,60.0,0.58,45.0,0.09,1.29,61.36,3.59,51.22,0.38,1.67,0.18,21.04,0.53,0.91,32.76,78.14,15.69,67.04,2.69,92.39,25.36,85.94,6.63,51.98,21.77,37.76,0.02,0.29,0.0,0.06,0.0,0.0,0.18,5.46,57.75,0.9400000000000001,43.75,0.18,16.67,0.15,0.41000000000000003,9.12,70.19,87.61,10.14,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.5700000000000003,0.0,0.0,0.0,0.03,0,0.0
E. Soto Barrios,Eduardo Beltrán Soto Barrios,354949,Cobán Imperial,Cobán Imperial,https://cdn5.wyscout.com/photos/team/public/g5079_120x120.png,Liga Nacional,"LB, LB5",LB,86,LB5,12,,0,36.0,1990-03-03,100000,2026-06-30,33,3029,0,0.66,1,0.15,15.36,58.41,Guatemala,['Guatemala'],,165,69,False,9.78,7.8100000000000005,73.76,2.79,39.36,0.12,0.17,0.24,3.89,5.47,0.86,4,0.12,0,0.0,1.07,0.0,0,0.0,0.02,0,0.0,9,0.27,44.44,0.0,0.03,1.49,32.0,1.49,32.0,0.0,0.0,0.03,0.77,61.54,3.27,41.82,0.33,1.13,0.06,15.24,1.52,0.86,25.73,77.83,12.57,70.69,3.03,98.04,19.7,86.58,4.64,54.49,19.75,33.83,0.0,0.21,0.03,0.0,0.0,0.0,0.06,3.86,68.46,1.6,37.04,0.06,50.0,0.12,0.45,6.72,70.35,79.2,6.72,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.79,0.0,0.0,0.0,0.03,0,0.0
