Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Al Harrar,El Mehdi Al Harrar,-220290,Raja Casablanca,Raja Casablanca,https://cdn5.wyscout.com/photos/team/public/2298_120x120.png,Botola Pro,GK,GK,100,,0,,0,25.0,2000-11-30,150000,2027-06-30,20,2031,0,0.0,0,0.0,1.24,78.57,Morocco,['Morocco'],right,189,85,False,2.5300000000000002,0.04,100.0,0.44,90.0,0.09,0.15,0.0,2.39,4.16,0.0,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,80.0,0.0,0.0,0.04,20.3,0.22,0.62,28.71,91.98,12.72,85.37,0.0,0.0,22.38,97.82,6.34,71.33,27.37,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,59.09,0.0,0.0,0.0,0.0,0.0,0.0,4.39,67.68,97.33,14.93,8,0.35000000000000003,55,2.44,13,85.45,12.34,0.55,4.34,0.192,0.0,1.8599999999999999,0.44,,,,0.0,0,0
Z. Marour,Zouhair Marour,-167236,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,LCB,LCB,97,,0,,0,31.0,1995-03-19,650000,2026-06-30,20,2016,0,1.9300000000000002,3,0.61,12.41,59.71,Morocco,['Morocco'],left,182,0,False,7.9,3.66,69.51,4.91,60.0,0.22,0.35000000000000003,0.58,5.13,8.08,0.67,2,0.09,0,0.0,0.49,0.0,0,0.0,0.09,0,0.0,10,0.45,0.0,0.0,0.13,0.45,40.0,0.31,28.57,0.09,100.0,0.04,0.45,70.0,2.54,52.63,0.67,2.41,0.22,26.38,0.67,1.07,40.94,82.66,22.19,77.46,2.19,89.8,33.88,89.86,6.61,48.65,20.82,37.67,0.03,0.4,0.0,0.0,0.04,0.0,0.22,7.63,70.18,1.29,58.62,0.49,45.45,0.58,0.22,10.89,74.59,90.44,12.14,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.91,0.09,0.04,0.0,0.0,0,0
K. El Bounagate,Karim El Bounagate,-222041,CODM Meknès,CODM Meknès,https://cdn5.wyscout.com/photos/team/public/3836_120x120.png,Botola Pro,LCB,LCB,96,,0,,0,25.0,2000-10-12,175000,2027-06-30,20,1979,1,1.34,0,0.0,13.23,64.26,Morocco,['Morocco'],left,185,0,False,8.28,3.91,77.91,4.14,60.44,0.45,0.72,0.45,4.78,7.59,0.64,3,0.14,0,0.0,0.32,0.05,1,0.05,0.06,1,0.05,9,0.41000000000000003,22.22,11.111,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.27,83.33,3.0,56.06,0.55,0.5,0.0,22.97,0.36,1.73,35.11,83.68,17.69,77.38,1.55,94.12,29.47,89.35,5.59,54.47,21.03,36.58,0.0,0.05,0.09,0.0,0.0,0.0,0.0,3.59,69.62,0.27,50.0,0.14,0.0,0.14,0.0,8.05,62.71,91.86,13.42,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,4.14,0.0,0.0,0.0,0.0,0,0
Z. Kiani,Zakaria Kiani,-145141,Ittihad Tanger,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,Botola Pro,"RB, RWB, RB5",RB,59,RWB,25,RB5,10,29.0,1997-01-22,400000,2026-06-30,20,1957,1,0.29,0,1.12,12.92,51.6,Morocco,['Morocco'],right,170,64,False,8.6,6.12,65.41,2.02,47.73,0.55,0.86,0.09,4.05,6.29,0.64,1,0.05,0,0.0,1.38,0.05,1,0.05,0.01,0,0.0,11,0.51,27.27,9.091,0.0,2.35,33.33,0.0,0.0,2.35,33.33,0.28,0.92,50.0,3.54,32.47,0.6900000000000001,1.43,0.23,20.1,0.78,0.55,32.15,76.11,16.19,72.73,3.54,96.1,25.06,83.49,4.83,58.1,19.2,34.73,0.05,0.51,0.05,0.0,0.0,0.0,0.32,5.06,71.82,2.62,45.61,0.28,33.33,0.55,0.87,9.52,75.36,74.16,8.19,0,,0,,0,0.0,0.0,0.0,,,0.51,,2.02,0.05,0.0,0.0,0.05,0,0
M. Saoud,Mohamed Saoud,319067,Ittihad Tanger,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,Botola Pro,"CB, RCB, LCB",CB,43,RCB,33,LCB,22,30.0,1996-01-30,450000,2027-06-30,19,1934,2,2.33,0,0.2,10.52,63.27,Morocco,['Morocco'],,0,0,False,7.59,2.89,74.19,4.7,67.33,0.56,0.85,0.51,4.89,7.46,0.47000000000000003,3,0.14,0,0.0,0.6000000000000001,0.09,1,0.05,0.11,1,0.05,32,1.49,18.75,6.25,0.0,0.14,0.0,0.09,0.0,0.05,0.0,0.09,0.47000000000000003,70.0,1.44,48.39,0.51,0.79,0.0,21.17,0.33,0.65,35.13,84.24,15.73,74.56,2.0,90.7,28.99,89.57,6.0,60.47,23.45,42.12,0.01,0.14,0.0,0.05,0.0,0.0,0.05,5.72,69.11,0.74,31.25,0.09,0.0,0.28,0.0,8.24,73.45,93.44,14.89,0,,0,,0,0.0,0.0,0.0,,,0.98,,4.7,0.74,0.74,12.5,0.0,1,100
E. Benabid,El Mehdi Benabid,515614,Wydad Casablanca,Wydad Casablanca,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png,Botola Pro,GK,GK,100,,0,,0,28.0,1998-01-24,1800000,2027-06-30,19,1929,0,0.0,0,0.0,0.51,81.82,Morocco,['Morocco'],right,188,80,False,1.03,0.05,100.0,0.28,83.33,0.0,0.0,0.0,0.98,1.53,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,75.0,0.0,0.0,0.0,14.84,0.14,0.14,21.51,88.94,11.43,81.22,0.0,0.0,14.18,98.68,7.33,70.06,31.54,44.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,65.71,0.0,0.0,0.0,0.0,0.05,0.0,5.46,77.78,98.05,9.56,15,0.7000000000000001,72,3.36,8,79.17,17.07,0.8,2.07,0.097,0.0,1.12,0.28,,,,0.0,0,0
A. Khalloufi,Adil Khalloufi,-739010,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,"DMF, LDMF, RDMF",DMF,37,LDMF,23,RDMF,16,,,0,,19,1924,0,0.27,0,0.79,13.52,55.71,Morocco,['Morocco'],unknown,0,0,False,7.72,5.33,68.42,2.48,52.83,0.14,0.22,0.09,3.93,6.18,1.03,1,0.05,1,0.05,0.7000000000000001,0.0,0,0.0,0.01,0,0.0,20,0.9400000000000001,5.0,0.0,0.0,0.7000000000000001,53.33,0.23,40.0,0.47000000000000003,60.0,0.23,0.47000000000000003,50.0,3.65,43.59,0.23,0.89,0.0,31.57,0.37,1.17,47.76,82.08,15.44,64.85,6.69,91.61,38.36,87.44,8.7,60.75,22.3,39.95,0.04,0.75,0.05,0.0,0.19,25.0,0.19,8.7,62.9,1.96,45.24,1.26,25.93,0.42,0.42,8.47,66.3,91.17,19.6,0,,0,,0,0.0,0.0,0.0,,,1.96,,2.48,1.17,0.05,0.0,0.09,0,0
A. Serrhat,Anas Serrhat,-66887,FUS Rabat,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,Botola Pro,"RDMF, LDMF, RCMF",RDMF,26,LDMF,23,RCMF,20,29.0,1996-11-01,450000,,19,1910,1,1.6800000000000002,2,2.42,15.08,54.69,Morocco,['Morocco'],,178,0,False,6.79,4.9,66.35,2.26,41.67,0.19,0.28,0.14,3.35,5.0,0.9400000000000001,2,0.09,0,0.0,1.7000000000000002,0.05,1,0.05,0.08,0,0.0,20,0.9400000000000001,45.0,5.0,0.09,0.8,41.18,0.42,44.44,0.33,28.57,0.14,1.51,59.38,6.22,55.3,0.38,1.79,0.14,29.36,0.24,1.88,44.67,81.22,15.22,65.63,6.03,96.09,38.92,85.59,4.95,53.33,19.87,38.35,0.11,0.85,0.14,0.0,0.28,16.67,0.28,8.86,68.62,3.06,44.62,0.9400000000000001,25.0,0.9,0.42,8.34,74.58,89.29,17.15,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.26,0.9,0.09,50.0,1.04,0,0
S. Chihab,Salaheddine Chihab,-100391,Maghreb Fès,Maghreb Fès,https://cdn5.wyscout.com/photos/team/public/2313_120x120.png,Botola Pro,GK,GK,100,,0,,0,33.0,1993-02-23,650000,2028-06-30,19,1908,0,0.0,0,0.0,0.75,100.0,Morocco,['Morocco'],right,198,0,False,1.23,0.0,0.0,0.42,100.0,0.0,0.0,0.0,1.23,1.9100000000000001,0.0,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,13.87,0.28,0.52,21.04,86.32,9.86,72.73,0.05,100.0,14.39,99.02,6.65,58.87,30.82,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,47.5,0.19,0.0,0.14,66.67,0.05,0.0,4.58,72.16,98.22,10.61,10,0.47000000000000003,51,2.41,11,80.39,14.59,0.6900000000000001,4.59,0.217,0.05,1.7000000000000002,0.42,,,,0.0,0,0
C. Knaidil,Chemseddine Knaidil,-384445,CODM Meknès,CODM Meknès,https://cdn5.wyscout.com/photos/team/public/3836_120x120.png,Botola Pro,LB,LB,100,,0,,0,23.0,2002-12-06,0,2027-06-30,19,1900,0,0.03,0,0.76,18.38,54.38,Morocco,['Morocco'],left,0,0,False,8.19,7.44,64.97,1.47,38.71,0.43,0.67,0.14,2.94,4.6,1.42,3,0.14,0,0.0,2.51,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.0,2.65,42.86,2.65,42.86,0.0,0.0,0.28,2.08,63.64,6.58,53.24,0.28,1.28,0.24,22.03,1.09,2.08,31.12,74.43,13.07,70.65,5.78,86.89,24.21,83.95,4.5,41.05,19.27,35.99,0.04,0.52,0.0,0.0,0.05,100.0,0.19,4.55,73.96,2.37,48.0,0.14,0.0,0.33,0.99,8.48,67.04,72.62,7.96,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.47,0.14,0.0,0.0,0.24,0,0
