Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Gundel-Takács,Bence Gundel-Takács,423673,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,GK,GK,100,,0,,0,27.0,1998-04-06,150000,2027-06-30,25,2458,0,0.0,0,0.0,1.07,85.71,Hungary,['Hungary'],left,200,89,False,1.45,0.08,50.0,0.84,90.91,0.0,0.0,0.0,1.4100000000000001,1.9,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,13.02,0.15,0.15,21.79,84.76,13.36,78.29,0.0,0.0,15.5,96.55,6.26,56.1,30.28,50.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,34.29,0.08,0.0,0.08,50.0,0.0,0.0,5.31,63.31,95.26,8.05,30,1.15,111,4.24,7,72.97,32.65,1.25,2.65,0.101,0.0,2.56,0.84,,,,0.0,0,0.0
I. Popovich,Ilya Popovich,-597794,Várda SE,Várda SE,https://cdn5.wyscout.com/photos/team/public/g11938_120x120.png,NB I,GK,GK,100,,0,,0,20.0,2005-11-30,0,,25,2417,0,0.0,0,0.0,1.12,76.67,Hungary,['Hungary'],unknown,0,0,False,1.49,0.19,40.0,0.74,90.0,0.04,0.05,0.0,1.38,1.83,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,12.7,0.22,0.11,18.47,84.48,11.25,75.83,0.0,0.0,10.05,96.67,8.42,69.91,34.68,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,43.75,0.07,0.0,0.07,0.0,0.0,0.0,6.8100000000000005,73.77,98.91,6.85,37,1.38,114,4.24,8,67.54,32.48,1.21,-4.52,-0.168,0.0,2.64,0.74,,,,0.0,0,0.0
João Nunes,João Aniceto Grandela Nunes,214871,Újpest,Újpest,https://cdn5.wyscout.com/photos/team/public/351_120x120.png,NB I,RCB,RCB,87,,0,,0,30.0,1995-11-19,500000,2026-06-30,24,2272,1,0.96,0,0.04,11.13,60.5,Portugal,['Portugal'],right,186,78,False,7.65,4.87,65.04,4.04,55.88,0.08,0.12,0.87,4.4,6.47,0.91,4,0.16,0,0.0,0.2,0.04,1,0.04,0.04,0,0.0,8,0.32,12.5,12.5,0.0,0.2,40.0,0.0,0.0,0.2,40.0,0.04,0.08,100.0,0.79,65.0,0.63,0.75,0.04,32.32,0.55,0.55,46.43,90.1,16.91,81.5,2.93,97.3,41.47,94.56,4.79,52.89,19.87,35.1,0.0,0.08,0.0,0.0,0.04,0.0,0.0,3.76,73.68,0.44,45.45,0.24,16.67,0.08,0.08,6.18,65.38,95.69,21.15,0,,0,,0,0.0,0.0,0.0,,,1.98,,4.04,0.0,0.0,0.0,0.0,0,0.0
D. Lukács,Dániel Lukács,406137,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,"CF, RW, AMF",CF,49,RW,15,AMF,12,29.0,1996-04-03,300000,2028-06-30,25,2263,12,6.51,1,3.9699999999999998,17.38,37.53,Hungary,['Hungary'],right,182,73,False,4.18,3.7,54.84,3.18,17.5,0.08,0.11,0.12,2.07,2.74,0.99,3,0.12,0,0.0,5.09,0.48,12,0.48,0.26,1,0.04,38,1.51,55.26,31.579,0.04,4.3,47.22,0.56,64.29,3.74,44.68,0.52,3.38,63.53,7.52,43.92,3.22,1.3900000000000001,0.48,11.73,1.47,0.76,18.29,66.74,3.94,49.49,3.62,92.31,12.85,74.61,1.51,52.63,19.21,28.32,0.16,1.27,0.0,0.04,0.08,100.0,0.91,1.11,57.14,3.42,61.63,0.28,57.14,0.87,1.83,3.7,73.12,68.9,6.52,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.18,0.08,0.0,0.0,0.24,0,0.0
W. Golla,Wojciech Golla,162027,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,RCB,RCB,93,,0,,0,34.0,1992-01-12,500000,2026-06-30,24,2261,2,1.27,1,0.28,15.52,58.21,Poland,['Poland'],right,186,80,False,8.88,5.06,71.65,6.8100000000000005,56.73,0.56,0.73,0.76,4.7,6.14,1.19,5,0.2,0,0.0,0.64,0.08,2,0.08,0.05,0,0.0,15,0.6000000000000001,40.0,13.333,0.04,0.4,50.0,0.08,50.0,0.32,50.0,0.08,0.28,71.43,0.88,45.45,0.96,0.68,0.04,28.9,0.36,0.28,44.82,87.74,16.48,74.4,2.75,94.2,38.33,93.87,6.13,51.95,20.65,36.21,0.01,0.04,0.04,0.04,0.0,0.0,0.04,5.13,65.89,0.8,50.0,0.52,30.77,0.32,0.2,7.5600000000000005,65.79,97.92,21.02,0,,0,,0,0.0,0.0,0.0,,,2.11,,6.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
Á. Kovácsik,Ádám Kovácsik,90731,Paksi FC,Paksi FC,https://cdn5.wyscout.com/photos/team/public/360_120x120.png,NB I,GK,GK,100,,0,,0,34.0,1991-04-04,150000,,23,2250,0,0.0,0,0.0,0.64,62.5,Hungary,['Hungary'],right,193,84,False,1.32,0.28,28.57,0.24,100.0,0.0,0.0,0.08,1.24,1.71,0.08,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,7.32,0.12,0.16,13.12,81.1,10.8,77.78,0.0,0.0,4.5600000000000005,96.49,8.52,73.24,42.17,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,69.23,0.0,0.0,0.28,28.57,0.0,0.0,6.92,90.75,98.21,2.24,33,1.32,114,4.5600000000000005,4,71.05,34.84,1.3900000000000001,1.8399999999999999,0.074,0.0,1.2,0.24,,,,0.0,0,0.0
B. Várkonyi,Bence Várkonyi,-149173,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,"LCB, RCB, CB",LCB,48,RCB,38,CB,13,23.0,2002-03-18,0,2027-06-30,23,2250,0,2.08,0,0.28,11.68,58.56,Hungary,['Hungary'],right,187,74,False,8.32,5.72,72.03,3.16,45.57,0.04,0.05,0.84,4.16,5.59,0.56,7,0.28,1,0.04,0.12,0.0,0,0.0,0.08,0,0.0,9,0.36,22.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,1.52,39.47,0.52,0.36,0.04,30.96,0.68,0.44,42.56,90.32,16.72,80.86,1.88,95.74,38.32,94.36,4.2,54.29,21.14,41.63,0.01,0.04,0.0,0.0,0.0,0.0,0.08,3.2,67.5,0.16,50.0,0.32,37.5,0.08,0.0,6.4,65.0,97.67,20.56,0,,0,,0,0.0,0.0,0.0,,,1.28,,3.16,0.0,0.0,0.0,0.0,0,0.0
K. Sentić,Karlo Sentić,-107798,Diósgyőr,Diósgyőr,https://cdn5.wyscout.com/photos/team/public/362_120x120.png,NB I,GK,GK,100,,0,,0,24.0,2001-06-03,300000,2026-06-30,23,2245,0,0.0,0,0.0,0.6000000000000001,73.33,Croatia,['Croatia'],right,193,87,False,1.52,0.12,33.33,0.44,81.82,0.04,0.06,0.0,1.44,2.06,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,0.16,0.04,13.91,80.98,8.22,68.29,0.0,0.0,7.54,97.34,6.37,61.64,34.58,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,61.11,0.08,50.0,0.16,50.0,0.08,0.0,5.09,69.29,99.24,5.25,37,1.48,127,5.09,3,70.87,38.23,1.53,1.23,0.049,0.0,1.52,0.44,,,,0.0,0,0.0
P. Szappanos,Péter Szappanos,162300,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,GK,GK,100,,0,,0,35.0,1990-11-14,500000,2028-06-30,23,2238,0,0.0,0,0.0,0.72,77.78,Hungary,['Hungary'],right,194,93,False,1.25,0.16,25.0,0.44,100.0,0.04,0.05,0.0,1.17,1.52,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,10.86,0.12,0.12,15.32,75.59,9.61,63.6,0.0,0.0,7.36,98.91,7.92,54.31,39.72,51.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,47.69,0.24,16.67,0.24,16.67,0.04,0.0,5.79,65.97,96.32,5.47,28,1.13,110,4.42,6,74.55,34.82,1.4,6.82,0.274,0.0,1.73,0.44,,,,0.0,0,0.0
N. Szendrei,Norbert Szendrei,509222,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,"LCMF, LDMF",LCMF,61,LDMF,19,,0,25.0,2000-03-27,450000,2027-06-30,23,2223,1,1.21,0,1.3599999999999999,15.43,52.76,Hungary,['Hungary'],right,183,73,False,9.31,6.23,61.69,3.2,54.43,0.45,0.59,0.65,5.02,6.69,1.3,8,0.32,1,0.04,1.01,0.04,1,0.04,0.05,0,0.0,17,0.6900000000000001,29.41,5.882,0.0,0.24,16.67,0.16,25.0,0.08,0.0,0.08,1.21,53.33,4.21,41.35,1.09,1.26,0.04,33.08,0.16,0.89,49.47,85.19,15.75,79.18,5.71,88.65,44.82,88.53,4.41,55.05,18.74,38.52,0.06,0.61,0.08,0.04,0.2,60.0,0.12,6.96,70.93,1.3,37.5,0.97,37.5,0.65,0.04,8.22,67.0,91.58,20.2,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.2,0.04,0.0,0.0,0.04,0,0.0
