Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Goldson,Isaiah Ronald Goldson,-466903,Michigan Wolverines,Michigan Wolverines,https://cdn5.wyscout.com/photos/team/public/g-2825_120x120.png,NCAA D1 Big Ten,GK,GK,100,,0,,0,20.0,2005-08-21,0,,12,1361,0,0.0,0,0.0,0.99,60.0,United States,"['United States', 'Canada']",unknown,183,85,False,1.19,0.2,33.33,0.66,60.0,0.0,0.0,0.0,1.12,1.54,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,14.02,0.0,0.07,24.07,84.62,10.71,69.14,0.0,0.0,15.8,97.91,8.27,59.2,31.63,50.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,42.86,0.26,0.0,0.07,100.0,0.0,0.0,6.08,70.65,97.24,11.97,14,0.93,57,3.77,5,75.44,15.31,1.01,1.31,0.08700000000000001,0.0,1.32,0.66,,,,0.0,0,0
W. Baker,Will Baker,-466834,Michigan Wolverines,Michigan Wolverines,https://cdn5.wyscout.com/photos/team/public/g-2825_120x120.png,NCAA D1 Big Ten,LCB,LCB,96,,0,,0,,,0,,12,1361,0,0.13,0,0.49,11.7,65.54,United States,['United States'],unknown,193,88,False,6.41,4.36,72.73,4.5600000000000005,68.12,0.07,0.09,0.33,3.17,4.35,1.06,3,0.2,0,0.0,0.2,0.0,0,0.0,0.01,0,0.0,1,0.07,100.0,0.0,0.0,0.13,50.0,0.13,50.0,0.0,0.0,0.0,0.13,50.0,0.99,40.0,0.4,0.13,0.0,28.77,0.2,0.53,40.87,85.11,14.81,68.3,2.58,89.74,34.52,93.3,6.22,40.43,21.67,42.76,0.03,0.13,0.0,0.0,0.0,0.0,0.07,5.29,46.25,0.6000000000000001,22.22,0.26,0.0,0.2,0.07,5.55,65.48,96.18,19.04,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0
N. Miller,Nolan Miller,-331472,Michigan Wolverines,Michigan Wolverines,https://cdn5.wyscout.com/photos/team/public/g-2825_120x120.png,NCAA D1 Big Ten,RCB,RCB,97,,0,,0,21.0,2004-08-03,0,,12,1342,0,0.31,0,0.4,11.13,65.66,United States,['United States'],unknown,188,88,False,7.44,4.63,73.91,4.02,61.67,0.2,0.28,0.2,3.8200000000000003,5.25,0.74,1,0.07,0,0.0,0.07,0.0,0,0.0,0.02,0,0.0,2,0.13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.8,50.0,0.27,0.27,0.0,26.42,0.2,0.6000000000000001,40.04,85.59,17.97,74.25,2.21,93.94,35.07,90.82,4.96,48.65,21.85,42.93,0.03,0.07,0.07,0.0,0.07,0.0,0.07,5.5,62.2,0.47000000000000003,0.0,0.4,0.0,0.07,0.0,7.44,63.96,97.56,16.5,0,,0,,0,0.0,0.0,0.0,,,1.54,,4.02,0.0,0.0,0.0,0.0,0,0
T. Rose,Tristen Rose,-281454,Maryland College Park Terrapins,Maryland College Park Terrapins,https://cdn5.wyscout.com/photos/team/public/g27586_120x120.png,NCAA D1 Big Ten,RCB,RCB,95,,0,,0,,,0,,11,1223,0,0.5700000000000001,0,0.0,8.02,55.96,United States,['United States'],unknown,183,77,False,5.3,3.24,70.45,3.09,52.38,0.07,0.11,0.44,2.94,4.44,0.44,0,0.0,0,0.0,0.22,0.0,0,0.0,0.04,0,0.0,3,0.22,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.67,0.74,30.0,0.37,0.15,0.0,27.3,0.0,0.0,41.43,90.23,13.91,76.72,4.42,98.33,37.68,93.95,3.75,52.94,20.96,35.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,71.43,0.29,0.0,0.22,33.33,0.0,0.0,5.37,65.75,98.52,19.94,0,,0,,0,0.0,0.0,0.0,,,4.12,,3.09,0.0,0.0,0.0,0.0,0,0
L. Kelp,Lasse Jonathan Kelp,-138349,Maryland College Park Terrapins,Maryland College Park Terrapins,https://cdn5.wyscout.com/photos/team/public/g27586_120x120.png,NCAA D1 Big Ten,LCB,LCB,95,,0,,0,22.0,2003-02-11,0,,11,1223,1,0.36,0,0.29,18.1,65.85,Germany,['Germany'],right,187,84,False,10.96,7.65,70.19,4.93,71.64,0.07,0.11,0.44,5.52,8.33,0.15,1,0.07,0,0.0,0.74,0.07,1,0.07,0.03,0,0.0,6,0.44,33.33,16.667,0.0,0.37,60.0,0.37,60.0,0.0,0.0,0.15,0.52,71.43,3.39,54.35,0.66,1.18,0.0,36.87,0.22,1.32,55.19,82.4,25.24,69.39,6.62,95.56,44.82,90.48,10.01,47.06,23.1,41.05,0.02,0.15,0.07,0.07,0.0,0.0,0.07,9.64,62.6,1.32,50.0,1.1,33.33,0.52,0.22,14.35,69.74,94.01,19.65,0,,0,,0,0.0,0.0,0.0,,,5.22,,4.93,0.22,0.22,33.33,0.0,0,0
L. Mack,Laurin Mack,-115278,Maryland College Park Terrapins,Maryland College Park Terrapins,https://cdn5.wyscout.com/photos/team/public/g27586_120x120.png,NCAA D1 Big Ten,GK,GK,100,,0,,0,22.0,2003-12-17,0,,11,1223,0,0.0,0,0.0,0.44,100.0,Germany,['Germany'],right,184,87,False,1.32,0.0,0.0,0.22,100.0,0.0,0.0,0.0,1.32,2.0,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.07,0.0,26.93,0.0,0.22,36.57,87.12,15.82,74.88,0.0,0.0,25.68,98.85,10.82,59.86,30.6,48.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,44.0,0.37,60.0,0.22,33.33,0.22,0.0,8.17,72.07,96.7,20.09,11,0.81,42,3.09,5,73.81,11.4,0.84,0.4,0.029,0.0,0.81,0.22,,,,0.0,0,0
S. Nixon,Shakir Nixon,-442037,UCLA Bruins,UCLA Bruins,https://cdn5.wyscout.com/photos/team/public/g-2318_120x120.png,NCAA D1 Big Ten,RB,RB,99,,0,,0,19.0,2006-02-27,0,,12,1222,0,0.12,1,0.9,18.78,58.43,United States,['United States'],unknown,180,80,False,7.51,6.41,66.67,2.58,77.14,0.37,0.53,0.29,2.87,4.15,0.59,0,0.0,0,0.0,3.68,0.0,0,0.0,0.01,0,0.0,6,0.44,16.67,0.0,0.07,2.87,38.46,0.15,100.0,2.73,35.14,0.22,3.31,73.33,8.54,52.59,0.74,3.39,0.07,41.69,0.74,1.25,54.21,83.15,20.62,72.86,7.07,97.92,46.33,90.78,5.08,39.13,19.58,40.58,0.07,0.52,0.15,0.07,0.15,50.0,0.29,8.4,71.05,2.73,45.95,0.52,14.29,0.74,1.03,10.09,70.07,90.84,19.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.58,0.15,0.07,100.0,0.0,0,0
T. Karumanchi,Tarun Karumanchi,-137583,UCLA Bruins,UCLA Bruins,https://cdn5.wyscout.com/photos/team/public/g-2318_120x120.png,NCAA D1 Big Ten,"DMF, RDMF",DMF,41,RDMF,38,,0,22.0,2003-01-01,0,,12,1219,0,0.04,0,0.2,15.8,51.87,United States,['United States'],,180,68,False,12.11,8.93,60.33,2.07,46.43,0.66,0.9500000000000001,1.26,6.05,8.69,1.55,2,0.15,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,4,0.30000000000000004,0.0,0.0,0.0,0.15,50.0,0.07,100.0,0.07,0.0,0.0,0.59,62.5,3.32,40.0,0.15,0.66,0.07,40.31,0.15,0.59,55.67,90.98,12.55,79.41,6.2,97.62,52.42,94.23,3.1,38.1,17.45,37.99,0.01,0.37,0.0,0.0,0.0,0.0,0.07,6.64,74.44,0.52,28.57,0.22,0.0,0.07,0.0,5.76,71.79,95.68,27.32,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.07,0.0,0.0,0.0,0.0,0,0
E. Akulov,Egor Akulov,-352717,Washington Huskies,Washington Huskies,https://cdn5.wyscout.com/photos/team/public/g-2863_120x120.png,NCAA D1 Big Ten,RCB,RCB,100,,0,,0,22.0,2003-09-26,0,,11,1192,0,1.6,0,0.0,9.36,53.23,United States,['United States'],unknown,188,0,False,6.19,3.85,60.78,4.91,49.23,0.15,0.21,1.06,3.7,5.07,0.98,2,0.15,0,0.0,0.30000000000000004,0.0,0,0.0,0.12,0,0.0,12,0.91,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.45,50.0,1.3599999999999999,0.38,0.0,22.35,0.23,0.08,36.62,80.41,18.88,67.2,1.21,100.0,28.39,91.22,8.23,43.12,25.81,44.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,58.25,0.53,14.29,0.23,0.0,0.23,0.0,8.38,72.07,95.38,14.72,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,4.91,0.30000000000000004,0.0,0.0,0.0,0,0
Sergi Solans,Sergi Solans Ormo,-352575,UCLA Bruins,UCLA Bruins,https://cdn5.wyscout.com/photos/team/public/g-2318_120x120.png,NCAA D1 Big Ten,CF,CF,97,,0,,0,,,0,,12,1179,14,7.94,2,0.72,19.24,32.14,Spain,['Spain'],unknown,185,79,False,2.67,1.83,41.67,5.42,45.07,0.08,0.11,0.15,1.83,2.56,0.99,3,0.23,0,0.0,2.8200000000000003,1.07,14,1.07,0.61,2,0.15,47,3.59,55.32,29.787,0.15,0.38,20.0,0.08,0.0,0.31,25.0,0.0,2.06,33.33,9.54,22.4,5.5,1.22,0.08,12.37,2.6,1.15,16.49,75.0,3.21,52.38,3.8200000000000003,92.0,15.42,77.72,0.76,40.0,13.64,16.96,0.05,0.46,0.15,0.08,0.08,100.0,0.31,1.45,57.89,0.84,63.64,0.31,25.0,0.99,0.08,1.15,60.0,76.81,5.27,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.42,0.0,0.0,0.0,0.0,0,0
