Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Tangvik,Sander Tangvik,-104729,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/476_120x120.png,Eliteserien,GK,GK,100,,0,,0,23,2002-11-29,1200000,2027-12-31,30,3004,0,0.0,0,0.0,0.75,76.0,Norway,['Norway'],right,193,80,False,1.83,0.09,66.67,0.51,76.47,0.0,0.0,0.0,1.77,2.34,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,75.0,0.0,0.0,0.0,14.32,0.24,0.18,24.3,87.18,12.19,78.13,0.0,0.0,16.0,97.38,8.3,67.51,31.27,47.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,26.32,0.15,0.0,0.06,0.0,0.0,0.0,6.5,69.12,97.43,11.65,42,1.26,138,4.13,11,69.57,40.3,1.21,-1.7000000000000002,-0.051000000000000004,0.0,1.23,0.51,,,,0.0,0,0.0
M. Dyngeland,Mathias Lønne Dyngeland,254640,Brann,Brann,https://cdn5.wyscout.com/photos/team/public/607_120x120.png,Eliteserien,GK,GK,100,,0,,0,30,1995-10-07,900000,2029-12-31,30,2972,0,0.0,0,0.0,0.64,90.48,Norway,['Norway'],right,184,81,False,1.79,0.09,66.67,0.30000000000000004,100.0,0.0,0.0,0.0,1.73,2.9,0.0,1,0.03,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.15,80.0,0.0,0.03,0.0,21.2,0.42,0.09,31.83,85.44,16.59,72.99,0.03,100.0,20.47,98.82,11.36,61.33,32.39,51.16,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.09,42.96,0.30000000000000004,10.0,0.48,6.25,0.03,0.0,7.72,80.39,99.12,13.84,46,1.3900000000000001,122,3.69,5,62.3,39.19,1.19,-6.8100000000000005,-0.20600000000000002,0.0,0.85,0.30000000000000004,,,,0.0,0,0.0
F. Ottosson,Filip Ottosson,304337,Sandefjord,Sandefjord,https://cdn5.wyscout.com/photos/team/public/1570_120x120.png,Eliteserien,"DMF, RDMF",DMF,78,RDMF,10,,0,29,1996-09-12,450000,2025-12-31,30,2970,1,0.75,1,3.5,5.79,54.45,Sweden,['Sweden'],right,174,72,False,6.39,3.42,65.49,0.58,26.32,0.12,0.16,0.42,4.03,5.2,0.7000000000000001,3,0.09,0,0.0,0.7000000000000001,0.03,1,0.03,0.02,0,0.0,13,0.39,30.77,7.692,0.03,1.0,51.52,0.36,50.0,0.52,47.06,0.09,0.06,50.0,0.79,34.62,0.06,1.24,0.0,55.27,0.55,0.21,68.36,88.92,27.7,79.1,9.18,98.35,58.12,94.58,9.3,57.33,19.36,38.32,0.11,1.15,0.06,0.09,0.12,25.0,0.18,15.82,77.97,3.12,51.46,1.0,45.45,1.21,0.52,14.33,87.32,94.6,21.88,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,0.58,1.18,0.18,50.0,1.73,0,0.0
R. Yttergård Jenssen,Ruben Yttergård Jenssen,7987,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,DMF,DMF,93,,0,,0,37,1988-05-04,150000,2026-12-31,30,2970,2,2.48,7,5.88,9.3,51.14,Norway,['Norway'],left,173,71,False,5.03,3.55,61.54,0.85,50.0,0.18,0.21,0.27,2.67,3.1,0.58,2,0.06,0,0.0,1.33,0.06,2,0.06,0.08,0,0.0,18,0.55,33.33,11.111,0.21,1.15,63.16,0.9400000000000001,61.29,0.18,66.67,0.21,0.58,52.63,3.3,43.12,1.7000000000000002,0.61,0.12,38.39,0.30000000000000004,1.06,50.36,88.27,12.36,75.74,11.61,97.13,46.36,91.11,2.85,52.13,15.34,28.39,0.18,1.45,0.12,0.03,0.15,80.0,0.64,5.33,78.98,2.79,63.04,0.76,64.0,1.6099999999999999,0.7000000000000001,5.88,77.32,91.25,15.94,0,,0,,0,0.0,0.0,0.0,,,2.15,,0.85,0.45,0.0,0.0,1.42,0,0.0
J. Haugaard,Jakob Let Haugaard,138556,Tromsø,Tromsø,https://cdn5.wyscout.com/photos/team/public/733_120x120.png,Eliteserien,GK,GK,100,,0,,0,33,1992-05-01,600000,2026-12-31,30,2970,0,0.0,0,0.0,0.61,85.0,Denmark,['Denmark'],left,199,87,False,1.09,0.0,0.0,0.45,93.33,0.0,0.0,0.0,1.09,1.27,0.0,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0,27.21,0.24,0.27,36.79,82.04,22.61,72.52,0.03,0.0,20.91,98.7,15.85,60.23,33.28,52.16,0.0,0.0,0.0,0.0,0.03,100.0,0.0,7.3,50.62,0.58,15.79,0.67,31.82,0.06,0.0,10.52,79.83,97.36,12.61,36,1.09,102,3.09,10,64.71,32.96,1.0,-3.04,-0.092,0.0,0.85,0.45,,,,0.0,0,0.0
U. Fredriksen,Ulrik Tillung Fredriksen,481077,Fredrikstad,Fredrikstad,https://cdn5.wyscout.com/photos/team/public/729_120x120.png,Eliteserien,CB,CB,89,,0,,0,26,1999-06-17,450000,2026-12-31,30,2967,2,2.24,0,0.17,12.65,61.87,Norway,['Norway'],right,189,89,False,9.13,4.73,69.23,4.67,62.34,0.12,0.15,0.88,5.73,6.86,0.55,2,0.06,0,0.0,0.39,0.06,2,0.06,0.07,1,0.03,20,0.61,45.0,10.0,0.0,0.18,33.33,0.03,0.0,0.15,40.0,0.06,0.06,100.0,0.91,50.0,0.73,0.7000000000000001,0.0,32.0,0.27,0.30000000000000004,46.65,88.17,17.14,76.81,3.37,96.4,40.92,93.62,5.55,49.73,22.18,41.68,0.01,0.12,0.0,0.0,0.0,0.0,0.03,5.73,69.31,0.61,50.0,0.24,37.5,0.21,0.06,7.52,69.35,95.97,22.57,0,,0,,0,0.0,0.0,0.0,,,2.12,,4.67,0.0,0.0,0.0,0.0,0,0.0
N. Haikin,Nikita Haikin,400793,Bodø / Glimt,Bodø / Glimt,https://cdn5.wyscout.com/photos/team/public/730_120x120.png,Eliteserien,GK,GK,100,,0,,0,30,1995-07-11,1500000,2026-07-31,30,2955,0,0.0,0,0.0,0.55,88.89,Israel,"['Israel', 'Russia']",right,188,74,False,1.19,0.09,66.67,0.4,92.31,0.0,0.0,0.0,1.13,1.76,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.03,16.99,0.21,0.09,24.21,87.04,10.96,75.28,0.0,0.0,16.63,97.07,7.58,65.06,30.03,43.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,53.95,0.18,0.0,0.27,0.0,0.0,0.0,5.51,73.48,97.54,12.4,28,0.85,89,2.71,13,68.54,28.52,0.87,0.52,0.016,0.0,0.91,0.4,,,,0.0,0,0.0
D. Ulvestad,Dan Peter Ulvestad,126911,Kristiansund,Kristiansund,https://cdn5.wyscout.com/photos/team/public/g7853_120x120.png,Eliteserien,"LCB, CB",LCB,88,CB,10,,0,36,1989-04-04,100000,2025-12-31,30,2946,1,1.23,0,0.42,8.03,63.88,Norway,['Norway'],right,189,84,False,8.62,2.44,71.25,3.7,58.68,0.15,0.16,1.01,6.72,7.17,0.24,1,0.03,0,0.0,0.24,0.03,1,0.03,0.04,1,0.03,13,0.4,46.15,7.692,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.31,70.0,0.52,0.61,0.0,34.43,0.12,0.37,48.82,89.92,15.18,75.05,1.92,95.24,43.9,94.02,4.89,53.13,19.94,39.26,0.01,0.03,0.0,0.0,0.03,100.0,0.0,6.57,71.16,0.61,30.0,0.4,15.38,0.15,0.03,5.84,64.4,97.63,27.04,0,,0,,0,0.0,0.0,0.0,,,1.31,,3.7,0.0,0.0,0.0,0.0,0,0.0
M. Ndiaye,Mamour Ndiaye,-413497,Sarpsborg 08,Sarpsborg 08,https://cdn5.wyscout.com/photos/team/public/1617_120x120.png,Eliteserien,GK,GK,100,,0,,0,20,2005-10-22,0,2027-12-31,29,2897,0,0.0,0,0.0,1.52,77.55,Senegal,['Senegal'],right,190,81,False,2.42,0.12,75.0,1.03,81.82,0.06,0.07,0.0,2.27,2.63,0.03,2,0.06,1,0.03,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.22,57.14,0.0,0.03,0.0,11.46,0.12,0.16,21.53,73.88,14.6,63.19,0.0,0.0,10.62,92.69,10.9,55.56,39.01,53.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,47.78,0.68,13.64,0.53,11.76,0.06,0.0,7.49,79.25,96.06,6.31,46,1.43,159,4.94,6,71.07,44.82,1.3900000000000001,-1.18,-0.037,0.0,2.49,1.03,,,,0.0,0,0.0
M. Koch,Menno Koch,161299,Sarpsborg 08,Sarpsborg 08,https://cdn5.wyscout.com/photos/team/public/1617_120x120.png,Eliteserien,"RCB, LCB",RCB,60,LCB,35,,0,31,1994-07-02,200000,2026-06-30,29,2892,0,1.56,1,0.25,12.67,61.18,Netherlands,['Netherlands'],right,195,78,False,8.12,3.92,63.49,5.35,62.21,0.09,0.11,0.62,5.54,6.4,1.18,6,0.19,0,0.0,0.22,0.0,0,0.0,0.05,0,0.0,9,0.28,22.22,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.16,80.0,0.65,47.62,0.72,0.65,0.0,26.42,0.25,0.28,38.25,90.72,13.29,84.54,1.31,95.24,36.07,92.67,2.15,59.42,18.78,27.68,0.01,0.06,0.0,0.0,0.03,100.0,0.03,5.6,84.44,0.25,25.0,0.09,66.67,0.25,0.0,4.89,69.43,96.11,19.2,0,,0,,0,0.0,0.0,0.0,,,1.0,,5.35,0.0,0.0,0.0,0.0,0,0.0
