Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Harabi,Aziz Harabi,-99717,United Nordic,United Nordic,https://cdn5.wyscout.com/photos/team/public/g-17413_120x120.png,Superettan,LWB,LWB,94,,0,,0,23.0,2002-12-11,0,,8,804,1,1.1,1,1.17,18.58,59.64,Tunisia,['Tunisia'],left,0,0,False,7.05,6.27,57.14,1.12,50.0,0.34,0.43,0.22,3.13,4.02,1.01,2,0.22,0,0.0,4.7,0.11,1,0.11,0.12,0,0.0,9,1.01,33.33,11.111,0.11,5.49,42.86,5.49,42.86,0.0,0.0,0.67,3.02,66.67,10.07,61.11,2.46,3.36,0.34,32.13,2.24,2.13,43.77,72.12,16.12,60.42,8.51,98.68,34.59,79.29,4.25,47.37,18.66,29.47,0.13,1.34,0.11,0.0,0.0,0.0,1.01,4.8100000000000005,69.77,4.48,55.0,0.0,0.0,1.34,2.24,8.96,58.75,73.87,12.43,0,,0,,0,0.0,0.0,0.0,,,0.67,,1.12,0.0,0.0,0.0,0.0,0,0
E. Andersson,Elias Andersson,270561,United Nordic,United Nordic,https://cdn5.wyscout.com/photos/team/public/g-17413_120x120.png,Superettan,"LCMF, DMF, RCMF3",LCMF,71,DMF,14,RCMF3,12,30.0,1996-01-31,550000,,8,804,0,0.13,1,0.66,8.62,48.05,Sweden,['Sweden'],left,178,75,False,4.37,3.36,53.33,1.12,50.0,0.0,0.0,0.45,2.5700000000000003,3.3,0.56,1,0.11,0,0.0,0.56,0.0,0,0.0,0.01,0,0.0,6,0.67,0.0,0.0,0.11,0.9,25.0,0.56,20.0,0.34,33.33,0.0,0.67,50.0,3.47,38.71,0.78,0.78,0.22,39.18,0.34,1.01,55.19,86.41,20.26,77.35,6.16,98.18,46.34,91.06,7.95,66.2,19.92,39.89,0.07,0.67,0.0,0.0,0.0,0.0,0.11,10.86,76.29,3.13,60.71,0.11,0.0,1.46,0.34,9.85,81.82,92.98,19.14,0,,0,,0,0.0,0.0,0.0,,,1.01,,1.12,1.46,0.22,0.0,1.79,0,0
M. Behnan,Matteus Behnan,-693039,United Nordic,United Nordic,https://cdn5.wyscout.com/photos/team/public/g-17413_120x120.png,Superettan,"RCB3, CB",RCB3,59,CB,37,,0,23.0,2002-08-22,0,,8,804,0,0.03,1,0.27,13.99,63.2,Syria,['Syria'],unknown,0,0,False,9.85,6.83,60.66,3.92,62.86,0.34,0.43,0.45,5.37,6.89,1.23,1,0.11,0,0.0,0.34,0.0,0,0.0,0.0,0,0.0,1,0.11,100.0,0.0,0.11,0.22,100.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,1.34,58.33,0.22,0.0,0.0,23.73,0.0,1.01,37.16,88.55,13.88,75.0,2.91,100.0,32.8,92.83,4.14,54.05,20.24,44.94,0.03,0.22,0.0,0.11,0.0,0.0,0.22,3.92,80.0,0.78,71.43,0.0,0.0,0.34,0.22,6.16,65.45,97.14,15.67,0,,0,,0,0.0,0.0,0.0,,,1.9,,3.92,0.0,0.0,0.0,0.0,0,0
L. Eriksson,Lukas Eriksson,-300433,Ljungskile,Ljungskile,https://cdn5.wyscout.com/photos/team/public/649_120x120.png,Superettan,GK,GK,100,,0,,0,22.0,2003-09-09,0,2027-12-31,8,800,0,0.0,1,0.0,0.23,50.0,Sweden,['Sweden'],unknown,0,0,False,0.34,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.34,0.5,0.0,0,0.0,0,0.0,0.11,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.11,100.0,0.0,0.0,0.0,17.66,0.11,0.0,27.9,78.23,18.34,68.71,0.0,0.0,14.51,96.9,13.27,58.47,38.46,53.58,0.0,0.0,0.0,0.11,0.0,0.0,0.0,5.4,58.33,0.68,33.33,0.23,0.0,0.34,0.0,10.35,75.0,96.34,9.23,8,0.9,32,3.6,1,75.0,9.79,1.1,1.79,0.201,0.0,0.68,0.11,,,,0.0,0,0
I. Marić,Ivan Marić,-194548,Ljungskile,Ljungskile,https://cdn5.wyscout.com/photos/team/public/649_120x120.png,Superettan,LCB,LCB,98,,0,,0,24.0,2002-03-11,300000,2027-12-31,8,800,0,0.15,0,0.41000000000000003,8.89,64.56,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,192,0,False,9.9,4.05,63.89,3.94,65.71,0.23,0.34,0.56,7.09,10.56,0.79,2,0.23,0,0.0,0.34,0.0,0,0.0,0.02,0,0.0,1,0.11,0.0,0.0,0.0,0.23,50.0,0.0,0.0,0.23,50.0,0.0,0.34,66.67,0.56,60.0,0.45,0.23,0.11,28.35,0.34,0.0,43.09,84.6,19.35,73.84,2.7,95.83,35.89,88.4,6.98,66.13,22.95,41.49,0.05,0.45,0.0,0.0,0.0,0.0,0.34,4.16,48.65,0.45,25.0,0.0,0.0,0.23,0.23,7.31,63.08,94.12,17.21,0,,0,,0,0.0,0.0,0.0,,,2.03,,3.94,0.0,0.0,0.0,0.0,0,0
N. Sernelius,Noel Sernelius,-376739,IFK Norrköping,IFK Norrköping,https://cdn5.wyscout.com/photos/team/public/654_120x120.png,Superettan,"LB, LDMF, LCMF",LB,29,LDMF,20,LCMF,19,19.0,2006-07-24,0,2027-12-31,8,793,0,1.03,5,2.19,20.09,50.28,Sweden,['Sweden'],,181,70,False,8.85,7.38,56.92,3.63,50.0,0.23,0.35000000000000003,0.11,4.43,6.8,0.91,0,0.0,0,0.0,2.04,0.0,0,0.0,0.12,0,0.0,12,1.3599999999999999,16.67,0.0,0.5700000000000001,2.95,26.92,2.38,33.33,0.5700000000000001,0.0,0.5700000000000001,2.16,47.37,7.72,45.59,1.82,1.5899999999999999,0.0,29.85,0.11,2.27,47.1,82.41,11.58,74.51,9.53,94.05,39.61,88.25,4.77,66.67,18.9,43.51,0.25,1.48,0.11,0.0,0.0,0.0,0.91,6.8100000000000005,75.0,3.63,31.25,0.11,100.0,1.3599999999999999,0.79,6.58,75.86,82.56,19.52,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.63,1.25,0.34,0.0,2.61,0,0
F. Ambroz,Filip Ambroz,-240948,Ljungskile,Ljungskile,https://cdn5.wyscout.com/photos/team/public/649_120x120.png,Superettan,"RDMF, LDMF",RDMF,60,LDMF,37,,0,22.0,2003-12-01,0,2027-12-31,8,793,1,0.26,1,2.96,11.12,36.73,Sweden,"['Sweden', 'Croatia']",right,184,72,False,6.13,7.38,40.0,0.91,12.5,0.34,0.51,0.0,2.84,4.26,1.7000000000000002,2,0.23,0,0.0,0.79,0.11,1,0.11,0.03,0,0.0,7,0.79,14.29,14.286,0.11,1.48,46.15,0.79,71.43,0.68,16.67,0.11,0.34,0.0,2.38,28.57,0.11,1.13,0.23,35.07,0.0,0.45,49.48,83.72,15.44,71.32,7.04,93.55,40.06,90.65,8.28,56.16,22.15,43.64,0.34,2.27,0.23,0.0,0.0,0.0,0.11,9.53,72.62,2.5,54.55,0.0,0.0,0.79,0.68,8.06,78.87,88.71,21.11,0,,0,,0,0.0,0.0,0.0,,,0.79,,0.91,1.25,0.0,0.0,6.47,0,0
H. Andersson,Hugo Andersson,377451,Värnamo,Värnamo,https://cdn5.wyscout.com/photos/team/public/3396_120x120.png,Superettan,"CB, RCB",CB,72,RCB,27,,0,27.0,1999-01-01,500000,2027-12-31,8,793,3,1.3599999999999999,0,0.0,14.87,63.36,Sweden,['Sweden'],right,196,86,False,7.72,3.75,51.52,7.49,71.21,0.11,0.18,0.79,5.67,9.2,1.13,1,0.11,0,0.0,0.45,0.34,3,0.34,0.15,1,0.11,6,0.68,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,50.0,1.02,44.44,0.91,0.0,0.0,31.44,0.68,0.5700000000000001,46.31,86.03,14.64,68.99,1.5899999999999999,85.71,41.2,91.74,5.11,40.0,21.81,43.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,41.18,0.34,66.67,0.0,0.0,0.23,0.0,5.5600000000000005,57.14,95.11,25.54,0,,0,,0,0.0,0.0,0.0,,,1.13,,7.49,0.0,0.0,0.0,0.0,0,0
C. Redenstrand,Christopher Redenstrand,-44136,Örebro,Örebro,https://cdn5.wyscout.com/photos/team/public/651_120x120.png,Superettan,LB,LB,97,,0,,0,27.0,1998-10-05,300000,2027-12-31,8,789,0,0.59,0,1.16,16.08,51.06,Sweden,['Sweden'],left,174,61,False,8.67,6.39,57.14,3.31,44.83,0.11,0.13,0.46,4.9,5.66,0.46,0,0.0,0,0.0,1.71,0.0,0,0.0,0.07,0,0.0,6,0.68,33.33,0.0,0.0,1.25,27.27,1.1400000000000001,30.0,0.11,0.0,0.23,2.17,52.63,5.48,45.83,0.8,1.1400000000000001,0.0,22.13,1.37,1.83,30.91,78.23,12.66,66.67,6.84,95.0,26.92,82.63,2.9699999999999998,57.69,15.94,41.45,0.13,1.48,0.11,0.0,0.0,0.0,0.23,3.19,42.86,1.25,45.45,0.0,0.0,0.34,0.23,5.59,69.39,81.82,5.02,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.31,1.1400000000000001,0.0,0.0,2.74,0,0
J. Stenberg,John Stenberg,401707,Örebro,Örebro,https://cdn5.wyscout.com/photos/team/public/651_120x120.png,Superettan,LCB,LCB,96,,0,,0,33.0,1992-10-12,250000,2026-12-31,8,789,1,0.11,0,0.0,9.47,61.45,Sweden,['Sweden'],left,191,84,False,8.78,3.08,66.67,4.45,56.41,0.0,0.0,0.91,6.73,7.76,0.5700000000000001,2,0.23,0,0.0,0.23,0.11,1,0.11,0.01,1,0.11,1,0.11,100.0,100.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.23,50.0,1.1400000000000001,50.0,0.23,0.34,0.0,45.51,0.46,0.34,56.69,79.88,26.46,62.93,3.99,100.0,46.2,90.62,10.38,32.97,22.91,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,59.0,1.6,28.57,0.0,0.0,0.34,0.0,10.72,71.28,94.61,19.05,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,4.45,0.0,0.0,0.0,0.0,0,0
