Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Pap,Eduard Pap,272703,Csikszereda Miercurea Ciuc,Csikszereda Miercurea Ciuc,https://cdn5.wyscout.com/photos/team/public/g22105_120x120.png,Superliga,GK,GK,100,,0,,0,31.0,1994-07-01,450000,,37,3618,0,0.0,0,0.0,1.09,72.73,Romania,['Romania'],right,186,79,False,1.87,0.15,66.67,0.7000000000000001,78.57,0.02,0.03,0.0,1.74,2.02,0.02,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,0.0,0.0,11.89,0.37,0.25,19.83,79.92,13.11,71.92,0.02,100.0,9.8,96.45,10.02,63.77,36.5,48.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,52.27,0.15,16.67,0.22,22.22,0.02,0.0,6.72,74.44,95.38,6.47,61,1.52,217,5.4,10,71.89,69.8,1.74,8.8,0.219,0.02,2.84,0.7000000000000001,,,,0.0,0,0.0
A. Miron,Andrei Miron,330891,Botoşani,Botoşani,https://cdn5.wyscout.com/photos/team/public/3941_120x120.png,Superliga,"RCB, LCB",RCB,89,LCB,10,,0,31.0,1994-05-28,550000,2026-06-30,37,3612,1,0.36,2,0.56,10.32,60.87,Romania,['Romania'],right,185,86,False,6.2,4.19,61.31,3.29,58.33,0.07,0.12,0.6000000000000001,3.56,5.68,0.87,4,0.1,1,0.02,0.15,0.02,1,0.02,0.01,0,0.0,4,0.1,75.0,25.0,0.05,0.05,50.0,0.02,100.0,0.02,0.0,0.0,0.1,50.0,0.6000000000000001,45.83,0.30000000000000004,0.25,0.0,23.55,0.15,0.4,38.15,86.61,16.94,76.03,2.67,97.2,31.5,92.01,6.6,61.13,22.2,39.56,0.01,0.12,0.05,0.0,0.0,0.0,0.12,3.91,59.87,0.35000000000000003,50.0,0.52,61.9,0.22,0.02,6.98,67.5,96.35,15.7,0,,0,,0,0.0,0.0,0.0,,,2.19,,3.29,0.05,0.02,100.0,0.0,0,0.0
R. Sierra,Rober Sierra,417333,Argeș,Argeș,https://cdn5.wyscout.com/photos/team/public/g22423_120x120.png,Superliga,"DMF, LCMF",DMF,40,LCMF,21,,0,29.0,1996-05-21,250000,,39,3609,3,2.32,1,0.02,14.34,57.91,Spain,['Spain'],right,181,0,False,8.43,5.21,66.03,5.29,55.66,0.07,0.1,0.22,4.91,6.53,1.05,3,0.07,0,0.0,0.47000000000000003,0.07,3,0.07,0.06,1,0.02,21,0.52,42.86,14.286,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,66.67,1.72,44.93,0.55,0.32,0.07,14.41,0.22,0.4,27.88,80.77,10.6,64.47,3.89,93.59,23.89,86.22,3.99,48.13,19.64,31.13,0.0,0.05,0.0,0.0,0.0,0.0,0.02,4.54,58.24,0.37,40.0,0.17,14.29,0.15,0.0,4.64,63.98,91.53,10.3,0,,0,,0,0.0,0.0,0.0,,,0.65,,5.29,0.0,0.0,0.0,0.0,0,0.0
M. Tudose,Mario Tudose,-208959,Argeș,Argeș,https://cdn5.wyscout.com/photos/team/public/g22423_120x120.png,Superliga,"RCB, RCB3, CB",RCB,51,RCB3,19,CB,15,21.0,2005-01-21,0,2029-06-30,38,3584,0,1.16,2,1.08,13.96,62.95,Romania,"['Romania', 'Portugal']",right,188,77,False,9.44,6.2,76.11,4.55,58.01,0.23,0.30000000000000004,0.6000000000000001,4.49,5.97,0.85,4,0.1,0,0.0,0.25,0.0,0,0.0,0.03,0,0.0,15,0.38,20.0,0.0,0.05,0.13,60.0,0.0,0.0,0.1,50.0,0.03,0.25,30.0,1.26,34.0,0.48,1.18,0.1,20.06,0.28,0.63,34.53,81.24,14.92,66.16,3.01,96.67,27.92,88.31,6.48,51.16,22.03,34.87,0.03,0.13,0.03,0.0,0.05,50.0,0.08,4.97,59.09,0.48,31.58,0.30000000000000004,8.33,0.18,0.08,7.26,64.71,94.16,13.76,0,,0,,0,0.0,0.0,0.0,,,2.06,,4.55,0.03,0.0,0.0,0.0,0,0.0
K. Boateng,Kennedy Kofi Boateng,435961,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,RCB,RCB,89,,0,,0,29.0,1996-11-29,400000,2026-06-30,37,3579,5,5.53,0,0.49,16.47,60.31,Togo,"['Togo', 'Ghana']",right,191,78,False,7.67,5.83,65.09,5.36,67.14,0.05,0.08,0.33,3.8200000000000003,6.19,1.4100000000000001,7,0.18,0,0.0,0.68,0.13,5,0.13,0.14,2,0.05,32,0.8,40.63,15.625,0.0,0.13,40.0,0.0,0.0,0.1,25.0,0.0,0.53,57.14,2.89,35.65,1.16,0.4,0.05,31.79,0.28,0.85,46.97,91.11,17.02,81.09,3.52,96.43,43.91,93.81,2.9699999999999998,52.54,18.99,31.91,0.01,0.1,0.03,0.03,0.0,0.0,0.03,1.8399999999999999,75.34,0.15,50.0,0.08,33.33,0.13,0.05,5.51,60.27,97.7,20.77,0,,0,,0,0.0,0.0,0.0,,,2.59,,5.36,0.0,0.0,0.0,0.0,0,0.0
E. Gnahoré,Eddy Gnahoré,226041,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,"DMF, RCMF3",DMF,60,RCMF3,18,,0,32.0,1993-11-14,450000,2026-06-30,38,3550,2,2.91,0,1.35,10.06,49.37,France,"['France', ""Côte d'Ivoire""]",right,188,88,False,6.31,3.27,68.99,1.47,48.28,0.03,0.04,0.25,4.03,6.48,0.46,7,0.18,0,0.0,0.58,0.05,2,0.05,0.07,0,0.0,32,0.81,15.63,6.25,0.0,0.23,44.44,0.13,60.0,0.1,25.0,0.03,0.53,57.14,3.7,34.25,1.5,1.42,0.2,44.9,0.28,0.56,58.97,93.12,15.19,87.65,9.56,96.55,56.48,94.43,2.26,65.17,16.33,28.23,0.03,0.48,0.05,0.0,0.08,66.67,0.23,5.88,84.91,0.81,65.63,0.05,50.0,0.61,0.13,5.91,78.11,96.23,22.84,0,,0,,0,0.0,0.0,0.0,,,0.79,,1.47,0.05,0.03,0.0,0.03,0,0.0
R. Opruț,Raul Opruț,481712,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,LB,LB,97,,0,,0,28.0,1998-01-04,500000,2029-06-30,38,3508,5,1.42,2,2.55,18.14,60.4,Romania,['Romania'],left,184,78,False,10.42,8.24,71.65,3.87,52.98,0.31,0.49,0.15,4.21,6.73,1.23,7,0.18,0,0.0,1.77,0.13,5,0.13,0.04,1,0.03,24,0.62,29.17,20.833,0.05,2.92,33.33,2.92,33.33,0.0,0.0,0.38,0.9,62.86,3.13,44.26,1.05,0.72,0.08,30.63,1.8,0.62,42.41,80.88,13.88,69.32,7.08,95.29,36.23,88.1,3.2800000000000002,43.75,17.87,34.02,0.07,0.8,0.03,0.03,0.1,50.0,0.49,4.31,66.67,3.31,44.19,0.1,25.0,0.67,0.92,7.54,71.43,80.66,12.47,0,,0,,0,0.0,0.0,0.0,,,0.9,,3.87,0.0,0.0,0.0,0.0,0,0.0
N. Stoioanov,Nikita Stoioanov,-320530,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,LCB,LCB,95,,0,,0,20.0,2005-08-24,0,,36,3496,1,3.36,0,0.24,12.07,61.19,Israel,['Israel'],unknown,0,0,False,6.85,3.89,74.83,4.38,55.29,0.05,0.08,0.59,3.89,6.21,0.5700000000000001,4,0.1,0,0.0,0.44,0.03,1,0.03,0.09,0,0.0,14,0.36,42.86,7.143,0.0,0.05,50.0,0.05,50.0,0.0,0.0,0.0,0.31,83.33,1.34,48.08,0.77,0.9500000000000001,0.0,37.12,0.21,0.64,55.25,89.89,24.79,82.45,2.7,99.05,49.89,93.81,5.3,53.4,18.49,34.86,0.01,0.08,0.0,0.03,0.03,0.0,0.05,4.53,77.27,0.41000000000000003,31.25,0.15,0.0,0.1,0.03,7.85,62.3,96.96,20.31,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,4.38,0.0,0.0,0.0,0.0,0,0.0
G. Gavrilaş,George Petrişor Gavrilaş,124440,Metaloglobus,Metaloglobus,https://cdn5.wyscout.com/photos/team/public/g19929_120x120.png,Superliga,GK,GK,100,,0,,0,35.0,1990-12-15,100000,,37,3464,0,0.0,0,0.0,0.81,67.74,Romania,['Romania'],right,185,75,False,1.25,0.18,14.29,0.42,87.5,0.03,0.03,0.0,1.2,1.52,0.03,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,12.78,0.1,0.16,18.11,80.06,11.3,71.72,0.0,0.0,9.54,97.55,8.5,60.86,33.78,45.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,44.44,0.1,0.0,0.21,37.5,0.03,0.0,6.03,67.67,95.12,6.39,75,1.9500000000000002,200,5.2,3,62.5,66.26,1.72,-8.74,-0.227,0.0,1.12,0.42,,,,0.0,0,0.0
C. Dur-Bozoancă,Cosmin Dur-Bozoancă,379169,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,GK,GK,100,,0,,0,28.0,1998-02-15,450000,2027-06-30,35,3389,0,0.0,0,0.0,0.29,72.73,Romania,['Romania'],left,182,84,False,0.9,0.05,50.0,0.16,66.67,0.0,0.0,0.0,0.88,1.34,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,12.59,0.19,0.11,17.42,80.49,10.89,70.98,0.03,0.0,8.63,97.23,8.79,64.05,33.78,44.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,42.65,0.08,33.33,0.16,33.33,0.03,0.0,5.98,71.11,98.26,6.11,40,1.06,149,3.96,13,73.15,45.11,1.2,5.11,0.136,0.0,1.01,0.16,,,,0.0,0,0.0
