Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Lee,Je-wook Lee,-679013,Seoul Jungnang,Seoul Jungnang,https://cdn5.wyscout.com/photos/team/public/g21228_120x120.png,K4 League,RCB,RCB,98,,0,,0,19.0,2006-07-21,0,,6,592,0,0.11,0,0.0,12.92,54.12,Korea Republic,['Korea Republic'],unknown,0,0,True,8.67,5.93,66.67,3.8,40.0,0.61,0.97,0.30000000000000004,4.1,6.53,1.67,1,0.15,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.06,14.29,0.46,1.37,0.0,39.98,1.06,0.46,60.96,89.78,28.28,86.56,2.43,100.0,55.79,91.83,5.17,67.65,18.78,36.43,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4.86,75.0,0.15,0.0,0.0,0.0,0.0,0.0,9.27,67.21,95.04,21.44,0,,0,,0,0.0,0.0,0.0,,,1.82,,3.8,0.0,0.0,0.0,0.0,0,0
Sung-jae Shin,Sung-jae  Shin,435034,Namyangju,Namyangju,https://cdn5.wyscout.com/photos/team/public/g-21110_120x120.png,K4 League,"CB, LCB3",CB,83,LCB3,16,,0,29.0,1997-01-27,0,,6,590,0,0.01,0,0.0,7.63,62.0,Korea Republic,['Korea Republic'],right,182,70,False,5.64,2.9,63.16,1.6800000000000002,54.55,0.0,0.0,0.15,3.81,4.39,0.15,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,1,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.31,50.0,1.83,58.33,0.31,0.46,0.0,18.76,0.46,0.92,32.19,90.05,10.22,76.12,2.44,100.0,28.53,93.58,3.51,65.22,21.47,38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,77.78,0.31,100.0,0.15,100.0,0.15,0.0,5.49,75.0,98.2,16.93,0,,0,,0,0.0,0.0,0.0,,,1.22,,1.6800000000000002,0.0,0.0,0.0,0.0,0,0
Jong-Woo Yoo,Jong-Woo Yoo,-174787,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,RB,RB,99,,0,,0,28.0,1998-02-14,0,,6,576,0,0.05,0,0.32,20.63,53.79,Korea Republic,['Korea Republic'],,181,72,False,11.09,9.22,71.19,2.5,37.5,0.16,0.19,0.47000000000000003,4.38,5.45,0.47000000000000003,0,0.0,0,0.0,4.06,0.0,0,0.0,0.01,0,0.0,1,0.16,0.0,0.0,0.0,3.2800000000000002,52.38,0.0,0.0,3.2800000000000002,52.38,0.16,2.81,83.33,7.34,40.43,0.47000000000000003,1.4100000000000001,0.16,16.56,0.78,0.78,26.09,71.26,13.91,65.17,1.25,100.0,17.19,82.73,5.78,48.65,20.68,35.56,0.05,0.47000000000000003,0.31,0.0,0.0,0.0,0.47000000000000003,3.91,64.0,3.2800000000000002,47.62,0.31,50.0,0.31,1.72,7.66,69.39,68.89,7.03,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.5,0.0,0.0,0.0,0.0,0,0
Hong-Min Song,Hong-Min Song,-79575,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,"RCMF, LCMF",RCMF,58,LCMF,39,,0,30.0,1996-02-07,375000,2026-12-31,6,576,2,1.12,0,0.0,9.84,50.79,Korea Republic,['Korea Republic'],right,184,83,True,8.44,4.69,50.0,1.4100000000000001,55.56,0.9400000000000001,1.17,0.16,5.16,6.43,1.72,0,0.0,0,0.0,0.78,0.31,1,0.16,0.18,0,0.0,7,1.09,71.43,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.34,60.0,0.31,0.78,0.0,27.97,0.47000000000000003,0.63,41.41,82.64,14.84,62.11,7.03,95.56,36.56,85.47,4.84,61.29,19.8,39.35,0.0,0.0,0.0,0.0,0.16,0.0,0.0,7.5,68.75,0.47000000000000003,33.33,0.47000000000000003,33.33,0.0,0.0,6.25,72.5,95.35,13.44,0,,0,,0,0.0,0.0,0.0,,,0.78,,1.4100000000000001,0.31,0.16,100.0,0.16,1,100
Sung-hoon Kim,Sung-hoon Kim,-288865,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,GK,GK,100,,0,,0,24.0,2001-09-10,0,,6,572,0,0.0,0,0.0,1.57,70.0,Korea Republic,['Korea Republic'],,0,0,False,1.26,0.0,0.0,0.9400000000000001,66.67,0.0,0.0,0.0,1.26,1.57,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.0,0.0,0.0,6.61,0.0,0.47000000000000003,15.26,79.38,10.38,71.21,0.0,0.0,8.65,98.18,6.61,54.76,34.16,49.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,64.29,0.16,0.0,0.0,0.0,0.0,0.0,4.88,70.97,96.3,4.25,1,0.16,21,3.3,5,95.24,4.07,0.64,3.07,0.483,0.0,2.36,0.9400000000000001,,,,0.0,0,0
Woo-Seok Kim,Woo-Seok Kim,440324,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,"RCB, LCB",RCB,64,LCB,33,,0,29.0,1996-08-04,350000,,6,570,0,0.53,0,0.0,9.16,55.17,Korea Republic,['Korea Republic'],right,184,74,False,6.79,4.58,65.52,2.21,57.14,0.0,0.0,0.16,3.79,4.74,0.63,0,0.0,0,0.0,0.16,0.0,0,0.0,0.08,0,0.0,5,0.79,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,1.58,30.0,0.9500000000000001,0.9500000000000001,0.0,27.63,0.16,0.47000000000000003,44.21,82.5,20.37,73.64,3.47,100.0,36.32,90.0,7.74,46.94,21.13,38.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,62.5,0.79,60.0,0.0,0.0,0.16,0.16,9.0,66.67,89.9,15.63,0,,0,,0,0.0,0.0,0.0,,,2.05,,2.21,0.0,0.0,0.0,0.0,0,0
Tae-yang Kim,Tae-Yang Kim,-243588,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,CF,CF,100,,0,,0,26.0,2000-02-07,0,,6,564,1,1.34,1,1.24,20.27,30.71,Korea Republic,['Korea Republic'],unknown,184,0,False,4.63,2.55,43.75,6.38,32.5,0.48,0.6000000000000001,0.16,3.03,3.77,1.28,0,0.0,0,0.0,0.32,0.16,1,0.16,0.21,0,0.0,7,1.12,28.57,14.286,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,7.82,22.45,2.71,0.96,0.0,13.4,1.9100000000000001,1.44,18.19,72.81,6.22,69.23,4.47,75.0,17.87,73.21,0.32,50.0,13.51,6.02,0.2,0.8,0.0,0.0,0.0,0.0,0.64,2.71,64.71,1.44,66.67,0.0,0.0,1.44,0.0,2.87,83.33,68.42,3.03,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.38,0.0,0.0,0.0,0.0,0,0
J. Ahn,Jae-jun Ahn,-682116,Namyangju,Namyangju,https://cdn5.wyscout.com/photos/team/public/g-21110_120x120.png,K4 League,"RB5, RCMF",RB5,82,RCMF,15,,0,23.0,2003-01-23,0,,6,562,1,0.41000000000000003,0,1.35,15.37,50.0,Korea Republic,['Korea Republic'],unknown,0,0,False,7.69,6.73,66.67,3.52,31.82,0.0,0.0,0.0,3.2,3.7,0.96,1,0.16,0,0.0,1.92,0.16,1,0.16,0.06,0,0.0,5,0.8,60.0,20.0,0.0,3.52,18.18,0.32,0.0,3.04,21.05,0.0,1.6,50.0,4.32,40.74,2.08,1.92,0.16,13.93,1.12,0.64,24.5,64.71,9.29,58.62,5.77,88.89,17.62,80.91,3.52,27.27,22.91,39.84,0.22,1.44,0.0,0.0,0.0,0.0,0.32,4.0,56.0,3.04,42.11,0.32,100.0,1.28,0.64,6.41,50.0,60.0,6.41,0,,0,,0,0.0,0.0,0.0,,,0.48,,3.52,1.92,0.16,100.0,1.44,0,0
June-Hyuk Ahn,June-Hyuk Ahn,-58543,Seoul Jungnang,Seoul Jungnang,https://cdn5.wyscout.com/photos/team/public/g21228_120x120.png,K4 League,"LCMF3, CF",LCMF3,46,CF,43,,0,26.0,1999-07-30,150000,,6,553,3,2.12,0,0.38,21.16,42.31,Korea Republic,['Korea Republic'],right,173,67,False,4.23,3.58,54.55,1.9500000000000002,16.67,0.16,0.25,0.0,2.12,3.31,2.6,2,0.33,0,0.0,2.93,0.49,3,0.49,0.34,0,0.0,17,2.77,35.29,17.647,0.0,1.79,27.27,0.49,66.67,1.1400000000000001,14.29,0.33,3.25,45.0,12.69,39.74,1.79,2.12,0.33,27.67,1.79,2.77,38.73,81.09,8.95,78.18,8.63,90.57,36.29,83.86,0.65,75.0,15.11,31.11,0.06,0.81,0.49,0.0,0.16,0.0,0.49,3.25,95.0,2.12,38.46,0.0,0.0,0.98,0.65,4.23,73.08,81.67,9.76,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.9500000000000002,0.49,0.49,33.33,0.16,1,0
S.Hong,Soo-ho Hong,-819865,Jincheon HR,Jincheon HR,https://cdn5.wyscout.com/photos/team/public/g-25717_120x120.png,K4 League,CF,CF,94,,0,,0,21.0,2004-07-08,0,,6,540,6,2.41,1,0.71,18.83,49.56,Korea Republic,['Korea Republic'],unknown,173,0,False,6.83,6.0,72.22,1.17,28.57,0.0,0.0,0.0,2.5,3.19,1.0,1,0.17,0,0.0,3.5,1.0,6,1.0,0.4,0,0.0,16,2.67,50.0,37.5,0.17,1.33,37.5,0.8300000000000001,60.0,0.33,0.0,0.0,3.0,55.56,9.83,44.07,3.67,4.33,0.5,21.0,1.33,2.5,29.83,79.89,9.5,71.93,7.33,90.91,26.5,83.02,2.0,66.67,16.56,26.78,0.12,0.8300000000000001,0.0,0.0,0.17,0.0,0.67,4.0,66.67,1.83,72.73,0.33,0.0,1.17,0.5,4.67,85.71,90.32,5.17,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.17,0.17,0.17,0.0,1.0,0,0
