Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Cortés,Brayan Josué Cortés Fernández,255217,Argentinos Juniors,Argentinos Juniors,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,31.0,1995-03-11,3000000,2027-12-31,19,1934,0,0.0,0,0.0,0.47000000000000003,90.0,Chile,['Chile'],right,186,90,True,1.07,0.05,100.0,0.28,83.33,0.0,0.0,0.0,1.02,1.8599999999999999,0.0,3,0.14,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,100.0,0.0,0.0,0.0,16.15,0.42,0.0,24.29,89.46,11.12,79.92,0.05,0.0,17.68,98.42,6.5600000000000005,65.96,28.88,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,64.81,0.19,50.0,0.37,75.0,0.09,0.0,4.89,76.19,98.08,12.15,14,0.65,54,2.51,10,74.07,14.23,0.66,0.23,0.011,0.0,1.07,0.28,,,,0.0,0,0.0
T. Cardozo,Thiago Gastón Cardozo Brugman,289952,Belgrano,Belgrano,https://cdn5.wyscout.com/photos/team/public/1088_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,29.0,1996-07-31,800000,2028-12-31,19,1897,0,0.0,0,0.0,0.85,72.22,Uruguay,['Uruguay'],right,182,83,True,1.52,0.19,50.0,0.43,88.89,0.05,0.07,0.0,1.38,1.98,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,9.49,0.14,0.24,17.03,81.34,10.39,69.41,0.0,0.0,8.78,95.68,8.26,66.09,35.93,50.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,63.64,0.19,25.0,0.28,33.33,0.05,0.0,6.26,76.52,100.0,6.12,14,0.66,72,3.42,10,80.56,20.64,0.98,6.64,0.315,0.0,1.6099999999999999,0.43,,,,0.0,0,0.0
S. Beltrán,Santiago Beltrán,-406689,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,21.0,2004-10-04,0,2027-12-31,19,1840,0,0.0,0,0.0,0.39,100.0,Argentina,['Argentina'],,190,85,False,1.76,0.15,100.0,0.15,100.0,0.0,0.0,0.0,1.6099999999999999,3.15,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,8.61,0.34,0.1,14.87,88.49,6.65,75.74,0.0,0.0,11.74,99.17,3.08,49.21,27.78,46.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,35.71,0.15,0.0,0.1,50.0,0.0,0.0,2.49,64.71,99.35,7.53,13,0.64,61,2.98,8,78.69,15.39,0.75,2.39,0.117,0.0,0.78,0.15,,,,0.0,0,0.0
F. Fattori,Federico Fattori Mouzo,321314,Argentinos Juniors,Argentinos Juniors,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,"DMF, RCMF, RDMF",DMF,61,RCMF,15,RDMF,11,33.0,1992-07-22,700000,2027-12-31,19,1829,0,0.06,0,0.1,13.63,49.1,Argentina,['Argentina'],right,178,70,False,9.4,4.63,67.02,3.44,32.86,0.30000000000000004,0.54,0.2,6.0,10.89,0.84,4,0.2,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,5,0.25,40.0,0.0,0.0,0.59,16.67,0.30000000000000004,16.67,0.30000000000000004,16.67,0.05,0.2,75.0,3.05,43.55,0.25,1.13,0.0,53.44,0.49,0.93,74.4,90.48,23.67,82.74,7.82,92.45,66.33,93.1,7.53,72.55,20.14,35.4,0.0,0.2,0.0,0.05,0.1,100.0,0.05,8.81,84.92,1.28,46.15,0.34,28.57,0.54,0.1,11.42,79.31,95.37,35.08,0,,0,,0,0.0,0.0,0.0,,,1.53,,3.44,0.0,0.0,0.0,0.0,0,0.0
F. Cambeses,Facundo Nicolás Cambeses,434062,Racing Club,Racing Club,https://cdn5.wyscout.com/photos/team/public/132_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,29.0,1997-04-09,0,2027-12-31,18,1817,0,0.0,0,0.0,0.84,82.35,Argentina,"['Argentina', 'Italy']",right,186,85,False,1.54,0.1,50.0,0.5,90.0,0.0,0.0,0.0,1.49,2.58,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,15.11,0.15,0.2,21.6,83.03,11.59,70.51,0.0,0.0,13.82,97.13,7.68,58.71,34.28,52.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,57.14,0.2,50.0,0.2,75.0,0.15,0.0,5.89,76.47,98.4,9.26,17,0.84,72,3.5700000000000003,7,76.39,17.48,0.87,0.48,0.024,0.0,1.34,0.5,,,,0.0,0,0.0
F. Álvarez,Francisco Fabián Álvarez,486704,Argentinos Juniors,Argentinos Juniors,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,"RCB, RCB3",RCB,89,RCB3,10,,0,26.0,2000-02-26,2000000,2029-12-31,18,1815,2,1.33,0,0.12,17.26,67.24,Argentina,['Argentina'],right,180,72,False,8.88,6.15,79.84,7.09,60.14,0.5,0.9,0.55,3.47,6.31,0.6900000000000001,6,0.30000000000000004,0,0.0,0.74,0.1,2,0.1,0.07,2,0.1,14,0.6900000000000001,42.86,14.286,0.0,0.30000000000000004,16.67,0.0,0.0,0.30000000000000004,16.67,0.0,0.55,72.73,1.5899999999999999,62.5,0.79,2.83,0.15,44.38,0.9400000000000001,0.6900000000000001,61.74,88.67,24.0,78.51,4.26,95.35,54.35,93.34,7.19,55.86,21.47,41.91,0.01,0.15,0.0,0.0,0.0,0.0,0.05,8.58,75.14,1.09,22.73,0.6900000000000001,35.71,0.30000000000000004,0.0,11.5,75.0,95.8,27.17,0,,0,,0,0.0,0.0,0.0,,,2.23,,7.09,0.0,0.0,0.0,0.0,0,0.0
A. Moreno,Aníbal Ismael Moreno,-93691,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,"DMF, LDMF, RDMF",DMF,48,LDMF,19,RDMF,13,27.0,1999-05-13,0,2027-12-31,19,1803,0,0.23,3,1.1,14.43,50.52,Argentina,['Argentina'],right,178,73,False,11.08,6.29,63.49,2.95,32.2,0.85,1.71,0.1,6.24,12.54,1.1,2,0.1,0,0.0,0.8,0.0,0,0.0,0.01,0,0.0,15,0.75,13.33,0.0,0.15,0.45,55.56,0.1,0.0,0.35000000000000003,71.43,0.05,0.65,46.15,2.85,42.11,0.15,1.05,0.05,39.38,0.1,0.55,57.2,85.6,19.92,74.44,5.09,86.27,52.46,88.68,4.29,51.16,18.77,34.64,0.06,0.5,0.0,0.0,0.25,60.0,0.30000000000000004,8.74,75.43,1.3,61.54,0.7000000000000001,50.0,0.5,0.25,8.04,71.43,93.98,24.86,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.95,0.1,0.1,0.0,0.0,0,0.0
L. Martínez Quarta,Lucas  Martínez Quarta,404648,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,RCB,RCB,94,,0,,0,30.0,1996-05-10,0,2028-12-31,18,1788,2,2.5300000000000002,0,0.0,13.54,63.2,Argentina,"['Argentina', 'Italy']",right,183,78,False,8.66,5.13,78.43,4.38,56.32,0.65,1.27,0.25,3.98,7.75,0.96,4,0.2,0,0.0,0.6000000000000001,0.1,2,0.1,0.13,2,0.1,15,0.76,40.0,13.333,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.65,46.15,1.6600000000000001,51.52,0.96,2.87,0.15,39.01,1.56,0.7000000000000001,54.92,87.44,24.26,79.05,2.27,93.33,48.72,91.74,6.14,54.1,20.98,38.91,0.0,0.05,0.05,0.0,0.0,0.0,0.0,6.09,74.38,0.30000000000000004,0.0,0.30000000000000004,16.67,0.0,0.0,10.37,67.96,95.79,22.7,0,,0,,0,0.0,0.0,0.0,,,1.31,,4.38,0.0,0.0,0.0,0.0,0,0.0
S. Sosa,Santiago Leonel Sosa,-52349,Racing Club,Racing Club,https://cdn5.wyscout.com/photos/team/public/132_120x120.png,Liga Profesional de Fútbol,"DMF, CB",DMF,74,CB,18,,0,27.0,1999-05-03,0,2027-12-31,18,1777,1,0.98,1,0.14,17.32,63.45,Argentina,"['Argentina', 'Croatia']",right,182,81,False,11.65,4.96,69.39,8.05,63.52,0.61,1.06,0.30000000000000004,7.6,13.2,1.32,5,0.25,0,0.0,0.41000000000000003,0.05,1,0.05,0.05,1,0.05,12,0.61,16.67,8.333,0.05,0.35000000000000003,57.14,0.25,60.0,0.1,50.0,0.0,0.1,50.0,0.76,20.0,0.81,0.76,0.0,30.54,0.30000000000000004,0.35000000000000003,50.85,84.56,17.32,74.85,5.57,93.64,41.99,87.45,8.51,71.43,20.72,37.52,0.01,0.35000000000000003,0.05,0.15,0.05,100.0,0.0,8.0,77.22,1.06,57.14,0.15,33.33,0.30000000000000004,0.2,9.52,70.74,89.95,22.18,0,,0,,0,0.0,0.0,0.0,,,1.16,,8.05,0.0,0.0,0.0,0.0,0,0.0
M. Mansilla,Matías Lisandro Mansilla,-90927,Unión Santa Fe,Unión Santa Fe,https://cdn5.wyscout.com/photos/team/public/1086_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,30.0,1996-01-15,0,,18,1775,0,0.0,0,0.0,0.76,80.0,Argentina,['Argentina'],right,192,91,True,1.06,0.05,100.0,0.46,100.0,0.0,0.0,0.0,1.01,1.47,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,4.41,0.41000000000000003,0.15,9.23,86.26,6.74,83.46,0.0,0.0,4.01,98.73,5.12,78.22,39.66,50.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,90.7,0.0,0.0,0.1,50.0,0.0,0.0,4.61,82.42,95.83,2.43,23,1.17,79,4.01,5,70.89,25.04,1.27,2.04,0.10300000000000001,0.0,1.88,0.46,,,,0.0,0,0.0
