Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Martin,Paddy Martin,-249727,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,GK,GK,100,,0,,0,26.0,1999-06-21,0,,25,2384,0,0.0,1,0.03,0.53,71.43,Scotland,['Scotland'],,192,0,False,1.4,0.08,0.0,0.38,90.0,0.04,0.06,0.04,1.3599999999999999,2.19,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,11.1,0.15,0.04,19.1,78.85,13.78,72.05,0.0,0.0,8.65,99.13,10.38,62.18,40.19,55.31,0.0,0.04,0.08,0.0,0.0,0.0,0.0,5.06,58.96,0.42,9.09,0.19,40.0,0.15,0.0,7.51,79.4,96.69,4.57,30,1.13,86,3.25,8,65.12,28.25,1.07,-1.75,-0.066,0.0,1.13,0.38,,,,0.0,0,0
B. Whyte,Bradley Whyte,-459124,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,"RCMF3, RCMF, LCMF3",RCMF3,37,RCMF,22,LCMF3,11,26.0,2000-01-15,0,2026-05-31,25,2236,5,3.31,1,0.99,20.49,49.51,Scotland,['Scotland'],unknown,0,0,False,7.33,6.64,72.12,4.71,40.17,0.36,0.58,0.16,2.17,3.48,0.97,4,0.16,0,0.0,1.85,0.2,5,0.2,0.13,0,0.0,29,1.17,44.83,17.241,0.04,0.85,38.1,0.4,40.0,0.36,33.33,0.16,1.6099999999999999,52.5,6.2,40.26,1.9300000000000002,0.89,0.08,19.56,1.13,1.49,30.91,79.82,9.7,64.73,6.12,93.42,26.89,84.28,3.18,53.16,16.96,30.29,0.04,0.76,0.0,0.04,0.2,80.0,0.28,4.47,72.07,1.85,52.17,0.4,60.0,0.93,0.36,4.83,72.5,85.47,9.42,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.71,0.0,0.0,0.0,0.0,0,0
A. Mailer,Angus Mailer,437154,Forfar Athletic,Forfar Athletic,https://cdn5.wyscout.com/photos/team/public/g1925_120x120.png,League Two,"RCMF, DMF, RCMF3",RCMF,39,DMF,11,RCMF3,10,27.0,1998-07-04,0,2027-05-31,24,2232,2,3.19,1,1.09,19.23,55.14,Scotland,['Scotland'],right,183,0,False,8.43,6.77,63.69,5.16,48.44,0.65,0.9500000000000001,0.28,3.47,5.09,1.53,7,0.28,0,0.0,0.97,0.08,2,0.08,0.13,0,0.0,26,1.05,23.08,7.692,0.04,0.48,25.0,0.12,66.67,0.36,11.11,0.12,1.09,55.56,4.68,51.72,1.33,0.85,0.24,11.53,0.48,1.94,24.27,65.45,11.41,48.41,3.35,92.77,19.31,71.19,4.48,45.05,19.07,32.56,0.04,0.48,0.08,0.0,0.0,0.0,0.08,5.52,54.01,1.85,26.09,0.24,16.67,0.56,0.16,5.0,65.32,76.92,6.29,0,,0,,0,0.0,0.0,0.0,,,0.36,,5.16,0.0,0.0,0.0,0.0,0,0
K. Banner,Kyle Banner,490520,Stirling Albion,Stirling Albion,https://cdn5.wyscout.com/photos/team/public/2654_120x120.png,League Two,"RCB, LCB, LCMF",RCB,28,LCB,15,LCMF,13,26.0,1999-07-13,0,2026-05-31,24,2223,0,1.1,2,0.27,18.42,60.66,Scotland,['Scotland'],right,0,0,False,9.19,6.23,66.88,8.95,60.18,0.49,0.64,0.77,4.53,5.99,1.09,5,0.2,0,0.0,0.32,0.0,0,0.0,0.04,0,0.0,8,0.32,37.5,0.0,0.08,0.12,33.33,0.08,0.0,0.0,0.0,0.04,0.28,57.14,1.26,41.94,0.4,0.24,0.0,11.74,0.08,0.89,26.52,72.06,14.17,58.86,2.23,94.55,20.24,78.4,6.15,51.97,22.9,38.44,0.01,0.12,0.0,0.0,0.04,0.0,0.08,5.55,48.91,0.5700000000000001,42.86,0.36,33.33,0.16,0.08,7.94,66.33,88.36,7.65,0,,0,,0,0.0,0.0,0.0,,,1.17,,8.95,0.0,0.0,0.0,0.0,0,0
L. Reid,Lewis Reid,-362926,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,LCB,LCB,100,,0,,0,21.0,2004-07-27,0,2026-05-31,23,2191,0,0.86,0,0.44,18.61,62.03,Scotland,['Scotland'],,0,0,False,9.65,6.12,77.18,5.46,60.9,0.0,0.0,1.31,4.93,6.91,0.86,3,0.12,0,0.0,0.9400000000000001,0.0,0,0.0,0.04,0,0.0,10,0.41000000000000003,10.0,0.0,0.0,0.25,50.0,0.08,0.0,0.12,100.0,0.0,1.23,56.67,4.11,47.0,0.62,1.15,0.12,6.24,0.08,1.27,21.98,67.85,13.56,57.58,2.09,90.2,14.09,77.55,7.64,50.54,26.41,38.38,0.02,0.16,0.0,0.0,0.12,66.67,0.04,5.42,55.3,0.74,50.0,0.45,18.18,0.21,0.12,7.72,62.77,85.84,4.64,0,,0,,0,0.0,0.0,0.0,,,1.52,,5.46,0.0,0.0,0.0,0.0,0,0
J. Dolzanski,Jake Dolzanski Dolzanski,-353284,Forfar Athletic,Forfar Athletic,https://cdn5.wyscout.com/photos/team/public/g1925_120x120.png,League Two,"RCB, CB",RCB,61,CB,24,,0,27.0,1998-05-23,0,2027-05-31,23,2110,2,1.78,0,0.36,19.66,64.43,Scotland,['Scotland'],right,0,0,False,11.73,7.68,69.44,9.21,64.35,0.38,0.56,0.55,6.01,8.72,1.28,9,0.38,0,0.0,0.38,0.09,2,0.09,0.08,0,0.0,13,0.55,38.46,15.385,0.0,0.26,66.67,0.09,100.0,0.17,50.0,0.0,0.0,0.0,0.55,23.08,0.85,0.17,0.0,8.53,0.17,0.51,23.67,59.82,14.5,49.12,1.54,86.11,17.02,68.67,6.4,36.0,23.49,37.94,0.02,0.17,0.04,0.04,0.0,0.0,0.0,4.91,38.26,0.9,33.33,0.34,37.5,0.21,0.17,7.8100000000000005,47.54,78.87,6.06,0,,0,,0,0.0,0.0,0.0,,,0.9,,9.21,0.0,0.0,0.0,0.0,0,0
M. Weir,Mark Weir,445778,Edinburgh City,Edinburgh City,https://cdn5.wyscout.com/photos/team/public/g5013_120x120.png,League Two,GK,GK,100,,0,,0,34.0,1991-09-30,0,2026-05-31,22,2109,0,0.0,0,0.0,0.9,90.48,Scotland,['Scotland'],right,193,88,False,1.71,0.17,100.0,0.51,91.67,0.0,0.0,0.0,1.54,2.55,0.04,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,8.96,0.13,0.17,17.2,71.71,14.08,66.97,0.0,0.0,5.93,95.68,11.27,59.09,44.26,53.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,53.6,0.38,11.11,0.47000000000000003,18.18,0.09,0.0,7.47,83.43,95.52,2.86,42,1.79,127,5.42,4,66.93,41.02,1.75,-0.98,-0.042,0.0,1.96,0.51,,,,0.0,0,0
J. Hogarth,Jay Hogarth,-119168,Clyde,Clyde,https://cdn5.wyscout.com/photos/team/public/1233_120x120.png,League Two,GK,GK,100,,0,,0,22.0,2003-07-18,0,2026-05-31,22,2099,0,0.0,0,0.0,0.9,71.43,Scotland,['Scotland'],left,0,0,False,1.8,0.09,50.0,0.56,76.92,0.04,0.06,0.0,1.72,2.5300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,9.69,0.26,0.04,19.25,75.95,13.51,69.84,0.04,100.0,7.76,94.48,11.45,63.67,41.12,50.85,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.12,48.96,0.26,16.67,0.04,100.0,0.04,0.0,8.28,78.76,91.06,5.27,23,0.99,87,3.73,7,73.56,25.52,1.09,2.52,0.108,0.04,2.06,0.56,,,,0.0,0,0
L. McIntosh,Leighton McIntosh,159838,Dumbarton,Dumbarton,https://cdn5.wyscout.com/photos/team/public/g1923_120x120.png,League Two,CF,CF,97,,0,,0,33.0,1993-02-06,75000,2026-05-31,23,2092,10,9.59,2,1.8900000000000001,29.13,32.05,Scotland,['Scotland'],right,185,74,False,2.84,2.75,56.25,11.36,37.88,0.17,0.24,0.17,1.12,1.55,1.2,2,0.09,0,0.0,2.19,0.43,9,0.39,0.41000000000000003,4,0.17,51,2.19,47.06,19.608,0.09,0.9,28.57,0.39,44.44,0.52,16.67,0.09,1.76,51.22,11.01,24.22,3.5700000000000003,0.56,0.04,9.12,2.62,0.99,14.15,70.52,3.4,49.37,4.09,89.47,12.48,75.17,0.77,44.44,15.25,22.16,0.08,0.39,0.04,0.0,0.0,0.0,0.17,1.85,44.19,0.77,44.44,0.17,0.0,0.30000000000000004,0.22,1.2,64.29,70.0,3.01,0,,0,,0,0.0,0.0,0.0,,,0.0,,11.36,0.0,0.0,0.0,0.0,1,100
D. Gaston,Derek Gaston,86715,Stirling Albion,Stirling Albion,https://cdn5.wyscout.com/photos/team/public/2654_120x120.png,League Two,GK,GK,100,,0,,0,38.0,1987-04-18,25000,2026-05-31,22,2068,0,0.0,0,0.0,0.74,100.0,Scotland,['Scotland'],right,191,91,False,2.35,0.09,100.0,0.44,100.0,0.0,0.0,0.0,2.26,2.91,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,9.1,0.09,0.17,21.46,76.06,18.1,72.84,0.0,0.0,6.48,96.64,14.93,67.35,44.83,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,58.28,0.44,0.0,0.04,0.0,0.0,0.0,10.97,86.51,93.75,2.79,34,1.48,142,6.18,4,76.06,36.04,1.57,2.04,0.089,0.0,1.83,0.44,,,,0.0,0,0
J. Dishington,Jamie Dishington,427325,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,"RWF, RW, DMF",RWF,19,RW,17,DMF,14,29.0,1996-12-12,0,2026-05-31,23,2015,1,2.2800000000000002,4,2.09,22.47,48.91,Scotland,['Scotland'],,0,0,False,8.58,6.43,66.67,7.01,45.22,0.63,1.0,0.09,3.66,5.87,1.12,4,0.18,1,0.04,1.7000000000000002,0.04,1,0.04,0.1,0,0.0,26,1.16,30.77,3.846,0.18,1.52,23.53,0.31,28.57,1.16,23.08,0.18,1.43,65.63,6.43,40.97,2.5,1.34,0.13,25.06,1.56,0.98,39.62,78.35,14.02,67.52,7.41,92.17,33.19,86.0,4.96,43.24,19.08,36.97,0.09,0.89,0.09,0.13,0.18,25.0,0.4,6.88,62.99,2.81,47.62,0.98,36.36,1.38,0.31,7.91,75.71,81.92,12.1,0,,0,,0,0.0,0.0,0.0,,,0.22,,7.01,0.0,0.0,0.0,0.04,0,0
