Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Hussain Al Shuwaish,Hussain Al Shuwaish,174704,Al Orubah,Al Orubah,https://cdn5.wyscout.com/photos/team/public/4522_120x120.png,Division 1,LCB,LCB,98,,0,,0,37.0,1988-11-07,0,,26,2722,0,0.43,0,0.54,6.22,59.04,Saudi Arabia,['Saudi Arabia'],left,185,84,False,5.98,2.31,74.29,2.08,49.21,0.07,0.11,0.2,4.2,6.71,0.23,2,0.07,0,0.0,0.2,0.0,0,0.0,0.01,0,0.0,5,0.17,20.0,0.0,0.0,0.23,42.86,0.03,100.0,0.2,33.33,0.03,0.13,25.0,0.73,40.91,0.4,1.32,0.0,28.07,0.4,0.30000000000000004,42.52,86.78,20.07,78.42,1.52,97.83,35.31,91.48,6.98,64.45,22.83,39.54,0.02,0.23,0.0,0.0,0.03,100.0,0.17,5.52,75.45,0.63,47.37,0.46,35.71,0.23,0.13,10.05,77.3,95.24,17.36,0,,0,,0,0.0,0.0,0.0,,,0.96,,2.08,0.0,0.0,0.0,0.0,0,0.0
Mohammed Al Owais,Mohammed Khalil Al Owais,279673,Al Ula,Al Ula,https://cdn5.wyscout.com/photos/team/public/g-19669_120x120.png,Division 1,GK,GK,100,,0,,0,34.0,1991-10-10,500000,,26,2717,0,0.0,0,0.0,0.6000000000000001,77.78,Saudi Arabia,['Saudi Arabia'],left,185,79,False,1.16,0.03,0.0,0.4,83.33,0.0,0.0,0.0,1.16,1.88,0.07,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.03,0.03,0.0,8.81,0.13,0.2,13.65,82.77,6.69,68.32,0.07,50.0,9.31,97.15,4.34,51.91,30.99,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3900000000000001,42.86,0.1,33.33,0.17,60.0,0.03,0.0,2.75,60.24,96.74,6.09,22,0.73,87,2.88,10,74.71,24.57,0.81,2.5700000000000003,0.085,0.03,1.32,0.4,,,,0.0,0,0.0
Mohammed Al Waked,Mohammed Al Waked,309813,Al Jabalain,Al Jabalain,https://cdn5.wyscout.com/photos/team/public/g9286_120x120.png,Division 1,GK,GK,100,,0,,0,34.0,1991-12-31,100000,,26,2714,0,0.0,0,0.0,0.66,80.0,Saudi Arabia,['Saudi Arabia'],right,182,65,False,1.62,0.07,0.0,0.36,90.91,0.0,0.0,0.0,1.62,2.7199999999999998,0.07,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,80.0,0.03,0.0,0.0,10.08,0.2,0.30000000000000004,16.78,79.05,10.45,69.52,0.03,100.0,9.29,96.07,7.49,57.96,35.48,48.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,38.6,0.1,0.0,0.13,50.0,0.0,0.0,5.6,67.46,94.89,5.84,30,0.99,102,3.38,7,70.59,32.2,1.07,2.2,0.073,0.0,1.33,0.36,,,,0.0,0,0.0
Saad Al Saleh,Saad Al Saleh,385219,Al Zulfi,Al Zulfi,https://cdn5.wyscout.com/photos/team/public/g25430_120x120.png,Division 1,GK,GK,100,,0,,0,33.0,1992-05-19,50000,,26,2706,0,0.0,0,0.0,0.93,82.14,Saudi Arabia,['Saudi Arabia'],right,178,70,False,1.26,0.17,60.0,0.37,81.82,0.0,0.0,0.0,1.16,1.67,0.07,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,88.89,0.0,0.0,0.0,7.52,0.1,0.43,13.44,83.91,7.85,75.0,0.03,100.0,9.05,97.06,4.39,56.82,32.65,48.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,35.42,0.2,0.0,0.23,0.0,0.0,0.0,2.69,71.6,96.05,5.06,32,1.06,100,3.33,6,68.0,33.47,1.11,1.47,0.049,0.0,1.1,0.37,,,,0.0,0,0.0
A. Lakhdar,Ayoub  Lakhdar,-220456,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,"LAMF, LW",LAMF,58,LW,19,,0,28.0,1997-08-08,0,,26,2671,3,4.64,4,4.17,17.82,47.26,Morocco,['Morocco'],right,174,63,False,3.87,3.81,61.95,1.28,21.05,0.03,0.04,0.03,1.48,1.97,1.08,2,0.07,0,0.0,5.02,0.1,2,0.07,0.16,0,0.0,47,1.58,53.19,6.383,0.13,3.3,27.55,2.49,27.03,0.81,29.17,0.5700000000000001,5.16,58.82,10.72,47.8,1.79,3.54,0.64,18.77,1.65,1.79,27.29,72.22,7.92,65.53,5.02,93.96,21.4,82.52,2.83,44.05,19.63,37.81,0.14,1.04,0.03,0.0,0.34,70.0,0.37,4.08,57.85,3.71,39.09,1.04,45.16,1.15,0.88,5.09,77.48,65.6,8.42,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.28,1.55,0.44,69.23,1.58,1,100.0
H. Faik,Hicham Faik,255123,Al Bukayriyah,Al Bukayriyah,https://cdn5.wyscout.com/photos/team/public/g-9478_120x120.png,Division 1,"LCMF3, LCMF, DMF",LCMF3,46,LCMF,20,DMF,10,33.0,1992-03-19,700000,2026-06-30,26,2657,0,1.04,8,5.77,9.55,52.48,Netherlands,"['Netherlands', 'Morocco']",left,189,82,False,5.66,4.3,62.2,1.08,43.75,0.2,0.31,0.2,2.7800000000000002,4.24,0.78,3,0.1,0,0.0,1.22,0.0,0,0.0,0.04,0,0.0,33,1.12,18.18,0.0,0.27,1.19,48.57,0.78,43.48,0.41000000000000003,58.33,0.17,0.85,52.0,3.59,45.28,0.64,0.64,0.03,36.75,0.78,0.88,46.78,82.62,16.6,71.63,7.25,96.26,38.95,87.91,6.67,57.87,19.78,36.55,0.2,1.73,0.0,0.07,0.07,0.0,0.30000000000000004,9.65,68.42,2.51,48.65,1.08,43.75,0.51,0.61,8.87,81.3,88.05,16.16,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.08,2.2,0.30000000000000004,33.33,2.61,0,0.0
Darwin González,Darwin Jesús González Mendoza,403741,Al Orubah,Al Orubah,https://cdn5.wyscout.com/photos/team/public/4522_120x120.png,Division 1,"LW, LAMF",LW,53,LAMF,31,,0,31.0,1994-05-20,750000,2026-06-30,26,2656,6,5.08,5,3.59,15.82,43.25,Venezuela,['Venezuela'],right,178,68,False,5.15,3.22,64.21,1.83,42.59,0.07,0.11,0.1,3.02,4.85,0.68,1,0.03,0,0.0,3.19,0.2,5,0.17,0.17,0,0.0,45,1.52,40.0,13.333,0.17,1.9300000000000002,33.33,1.6600000000000001,28.57,0.2,83.33,0.24,3.59,53.77,9.25,37.36,2.81,3.15,0.58,21.99,1.76,1.12,29.11,76.6,7.5600000000000005,69.06,6.3,86.02,26.13,80.67,1.12,51.52,15.92,24.46,0.12,1.05,0.0,0.07,0.2,0.0,0.51,2.85,71.43,2.54,52.0,0.30000000000000004,33.33,1.3599999999999999,0.71,5.12,75.5,77.73,8.67,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.83,0.27,0.03,0.0,0.88,1,100.0
Diogo Queirós,Diogo Lucas Queirós,419698,Al Jabalain,Al Jabalain,https://cdn5.wyscout.com/photos/team/public/g9286_120x120.png,Division 1,"RCB3, RCB",RCB3,82,RCB,12,,0,27.0,1999-01-05,450000,2026-06-30,25,2615,3,3.33,1,1.13,11.7,61.18,Portugal,['Portugal'],right,185,80,False,8.95,4.51,72.52,4.37,52.76,0.17,0.29,0.55,5.51,9.23,0.8300000000000001,6,0.21,0,0.0,0.41000000000000003,0.1,3,0.1,0.11,2,0.07,15,0.52,26.67,20.0,0.03,0.28,37.5,0.0,0.0,0.28,37.5,0.0,0.41000000000000003,41.67,1.2,45.71,0.72,1.65,0.03,31.63,0.76,0.65,44.85,88.95,17.97,80.84,4.44,96.12,40.23,92.73,4.34,57.14,19.92,39.27,0.04,0.38,0.07,0.0,0.0,0.0,0.21,6.26,73.63,1.0,51.72,0.28,25.0,0.41000000000000003,0.1,7.54,77.63,95.73,16.93,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,4.37,0.03,0.0,0.0,0.0,0,0.0
S. Sow,Sylla Sow,452064,Abha,Abha,https://cdn5.wyscout.com/photos/team/public/3377_120x120.png,Division 1,CF,CF,97,,0,,0,29.0,1996-08-08,700000,2026-06-30,25,2595,22,15.32,6,2.52,14.67,33.1,Netherlands,"['Netherlands', 'Senegal']",right,182,74,False,1.56,1.32,63.16,2.5,27.78,0.0,0.0,0.03,0.73,1.29,0.76,0,0.0,0,0.0,2.5300000000000002,0.76,15,0.52,0.53,0,0.0,68,2.36,50.0,32.353,0.21,0.76,18.18,0.24,0.0,0.45,23.08,0.1,2.95,40.0,9.02,31.92,4.09,2.05,0.42,12.94,2.22,0.55,18.31,79.36,3.02,66.67,6.24,95.56,17.06,82.52,0.59,58.82,15.84,18.26,0.09,1.21,0.03,0.0,0.17,20.0,0.66,1.63,80.85,1.21,62.86,0.21,33.33,1.28,0.07,1.7000000000000002,77.55,73.75,5.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.5,0.0,0.0,0.0,0.0,7,100.0
Hussam Majrashi,Hussam Shami Ali Majrashi,-561596,Al Anwar Club,Al Anwar Club,https://cdn5.wyscout.com/photos/team/public/g-11456_120x120.png,Division 1,RCB,RCB,94,,0,,0,22.0,2003-11-03,0,,26,2593,2,1.1400000000000001,2,0.29,10.24,62.71,Saudi Arabia,['Saudi Arabia'],,175,62,False,6.35,4.62,67.67,2.5,54.17,0.14,0.21,0.38,3.09,4.58,1.01,3,0.1,1,0.03,0.6900000000000001,0.07,2,0.07,0.04,1,0.03,5,0.17,40.0,40.0,0.07,0.24,57.14,0.03,0.0,0.21,66.67,0.03,0.62,77.78,1.94,67.86,0.28,0.9,0.03,23.71,0.59,0.66,36.69,83.92,17.25,74.04,2.95,95.29,29.22,91.69,7.29,53.81,24.59,48.09,0.01,0.17,0.0,0.03,0.0,0.0,0.14,6.5600000000000005,54.5,1.53,31.82,1.08,25.81,0.35000000000000003,0.07,8.09,77.25,92.71,13.81,0,,0,,0,0.0,0.0,0.0,,,2.19,,2.5,0.0,0.0,0.0,0.0,0,0.0
