Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Bernedo,Vicente Bernedo García-Huidobro,-184876,Universidad Católica,Universidad Católica,https://cdn5.wyscout.com/photos/team/public/467_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2001-01-22,100000,2027-12-31,30,3072,0,0.0,0,0.0,0.79,62.96,Chile,['Chile'],right,187,0,False,1.49,0.06,50.0,0.47000000000000003,68.75,0.0,0.0,0.0,1.46,2.41,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,57.14,0.0,0.0,0.0,14.3,0.21,0.21,21.56,89.95,11.16,82.94,0.03,100.0,15.41,98.29,6.12,69.38,29.09,49.39,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.2,63.41,0.06,0.0,0.06,0.0,0.0,0.0,4.42,69.54,97.85,9.52,26,0.76,106,3.11,11,75.47,29.5,0.86,3.5,0.10300000000000001,0.03,1.88,0.47000000000000003,,,,0.0,0,0.0
T. Ahumada,Tomás Alejandro Ahumada Oteíza,-125391,Audax Italiano,Audax Italiano,https://cdn5.wyscout.com/photos/team/public/919_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2001-06-24,425000,2027-12-31,30,3044,0,0.0,0,0.0,0.77,96.15,Chile,['Chile'],right,181,74,False,1.45,0.03,0.0,0.44,100.0,0.0,0.0,0.0,1.45,1.99,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,6.65,0.18,0.27,12.77,84.03,7.24,73.06,0.0,0.0,7.3,99.6,5.44,63.59,37.58,53.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,51.02,0.12,0.0,0.0,0.0,0.0,0.0,4.08,77.54,98.85,5.14,43,1.27,158,4.67,6,72.78,45.98,1.3599999999999999,2.98,0.088,0.0,1.6,0.44,,,,0.0,0,0.0
N. Pérez,Alison Nicola Pérez Barone,91578,Ñublense,Ñublense,https://cdn5.wyscout.com/photos/team/public/950_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-02-05,350000,2025-12-31,30,3044,0,0.0,0,0.0,0.74,76.0,Uruguay,['Uruguay'],right,184,84,False,1.8900000000000001,0.12,50.0,0.5,88.24,0.0,0.0,0.0,1.83,2.76,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.0,0.0,0.0,9.31,0.24,0.18,16.02,86.9,10.02,82.3,0.0,0.0,9.43,97.81,6.59,71.3,35.0,49.46,0.0,0.0,0.03,0.03,0.0,0.0,0.0,2.7800000000000002,67.02,0.06,0.0,0.09,33.33,0.03,0.0,4.85,84.15,95.24,5.59,40,1.18,135,3.99,8,70.37,44.89,1.33,4.89,0.145,0.0,1.6,0.5,,,,0.0,0,0.0
J. Peña,Jorge Benito Peña Canales,-129621,Unión La Calera,Unión La Calera,https://cdn5.wyscout.com/photos/team/public/3387_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,2000-07-11,50000,2027-12-31,30,3037,0,0.0,0,0.55,1.24,85.71,Chile,['Chile'],right,184,82,False,2.04,0.18,83.33,0.77,92.31,0.03,0.04,0.0,1.87,2.5300000000000002,0.0,1,0.03,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.18,83.33,0.0,0.0,0.0,11.26,0.15,0.18,18.76,82.46,10.08,70.88,0.0,0.0,11.85,98.5,6.79,55.9,32.19,49.01,0.02,0.03,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,33.87,0.09,0.0,0.06,0.0,0.0,0.0,4.68,65.19,97.77,7.97,39,1.16,125,3.7,7,68.8,36.55,1.08,-2.45,-0.073,0.0,2.16,0.77,,,,0.0,0,0.0
D. Sánchez,Diego Sánchez Carvajal,21926,Coquimbo Unido,Coquimbo Unido,https://cdn5.wyscout.com/photos/team/public/4079_120x120.png,Primera División,GK,GK,100,,0,,0,38.0,1987-05-08,150000,2025-12-31,29,2964,1,0.76,0,0.0,0.88,75.86,Chile,['Chile'],right,184,86,False,1.49,0.06,50.0,0.52,94.12,0.03,0.04,0.0,1.43,1.8,0.03,5,0.15,0,0.0,0.03,0.03,0,0.0,0.02,0,0.0,1,0.03,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.18,66.67,0.0,0.0,0.0,6.1,0.27,0.18,12.72,77.33,10.05,72.81,0.0,0.0,4.65,98.04,8.02,65.91,42.57,51.76,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.97,53.85,0.09,0.0,0.06,50.0,0.0,0.0,6.1,79.1,95.24,2.55,17,0.52,77,2.34,15,77.92,19.03,0.58,2.03,0.062,0.0,2.19,0.52,,,,0.0,1,100.0
F. Salinas,Francisco Antonio Salinas Concha,473446,Coquimbo Unido,Coquimbo Unido,https://cdn5.wyscout.com/photos/team/public/4079_120x120.png,Primera División,RB,RB,89,,0,,0,26.0,1999-12-04,0,2026-12-31,29,2951,6,4.78,4,2.83,21.96,50.14,Chile,['Chile'],right,179,71,True,9.48,6.95,63.16,7.2,52.54,0.24,0.31,0.09,4.85,6.13,1.04,7,0.21,0,0.0,2.5,0.18,6,0.18,0.15,5,0.15,23,0.7000000000000001,47.83,26.087,0.12,2.26,39.19,0.0,0.0,2.26,39.19,0.12,2.41,50.63,5.61,36.41,1.22,1.49,0.18,20.13,1.8,0.34,30.25,73.89,14.43,69.34,3.11,94.12,24.28,81.41,3.96,46.15,19.83,40.7,0.09,0.79,0.03,0.0,0.12,50.0,0.4,5.28,59.54,2.26,44.59,0.49,43.75,0.4,0.67,7.59,69.48,71.43,7.26,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,7.2,0.0,0.0,0.0,0.0,0,0.0
R. Caroca,Rafael Antonio Caroca Cordero,72895,Huachipato,Huachipato,https://cdn5.wyscout.com/photos/team/public/948_120x120.png,Primera División,"LCB, RCB",LCB,77,RCB,17,,0,36.0,1989-07-19,250000,2026-12-31,29,2950,3,2.27,0,0.0,12.6,66.83,Chile,['Chile'],right,170,67,False,10.8,4.58,84.67,4.36,57.34,0.24,0.34,0.49,6.68,9.44,0.4,2,0.06,0,0.0,0.4,0.09,3,0.09,0.07,1,0.03,12,0.37,66.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,62.5,1.71,50.0,0.43,0.49,0.03,22.67,0.34,1.13,36.46,88.28,15.83,81.12,1.8599999999999999,86.89,33.41,90.87,3.05,60.0,19.46,36.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,69.62,0.18,0.0,0.12,25.0,0.0,0.0,6.01,60.41,96.55,15.04,0,,0,,0,0.0,0.0,0.0,,,1.25,,4.36,0.0,0.0,0.0,0.0,0,0.0
I. González,José Ignacio González Catalán,111752,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/938_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1989-12-02,350000,2026-12-31,28,2847,0,0.0,0,0.0,0.63,80.0,Chile,['Chile'],right,184,84,False,1.04,0.03,100.0,0.54,76.47,0.0,0.0,0.0,1.01,1.38,0.0,4,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.22,0.19,9.93,88.85,4.87,78.57,0.0,0.0,6.35,98.01,3.54,73.21,32.72,43.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,65.0,0.06,0.0,0.03,0.0,0.0,0.0,3.0,75.79,99.33,4.71,42,1.33,121,3.83,4,65.29,39.59,1.25,-2.41,-0.076,0.0,1.6800000000000002,0.54,,,,0.0,0,0.0
O. Carabalí,Gabriel Omar Carabalí Quiñonez,435500,O'Higgins,O'Higgins,https://cdn5.wyscout.com/photos/team/public/939_120x120.png,Primera División,GK,GK,100,,0,,0,28.0,1997-06-12,500000,2025-12-31,28,2846,0,0.0,0,0.0,1.08,88.24,Ecuador,"['Ecuador', 'Chile']",left,187,85,False,1.9,0.09,66.67,0.54,100.0,0.0,0.0,0.0,1.83,3.03,0.03,6,0.19,1,0.03,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.28,77.78,0.0,0.0,0.0,11.89,0.16,0.47000000000000003,20.87,85.45,12.33,77.18,0.0,0.0,13.6,97.67,7.24,62.88,34.12,55.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,61.98,0.25,0.0,0.25,25.0,0.09,0.0,5.28,82.63,97.15,7.78,34,1.08,107,3.38,10,68.22,32.04,1.01,-1.96,-0.062,0.0,1.42,0.54,,,,0.0,0,0.0
M. Fernández,Manuel Elías Fernández Guzmán,201421,Coquimbo Unido,Coquimbo Unido,https://cdn5.wyscout.com/photos/team/public/4079_120x120.png,Primera División,LCB,LCB,92,,0,,0,36.0,1989-01-25,100000,2025-12-31,28,2818,2,1.6800000000000002,0,0.75,14.02,67.2,Uruguay,"['Uruguay', 'Chile']",right,180,77,False,8.88,4.89,80.39,5.43,62.94,0.35000000000000003,0.44,0.45,4.6,5.78,0.73,7,0.22,2,0.06,0.26,0.06,2,0.06,0.05,2,0.06,12,0.38,58.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.33,0.73,39.13,0.89,0.06,0.03,10.83,0.16,0.5700000000000001,23.6,81.46,11.18,70.57,1.21,86.84,20.18,86.23,3.42,53.27,20.6,33.52,0.02,0.1,0.0,0.0,0.0,0.0,0.0,1.79,62.5,0.13,0.0,0.03,0.0,0.16,0.0,4.82,50.33,93.36,9.61,0,,0,,0,0.0,0.0,0.0,,,0.64,,5.43,0.0,0.0,0.0,0.0,0,0.0
