Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Ferrie,Calum Ferrie,451571,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g1937_120x120.png,Championship,GK,GK,100,,0,,0,27.0,1998-06-16,275000,2027-05-31,31,2972,0,0.0,0,0.0,0.79,69.23,England,['England'],,0,0,False,1.3,0.09,0.0,0.58,78.95,0.03,0.04,0.03,1.27,1.52,0.12,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.0,0.0,0.0,11.27,0.15,0.06,18.81,77.46,13.14,69.59,0.0,0.0,6.8100000000000005,98.22,11.93,65.99,40.69,50.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,51.67,0.12,0.0,0.09,0.0,0.0,0.0,8.3,82.12,97.06,5.15,43,1.3,146,4.42,7,70.55,45.02,1.3599999999999999,2.02,0.061,0.0,1.18,0.58,,,,0.0,0,0.0
A. Mcadams,Aidan Mcadams,423867,Arbroath,Arbroath,https://cdn5.wyscout.com/photos/team/public/4269_120x120.png,Championship,GK,GK,100,,0,,0,27.0,1999-03-23,10000,2026-05-31,31,2972,0,0.0,0,0.0,0.48,93.75,Scotland,['Scotland'],right,190,0,False,1.06,0.0,0.0,0.36,91.67,0.0,0.0,0.03,1.06,1.3599999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,10.24,0.24,0.06,17.56,76.03,11.2,68.11,0.0,0.0,6.78,95.54,10.72,64.12,39.14,46.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,50.0,0.18,16.67,0.27,33.33,0.0,0.0,7.54,75.5,91.79,5.91,35,1.06,111,3.36,8,68.47,31.66,0.96,-3.34,-0.101,0.0,1.33,0.36,,,,0.0,0,0.0
T. Steward,Toby Peter Gary Steward,-286337,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,GK,GK,100,,0,,0,21.0,2005-02-12,0,2026-06-30,31,2970,0,0.0,0,0.0,0.67,90.91,England,['England'],,193,83,True,1.73,0.09,66.67,0.48,93.75,0.0,0.0,0.0,1.67,2.9,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55,0.30000000000000004,0.21,24.52,88.75,12.45,79.56,0.03,100.0,16.85,97.84,7.64,69.05,27.5,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,33.33,0.06,50.0,0.03,0.0,0.03,0.0,6.0,72.22,98.27,10.52,23,0.7000000000000001,82,2.48,16,71.95,24.03,0.73,1.03,0.031,0.0,1.52,0.48,,,,0.0,0,0.0
R. McAlear,Reece McAlear,-57289,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,"RDMF, LDMF, DMF",RDMF,46,LDMF,30,DMF,13,24.0,2002-02-12,150000,2027-05-31,31,2914,4,1.23,4,3.01,13.99,51.88,Scotland,['Scotland'],right,189,75,False,7.01,5.31,61.63,2.25,47.95,0.4,0.7000000000000001,0.09,3.34,5.8100000000000005,1.3599999999999999,5,0.15,0,0.0,1.48,0.12,4,0.12,0.04,0,0.0,36,1.11,33.33,11.111,0.12,1.2,56.41,0.22,71.43,0.93,53.33,0.25,0.77,56.0,4.2,38.97,0.68,1.17,0.03,40.06,0.25,0.99,57.11,85.51,16.77,67.22,9.48,96.09,48.98,90.79,7.01,53.3,19.63,38.96,0.09,0.86,0.03,0.03,0.06,0.0,0.4,8.96,65.17,2.5300000000000002,54.88,0.53,17.65,0.86,0.65,8.31,78.44,94.09,22.98,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,2.25,0.71,0.12,75.0,1.33,0,0.0
M. Shiels,Matthew Shiels,498005,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g1937_120x120.png,Championship,"LCB, LB",LCB,51,LB,23,,0,25.0,2000-09-13,0,2026-05-31,31,2914,1,1.43,1,1.25,15.38,55.42,Scotland,['Scotland'],,0,0,False,9.23,4.82,63.46,6.7,57.14,0.22,0.26,0.59,5.96,7.1,0.56,4,0.12,0,0.0,0.9,0.03,1,0.03,0.04,1,0.03,12,0.37,25.0,8.333,0.03,0.96,32.26,0.96,32.26,0.0,0.0,0.19,0.65,76.19,1.76,50.88,0.71,1.02,0.12,17.26,0.8,0.53,30.95,72.26,15.38,61.45,3.21,93.27,23.01,81.61,7.01,47.14,22.66,38.34,0.04,0.22,0.0,0.0,0.0,0.0,0.12,5.34,56.65,1.48,43.75,0.4,46.15,0.53,0.34,8.65,64.29,84.54,9.39,0,,0,,0,0.0,0.0,0.0,,,1.17,,6.7,0.0,0.0,0.0,0.0,0,0.0
C. Diabaté,Cheick Tiemoko Diabaté,-150316,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,"RCB, LCB",RCB,48,LCB,42,,0,24.0,2002-01-21,0,2027-05-31,30,2874,3,2.49,1,0.30000000000000004,16.53,64.02,England,"['England', 'France']",right,186,78,False,6.98,3.8200000000000003,75.41,6.89,64.55,0.28,0.49,0.31,3.8200000000000003,6.65,0.91,5,0.16,1,0.03,0.53,0.09,3,0.09,0.08,3,0.09,22,0.6900000000000001,22.73,13.636,0.03,0.06,0.0,0.0,0.0,0.06,0.0,0.03,0.44,78.57,2.35,44.0,0.78,1.72,0.09,41.56,0.41000000000000003,0.63,62.85,89.19,25.55,79.78,4.01,100.0,58.34,92.22,4.45,50.7,20.2,37.96,0.01,0.13,0.0,0.0,0.03,100.0,0.06,6.95,71.62,0.53,47.06,0.16,40.0,0.28,0.0,8.99,73.17,96.54,27.18,0,,0,,0,0.0,0.0,0.0,,,2.38,,6.89,0.0,0.0,0.0,0.0,0,0.0
J. Rae,Josh Rae,460400,Raith Rovers,Raith Rovers,https://cdn5.wyscout.com/photos/team/public/2653_120x120.png,Championship,GK,GK,100,,0,,0,25.0,2000-10-17,200000,2027-05-31,30,2871,0,0.0,1,0.2,0.53,82.35,Scotland,['Scotland'],right,188,74,False,1.35,0.0,0.0,0.34,100.0,0.0,0.0,0.0,1.35,1.8399999999999999,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,25.0,0.0,0.0,0.03,16.65,0.06,0.06,24.58,75.89,15.42,64.63,0.0,0.0,9.69,97.41,14.8,62.29,39.77,48.95,0.01,0.03,0.0,0.0,0.0,0.0,0.03,5.17,53.33,0.25,12.5,0.34,45.45,0.09,0.0,10.41,75.9,95.67,8.68,34,1.07,116,3.64,13,70.69,32.52,1.02,-1.48,-0.046,0.0,0.78,0.34,,,,0.0,0,0.0
L. Longridge,Louis Longridge,237249,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g1937_120x120.png,Championship,"RDMF, DMF, RCMF",RDMF,50,DMF,24,RCMF,15,34.0,1991-07-05,100000,2026-05-31,31,2804,0,0.26,1,1.55,12.55,54.73,Scotland,['Scotland'],right,177,71,False,10.17,6.36,67.68,2.12,43.94,0.03,0.04,0.42,5.84,6.91,0.77,4,0.13,0,0.0,0.55,0.0,0,0.0,0.01,0,0.0,8,0.26,12.5,0.0,0.03,0.64,35.0,0.29,33.33,0.35000000000000003,36.36,0.13,0.58,50.0,2.34,35.62,0.03,0.29,0.0,16.66,0.19,0.19,34.6,74.4,14.38,57.81,5.01,96.79,26.45,84.1,7.54,43.4,21.9,38.07,0.05,0.61,0.0,0.0,0.03,0.0,0.1,7.48,52.36,1.0,41.94,0.32,20.0,0.16,0.22,7.35,63.32,84.05,11.27,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.12,1.51,0.0,0.0,1.48,0,0.0
J. Wilkie,Jack Wilkie,-214207,Arbroath,Arbroath,https://cdn5.wyscout.com/photos/team/public/4269_120x120.png,Championship,LB,LB,98,,0,,0,23.0,2002-12-20,0,2026-05-31,30,2783,1,1.48,2,2.81,15.2,52.77,Scotland,['Scotland'],right,188,66,False,9.09,5.82,56.67,4.88,55.63,0.23,0.29,0.52,5.5600000000000005,7.23,0.65,2,0.06,1,0.03,1.81,0.03,1,0.03,0.05,0,0.0,18,0.58,16.67,5.556,0.06,3.04,34.04,2.88,33.71,0.16,40.0,0.36,1.16,58.33,2.7199999999999998,46.43,0.58,1.13,0.06,25.58,1.3599999999999999,0.71,39.29,67.65,21.57,62.67,4.17,94.57,25.77,81.18,10.67,43.33,23.14,37.26,0.09,0.74,0.06,0.03,0.0,0.0,0.19,9.51,55.78,3.62,37.5,0.61,31.58,0.49,1.29,12.9,71.68,68.56,9.67,0,,0,,0,0.0,0.0,0.0,,,0.32,,4.88,1.3599999999999999,0.19,33.33,1.1,0,0.0
J. Holt,Jason Holt,157638,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/1227_120x120.png,Championship,"LDMF, RDMF, LCMF3",LDMF,48,RDMF,27,LCMF3,11,33.0,1993-02-19,300000,2026-05-31,30,2746,1,1.05,2,2.38,12.0,46.99,Scotland,['Scotland'],left,164,65,False,5.7,3.64,56.76,1.6099999999999999,32.65,0.29,0.51,0.23,3.34,5.75,0.98,8,0.26,0,0.0,1.02,0.03,1,0.03,0.03,0,0.0,19,0.62,26.32,5.263,0.07,0.9500000000000001,27.59,0.59,16.67,0.26,37.5,0.16,1.11,50.0,4.75,46.21,1.28,2.0,0.03,42.25,0.46,1.51,58.67,89.27,20.32,83.71,8.23,93.23,55.29,91.58,2.43,60.81,16.0,29.41,0.08,0.72,0.03,0.13,0.07,50.0,0.29,9.01,86.18,2.49,69.74,0.13,50.0,1.51,0.23,8.1,85.43,94.49,19.63,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.6099999999999999,0.0,0.0,0.0,0.03,0,0.0
