Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Shirai,Tatsuya Shirai,-189662,Matsumoto Yamaga,Matsumoto Yamaga,https://cdn5.wyscout.com/photos/team/public/g12592_120x120.png,J2/J3 100 Year Vision League,"RCB3, CB",RCB3,81,CB,11,,0,29.0,1997-04-05,75000,,17,1675,1,2.17,0,0.38,13.86,60.47,Japan,['Japan'],right,180,73,False,8.49,5.91,70.0,5.53,50.49,0.21,0.30000000000000004,0.54,4.14,5.83,0.48,2,0.11,0,0.0,0.64,0.05,1,0.05,0.12,0,0.0,9,0.48,33.33,11.111,0.0,0.48,55.56,0.11,0.0,0.38,71.43,0.0,0.21,100.0,1.24,78.26,0.91,0.21,0.0,13.86,0.21,0.7000000000000001,27.08,75.79,13.92,67.95,1.77,81.82,22.24,83.57,4.51,39.29,20.82,39.9,0.02,0.32,0.0,0.05,0.0,0.0,0.21,4.03,54.67,0.75,42.86,0.21,25.0,0.27,0.21,6.93,56.59,84.35,7.9,0,,0,,0,0.0,0.0,0.0,,,0.54,,5.53,0.0,0.0,0.0,0.0,0,0
Y. Hakamata,Yutaro  Hakamata,-112645,Shonan Bellmare,Shonan Bellmare,https://cdn5.wyscout.com/photos/team/public/2465_120x120.png,J2/J3 100 Year Vision League,"CB, LCB3",CB,49,LCB3,39,,0,29.0,1996-06-24,350000,,17,1675,1,1.42,0,0.28,13.86,59.3,Japan,['Japan'],left,183,77,False,9.35,4.19,73.08,6.61,59.35,0.05,0.09,0.75,6.23,9.94,0.81,1,0.05,0,0.0,0.32,0.05,1,0.05,0.08,1,0.05,6,0.32,66.67,16.667,0.0,0.21,50.0,0.21,50.0,0.0,0.0,0.0,0.11,0.0,0.81,33.33,0.59,0.59,0.05,26.06,0.05,0.64,42.29,83.61,19.67,72.68,2.63,91.84,36.75,89.77,5.37,43.0,19.22,37.15,0.02,0.05,0.0,0.0,0.0,0.0,0.05,5.53,64.08,0.32,33.33,0.38,28.57,0.16,0.05,7.9,56.46,94.95,14.88,0,,0,,0,0.0,0.0,0.0,,,1.18,,6.61,0.0,0.0,0.0,0.0,0,0
K. Sugiyama,Koji  Sugiyama,-322711,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"RCB, CB",RCB,70,CB,27,,0,28.0,1998-04-19,0,,17,1672,0,1.03,1,0.0,14.59,61.25,Japan,['Japan'],right,180,0,False,8.5,5.11,69.47,5.92,61.82,0.38,0.56,0.92,4.58,6.76,0.92,2,0.11,0,0.0,0.22,0.0,0,0.0,0.06,0,0.0,9,0.48,22.22,0.0,0.05,0.16,33.33,0.0,0.0,0.16,33.33,0.05,0.16,33.33,0.97,22.22,0.81,0.54,0.0,29.28,0.27,0.32,43.22,84.06,19.7,72.95,1.83,91.18,37.73,90.01,5.33,43.43,20.18,40.71,0.0,0.0,0.05,0.05,0.0,0.0,0.05,5.76,59.81,0.27,20.0,0.11,0.0,0.05,0.05,7.75,58.33,94.22,15.83,0,,0,,0,0.0,0.0,0.0,,,1.24,,5.92,0.0,0.0,0.0,0.0,0,0
K. Yamada,Kota Yamada,480485,Yokohama,Yokohama,https://cdn5.wyscout.com/photos/team/public/3799_120x120.png,J2/J3 100 Year Vision League,"RCMF, AMF, LCMF",RCMF,50,AMF,26,LCMF,14,26.0,1999-07-10,700000,2027-06-30,17,1670,0,1.99,1,1.15,14.07,47.51,Japan,['Japan'],right,172,57,False,7.87,4.47,63.86,3.02,35.71,0.75,1.4100000000000001,0.38,4.26,7.98,1.13,2,0.11,0,0.0,0.86,0.0,0,0.0,0.11,0,0.0,23,1.24,30.43,0.0,0.05,0.7000000000000001,23.08,0.22,0.0,0.49,33.33,0.16,0.86,25.0,4.74,43.18,1.83,0.54,0.05,23.01,0.54,1.78,36.49,82.13,13.8,69.92,6.25,92.24,31.15,88.06,4.63,51.16,17.51,30.17,0.06,0.65,0.11,0.0,0.11,100.0,0.22,5.93,75.45,1.46,40.74,0.38,28.57,0.75,0.16,5.82,72.22,92.82,10.51,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.02,0.0,0.0,0.0,0.22,0,0
S. Tsutsumi,Soichiro Tsutsumi,-562124,Osaka,Osaka,https://cdn5.wyscout.com/photos/team/public/g29215_120x120.png,J2/J3 100 Year Vision League,RB,RB,100,,0,,0,24.0,2001-10-05,0,,17,1668,0,0.9,2,2.21,13.92,58.14,Japan,['Japan'],unknown,173,0,False,8.79,6.85,67.72,2.0,48.65,0.16,0.23,0.32,3.99,5.65,0.65,2,0.11,0,0.0,3.56,0.0,0,0.0,0.05,0,0.0,16,0.86,12.5,0.0,0.11,4.91,36.26,0.43,25.0,4.37,35.8,0.38,2.54,61.7,3.88,52.78,0.7000000000000001,1.29,0.22,22.07,0.81,0.43,35.99,68.67,16.62,62.99,4.69,91.95,24.77,80.61,6.64,47.97,22.38,35.6,0.12,1.13,0.11,0.0,0.11,100.0,0.49,7.28,64.44,4.86,43.33,0.81,26.67,0.54,1.73,9.98,73.51,71.5,10.41,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.0,0.38,0.11,0.0,2.54,0,0
H. Sugawara,Hiromichi Sugawara,-326990,Osaka,Osaka,https://cdn5.wyscout.com/photos/team/public/g29215_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,30.0,1995-08-10,0,,17,1668,0,0.0,0,0.0,0.86,87.5,Japan,['Japan'],,190,80,False,1.24,0.0,0.0,0.43,100.0,0.0,0.0,0.0,1.24,1.76,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,85.71,0.0,0.0,0.0,5.83,0.11,0.49,11.82,76.71,9.39,71.26,0.0,0.0,4.37,96.3,7.45,65.22,41.67,51.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,61.97,0.32,16.67,0.38,14.29,0.0,0.0,5.67,83.81,97.67,2.32,16,0.86,55,2.9699999999999998,6,70.91,14.71,0.79,-1.29,-0.07,0.0,1.73,0.43,,,,0.0,0,0
R. Kawakami,Ryu Kawakami,-159726,Osaka,Osaka,https://cdn5.wyscout.com/photos/team/public/g29215_120x120.png,J2/J3 100 Year Vision League,RCB,RCB,100,,0,,0,31.0,1994-10-25,200000,,17,1668,1,1.58,1,0.38,10.79,59.5,Japan,['Japan'],right,177,73,False,6.53,3.99,68.92,3.99,55.41,0.0,0.0,0.27,3.7800000000000002,5.34,0.54,0,0.0,0,0.0,0.38,0.05,1,0.05,0.09,0,0.0,9,0.49,22.22,11.111,0.05,0.54,50.0,0.11,0.0,0.43,62.5,0.0,0.11,0.0,0.7000000000000001,38.46,1.03,0.22,0.0,22.34,0.22,0.54,37.99,82.1,16.67,68.61,1.73,100.0,29.03,91.64,8.42,51.28,25.29,42.49,0.02,0.22,0.0,0.0,0.0,0.0,0.11,8.09,56.67,1.13,19.05,0.81,13.33,0.11,0.22,8.79,75.46,94.32,17.1,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.99,0.16,0.0,0.0,0.0,0,0
M. Sasaki,Masato Sasaki,-115837,Iwaki,Iwaki,https://cdn5.wyscout.com/photos/team/public/g39010_120x120.png,J2/J3 100 Year Vision League,GK,GK,100,,0,,0,24.0,2002-05-01,150000,2027-06-30,17,1665,0,0.0,0,0.02,0.76,71.43,Japan,['Japan'],left,184,75,False,1.51,0.11,50.0,0.49,88.89,0.0,0.0,0.0,1.46,2.43,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.16,33.33,0.0,0.0,0.0,7.78,0.11,0.11,13.68,77.08,9.3,68.6,0.0,0.0,6.05,95.54,7.57,62.86,36.66,49.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.14,63.79,0.05,0.0,0.05,100.0,0.0,0.0,5.68,78.1,95.83,3.89,18,0.97,48,2.59,5,62.5,15.8,0.85,-2.2,-0.11900000000000001,0.0,1.35,0.49,,,,0.0,0,0
R. Abe,Ryota Abe,-562076,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"LB, RB, RB5",LB,37,RB,29,RB5,14,24.0,2001-07-07,0,,17,1658,2,1.34,3,1.12,14.98,48.19,Japan,['Japan'],unknown,171,0,False,8.14,6.79,68.0,2.61,33.33,0.27,0.4,0.22,3.26,4.8,0.54,1,0.05,0,0.0,1.47,0.11,2,0.11,0.07,0,0.0,10,0.54,40.0,20.0,0.16,2.01,32.43,0.81,20.0,1.1400000000000001,42.86,0.38,1.25,47.83,3.31,36.07,0.81,1.57,0.6000000000000001,33.82,1.1400000000000001,0.6000000000000001,45.22,82.23,12.27,69.03,9.99,95.11,41.53,86.8,1.74,31.25,14.9,27.71,0.06,0.65,0.0,0.0,0.0,0.0,0.54,2.5,78.26,2.5,52.17,0.05,0.0,0.76,0.65,7.17,59.85,84.04,11.56,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.61,0.0,0.0,0.0,0.0,0,0
S. Hino,Shota Hino,-450269,Ehime,Ehime,https://cdn5.wyscout.com/photos/team/public/g6521_120x120.png,J2/J3 100 Year Vision League,"AMF, LW, CF",AMF,72,LW,13,CF,11,23.0,2002-10-16,0,,17,1658,4,2.9,1,2.24,14.76,41.91,Japan,['Japan'],right,167,61,False,5.16,4.02,62.16,1.9500000000000002,30.56,0.33,0.48,0.16,2.33,3.45,0.76,1,0.05,0,0.0,3.31,0.22,4,0.22,0.16,0,0.0,30,1.63,43.33,13.333,0.05,2.12,41.03,1.19,36.36,0.92,47.06,0.49,2.99,56.36,6.73,39.52,2.5,2.12,0.6000000000000001,32.57,0.54,0.71,43.97,78.52,13.84,63.14,10.42,92.19,38.49,84.34,3.58,36.36,15.78,36.18,0.12,1.03,0.05,0.0,0.27,20.0,0.38,7.11,64.89,3.96,46.58,1.19,18.18,1.52,0.81,6.68,71.54,78.26,9.99,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.9500000000000002,0.16,0.0,0.0,0.27,0,0
W. Hiramatsu,Wataru Hiramatsu,-378557,Vanraure Hachinohe,Vanraure Hachinohe,https://cdn5.wyscout.com/photos/team/public/g25477_120x120.png,J2/J3 100 Year Vision League,CB,CB,94,,0,,0,26.0,2000-05-09,0,,17,1650,1,0.9,0,0.1,19.25,67.42,Japan,['Japan'],right,182,74,False,10.64,6.44,80.51,7.47,62.04,0.11,0.15,0.33,5.35,7.22,1.04,2,0.11,0,0.0,0.44,0.05,1,0.05,0.05,0,0.0,8,0.44,62.5,12.5,0.0,0.11,50.0,0.05,100.0,0.05,0.0,0.0,0.16,66.67,1.69,45.16,1.15,0.11,0.0,12.65,0.05,1.2,31.69,73.15,16.53,60.07,2.02,89.19,23.18,81.88,8.4,49.35,23.48,38.5,0.01,0.16,0.0,0.0,0.0,0.0,0.0,6.05,56.76,0.76,50.0,0.55,40.0,0.33,0.05,8.4,53.9,91.76,9.93,0,,0,,0,0.0,0.0,0.0,,,1.25,,7.47,0.05,0.0,0.0,0.0,0,0
A. Fukuta,Akito Fukuta,313627,Gifu,Gifu,https://cdn5.wyscout.com/photos/team/public/g8347_120x120.png,J2/J3 100 Year Vision League,"RDMF, RCMF",RDMF,80,RCMF,11,,0,34.0,1992-05-01,250000,,17,1647,1,0.5,2,1.01,9.51,47.7,Japan,['Japan'],right,170,65,False,5.46,2.95,68.52,1.42,38.46,0.16,0.23,0.11,3.2800000000000002,4.64,0.27,1,0.05,0,0.0,1.09,0.05,1,0.05,0.03,1,0.05,7,0.38,14.29,14.286,0.11,1.26,56.52,0.44,50.0,0.8200000000000001,60.0,0.16,0.6000000000000001,54.55,3.77,34.78,0.98,0.6000000000000001,0.05,38.63,0.27,0.77,54.92,86.67,16.39,71.33,8.36,97.39,50.44,89.82,3.2800000000000002,50.0,15.56,37.64,0.06,0.77,0.05,0.0,0.16,0.0,0.27,7.27,71.43,2.24,60.98,0.77,21.43,0.93,0.66,6.67,74.59,92.28,16.28,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.42,0.0,0.0,0.0,0.0,0,0
R. Fujimori,Ryuta Fujimori,-810211,Kochi United,Kochi United,https://cdn5.wyscout.com/photos/team/public/g37477_120x120.png,J2/J3 100 Year Vision League,LCB3,LCB3,92,,0,,0,25.0,2000-09-16,0,,17,1646,1,0.77,1,0.4,12.9,58.9,Japan,['Japan'],unknown,0,0,False,9.57,6.01,79.09,3.77,37.68,0.33,0.44,0.33,4.48,5.97,0.33,1,0.05,0,0.0,0.71,0.05,1,0.05,0.04,0,0.0,13,0.71,15.38,7.692,0.05,0.44,62.5,0.38,71.43,0.05,0.0,0.11,0.55,50.0,1.53,42.86,0.77,0.98,0.11,39.26,0.22,0.22,56.97,87.62,22.14,76.79,3.34,95.08,50.19,93.14,6.34,45.69,20.02,40.37,0.02,0.16,0.05,0.0,0.05,100.0,0.05,6.29,66.09,0.93,47.06,0.16,33.33,0.22,0.27,8.75,63.75,96.67,24.61,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.77,0.0,0.0,0.0,0.0,0,0
