Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Torres,Edson Enrique Torres Ulloa,450220,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"LCMF, RCMF, AMF",LCMF,37,RCMF,19,AMF,17,27.0,1998-06-30,0,,39,3921,5,3.23,6,5.69,9.69,51.66,Mexico,['Mexico'],left,167,62,False,5.16,3.14,67.88,0.6900000000000001,36.67,0.41000000000000003,0.53,0.16,2.62,3.36,0.39,5,0.11,0,0.0,1.06,0.11,5,0.11,0.07,1,0.02,37,0.85,32.43,13.514,0.14,0.71,35.48,0.46,40.0,0.23,30.0,0.09,0.87,55.26,4.82,46.67,0.85,1.4,0.23,35.67,0.71,1.17,49.12,87.62,14.35,76.48,9.0,95.15,44.94,90.81,3.49,56.58,17.33,33.26,0.13,1.42,0.0,0.0,0.18,25.0,0.32,7.25,78.48,2.07,54.44,0.8,34.29,1.1,0.25,6.45,79.72,92.33,17.65,0,,0,,0,0.0,0.0,0.0,,,0.37,,0.6900000000000001,1.06,0.16,14.29,0.99,0,0.0
G. Gutiérrez,Gustavo Guadalupe Gutiérrez Muñoz,-190210,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,29.0,1996-11-01,500000,,37,3764,0,0.76,0,0.0,0.5700000000000001,75.0,Mexico,['Mexico'],right,183,67,False,1.3900000000000001,0.1,50.0,0.26,90.91,0.0,0.0,0.0,1.34,1.73,0.0,6,0.14,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,66.67,0.0,0.0,0.0,16.35,0.38,0.12,25.66,82.85,14.44,72.19,0.0,0.0,16.02,98.36,9.61,57.21,35.83,53.67,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.42,48.65,0.41000000000000003,23.53,0.33,35.71,0.1,0.0,6.41,77.24,97.07,10.62,31,0.74,164,3.92,14,81.1,43.07,1.03,12.07,0.289,0.0,1.05,0.26,,,,0.0,1,0.0
G. Ruíz,Gerardo Daniel Ruíz Barragán,14466,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,40.0,1985-09-05,75000,,37,3735,0,0.0,0,0.0,0.6000000000000001,80.0,Mexico,['Mexico'],right,189,79,False,1.3,0.22,77.78,0.19,87.5,0.02,0.03,0.0,1.11,1.42,0.0,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,13.73,0.29,0.1,22.07,86.14,11.98,76.86,0.05,0.0,15.25,97.79,6.8,60.28,32.13,50.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,44.21,0.22,0.0,0.14,0.0,0.0,0.0,4.96,74.76,97.94,9.35,31,0.75,161,3.88,12,80.75,41.09,0.99,10.09,0.243,0.0,1.3,0.19,,,,0.0,0,0.0
J. Venegas,Jesús Alejandro Venegas Vergara,331512,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"RCMF, DMF, RDMF",RCMF,58,DMF,16,RDMF,12,31.0,1995-03-30,700000,,36,3380,0,1.13,1,0.39,9.72,57.26,Mexico,['Mexico'],right,176,68,False,8.41,5.38,63.86,2.29,51.16,0.51,0.68,0.45,4.47,5.98,0.91,10,0.27,2,0.05,0.4,0.0,0,0.0,0.03,0,0.0,24,0.64,29.17,0.0,0.03,0.32,25.0,0.03,0.0,0.29,27.27,0.0,0.13,60.0,0.91,35.29,0.4,0.48,0.05,22.71,0.19,0.19,36.19,82.93,14.01,72.05,3.59,93.33,30.81,88.85,5.11,50.52,21.14,39.28,0.01,0.45,0.05,0.0,0.11,50.0,0.03,7.06,69.81,1.12,38.1,0.51,26.32,0.4,0.03,7.19,74.44,91.62,14.3,0,,0,,0,0.0,0.0,0.0,,,1.01,,2.29,0.0,0.0,0.0,0.05,0,0.0
H. Hernández,Humberto Gabriel Hernández López,44160,Irapuato,Irapuato,https://cdn5.wyscout.com/photos/team/public/3290_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,40.0,1985-07-20,100000,,34,3375,0,0.0,1,0.47000000000000003,0.72,55.56,Mexico,['Mexico'],right,179,89,False,1.92,0.35000000000000003,46.15,0.16,83.33,0.11,0.15,0.0,1.65,2.33,0.08,8,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,75.0,0.0,0.0,0.0,25.87,0.37,0.11,36.48,88.23,18.29,78.28,0.03,100.0,24.72,97.95,11.71,68.11,32.19,48.69,0.01,0.05,0.03,0.03,0.0,0.0,0.05,3.68,51.45,0.32,16.67,0.32,16.67,0.08,0.0,8.43,77.85,98.63,17.52,47,1.25,140,3.73,10,66.43,38.15,1.02,-8.85,-0.23600000000000002,0.03,1.15,0.16,,,,0.0,0,0.0
C. Andrade,Christopher Josué Andrade Martín,-87314,Cancún,Cancún,https://cdn5.wyscout.com/photos/team/public/g-12734_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,24.0,2001-07-02,0,,33,3373,0,0.0,0,0.0,0.64,100.0,Mexico,['Mexico'],right,192,90,False,1.12,0.05,100.0,0.48,100.0,0.0,0.0,0.0,1.07,1.23,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.05,0.0,0.0,7.98,0.05,0.08,15.82,75.55,9.18,61.34,0.03,100.0,9.31,94.84,6.27,49.36,35.61,52.25,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.75,37.86,0.4,6.67,0.24,44.44,0.05,0.0,4.46,62.87,95.75,5.66,31,0.8300000000000001,146,3.9,11,78.77,34.58,0.92,3.58,0.096,0.03,1.76,0.48,,,,0.0,0,0.0
D. García,Diego García Ibarra,-89000,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"RCB, RB",RCB,48,RB,36,,0,25.0,2000-07-22,0,,34,3365,5,1.78,0,1.04,12.14,59.91,Mexico,['Mexico'],right,175,81,False,7.09,5.05,68.78,2.43,65.93,0.24,0.31,0.32,3.37,4.32,0.96,2,0.05,1,0.03,0.96,0.13,5,0.13,0.05,2,0.05,24,0.64,37.5,20.833,0.0,0.9400000000000001,28.57,0.0,0.0,0.91,29.41,0.11,0.86,53.13,3.18,41.18,0.86,1.5,0.03,27.04,0.96,0.64,36.13,89.86,13.8,84.69,4.01,98.0,32.47,93.66,2.81,64.76,18.78,37.14,0.03,0.35000000000000003,0.0,0.03,0.05,0.0,0.08,4.6,81.98,1.23,41.3,0.37,42.86,0.4,0.32,6.77,82.21,91.67,12.84,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.43,0.0,0.0,0.0,0.03,0,0.0
A. Mendoza,Andrés Gerardo Mendoza Rivera,455622,Mineros de Zacatecas,Mineros de Zacatecas,https://cdn5.wyscout.com/photos/team/public/g28451_120x120.png,Liga de Expansión MX,"DMF, RCMF, RDMF",DMF,29,RCMF,26,RDMF,15,30.0,1995-12-26,0,,32,3168,2,0.65,2,0.8300000000000001,15.31,59.18,Mexico,['Mexico'],right,176,74,False,10.68,7.61,69.4,1.51,49.06,0.26,0.34,0.2,5.14,6.82,1.08,9,0.26,0,0.0,0.91,0.06,2,0.06,0.02,0,0.0,20,0.5700000000000001,30.0,10.0,0.06,0.17,83.33,0.03,100.0,0.14,80.0,0.0,0.71,80.0,4.23,45.64,0.23,0.68,0.0,29.23,0.2,1.05,45.34,86.34,17.1,78.24,5.8,92.16,40.65,88.89,4.52,63.52,18.5,32.05,0.02,0.51,0.06,0.0,0.11,25.0,0.17,7.67,79.63,0.85,60.0,0.37,46.15,0.34,0.14,7.8100000000000005,71.64,93.07,16.82,0,,0,,0,0.0,0.0,0.0,,,1.11,,1.51,0.03,0.0,0.0,0.0,0,0.0
D. Aguilar,Diego de Jesús Aguilar Millán,410848,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"LCMF, LB",LCMF,43,LB,24,,0,29.0,1997-01-13,600000,,35,3160,5,3.39,1,1.8,16.15,53.62,Mexico,['Mexico'],left,170,66,False,7.78,7.35,60.08,1.42,50.0,0.63,0.81,0.03,2.73,3.54,1.97,12,0.34,1,0.03,2.5300000000000002,0.14,4,0.11,0.1,0,0.0,60,1.71,40.0,8.333,0.03,2.02,30.99,1.71,31.67,0.31,27.27,0.23,2.16,55.26,5.72,48.76,0.85,1.1400000000000001,0.14,22.53,0.66,1.31,34.66,80.36,11.88,70.98,6.15,93.52,29.31,86.1,3.42,59.17,20.21,34.37,0.05,0.91,0.0,0.0,0.06,50.0,0.11,6.12,73.95,2.14,40.0,0.17,33.33,0.28,0.6000000000000001,6.32,76.13,84.67,11.71,0,,0,,0,0.0,0.0,0.0,,,0.66,,1.42,1.71,0.43,33.33,2.02,1,100.0
S. Flores,Sergio Adrián Flores Reyes,393432,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"RCMF, DMF, LCMF",RCMF,34,DMF,20,LCMF,19,31.0,1995-02-12,0,,36,3086,1,1.0,1,0.37,15.28,59.54,Mexico,['Mexico'],right,185,82,False,11.52,8.75,63.67,2.62,58.89,0.26,0.34,0.5,5.69,7.43,2.01,13,0.38,1,0.03,0.26,0.03,1,0.03,0.03,0,0.0,20,0.58,20.0,5.0,0.03,0.09,0.0,0.06,0.0,0.03,0.0,0.0,0.35000000000000003,33.33,2.22,47.37,0.44,0.32,0.0,32.26,0.17,0.67,49.43,85.55,19.34,77.38,3.85,93.18,44.18,88.05,5.16,65.54,19.54,32.02,0.01,0.44,0.03,0.03,0.03,100.0,0.06,9.36,78.19,0.99,41.18,0.32,18.18,0.44,0.0,9.36,79.75,91.97,20.33,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.62,0.0,0.0,0.0,0.0,0,0.0
