Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Shovnadze,Levan Shovnadze,291335,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,28.0,1997-11-19,125000,2026-12-31,14,1368,0,0.0,0,0.0,0.72,90.91,Georgia,['Georgia'],right,187,73,False,1.51,0.13,100.0,0.33,80.0,0.0,0.0,0.0,1.38,1.6600000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,20.33,0.26,0.33,29.47,90.85,11.84,81.67,0.0,0.0,22.17,97.63,7.3,70.27,27.71,43.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,60.0,0.07,0.0,0.07,0.0,0.0,0.0,5.0,65.79,97.65,16.78,22,1.45,68,4.47,5,67.65,22.58,1.49,0.58,0.038,0.0,1.51,0.33,,,,0.0,0,0.0
L. Kurdadze,Levan Kurdadze,88389,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,"RCB, CB",RCB,51,CB,38,,0,35.0,1990-09-03,0,2026-12-31,14,1364,0,0.18,1,0.43,11.09,66.67,Georgia,['Georgia'],right,188,84,False,8.78,6.14,75.27,2.51,55.26,0.26,0.32,0.33,3.89,4.68,0.59,1,0.07,0,0.0,0.4,0.0,0,0.0,0.01,0,0.0,3,0.2,0.0,0.0,0.07,0.73,27.27,0.33,60.0,0.4,0.0,0.26,0.2,100.0,2.05,58.06,0.46,1.65,0.0,36.62,0.13,0.53,52.39,86.4,19.93,74.5,3.89,94.92,43.75,93.97,7.92,50.0,22.21,35.38,0.03,0.26,0.0,0.0,0.0,0.0,0.13,5.08,61.04,0.86,38.46,0.2,33.33,0.26,0.26,9.37,65.49,94.89,24.55,0,,0,,0,0.0,0.0,0.0,,,2.44,,2.51,0.0,0.0,0.0,0.0,0,0.0
F. Kljajić,Filip Kljajić,180629,Torpedo Kutaisi,Torpedo Kutaisi,https://cdn5.wyscout.com/photos/team/public/3057_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,35.0,1990-08-16,200000,2026-12-31,14,1355,0,0.0,0,0.0,0.6000000000000001,100.0,Serbia,['Serbia'],right,197,82,False,1.0,0.13,100.0,0.2,100.0,0.0,0.0,0.0,0.86,1.32,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.33,0.2,19.79,85.57,10.23,74.03,0.0,0.0,12.95,98.46,6.77,60.78,30.28,43.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,57.14,0.0,0.0,0.0,0.0,0.0,0.0,5.45,65.85,97.83,9.17,12,0.8,53,3.52,3,77.36,12.61,0.84,0.61,0.041,0.0,0.93,0.2,,,,0.0,0,0.0
K. Andrić,Komnen Andrić,286332,Torpedo Kutaisi,Torpedo Kutaisi,https://cdn5.wyscout.com/photos/team/public/3057_120x120.png,Erovnuli Liga,CF,CF,97,,0,,0,30.0,1995-07-01,1000000,2026-06-30,14,1343,6,4.64,1,1.06,22.65,42.31,Serbia,['Serbia'],right,189,84,True,4.15,3.75,53.57,5.03,48.0,0.4,0.62,0.0,1.74,2.67,1.07,1,0.07,0,0.0,1.54,0.4,6,0.4,0.31,2,0.13,21,1.4100000000000001,52.38,28.571,0.07,0.47000000000000003,42.86,0.07,0.0,0.4,50.0,0.0,1.07,50.0,11.86,36.16,2.88,0.27,0.0,18.29,1.6800000000000002,3.22,25.47,82.37,5.43,67.9,8.71,93.85,22.85,84.16,2.21,72.73,17.32,32.55,0.07,0.6000000000000001,0.2,0.0,0.07,100.0,0.34,3.2800000000000002,67.35,1.34,70.0,0.07,100.0,1.07,0.13,2.95,70.45,83.02,7.1,0,,0,,0,0.0,0.0,0.0,,,0.27,,5.03,0.0,0.0,0.0,0.0,1,0.0
M. Šimić,Matej Šimić,337741,Torpedo Kutaisi,Torpedo Kutaisi,https://cdn5.wyscout.com/photos/team/public/3057_120x120.png,Erovnuli Liga,LCB,LCB,100,,0,,0,30.0,1995-11-29,400000,2026-06-30,14,1340,2,1.6,1,0.0,13.03,64.95,Croatia,['Croatia'],right,190,77,False,9.0,6.92,69.9,4.23,66.67,0.6000000000000001,0.92,0.6000000000000001,3.56,5.41,1.07,3,0.2,0,0.0,0.47000000000000003,0.13,2,0.13,0.11,2,0.13,11,0.74,45.45,18.182,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.87,53.85,0.81,0.87,0.0,32.64,0.81,0.34,45.74,88.99,17.13,77.65,3.29,100.0,40.1,93.8,5.64,54.76,22.96,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,75.34,0.07,0.0,0.07,0.0,0.07,0.0,8.53,72.44,97.32,22.57,0,,0,,0,0.0,0.0,0.0,,,2.69,,4.23,0.0,0.0,0.0,0.0,0,0.0
I. Sikharulidze,Irakli Sikharulidze,87638,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,CF,CF,99,,0,,0,35.0,1990-07-18,100000,2026-12-31,14,1332,4,4.75,0,0.05,15.34,35.24,Georgia,['Georgia'],right,169,60,False,2.91,2.3,52.94,4.19,32.26,0.2,0.24,0.07,1.49,1.78,0.61,2,0.14,0,0.0,0.88,0.27,4,0.27,0.32,1,0.07,19,1.28,42.11,21.053,0.0,0.14,50.0,0.0,0.0,0.14,50.0,0.0,0.47000000000000003,57.14,6.55,28.87,1.8900000000000001,0.14,0.07,7.64,1.08,1.49,13.31,77.66,3.7199999999999998,47.27,4.59,95.59,12.77,79.89,0.41000000000000003,16.67,13.12,7.47,0.0,0.2,0.0,0.07,0.0,0.0,0.14,1.62,58.33,0.41000000000000003,50.0,0.0,0.0,0.34,0.07,1.35,25.0,83.87,2.09,0,,0,,0,0.0,0.0,0.0,,,0.07,,4.19,0.0,0.0,0.0,0.07,0,0.0
U. Mara,Uerdi Mara,425732,Dinamo Batumi,Dinamo Batumi,https://cdn5.wyscout.com/photos/team/public/g954_120x120.png,Erovnuli Liga,"AMF, RCMF, RCMF3",AMF,42,RCMF,16,RCMF3,15,27.0,1999-01-30,150000,2026-12-31,14,1305,2,2.35,5,2.77,11.93,52.02,Albania,['Albania'],left,178,70,False,4.69,3.79,76.36,0.41000000000000003,33.33,0.0,0.0,0.0,1.79,2.7,0.28,2,0.14,0,0.0,2.41,0.14,2,0.14,0.16,0,0.0,29,2.0,27.59,6.897,0.34,0.76,9.09,0.28,25.0,0.48,0.0,0.07,2.83,56.1,6.83,40.4,2.07,1.9300000000000002,0.14,22.97,0.55,0.6900000000000001,29.24,84.91,7.17,73.08,6.97,94.06,27.38,87.41,1.1,75.0,16.11,29.43,0.19,1.79,0.14,0.0,0.21,100.0,0.41000000000000003,3.45,78.0,1.5899999999999999,60.87,0.41000000000000003,83.33,1.17,0.07,3.59,80.77,91.49,9.72,0,,0,,0,0.0,0.0,0.0,,,0.21,,0.41000000000000003,1.1,0.28,25.0,3.59,0,0.0
G. Burduli,Giorgi Burduli,-220422,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,"LB, LWB, LW",LB,41,LWB,18,LW,14,23.0,2002-07-04,0,2026-12-31,14,1300,0,0.88,0,1.4,14.88,45.58,Georgia,['Georgia'],,0,0,False,6.37,5.4,62.82,1.38,25.0,0.28,0.34,0.07,2.7,3.27,0.62,1,0.07,0,0.0,2.35,0.0,0,0.0,0.06,0,0.0,11,0.76,9.09,0.0,0.0,2.63,36.84,2.2800000000000002,36.36,0.35000000000000003,40.0,0.28,2.2800000000000002,57.58,6.85,38.38,0.97,0.97,0.28,21.74,1.52,1.6600000000000001,28.59,75.3,9.21,59.4,5.75,95.18,23.54,83.82,2.56,35.14,17.37,31.92,0.1,0.35000000000000003,0.14,0.0,0.07,0.0,0.14,2.08,63.33,2.35,47.06,0.21,33.33,0.35000000000000003,0.9,5.33,53.25,76.15,7.55,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.38,0.48,0.07,0.0,0.55,0,0.0
A. Amisulashvili,Aleksandre Amisulashvili,-374041,Iberia 1999,Iberia 1999,https://cdn5.wyscout.com/photos/team/public/g24902_120x120.png,Erovnuli Liga,RCB,RCB,90,,0,,0,19.0,2007-03-09,0,2026-12-31,13,1297,0,0.0,0,0.0,12.63,59.34,Georgia,['Georgia'],right,0,0,False,6.18,4.51,67.69,3.4,51.02,0.0,0.0,0.35000000000000003,3.12,4.21,1.53,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.21,0.0,1.73,48.0,0.07,0.97,0.0,34.28,0.76,1.3900000000000001,46.49,92.99,16.38,88.14,4.51,95.38,43.92,95.26,2.43,57.14,19.47,34.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,81.97,0.35000000000000003,20.0,0.21,0.0,0.0,0.0,6.38,71.74,97.59,20.19,0,,0,,0,0.0,0.0,0.0,,,2.71,,3.4,0.0,0.0,0.0,0.0,0,0.0
R. Etou,Ramaric Presley Etou-Thomaso,193325,Dila,Dila,https://cdn5.wyscout.com/photos/team/public/4434_120x120.png,Erovnuli Liga,RCB,RCB,91,,0,,0,31.0,1995-01-25,100000,2026-12-31,13,1284,0,0.03,0,0.0,4.35,51.61,Congo,['Congo'],right,173,70,False,3.08,1.6800000000000002,54.17,1.75,52.0,0.0,0.0,0.28,2.17,2.58,0.21,1,0.07,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,1,0.07,0.0,0.0,0.0,0.14,50.0,0.0,0.0,0.07,0.0,0.07,0.14,50.0,0.49,57.14,0.21,1.8900000000000001,0.07,36.52,0.42,0.21,48.01,91.24,20.47,85.62,2.17,100.0,42.97,95.43,4.91,55.71,20.77,31.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,84.44,0.28,75.0,0.28,50.0,0.14,0.07,7.85,78.57,96.75,21.59,0,,0,,0,0.0,0.0,0.0,,,1.26,,1.75,0.0,0.0,0.0,0.0,0,0.0
