Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Vutsov,Svetoslav  Vutsov,-81607,Levski Sofia,Levski Sofia,https://cdn5.wyscout.com/photos/team/public/624_120x120.png,First League,GK,GK,100,,0,,0,23.0,2002-07-09,0,2027-06-30,25,2474,0,0.0,0,0.0,0.44,83.33,Bulgaria,['Bulgaria'],right,190,77,False,0.91,0.04,0.0,0.22,100.0,0.0,0.0,0.0,0.91,1.76,0.0,4,0.15,0,0.0,0.11,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.15,75.0,0.0,0.0,0.0,17.57,0.65,0.07,23.97,88.16,12.91,80.0,0.07,50.0,17.5,98.54,6.48,60.11,29.86,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,48.57,0.25,14.29,0.33,11.11,0.04,0.0,4.07,74.11,97.88,10.3,18,0.65,66,2.4,10,72.73,17.33,0.63,-0.67,-0.024,0.04,0.6900000000000001,0.22,,,,0.0,0,0.0
A. Gospodinov,Anatoli Gospodinov,156218,Arda,Arda,https://cdn5.wyscout.com/photos/team/public/g12421_120x120.png,First League,GK,GK,100,,0,,0,31.0,1994-03-21,450000,2026-06-30,25,2450,0,0.0,0,0.0,0.48,92.31,Bulgaria,['Bulgaria'],right,189,80,False,1.65,0.04,100.0,0.26,100.0,0.0,0.0,0.0,1.62,2.4,0.04,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.11,66.67,0.0,0.0,0.04,15.69,0.29,0.26,22.37,90.48,10.84,81.36,0.0,0.0,15.69,98.13,6.65,72.93,29.88,42.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,51.16,0.07,0.0,0.04,100.0,0.0,0.0,4.7,75.78,99.67,11.17,24,0.88,83,3.05,11,71.08,21.12,0.78,-2.88,-0.106,0.0,1.1,0.26,,,,0.0,0,0.0
Xande,Alexandre Nascimento da Silva,-174581,Spartak Varna,Spartak Varna,https://cdn5.wyscout.com/photos/team/public/633_120x120.png,First League,"LAMF, LW",LAMF,46,LW,42,,0,24.0,2001-04-24,0,2026-06-30,25,2444,3,3.6,2,2.12,20.14,40.95,Brazil,['Brazil'],,0,0,False,4.6,3.61,63.27,0.52,21.43,0.07,0.08,0.04,2.25,2.58,0.52,1,0.04,0,0.0,4.12,0.11,3,0.11,0.13,0,0.0,45,1.6600000000000001,28.89,6.667,0.07,1.9100000000000001,25.0,1.73,25.53,0.15,25.0,0.18,6.52,47.46,13.63,36.76,2.61,2.91,0.44,15.83,1.77,1.4,22.06,73.29,6.63,69.44,4.57,86.29,18.74,80.16,1.44,46.15,16.16,30.68,0.08,0.85,0.0,0.0,0.07,100.0,0.33,2.36,64.06,2.43,54.55,0.29,37.5,0.99,0.52,3.9,71.7,70.3,6.08,0,,0,,0,0.0,0.0,0.0,,,0.04,,0.52,0.0,0.0,0.0,0.07,0,0.0
M. Kovalyov,Maksym Kovalyov,-102728,Spartak Varna,Spartak Varna,https://cdn5.wyscout.com/photos/team/public/633_120x120.png,First League,GK,GK,100,,0,,0,25.0,2000-07-11,500000,2026-06-30,24,2371,0,0.0,1,0.2,0.84,100.0,Ukraine,['Ukraine'],right,188,78,False,1.21,0.08,100.0,0.46,100.0,0.0,0.0,0.0,1.1400000000000001,1.3,0.0,5,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,7.52,0.0,0.38,13.7,78.95,9.64,72.05,0.04,100.0,6.79,97.21,6.87,61.33,37.15,50.52,0.01,0.04,0.0,0.0,0.0,0.0,0.04,1.8599999999999999,46.94,0.11,66.67,0.11,100.0,0.04,0.0,5.12,77.78,96.51,3.26,36,1.37,158,6.0,6,77.22,40.33,1.53,4.33,0.164,0.04,1.75,0.46,,,,0.0,0,0.0
M. Jurić-Petrašilo,Mateo Jurić-Petrašilo,-260591,Spartak Varna,Spartak Varna,https://cdn5.wyscout.com/photos/team/public/633_120x120.png,First League,RCB,RCB,100,,0,,0,21.0,2004-11-30,0,2027-06-30,24,2366,0,0.63,0,0.17,11.3,63.3,Croatia,['Croatia'],right,0,0,False,8.79,4.5600000000000005,74.17,4.11,57.41,0.04,0.04,0.76,5.36,6.15,0.91,5,0.19,0,0.0,0.23,0.0,0,0.0,0.02,0,0.0,9,0.34,22.22,0.0,0.0,0.11,33.33,0.0,0.0,0.11,33.33,0.0,0.11,100.0,0.76,70.0,0.34,0.72,0.0,20.05,0.04,0.46,31.69,83.91,12.78,70.24,2.89,97.37,25.41,91.77,6.16,52.47,22.69,36.74,0.01,0.08,0.0,0.04,0.0,0.0,0.08,3.8,59.0,0.65,41.18,0.42,54.55,0.23,0.04,6.01,61.39,93.56,13.58,0,,0,,0,0.0,0.0,0.0,,,2.43,,4.11,0.08,0.08,0.0,0.0,0,0.0
M. Stoev,Milen Stoev,509507,Botev Vratsa,Botev Vratsa,https://cdn5.wyscout.com/photos/team/public/3747_120x120.png,First League,"LCB, LCB3, RCB",LCB,41,LCB3,21,RCB,21,26.0,1999-09-29,250000,2027-06-30,24,2334,2,1.53,0,0.14,12.03,58.65,Bulgaria,['Bulgaria'],right,183,70,False,8.75,5.55,72.22,4.36,43.36,0.35000000000000003,0.42,0.54,4.4,5.35,0.96,4,0.15,0,0.0,0.27,0.08,2,0.08,0.06,2,0.08,10,0.39,40.0,20.0,0.0,0.15,50.0,0.08,50.0,0.08,50.0,0.04,0.08,50.0,0.54,35.71,0.5,0.58,0.04,25.03,0.15,0.15,35.17,87.28,14.15,74.39,1.97,100.0,30.73,93.35,4.28,45.05,22.13,38.34,0.01,0.12,0.04,0.04,0.0,0.0,0.04,3.51,63.74,0.23,33.33,0.19,20.0,0.12,0.04,6.02,66.03,97.13,16.12,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,4.36,0.0,0.0,0.0,0.0,0,0.0
G. Grigorov,Galin Grigorov,-295223,Dobrudzha 1919,Dobrudzha 1919,https://cdn5.wyscout.com/photos/team/public/g13548_120x120.png,First League,GK,GK,100,,0,,0,22.0,2003-10-31,0,2028-06-30,24,2334,0,0.0,0,0.0,0.6900000000000001,72.22,Bulgaria,['Bulgaria'],right,175,0,False,2.31,0.19,60.0,0.39,70.0,0.0,0.0,0.0,2.2,2.8,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,11.76,0.39,0.19,19.09,86.26,9.91,75.88,0.04,100.0,12.76,97.58,6.32,63.41,30.82,46.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,47.73,0.08,0.0,0.0,0.0,0.0,0.0,4.82,74.4,98.19,8.52,32,1.23,96,3.7,5,66.67,34.2,1.32,2.2,0.085,0.0,1.43,0.39,,,,0.0,0,0.0
N. Minkov,Nikolay Minkov,319427,Botev Plovdiv,Botev Plovdiv,https://cdn5.wyscout.com/photos/team/public/634_120x120.png,First League,"RB, RAMF, RW",RB,53,RAMF,12,RW,11,28.0,1997-08-13,600000,2026-06-30,24,2315,4,2.13,4,4.5600000000000005,11.74,48.34,Bulgaria,['Bulgaria'],right,171,72,False,5.91,4.04,56.73,1.05,22.22,0.27,0.35000000000000003,0.12,3.34,4.24,0.62,3,0.12,0,0.0,2.7199999999999998,0.16,4,0.16,0.08,1,0.04,26,1.01,42.31,15.385,0.16,3.62,31.18,0.0,0.0,3.5,30.0,0.54,2.06,56.6,5.29,49.26,1.79,2.22,0.66,24.61,1.79,0.78,34.02,79.66,10.15,77.78,5.64,97.24,28.65,87.52,1.87,47.92,17.32,28.91,0.18,1.32,0.0,0.04,0.0,0.0,0.54,3.38,77.01,3.23,44.58,0.23,0.0,0.74,1.09,6.06,69.87,74.73,10.92,0,,0,,0,0.0,0.0,0.0,,,0.39,,1.05,0.0,0.0,0.0,0.0,0,0.0
M. Hristov,Martin Hristov,-114570,Septemvri Sofia,Septemvri Sofia,https://cdn5.wyscout.com/photos/team/public/g381_120x120.png,First League,"RCB, RCB3",RCB,79,RCB3,19,,0,22.0,2003-10-02,0,2027-06-30,24,2302,0,0.93,0,0.0,10.48,57.84,Bulgaria,['Bulgaria'],right,197,83,False,7.31,4.26,63.3,4.26,60.55,0.23,0.31,0.7000000000000001,4.38,5.8100000000000005,0.63,3,0.12,0,0.0,0.12,0.0,0,0.0,0.04,0,0.0,10,0.39,10.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.08,50.0,0.98,28.0,0.55,1.25,0.08,29.6,0.35000000000000003,0.08,42.85,84.4,19.08,74.18,2.03,94.23,35.85,91.17,6.96,50.0,22.54,38.64,0.0,0.0,0.0,0.0,0.04,100.0,0.0,6.45,63.03,0.51,23.08,0.16,50.0,0.12,0.0,8.44,69.91,93.23,18.49,0,,0,,0,0.0,0.0,0.0,,,1.8,,4.26,0.0,0.0,0.0,0.0,0,0.0
J. Salomoni,Juan Pablo  Salomoni,-115331,Beroe,Beroe,https://cdn5.wyscout.com/photos/team/public/1961_120x120.png,First League,"RCB, CB",RCB,71,CB,23,,0,28.0,1997-10-07,0,2026-05-30,24,2286,1,2.9699999999999998,0,0.16,10.2,64.86,Argentina,['Argentina'],right,188,83,False,10.04,5.43,75.36,2.48,57.14,0.39,0.47000000000000003,1.1400000000000001,5.55,6.62,0.39,1,0.04,1,0.04,0.28,0.04,1,0.04,0.12,1,0.04,13,0.51,53.85,7.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.87,45.45,0.63,0.39,0.0,24.09,0.59,0.2,35.43,85.78,13.46,69.01,2.13,90.74,30.55,91.24,4.88,51.61,22.45,40.97,0.01,0.16,0.04,0.0,0.0,0.0,0.08,3.27,56.63,0.24,50.0,0.2,60.0,0.16,0.0,5.47,64.75,98.19,17.4,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,2.48,0.0,0.0,0.0,0.0,0,0.0
