Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Cissé,Ibrahim Cissé,-377071,Džiugas Telšiai,Džiugas Telšiai,https://cdn5.wyscout.com/photos/team/public/g30669_120x120.png,A Lyga,"LCB, LCB3",LCB,63,LCB3,34,,0,22.0,2003-12-06,0,2026-12-31,14,1383,2,3.38,2,0.75,16.33,57.77,Côte d'Ivoire,"[""Côte d'Ivoire""]",,183,0,False,8.79,4.75,78.08,5.92,52.75,0.13,0.18,0.46,4.95,7.02,0.65,3,0.2,0,0.0,0.65,0.13,1,0.07,0.22,0,0.0,11,0.72,36.36,18.182,0.13,0.39,50.0,0.13,50.0,0.2,33.33,0.0,0.46,42.86,3.06,38.3,2.2800000000000002,0.98,0.07,27.85,0.39,0.98,43.67,84.35,20.95,75.16,3.45,94.34,35.79,91.45,7.48,52.17,22.35,40.42,0.05,0.52,0.07,0.07,0.0,0.0,0.26,6.64,67.65,0.78,41.67,0.98,33.33,1.11,0.13,10.09,72.9,95.83,15.62,0,,0,,0,0.0,0.0,0.0,,,1.76,,5.92,0.0,0.0,0.0,0.0,2,50.0
M. Paukštė,Marius Paukštė,476655,Džiugas Telšiai,Džiugas Telšiai,https://cdn5.wyscout.com/photos/team/public/g30669_120x120.png,A Lyga,GK,GK,100,,0,,0,31.0,1994-12-15,200000,2026-12-31,14,1383,0,0.0,0,0.0,1.04,81.25,Lithuania,['Lithuania'],left,192,80,False,1.04,0.2,66.67,0.52,75.0,0.0,0.0,0.0,0.91,1.29,0.07,0,0.0,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.2,100.0,0.0,0.0,0.0,13.02,0.26,0.39,21.41,78.72,14.45,71.17,0.07,100.0,11.26,96.53,10.15,58.97,34.16,47.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,44.19,0.13,0.0,0.13,0.0,0.0,0.0,7.61,75.21,94.17,6.7,14,0.91,43,2.8,7,67.44,16.78,1.09,2.7800000000000002,0.181,0.0,1.63,0.52,,,,0.0,0,0.0
T. Švedkauskas,Tomas Švedkauskas,134701,Kauno Žalgiris,Kauno Žalgiris,https://cdn5.wyscout.com/photos/team/public/g8413_120x120.png,A Lyga,GK,GK,100,,0,,0,31.0,1994-06-22,300000,,14,1380,0,0.0,0,0.0,0.59,100.0,Lithuania,['Lithuania'],right,185,82,False,0.91,0.0,0.0,0.46,100.0,0.0,0.0,0.0,0.91,1.65,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,28.76,0.52,0.07,37.3,96.33,9.33,87.41,0.0,0.0,34.63,99.25,2.67,58.54,22.83,37.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,58.14,99.23,25.57,10,0.65,39,2.54,7,74.36,11.13,0.73,1.13,0.074,0.0,1.24,0.46,,,,0.0,0,0.0
V. Krynskyi,Volodymyr Krynskyi,389549,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,GK,GK,100,,0,,0,29.0,1997-01-14,225000,2026-12-31,14,1361,0,0.15,0,0.11,0.66,70.0,Ukraine,['Ukraine'],right,196,87,False,2.18,0.13,50.0,0.53,75.0,0.0,0.0,0.0,2.12,2.55,0.0,1,0.07,0,0.0,0.07,0.0,0,0.0,0.01,0,0.0,1,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,8.4,0.2,0.2,16.07,79.84,10.45,69.62,0.0,0.0,8.99,94.12,7.08,61.68,33.56,50.07,0.01,0.07,0.0,0.0,0.0,0.0,0.07,2.25,47.06,0.2,0.0,0.26,25.0,0.0,0.0,5.42,76.83,98.7,5.09,11,0.73,42,2.7800000000000002,5,73.81,11.62,0.77,0.62,0.041,0.0,1.45,0.53,,,,0.0,0,0.0
I. Plūkas,Ignas Plūkas,181929,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,GK,GK,100,,0,,0,32.0,1993-12-08,350000,2026-11-30,14,1359,0,0.0,0,0.0,0.86,84.62,Lithuania,['Lithuania'],right,194,84,False,1.6600000000000001,0.13,100.0,0.6000000000000001,88.89,0.0,0.0,0.0,1.52,1.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,14.04,0.33,0.2,23.31,84.09,15.1,76.75,0.0,0.0,14.37,98.16,8.94,61.48,31.01,46.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,45.71,0.2,0.0,0.33,40.0,0.0,0.0,6.16,69.89,98.33,7.95,12,0.79,58,3.84,6,79.31,13.45,0.89,1.45,0.096,0.0,1.92,0.6000000000000001,,,,0.0,0,0.0
Ž. Baltrūnas,Žygimantas Baltrūnas,517701,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,LB,LB,100,,0,,0,24.0,2002-03-11,0,2026-11-30,14,1359,1,0.26,1,0.99,11.72,48.59,Lithuania,['Lithuania'],left,179,70,False,8.15,5.83,64.77,1.6600000000000001,44.0,0.2,0.24,0.26,4.17,5.07,0.93,0,0.0,0,0.0,0.86,0.07,1,0.07,0.02,0,0.0,5,0.33,40.0,20.0,0.07,2.12,25.0,2.05,25.81,0.07,0.0,0.13,0.26,75.0,2.65,27.5,1.6600000000000001,1.99,0.4,24.64,1.19,0.33,34.44,77.12,13.51,70.1,7.55,96.49,28.94,85.13,3.58,40.74,19.22,31.12,0.07,0.66,0.0,0.0,0.0,0.0,0.53,4.11,66.13,1.5899999999999999,41.67,0.13,50.0,0.66,0.53,6.42,57.73,80.17,7.68,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.6600000000000001,0.2,0.07,0.0,1.26,0,0.0
E. Bierontas,Edgaras  Bierontas,-456575,Šiauliai,Šiauliai,https://cdn5.wyscout.com/photos/team/public/g-14115_120x120.png,A Lyga,"LCB, RCB",LCB,82,RCB,14,,0,18.0,2007-10-03,0,,14,1358,0,0.36,0,0.31,13.19,72.36,Lithuania,['Lithuania'],unknown,0,0,False,10.41,5.96,82.22,4.9,67.57,0.27,0.33,0.66,5.24,6.49,0.53,3,0.2,0,0.0,0.07,0.0,0,0.0,0.02,0,0.0,5,0.33,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.07,100.0,0.4,50.0,0.46,1.33,0.0,31.55,0.4,0.6000000000000001,47.25,82.75,19.75,68.46,3.45,96.15,41.09,89.03,6.1,41.3,20.85,38.48,0.02,0.07,0.0,0.0,0.0,0.0,0.0,5.43,57.32,0.46,14.29,0.07,0.0,0.07,0.0,8.68,51.91,95.19,19.29,0,,0,,0,0.0,0.0,0.0,,,2.39,,4.9,0.0,0.0,0.0,0.0,0,0.0
D. Barauskas,Dominykas Barauskas,319936,Transinvest Vilnius,Transinvest Vilnius,https://cdn5.wyscout.com/photos/team/public/g-16187_120x120.png,1 Lyga,LCB3,LCB3,93,,0,,0,29.0,1997-04-18,175000,2026-12-31,14,1355,0,0.39,0,0.19,13.15,64.65,Lithuania,['Lithuania'],left,188,78,False,8.3,5.58,71.43,3.65,63.64,0.0,0.0,0.6000000000000001,4.32,5.72,0.8,3,0.2,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,4,0.27,0.0,0.0,0.0,1.0,13.33,0.93,14.29,0.07,0.0,0.13,0.13,100.0,2.19,48.48,0.6000000000000001,1.5899999999999999,0.2,26.37,0.33,1.0,38.39,81.14,17.27,73.08,4.12,98.39,31.22,88.72,6.31,53.68,21.27,42.49,0.01,0.33,0.0,0.07,0.07,0.0,0.07,6.58,65.66,1.53,26.09,0.53,12.5,0.33,0.07,9.9,75.84,87.56,12.82,0,,0,,0,0.0,0.0,0.0,,,1.26,,3.65,0.0,0.0,0.0,0.0,0,0.0
S. Lawson,Steve Lawson,286899,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,"LCMF, RCMF, RDMF",LCMF,44,RCMF,28,RDMF,15,31.0,1994-08-08,300000,2026-12-31,14,1349,2,1.72,0,0.33,12.54,49.47,France,"['France', 'Togo']",right,179,71,False,5.6,3.2,62.5,2.07,48.39,0.2,0.24,0.4,3.4,4.14,0.87,1,0.07,0,0.0,1.2,0.13,0,0.0,0.12,0,0.0,10,0.67,30.0,20.0,0.0,0.27,25.0,0.13,0.0,0.13,50.0,0.07,1.13,70.59,5.54,45.78,0.53,3.0,0.2,37.49,0.07,1.27,51.77,91.11,12.61,80.42,8.41,98.41,49.84,93.31,1.67,36.0,18.68,28.62,0.02,0.47000000000000003,0.0,0.07,0.13,100.0,0.33,7.87,79.66,1.2,50.0,0.4,33.33,0.6000000000000001,0.07,5.74,82.56,95.12,24.62,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.07,0.07,0.0,0.0,0.0,2,100.0
Simão Júnior,Aurísio Saliu Fernandes Embalo Júnior,-48172,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,LCB,LCB,90,,0,,0,27.0,1998-08-29,100000,2026-12-31,14,1342,1,0.92,0,0.14,8.99,67.16,Guinea-Bissau,"['Guinea-Bissau', 'Portugal']",right,190,84,False,7.11,4.02,78.33,1.94,62.07,0.07,0.08,0.8,3.89,4.69,0.4,0,0.0,0,0.0,0.2,0.07,1,0.07,0.06,0,0.0,6,0.4,50.0,16.667,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.13,0.0,0.67,50.0,0.54,0.07,0.0,18.71,0.27,0.54,28.5,92.0,9.25,84.06,1.27,100.0,26.89,95.76,1.54,30.43,20.11,29.8,0.01,0.07,0.0,0.0,0.0,0.0,0.07,1.4100000000000001,52.38,0.13,0.0,0.13,50.0,0.07,0.07,2.55,65.79,97.32,15.02,0,,0,,0,0.0,0.0,0.0,,,0.87,,1.94,0.0,0.0,0.0,0.0,0,0.0
