Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Robert Renan,Robert Renan Alves Barbosa,-176274,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,LCB,LCB,96,,0,,0,22,2003-10-11,0,2028-06-30,10,1031,0,0.06,0,0.0,7.42,63.53,Brazil,['Brazil'],left,186,78,True,5.76,3.4,66.67,1.57,77.78,0.09,0.12,0.17,3.4,4.68,0.7000000000000001,0,0.0,0,0.0,0.26,0.0,0,0.0,0.01,0,0.0,1,0.09,0.0,0.0,0.0,0.44,40.0,0.44,40.0,0.0,0.0,0.0,0.17,50.0,1.13,30.77,0.17,2.1,0.09,32.74,0.26,0.26,47.58,87.52,22.96,81.75,2.18,96.0,42.16,92.96,5.06,46.55,19.82,37.5,0.0,0.09,0.09,0.0,0.0,0.0,0.0,9.17,78.1,0.96,45.45,0.35000000000000003,0.0,0.26,0.09,8.73,77.0,92.7,15.54,0,,0,,0,0.0,0.0,0.0,,,0.79,,1.57,0.0,0.0,0.0,0.0,0,0
Santos,Aderbar Melo dos Santos Neto,115496,Athletico Paranaense,Athletico Paranaense,https://cdn5.wyscout.com/photos/team/public/254_120x120.png,Serie A,GK,GK,100,,0,,0,36,1990-03-17,1000000,2026-12-31,9,938,0,0.0,0,0.0,0.19,100.0,Brazil,['Brazil'],right,188,78,False,0.96,0.1,100.0,0.1,100.0,0.0,0.0,0.0,0.86,1.21,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,10.65,75.68,6.14,60.94,0.0,0.0,6.04,93.65,4.61,52.08,37.22,55.75,0.0,0.0,0.0,0.1,0.0,0.0,0.1,2.01,47.62,0.1,0.0,0.29,0.0,0.0,0.0,3.26,64.71,95.35,4.13,11,1.06,36,3.45,2,69.44,11.36,1.09,0.36,0.035,0.0,0.67,0.1,,,,0.0,0,0
G. Benavídez,Gastón Américo Benavídez,515503,Athletico Paranaense,Athletico Paranaense,https://cdn5.wyscout.com/photos/team/public/254_120x120.png,Serie A,"RB5, RWB, RB",RB5,45,RWB,23,RB,22,30,1995-10-23,0,2028-12-31,9,938,0,0.41000000000000003,3,0.86,8.35,49.43,Argentina,['Argentina'],right,175,72,False,5.66,3.84,55.0,1.34,28.57,0.19,0.27,0.29,3.36,4.71,1.06,1,0.1,0,0.0,0.86,0.0,0,0.0,0.04,0,0.0,3,0.29,66.67,0.0,0.29,1.54,31.25,0.0,0.0,1.54,31.25,0.19,0.19,100.0,1.63,58.82,0.77,1.44,0.29,24.18,2.01,0.67,31.86,79.82,11.51,69.17,5.47,94.74,26.19,84.98,4.13,65.12,17.89,30.19,0.08,0.38,0.0,0.0,0.1,0.0,0.38,4.89,62.75,1.92,55.0,0.29,66.67,0.67,0.58,7.48,73.08,81.73,9.98,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.34,0.1,0.0,0.0,0.19,0,0
Fabricio Bruno,Fabricio Bruno Soares de Faria,438564,Cruzeiro,Cruzeiro,https://cdn5.wyscout.com/photos/team/public/249_120x120.png,Serie A,RCB,RCB,100,,0,,0,30,1996-02-12,0,2030-12-31,9,936,0,0.58,0,0.0,8.08,76.19,Brazil,['Brazil'],right,192,90,False,5.58,3.27,79.41,3.85,77.5,0.1,0.15,0.0,2.88,4.48,0.29,2,0.19,0,0.0,0.29,0.0,0,0.0,0.06,0,0.0,9,0.87,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.19,50.0,0.96,0.87,0.1,44.33,0.19,0.38,58.56,91.63,21.06,84.02,1.83,100.0,52.98,95.1,5.58,58.62,21.75,36.79,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.5,79.49,0.58,16.67,0.29,33.33,0.1,0.0,10.19,75.47,96.56,30.77,0,,0,,0,0.0,0.0,0.0,,,1.44,,3.85,0.0,0.0,0.0,0.0,0,0
Weverton,Weverton Pereira da Silva,32538,Grêmio,Grêmio,https://cdn5.wyscout.com/photos/team/public/247_120x120.png,Serie A,GK,GK,100,,0,,0,38,1987-12-13,2000000,2028-12-31,9,933,0,0.0,1,0.0,0.48,60.0,Brazil,['Brazil'],right,189,85,False,0.68,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.68,0.9500000000000001,0.1,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,11.67,0.1,0.29,18.14,81.38,9.84,65.69,0.0,0.0,11.29,98.29,6.85,53.52,34.63,52.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,32.0,0.1,0.0,0.1,100.0,0.0,0.0,4.34,77.78,100.0,7.91,14,1.35,33,3.18,1,57.58,13.53,1.3,-0.47000000000000003,-0.045,0.0,1.35,0.1,,,,0.0,0,0
K. Viveros,Kevin Stiven Viveros Rodallega,477173,Athletico Paranaense,Athletico Paranaense,https://cdn5.wyscout.com/photos/team/public/254_120x120.png,Serie A,CF,CF,100,,0,,0,25,2000-04-26,0,2028-06-30,9,932,5,5.51,1,0.34,21.53,31.84,Colombia,['Colombia'],right,180,77,False,2.12,2.32,33.33,2.99,16.13,0.1,0.14,0.19,1.26,1.76,1.74,2,0.19,0,0.0,2.8,0.48,4,0.39,0.53,0,0.0,26,2.51,50.0,19.231,0.1,0.58,16.67,0.29,0.0,0.29,33.33,0.0,3.09,46.88,11.78,35.25,3.38,1.55,0.29,6.18,1.06,2.99,8.79,78.02,1.74,77.78,3.19,84.85,8.02,83.13,0.39,25.0,15.19,16.13,0.03,0.39,0.0,0.0,0.0,0.0,0.48,0.58,66.67,0.68,57.14,0.0,0.0,0.39,0.19,0.58,83.33,72.73,2.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.99,0.0,0.0,0.0,0.0,1,100
Fábio,Fábio Deivson Lopes Maciel,8961,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/245_120x120.png,Carioca 1,GK,GK,100,,0,,0,45,1980-09-30,200000,2027-12-31,9,931,0,0.0,0,0.0,0.48,80.0,Brazil,"['Brazil', 'Italy']",right,190,93,False,0.97,0.1,0.0,0.1,100.0,0.0,0.0,0.0,0.97,1.5899999999999999,0.1,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,9.18,0.0,0.39,12.47,88.37,6.77,81.43,0.0,0.0,8.31,98.84,4.16,67.44,27.71,41.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,66.67,0.0,0.0,0.0,0.0,0.0,0.0,2.9,60.0,96.43,5.41,10,0.97,38,3.67,3,73.68,11.33,1.1,1.33,0.129,0.0,1.16,0.1,,,,0.0,0,0
Rafael,Rafael Pires Monteiro,97650,São Paulo,São Paulo,https://cdn5.wyscout.com/photos/team/public/243_120x120.png,Serie A,GK,GK,100,,0,,0,36,1989-06-23,800000,2027-12-31,9,930,0,0.0,0,0.0,0.39,75.0,Brazil,['Brazil'],left,192,81,False,0.77,0.1,0.0,0.19,100.0,0.0,0.0,0.0,0.77,1.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,9.87,0.19,0.1,14.23,88.44,6.29,75.38,0.0,0.0,9.97,99.03,4.26,63.64,29.57,48.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,71.43,0.1,0.0,0.1,0.0,0.0,0.0,3.48,66.67,98.65,7.16,6,0.58,26,2.52,3,76.92,6.86,0.66,0.86,0.083,0.0,0.97,0.19,,,,0.0,0,0
Léo Jardim,Léonardo César Jardim,328222,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,GK,GK,100,,0,,0,31,1995-03-20,5500000,2030-12-31,9,929,0,0.0,0,0.0,0.39,75.0,Brazil,"['Brazil', 'Italy']",right,188,82,False,1.16,0.0,0.0,0.29,100.0,0.0,0.0,0.0,1.16,1.57,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10.56,0.0,0.1,16.18,84.43,7.27,70.67,0.0,0.0,10.85,95.54,5.33,61.82,30.0,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,58.33,0.0,0.0,0.0,0.0,0.0,0.0,4.36,66.67,96.47,8.23,14,1.3599999999999999,36,3.49,0,61.11,8.48,0.8200000000000001,-5.52,-0.535,0.0,1.07,0.29,,,,0.0,0,0
Marcelo Rangel,Marcelo Rangel Rosa,125297,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Paraense,GK,GK,100,,0,,0,37,1988-05-17,0,2026-12-31,9,928,0,0.0,0,0.0,0.29,100.0,Brazil,['Brazil'],right,186,81,False,1.16,0.0,0.0,0.19,100.0,0.0,0.0,0.0,1.16,1.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.1,11.44,84.75,6.98,75.0,0.1,100.0,6.4,98.48,5.04,67.31,34.07,47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,54.55,0.0,0.0,0.0,0.0,0.0,0.0,3.7800000000000002,79.49,100.0,4.17,17,1.65,45,4.36,0,62.22,16.58,1.6099999999999999,-0.42,-0.041,0.1,1.16,0.19,,,,0.0,0,0
