Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Nahmias,Raz Nahmias,404195,Bnei Yehuda,Bnei Yehuda,https://cdn5.wyscout.com/photos/team/public/1641_120x120.png,Liga Leumit,"LB, LB5, LWB",LB,60,LB5,25,LWB,14,29.0,1996-05-06,0,2027-06-30,24,2373,0,0.9400000000000001,0,1.79,13.84,54.25,Israel,['Israel'],left,175,68,False,8.04,6.71,62.71,1.48,51.28,0.53,0.76,0.08,3.3,4.71,0.91,3,0.11,0,0.0,1.82,0.0,0,0.0,0.04,0,0.0,12,0.46,33.33,0.0,0.0,2.5,39.39,2.43,40.63,0.08,0.0,0.61,1.1,62.07,3.94,42.31,1.02,2.09,0.11,26.97,1.67,1.1,37.05,80.76,15.97,75.3,6.22,93.9,31.4,88.04,3.19,41.67,18.14,38.46,0.07,0.72,0.0,0.0,0.04,0.0,0.23,6.45,70.0,2.58,45.59,0.42,18.18,0.34,0.9500000000000001,7.96,76.67,80.69,8.84,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.48,0.04,0.0,0.0,0.23,0,0.0
D. Hevron,Dor Hevron,-107300,Hapoel Raanana,Hapoel Raanana,https://cdn5.wyscout.com/photos/team/public/2234_120x120.png,Liga Leumit,GK,GK,100,,0,,0,24.0,2001-06-28,150000,,24,2369,0,0.0,1,0.0,0.76,80.0,Israel,['Israel'],,0,0,False,1.63,0.08,50.0,0.49,84.62,0.0,0.0,0.0,1.6,1.88,0.04,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.8,0.19,0.34,18.73,82.56,10.37,71.43,0.04,0.0,10.68,98.22,8.02,62.09,32.35,49.1,0.0,0.0,0.04,0.04,0.0,0.0,0.0,2.13,42.86,0.11,0.0,0.15,0.0,0.0,0.0,5.32,73.57,97.3,7.03,31,1.18,116,4.41,6,73.28,35.14,1.33,4.14,0.157,0.0,1.9,0.49,,,,0.0,0,0.0
M. Wolff,Marco Wolff,-75601,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,GK,GK,100,,0,,0,29.0,1996-12-14,250000,2027-06-30,24,2364,0,0.0,0,0.0,0.53,85.71,Argentina,['Argentina'],left,190,79,False,1.48,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.48,2.64,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,12.83,0.34,0.19,19.64,87.6,11.76,80.58,0.0,0.0,14.31,97.61,5.33,60.71,26.2,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,26.92,0.11,0.0,0.11,0.0,0.0,0.0,4.23,70.27,98.31,6.74,25,0.9500000000000001,67,2.55,8,62.69,14.28,0.54,-10.72,-0.40800000000000003,0.0,1.1,0.38,,,,0.0,0,0.0
N. Bardea,Nir Bardea,343227,Hapoel Ramat Gan,Hapoel Ramat Gan,https://cdn5.wyscout.com/photos/team/public/2233_120x120.png,Liga Leumit,"LCB, CB, RCB",LCB,72,CB,15,RCB,10,30.0,1996-01-25,450000,,24,2361,3,1.83,0,0.03,10.03,61.6,Israel,['Israel'],right,189,82,False,9.76,4.38,66.96,3.13,58.54,0.38,0.5,1.52,6.44,8.38,0.91,4,0.15,0,0.0,0.19,0.11,3,0.11,0.07,2,0.08,10,0.38,40.0,30.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.08,50.0,0.8,57.14,0.42,0.30000000000000004,0.0,33.01,0.30000000000000004,0.23,45.71,87.49,20.58,79.44,2.02,92.45,39.87,93.12,5.79,49.34,22.0,40.91,0.0,0.08,0.0,0.08,0.0,0.0,0.0,5.57,66.44,0.53,21.43,0.19,0.0,0.04,0.0,9.19,71.78,95.25,20.05,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.13,0.0,0.0,0.0,0.0,0,0.0
H. Diallo,Hamidou Diallo,-99887,Hapoel Nof HaGalil,Hapoel Nof HaGalil,https://cdn5.wyscout.com/photos/team/public/3279_120x120.png,Liga Leumit,"LCB, LCB3, RCB",LCB,38,LCB3,15,RCB,15,24.0,2002-01-26,0,,24,2351,0,0.08,0,0.28,11.22,62.12,Mali,['Mali'],right,188,83,False,10.99,5.67,70.95,3.29,51.16,0.11,0.14,0.84,6.85,8.47,0.5,1,0.04,1,0.04,0.23,0.0,0,0.0,0.0,0,0.0,3,0.11,33.33,0.0,0.0,0.34,22.22,0.0,0.0,0.34,22.22,0.08,0.15,75.0,1.3,50.0,0.19,0.23,0.04,26.15,0.54,0.42,42.42,85.92,17.88,76.66,2.5300000000000002,93.94,37.63,90.54,4.48,52.14,20.79,35.07,0.01,0.11,0.0,0.0,0.0,0.0,0.04,4.02,70.48,0.6900000000000001,33.33,0.23,33.33,0.19,0.11,8.15,65.26,95.07,17.88,0,,0,,0,0.0,0.0,0.0,,,1.8,,3.29,0.0,0.0,0.0,0.0,0,0.0
Y. Brik,Yaniv Brik,318529,Hapoel Afula,Hapoel Afula,https://cdn5.wyscout.com/photos/team/public/g12546_120x120.png,Liga Leumit,"LCMF, RCMF, DMF",LCMF,37,RCMF,26,DMF,22,30.0,1995-05-28,125000,,24,2324,1,0.22,4,1.55,12.1,52.51,Israel,['Israel'],right,182,72,False,7.32,4.01,63.64,1.13,46.43,0.08,0.09,0.24,4.69,5.02,0.61,7,0.27,0,0.0,1.38,0.04,1,0.04,0.01,0,0.0,11,0.45,18.18,9.091,0.16,0.77,36.84,0.4,50.0,0.32,25.0,0.0,1.5,67.57,5.54,44.53,0.08,1.58,0.04,25.09,0.12,1.01,39.78,83.42,16.31,73.7,5.1,96.03,35.17,87.92,3.84,51.58,18.43,35.33,0.06,0.85,0.04,0.0,0.04,0.0,0.08,7.0,78.61,1.54,44.74,0.77,36.84,0.32,0.28,7.8100000000000005,75.13,91.18,12.38,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.13,1.82,0.2,20.0,2.31,0,0.0
N. Yehoshua,Niv Yehoshua,-280654,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,"RCMF, RDMF, LCMF",RCMF,42,RDMF,20,LCMF,17,21.0,2005-01-28,0,2029-06-30,24,2321,3,4.84,4,4.52,16.01,49.39,Israel,['Israel'],right,0,0,False,5.86,4.89,71.43,1.71,52.27,0.27,0.48,0.12,2.09,3.71,1.12,4,0.16,0,0.0,2.25,0.12,3,0.12,0.19,0,0.0,40,1.55,37.5,7.5,0.16,1.74,37.78,0.39,30.0,1.32,41.18,0.35000000000000003,1.55,55.0,7.13,37.5,2.91,1.28,0.12,32.49,0.47000000000000003,0.85,43.55,84.77,12.41,76.56,8.45,94.5,40.17,88.13,1.67,53.49,16.14,25.55,0.18,1.82,0.04,0.04,0.39,40.0,0.7000000000000001,5.97,79.22,2.79,51.39,0.5,15.38,1.32,0.74,6.24,81.37,88.95,14.39,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.71,0.08,0.04,0.0,0.08,0,0.0
R. Sason,Roy Sason,-95383,Hapoel Kfar Shalem,Hapoel Kfar Shalem,https://cdn5.wyscout.com/photos/team/public/g3101_120x120.png,Liga Leumit,GK,GK,100,,0,,0,24.0,2001-12-13,0,2028-06-30,23,2299,0,0.0,0,0.0,0.9,78.26,Israel,['Israel'],,0,0,True,2.11,0.08,100.0,0.51,76.92,0.0,0.0,0.0,2.04,2.8200000000000003,0.04,7,0.27,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.27,85.71,0.0,0.0,0.0,10.49,0.08,0.23,19.81,81.23,11.63,71.72,0.0,0.0,12.92,96.67,6.89,52.27,33.19,51.16,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.7,47.83,0.35000000000000003,44.44,0.27,14.29,0.12,0.0,5.44,69.06,94.62,7.28,35,1.37,119,4.66,5,70.59,32.1,1.26,-2.9,-0.114,0.0,2.04,0.51,,,,0.0,0,0.0
T. Litvinov,Tomer Litvinov,386565,Bnei Yehuda,Bnei Yehuda,https://cdn5.wyscout.com/photos/team/public/1641_120x120.png,Liga Leumit,GK,GK,100,,0,,0,27.0,1998-03-12,150000,2026-06-30,23,2294,0,0.0,0,0.0,0.67,88.24,Israel,['Israel'],right,0,0,True,1.4100000000000001,0.04,0.0,0.51,100.0,0.0,0.0,0.0,1.4100000000000001,1.88,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,10.51,0.24,0.08,20.13,83.43,12.55,74.06,0.0,0.0,10.83,98.91,9.3,65.4,34.44,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,41.67,0.16,0.0,0.12,33.33,0.0,0.0,6.55,79.64,98.88,7.02,30,1.18,124,4.86,5,75.81,33.96,1.33,3.96,0.155,0.0,2.12,0.51,,,,0.0,0,0.0
M. Naaman,Mor  Naaman,-137969,Hapoel Afula,Hapoel Afula,https://cdn5.wyscout.com/photos/team/public/g12546_120x120.png,Liga Leumit,"RCB3, RCB",RCB3,39,RCB,34,,0,28.0,1998-01-26,50000,,24,2274,0,0.53,0,0.0,10.69,64.44,Israel,['Israel'],right,0,0,False,10.05,5.9,75.17,1.54,46.15,0.04,0.04,0.59,5.58,6.04,0.59,2,0.08,1,0.04,0.16,0.0,0,0.0,0.02,0,0.0,2,0.08,0.0,0.0,0.0,0.24,16.67,0.0,0.0,0.2,20.0,0.0,0.12,100.0,1.07,59.26,0.12,0.12,0.08,15.99,0.24,0.75,28.46,85.12,13.02,77.81,2.45,95.16,23.55,90.42,4.67,61.86,21.63,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.9699999999999998,60.0,0.59,46.67,0.32,50.0,0.16,0.04,5.82,64.63,91.6,10.37,0,,0,,0,0.0,0.0,0.0,,,1.42,,1.54,0.0,0.0,0.0,0.0,0,0.0
