Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Uphoff,Benjamin Uphoff,200298,Hansa Rostock,Hansa Rostock,https://cdn5.wyscout.com/photos/team/public/4_120x120.png,3. Liga,GK,GK,100,,0,,0,32.0,1993-08-08,300000,2026-06-30,38,3745,0,0.0,0,0.18,0.48,85.0,Germany,['Germany'],right,192,90,False,1.27,0.07,66.67,0.31,92.31,0.0,0.0,0.0,1.23,1.82,0.05,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,19.73,0.29,0.07,28.07,89.04,16.34,82.94,0.05,100.0,19.25,97.38,8.82,70.84,27.96,45.09,0.0,0.02,0.0,0.0,0.0,0.0,0.05,2.07,61.63,0.1,25.0,0.24,50.0,0.07,0.0,7.45,78.39,98.2,10.67,46,1.11,161,3.87,12,71.43,49.67,1.19,3.67,0.088,0.02,1.54,0.31,,,,0.0,0,0.0
P. Schulze,Philipp Schulze,-91656,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,GK,GK,100,,0,,0,23.0,2003-01-29,225000,2027-06-30,37,3655,0,0.0,0,0.0,0.71,82.76,Germany,['Germany'],right,190,81,False,1.45,0.1,75.0,0.54,90.91,0.02,0.05,0.0,1.35,2.5300000000000002,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,27.06,0.30000000000000004,0.07,36.96,91.54,18.32,85.08,0.0,0.0,30.53,98.31,6.4,59.62,23.47,42.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,47.62,0.1,0.0,0.12,40.0,0.0,0.0,5.52,65.63,98.36,16.47,48,1.18,146,3.6,9,67.12,40.96,1.01,-7.04,-0.17300000000000001,0.0,1.31,0.54,,,,0.0,0,0.0
M. Schuster,Marco Schuster,261058,Hansa Rostock,Hansa Rostock,https://cdn5.wyscout.com/photos/team/public/4_120x120.png,3. Liga,"DMF, RCMF, LCMF",DMF,42,RCMF,14,LCMF,12,30.0,1995-10-10,550000,2027-06-30,37,3655,2,1.29,4,7.8100000000000005,10.93,56.98,Germany,['Germany'],right,179,77,False,8.37,5.39,65.75,1.8,58.9,0.34,0.52,0.59,4.48,6.7,0.52,5,0.12,0,0.0,1.01,0.05,2,0.05,0.03,0,0.0,21,0.52,38.1,9.524000000000001,0.1,1.08,50.0,0.30000000000000004,41.67,0.74,50.0,0.15,0.42,64.71,2.27,44.57,0.49,0.71,0.02,29.65,0.2,0.52,45.58,86.76,13.03,73.16,8.0,96.62,41.05,90.82,3.47,49.65,17.56,27.68,0.19,1.75,0.07,0.02,0.0,0.0,0.25,5.5600000000000005,74.34,1.11,55.56,0.17,57.14,0.25,0.5700000000000001,5.64,65.5,92.96,16.79,0,,0,,0,0.0,0.0,0.0,,,1.63,,1.8,1.85,0.12,0.0,3.6,0,0.0
M. Ens,Martin Ens,-93667,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,RCB,RCB,91,,0,,0,24.0,2001-12-20,200000,2027-06-30,37,3650,3,2.92,0,0.55,14.94,59.41,Germany,['Germany'],right,187,76,False,8.06,5.13,68.27,5.62,56.14,0.35000000000000003,0.64,0.47000000000000003,4.22,7.77,1.06,8,0.2,0,0.0,0.22,0.07,3,0.07,0.07,3,0.07,18,0.44,27.78,16.667,0.0,0.07,33.33,0.0,0.0,0.07,33.33,0.0,0.1,75.0,1.6800000000000002,55.88,0.89,1.53,0.05,51.81,0.42,0.84,68.72,93.11,22.76,87.22,5.47,96.85,64.9,95.4,3.77,54.25,18.64,36.23,0.01,0.15,0.02,0.02,0.02,0.0,0.02,5.6,79.3,0.44,38.89,0.22,22.22,0.32,0.02,8.01,73.85,97.15,32.82,0,,0,,0,0.0,0.0,0.0,,,3.6,,5.62,0.0,0.0,0.0,0.0,0,0.0
M. Braune,Maximillian Braune,-117893,MSV Duisburg,MSV Duisburg,https://cdn5.wyscout.com/photos/team/public/11_120x120.png,3. Liga,GK,GK,100,,0,,0,22.0,2003-07-06,0,2029-06-30,37,3641,0,0.0,0,0.0,0.54,95.45,Germany,['Germany'],right,185,76,False,1.78,0.02,100.0,0.35000000000000003,100.0,0.02,0.03,0.0,1.73,2.12,0.0,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,18.42,0.15,0.2,27.91,84.15,17.38,75.68,0.0,0.0,15.75,98.59,12.16,65.45,34.33,50.52,0.0,0.0,0.05,0.0,0.0,0.0,0.0,4.15,50.6,0.42,17.65,0.35000000000000003,21.43,0.1,0.0,9.17,84.91,98.49,9.84,49,1.21,161,3.98,10,69.57,41.52,1.03,-7.48,-0.185,0.0,1.48,0.35000000000000003,,,,0.0,0,0.0
P. Menzel,Phillip Menzel,323268,Saarbrücken,Saarbrücken,https://cdn5.wyscout.com/photos/team/public/2693_120x120.png,3. Liga,GK,GK,100,,0,,0,27.0,1998-08-18,700000,2026-06-30,37,3631,0,0.0,0,0.0,0.77,93.55,Germany,['Germany'],right,192,83,False,1.34,0.05,100.0,0.45,94.44,0.02,0.03,0.0,1.26,1.6099999999999999,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.02,0.0,0.0,17.38,0.25,0.35000000000000003,25.48,89.79,12.37,80.76,0.0,0.0,17.52,98.16,7.86,72.24,30.76,44.79,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.6400000000000001,60.61,0.0,0.0,0.0,0.0,0.0,0.0,6.12,77.73,99.19,12.27,56,1.3900000000000001,188,4.66,7,70.21,55.84,1.38,-0.16,-0.004,0.0,1.29,0.45,,,,0.0,0,0.0
J. Ríos Alonso,José Enrique Ríos Alonso,454400,Rot-Weiss Essen,Rot-Weiss Essen,https://cdn5.wyscout.com/photos/team/public/3725_120x120.png,3. Liga,"LCB, RCB3, RCB",LCB,38,RCB3,35,RCB,23,25.0,2000-08-13,300000,2027-06-30,37,3607,5,4.07,3,1.35,13.15,64.9,Germany,"['Germany', 'Spain']",right,182,77,False,9.36,5.24,70.48,3.7199999999999998,60.4,0.12,0.17,0.75,5.54,7.54,0.52,5,0.12,0,0.0,0.55,0.12,3,0.07,0.1,1,0.02,21,0.52,52.38,23.81,0.07,0.22,33.33,0.05,50.0,0.15,16.67,0.02,0.22,77.78,1.55,62.9,1.05,0.8200000000000001,0.02,29.57,0.22,1.1,45.89,88.04,16.14,75.12,4.84,95.36,41.84,91.17,3.8200000000000003,56.86,19.6,34.05,0.03,0.32,0.02,0.02,0.05,50.0,0.12,5.51,75.11,0.67,29.63,0.25,30.0,0.32,0.05,7.11,69.12,96.3,19.54,0,,0,,0,0.0,0.0,0.0,,,2.59,,3.7199999999999998,0.0,0.0,0.0,0.0,2,100.0
L. Jonsson,Lukas Jonsson,134412,Osnabrück,Osnabrück,https://cdn5.wyscout.com/photos/team/public/344_120x120.png,3. Liga,GK,GK,100,,0,,0,33.0,1992-10-21,100000,2027-06-30,37,3599,0,0.0,0,0.0,0.53,90.48,Sweden,['Sweden'],right,191,92,False,1.38,0.0,0.0,0.4,93.75,0.0,0.0,0.0,1.38,1.6600000000000001,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,10.85,0.23,0.08,17.45,77.65,12.55,69.32,0.03,100.0,8.5,97.06,8.9,59.55,34.8,47.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,38.82,0.18,0.0,0.08,66.67,0.0,0.0,7.03,71.17,100.0,4.38,31,0.78,116,2.9,19,73.28,30.79,0.77,-0.21,-0.005,0.0,1.08,0.4,,,,0.0,0,0.0
J. Müller,Jannik Müller,260552,Osnabrück,Osnabrück,https://cdn5.wyscout.com/photos/team/public/344_120x120.png,3. Liga,CB,CB,96,,0,,0,32.0,1994-01-18,800000,2028-06-30,37,3586,1,1.27,0,0.15,11.07,63.72,Germany,['Germany'],right,187,77,False,7.76,4.52,77.22,3.24,52.71,0.33,0.39,0.58,3.94,4.65,0.48,6,0.15,0,0.0,0.15,0.03,1,0.03,0.03,0,0.0,12,0.30000000000000004,16.67,8.333,0.0,0.13,0.0,0.1,0.0,0.03,0.0,0.0,0.13,80.0,1.31,46.15,0.55,0.30000000000000004,0.0,23.11,0.03,0.53,37.07,86.59,16.69,77.74,2.16,95.35,33.1,91.13,3.84,50.33,19.35,40.16,0.0,0.08,0.05,0.0,0.03,0.0,0.03,4.47,61.24,0.43,29.41,0.35000000000000003,28.57,0.1,0.0,6.32,69.05,95.89,14.05,0,,0,,0,0.0,0.0,0.0,,,1.51,,3.24,0.03,0.0,0.0,0.0,0,0.0
J. Gillekens,Jordy Gillekens,467649,Wehen Wiesbaden,Wehen Wiesbaden,https://cdn5.wyscout.com/photos/team/public/340_120x120.png,3. Liga,"RCB3, RCB",RCB3,48,RCB,38,,0,26.0,2000-02-18,200000,2028-06-30,37,3567,3,2.68,2,0.99,12.21,61.36,Belgium,['Belgium'],right,187,78,False,8.86,5.37,62.44,3.71,60.54,0.28,0.35000000000000003,0.96,5.22,6.6,1.03,10,0.25,0,0.0,0.45,0.08,3,0.08,0.07,2,0.05,22,0.56,27.27,13.636,0.05,0.4,43.75,0.03,0.0,0.38,46.67,0.03,0.25,50.0,1.24,51.02,0.73,0.76,0.08,30.05,0.38,0.8300000000000001,42.94,85.31,17.28,73.43,3.73,96.62,36.71,90.93,5.88,52.79,20.68,40.15,0.02,0.15,0.0,0.0,0.05,0.0,0.1,5.32,68.72,0.66,46.15,0.35000000000000003,7.14,0.23,0.18,8.23,67.18,94.82,16.55,0,,0,,0,0.0,0.0,0.0,,,2.35,,3.71,0.03,0.03,0.0,0.0,0,0.0
