Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Millán,Julián Camilo Millán Díaz,433088,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/554_120x120.png,Primera División,LCB,LCB,98,,0,,0,27.0,1998-03-27,0,2027-12-31,39,3839,2,2.16,1,0.79,16.08,62.97,Colombia,['Colombia'],left,186,75,False,8.51,5.77,73.98,4.9,61.24,0.35000000000000003,0.56,0.49,3.89,6.22,0.84,8,0.19,0,0.0,0.59,0.05,2,0.05,0.05,2,0.05,19,0.45,31.58,10.526,0.02,0.14,33.33,0.14,33.33,0.0,0.0,0.02,0.56,70.83,2.49,54.72,0.52,1.4100000000000001,0.19,25.06,0.59,0.52,42.69,85.28,19.2,76.31,2.06,92.05,34.86,90.99,7.71,60.18,22.22,37.36,0.02,0.16,0.02,0.05,0.02,0.0,0.05,5.51,68.94,0.47000000000000003,40.0,0.26,27.27,0.21,0.05,9.61,69.51,94.39,17.96,0,,0,,0,0.0,0.0,0.0,,,1.15,,4.9,0.0,0.0,0.0,0.0,0,0.0
L. Amadé,Lautaro Amadé,-223800,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,GK,GK,100,,0,,0,26.0,1999-12-21,25000,2025-12-31,37,3641,0,0.0,0,0.0,0.74,80.0,Argentina,['Argentina'],right,193,87,True,1.3599999999999999,0.0,0.0,0.62,80.0,0.0,0.0,0.0,1.3599999999999999,2.08,0.0,2,0.05,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.07,100.0,0.0,0.0,0.0,6.06,0.2,0.17,13.32,79.22,8.55,69.65,0.0,0.0,6.18,97.2,7.14,63.67,38.93,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,61.74,0.2,12.5,0.15,0.0,0.02,0.0,5.12,80.19,97.19,4.4,38,0.9400000000000001,129,3.19,14,70.54,35.31,0.87,-2.69,-0.066,0.0,1.98,0.62,,,,0.0,0,0.0
K. Dawson,Kevin Emiliano Dawson Blanco,180998,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1992-02-08,700000,2027-12-31,37,3635,0,0.0,0,0.01,0.77,80.65,Uruguay,['Uruguay'],right,178,81,False,1.11,0.1,100.0,0.45,83.33,0.02,0.04,0.0,0.99,1.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,60.0,0.0,0.0,0.0,7.7,0.12,0.22,14.11,87.37,7.9,79.0,0.0,0.0,9.24,98.39,4.83,66.67,30.35,45.95,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.02,63.41,0.02,0.0,0.02,100.0,0.0,0.0,3.79,73.2,98.68,5.62,38,0.9400000000000001,170,4.21,13,77.65,45.6,1.13,7.6,0.188,0.0,1.3900000000000001,0.45,,,,0.0,0,0.0
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,37.0,1988-03-27,100000,2026-12-31,37,3626,0,0.0,0,0.0,0.74,93.1,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,1.51,0.1,75.0,0.46,100.0,0.0,0.0,0.0,1.43,2.0,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,75.0,0.0,0.03,0.0,7.13,0.1,0.23,15.12,87.5,9.48,81.13,0.0,0.0,8.48,97.59,6.61,74.9,34.65,46.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,73.68,0.08,0.0,0.0,0.0,0.0,0.0,5.13,76.62,98.56,5.31,40,1.02,144,3.68,10,72.22,38.77,0.99,-1.23,-0.031,0.0,1.53,0.46,,,,0.0,0,0.0
G. Santilli,Gino Santilli Rusconi,-252780,Cerro Largo,Cerro Largo,https://cdn5.wyscout.com/photos/team/public/1319_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2001-10-26,0,2026-12-31,36,3553,1,0.04,0,0.0,0.51,90.0,Argentina,['Argentina'],right,191,74,False,1.87,0.03,0.0,0.38,100.0,0.03,0.04,0.03,1.85,2.61,0.03,2,0.05,0,0.0,0.03,0.03,1,0.03,0.0,0,0.0,1,0.03,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,6.43,0.23,0.1,14.39,79.4,9.52,71.01,0.0,0.0,7.22,96.49,7.12,62.63,37.93,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,62.84,0.25,20.0,0.1,50.0,0.03,0.0,5.5,79.26,97.66,4.33,38,0.96,149,3.77,12,74.5,41.63,1.05,3.63,0.092,0.0,1.67,0.38,,,,0.0,0,0.0
Y. Calleros,Yvo Nahuel Calleros Rébori,-76593,Plaza Colonia,Plaza Colonia,https://cdn5.wyscout.com/photos/team/public/1748_120x120.png,Primera División,RCMF,RCMF,56,,0,,0,27.0,1998-03-14,600000,2025-12-31,36,3505,0,0.5700000000000001,0,0.56,17.23,59.31,Uruguay,['Uruguay'],right,181,77,False,13.25,8.83,70.35,4.37,46.47,0.54,0.71,0.56,6.5,8.54,1.21,6,0.15,0,0.0,0.41000000000000003,0.0,0,0.0,0.01,0,0.0,21,0.54,9.52,0.0,0.0,0.41000000000000003,31.25,0.1,0.0,0.28,45.45,0.05,0.31,75.0,2.0,51.28,0.26,0.28,0.0,16.66,0.21,0.72,32.41,78.92,12.92,69.18,3.8,90.54,27.63,84.39,4.39,48.54,19.08,31.87,0.01,0.26,0.03,0.03,0.05,0.0,0.13,5.75,65.63,1.03,30.0,0.31,8.33,0.21,0.15,6.52,66.93,85.88,11.09,0,,0,,0,0.0,0.0,0.0,,,0.39,,4.37,0.0,0.0,0.0,0.0,0,0.0
S. Coates,Sebastián Coates Nión,77863,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/554_120x120.png,Primera División,RCB,RCB,98,,0,,0,35.0,1990-10-07,3500000,2025-12-31,36,3475,1,3.12,1,0.19,12.3,68.42,Uruguay,"['Uruguay', 'Spain']",right,196,94,False,9.14,4.71,74.73,4.79,70.27,0.85,1.38,0.7000000000000001,4.77,7.69,0.5700000000000001,10,0.26,0,0.0,0.36,0.03,1,0.03,0.08,1,0.03,20,0.52,30.0,5.0,0.03,0.08,66.67,0.0,0.0,0.08,66.67,0.0,0.23,55.56,1.29,54.0,0.88,0.98,0.03,24.32,0.41000000000000003,0.44,38.8,83.64,18.98,72.99,0.8300000000000001,93.75,31.03,90.4,7.69,56.57,23.92,38.08,0.0,0.16,0.03,0.03,0.03,100.0,0.05,6.8100000000000005,65.02,0.67,38.46,0.49,36.84,0.28,0.05,9.58,75.68,94.99,16.03,0,,0,,0,0.0,0.0,0.0,,,0.44,,4.79,0.0,0.0,0.0,0.0,0,0.0
L. Boggio,Luciano Boggio Albin,-63392,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/554_120x120.png,Primera División,"LCMF, RCMF, RDMF",LCMF,22,RCMF,22,RDMF,18,26.0,1999-03-10,0,2027-12-31,39,3471,3,4.9,7,3.39,16.98,48.55,Uruguay,"['Uruguay', 'Italy']",right,175,69,False,7.78,6.25,59.34,3.22,47.58,0.47000000000000003,0.74,0.1,3.6,5.69,1.1400000000000001,5,0.13,0,0.0,1.71,0.08,3,0.08,0.13,0,0.0,45,1.17,33.33,6.667,0.18,0.86,30.3,0.21,25.0,0.65,32.0,0.08,1.5,67.24,5.39,37.02,1.11,1.48,0.1,23.15,0.41000000000000003,0.88,36.3,82.93,11.8,70.77,4.98,95.31,32.15,87.82,3.37,49.23,17.51,30.97,0.09,0.96,0.1,0.0,0.1,50.0,0.21,5.42,75.6,1.1400000000000001,52.27,0.26,20.0,0.47000000000000003,0.21,5.21,66.67,87.0,12.96,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.22,0.34,0.03,100.0,1.53,0,0.0
C. Almeida,Christian Andrés Almeida Rodríguez,195142,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/976_120x120.png,Primera División,"LCB, LCB3",LCB,77,LCB3,10,,0,36.0,1989-12-25,100000,2025-12-31,35,3446,4,2.59,1,0.79,15.1,58.3,Uruguay,['Uruguay'],left,170,65,False,9.77,5.51,67.77,5.09,49.74,0.26,0.35000000000000003,0.52,5.77,7.74,0.65,11,0.29,0,0.0,0.65,0.1,4,0.1,0.07,1,0.03,17,0.44,41.18,23.529,0.03,0.31,41.67,0.29,36.36,0.03,100.0,0.03,0.5,68.42,2.3,52.27,0.63,1.04,0.03,18.28,0.31,1.02,35.28,78.83,18.8,67.36,1.67,96.88,25.86,88.59,9.11,52.44,24.24,38.34,0.02,0.26,0.05,0.0,0.0,0.0,0.1,6.92,59.62,0.91,34.29,0.5700000000000001,31.82,0.34,0.13,8.96,68.22,93.59,12.22,0,,0,,0,0.0,0.0,0.0,,,1.1,,5.09,0.08,0.05,0.0,0.03,0,0.0
G. Kagelmacher,Gary Christofer Kagelmacher Pérez,23535,Torque,Torque,https://cdn5.wyscout.com/photos/team/public/g22285_120x120.png,Primera División,LCB,LCB,89,,0,,0,37.0,1988-04-21,300000,2026-12-31,35,3445,3,2.84,1,0.26,10.08,64.51,Uruguay,"['Uruguay', 'Germany']",right,183,79,False,7.5,4.26,76.07,3.71,55.63,0.03,0.04,0.5,4.23,6.55,0.5700000000000001,5,0.13,0,0.0,0.16,0.08,3,0.08,0.07,1,0.03,11,0.29,27.27,27.273,0.03,0.08,66.67,0.05,50.0,0.0,0.0,0.0,0.05,50.0,0.47000000000000003,38.89,0.39,0.29,0.03,24.4,0.29,0.39,38.4,87.82,15.15,75.52,1.96,96.0,32.79,93.23,5.54,56.13,22.12,34.63,0.01,0.05,0.03,0.0,0.0,0.0,0.03,3.32,70.08,0.31,33.33,0.1,25.0,0.16,0.05,7.16,65.33,96.32,18.47,0,,0,,0,0.0,0.0,0.0,,,1.57,,3.71,0.0,0.0,0.0,0.0,0,0.0
