Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Xiuqi Yuan,Xiuqi Yuan,-107783,Tai'an Tiankuang,Tai'an Tiankuang,https://cdn5.wyscout.com/photos/team/public/g-16379_120x120.png,China League Two,"RCMF, RCMF3, RDMF",RCMF,43,RCMF3,32,RDMF,10,29.0,1997-05-22,0,,9,905,0,0.19,0,0.41000000000000003,17.2,54.34,China PR,['China PR'],,0,0,False,9.85,6.07,72.13,2.59,50.0,1.19,1.82,0.6000000000000001,4.28,6.52,0.8,1,0.1,0,0.0,0.9,0.0,0,0.0,0.02,0,0.0,9,0.9,0.0,0.0,0.0,0.9,55.56,0.2,50.0,0.7000000000000001,57.14,0.30000000000000004,0.6000000000000001,66.67,4.77,41.67,0.4,0.30000000000000004,0.1,16.51,0.5,1.49,32.52,81.65,10.44,65.71,5.87,93.22,27.75,84.95,3.88,64.1,17.71,27.08,0.04,0.5,0.1,0.0,0.0,0.0,0.1,6.07,65.57,1.99,50.0,0.1,0.0,0.6000000000000001,0.5,5.57,73.21,88.89,10.74,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.59,0.2,0.0,0.0,0.0,0,0
Z. Yuan,Zinan Yuan,-691190,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,RB,RB,79,,0,,0,21.0,2005-04-28,0,,9,894,0,0.11,1,0.68,18.62,43.24,China PR,['China PR'],unknown,180,0,False,7.45,7.75,51.95,2.62,50.0,0.0,0.0,0.0,3.42,5.51,1.31,1,0.1,0,0.0,1.6099999999999999,0.0,0,0.0,0.01,0,0.0,4,0.4,0.0,0.0,0.1,3.42,29.41,0.1,0.0,3.32,30.3,0.2,2.01,30.0,6.14,26.23,1.21,1.71,0.30000000000000004,23.66,1.81,1.11,35.03,67.82,12.08,55.83,5.54,94.55,24.97,78.23,6.85,48.53,22.34,36.99,0.07,0.5,0.0,0.0,0.1,0.0,0.2,7.15,61.97,3.52,48.57,0.7000000000000001,28.57,1.31,0.91,9.06,74.44,71.54,12.38,0,,0,,0,0.0,0.0,0.0,,,0.2,,2.62,0.0,0.0,0.0,0.0,0,0
Cheng Luan,Luan Cheng,-398951,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,"LCMF, RDMF, LDMF",LCMF,48,RDMF,21,LDMF,16,20.0,2005-12-06,0,,9,894,0,0.30000000000000004,3,2.73,9.36,61.29,China PR,['China PR'],,165,0,False,6.54,3.52,80.0,1.81,44.44,0.1,0.16,0.2,3.62,5.84,0.2,0,0.0,0,0.0,1.81,0.0,0,0.0,0.03,0,0.0,10,1.01,30.0,0.0,0.30000000000000004,2.21,50.0,0.5,20.0,1.71,58.82,0.0,0.6000000000000001,66.67,3.12,51.61,0.5,2.11,0.1,45.81,0.30000000000000004,0.7000000000000001,65.44,85.38,20.54,74.02,9.06,97.78,55.47,91.11,7.75,54.55,19.53,36.58,0.27,2.52,0.0,0.0,0.0,0.0,0.30000000000000004,10.37,68.93,4.53,53.33,0.91,22.22,1.21,1.11,12.08,82.5,92.34,26.28,0,,0,,0,0.0,0.0,0.0,,,1.01,,1.81,2.52,0.5,20.0,5.44,0,0
Zhu Mingxin,Mingxin Zhu,-60201,Ganzhou Ruishi,Ganzhou Ruishi,https://cdn5.wyscout.com/photos/team/public/g-16382_120x120.png,China League Two,LCB3,LCB3,82,,0,,0,27.0,1999-03-16,75000,,9,856,1,0.56,0,0.03,13.35,54.33,China PR,['China PR'],,185,0,False,10.3,4.63,59.09,5.05,60.42,0.84,1.08,0.32,6.73,8.61,1.26,1,0.11,0,0.0,0.32,0.11,1,0.11,0.06,1,0.11,5,0.53,20.0,20.0,0.0,0.11,100.0,0.0,0.0,0.11,100.0,0.0,0.32,33.33,2.0,36.84,0.84,0.63,0.0,18.19,0.42,0.74,29.12,81.23,13.67,70.0,2.84,96.3,24.08,87.77,4.94,48.94,22.41,36.63,0.0,0.11,0.0,0.0,0.0,0.0,0.11,3.68,77.14,0.74,57.14,0.42,75.0,0.42,0.11,6.31,66.67,90.82,10.3,0,,0,,0,0.0,0.0,0.0,,,1.47,,5.05,0.0,0.0,0.0,0.0,0,0
Lu Wentao,Wentao Lu,-358658,Guizhou Zhucheng,Guizhou Zhucheng,https://cdn5.wyscout.com/photos/team/public/g-23502_120x120.png,China League Two,"LCB, CB, RCB",LCB,63,CB,22,RCB,10,24.0,2002-01-12,0,,9,850,3,0.66,0,0.0,14.08,69.92,China PR,['China PR'],unknown,188,0,False,6.25,3.92,78.38,5.93,64.29,0.21,0.34,0.32,2.96,4.8,0.74,2,0.21,0,0.0,0.64,0.32,3,0.32,0.07,3,0.32,5,0.53,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,75.0,2.86,74.07,0.85,0.9500000000000001,0.11,29.33,0.53,2.22,44.05,92.07,13.66,84.5,3.07,96.55,40.76,93.77,3.2800000000000002,70.97,20.33,39.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,80.0,0.21,0.0,0.21,50.0,0.0,0.0,5.82,61.82,96.0,23.82,0,,0,,0,0.0,0.0,0.0,,,2.33,,5.93,0.0,0.0,0.0,0.0,0,0
Ziyang Wang,Ziyang Wang,-571611,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,CF,CF,98,,0,,0,20.0,2006-01-25,0,,9,847,2,3.43,2,0.4,20.83,29.59,China PR,['China PR'],right,187,0,False,3.29,3.51,54.55,5.42,35.29,0.11,0.17,0.0,1.28,2.03,1.81,1,0.11,0,0.0,0.74,0.21,2,0.21,0.36,0,0.0,19,2.02,21.05,10.526,0.21,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.74,42.86,7.86,16.22,4.14,0.21,0.0,8.93,2.98,0.53,14.24,63.43,2.76,46.15,5.63,81.13,13.18,66.13,0.74,42.86,13.75,11.76,0.04,1.06,0.0,0.0,0.0,0.0,0.21,1.38,38.46,0.85,50.0,0.11,0.0,0.74,0.0,0.74,71.43,53.85,2.76,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.42,0.0,0.0,0.0,0.0,0,0
Tong Zhicheng,Zhicheng Tong,-442882,Tai'an Tiankuang,Tai'an Tiankuang,https://cdn5.wyscout.com/photos/team/public/g-16379_120x120.png,China League Two,"RCB3, RCB, DMF",RCB3,52,RCB,35,DMF,12,23.0,2003-04-07,0,2026-12-31,9,839,0,0.4,0,0.0,12.01,56.25,China PR,['China PR'],unknown,0,0,False,6.54,3.65,73.53,4.29,60.0,0.43,0.64,0.11,3.43,5.13,0.86,0,0.0,0,0.0,0.32,0.0,0,0.0,0.04,0,0.0,5,0.54,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.21,100.0,0.0,0.11,100.0,2.04,31.58,0.86,0.21,0.0,14.05,0.21,0.43,27.89,77.31,12.23,65.79,2.04,84.21,22.63,84.83,5.04,42.55,19.85,32.71,0.0,0.11,0.0,0.0,0.0,0.0,0.0,4.93,67.39,0.64,66.67,0.21,0.0,0.21,0.21,6.87,62.5,86.41,11.05,0,,0,,0,0.0,0.0,0.0,,,0.54,,4.29,0.21,0.0,0.0,0.0,0,0
K. Huang,Keqi  Huang,-571337,Shenzhen 2028,Shenzhen 2028,https://cdn5.wyscout.com/photos/team/public/g-23503_120x120.png,China League Two,"LCB, CB",LCB,88,CB,11,,0,20.0,2005-11-21,0,,9,837,0,0.16,0,0.0,13.87,57.36,China PR,['China PR'],unknown,180,0,False,7.1,5.48,70.59,3.66,52.94,0.75,1.18,0.43,2.47,3.88,1.08,2,0.22,1,0.11,0.32,0.0,0,0.0,0.02,0,0.0,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,75.0,2.8,42.31,0.43,1.51,0.0,38.49,0.11,1.51,56.02,87.72,20.65,73.96,2.47,100.0,48.17,93.08,7.85,54.79,23.3,42.99,0.0,0.11,0.0,0.11,0.0,0.0,0.0,9.25,70.93,0.86,50.0,0.32,66.67,0.43,0.0,9.68,67.78,96.72,29.46,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.66,0.0,0.0,0.0,0.0,0,0
Ma Chongchong,Chongchong Ma,115675,Guizhou Zhucheng,Guizhou Zhucheng,https://cdn5.wyscout.com/photos/team/public/g-23502_120x120.png,China League Two,"LB, LCB3",LB,75,LCB3,23,,0,35.0,1991-01-17,50000,,9,832,0,0.29,0,0.19,10.93,65.35,China PR,['China PR'],left,183,76,False,6.92,4.44,73.17,2.16,70.0,0.11,0.17,0.22,3.5700000000000003,5.66,0.97,2,0.22,0,0.0,1.3,0.0,0,0.0,0.03,0,0.0,2,0.22,0.0,0.0,0.0,2.27,42.86,2.27,42.86,0.0,0.0,0.0,0.76,42.86,2.7,56.0,0.32,1.3,0.0,34.94,0.97,1.08,46.84,80.6,23.58,77.52,3.03,92.86,39.38,85.71,5.19,58.33,18.4,33.67,0.02,0.32,0.0,0.0,0.0,0.0,0.11,9.19,80.0,3.03,46.43,0.76,42.86,0.65,0.97,11.9,78.18,85.84,12.22,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.16,0.0,0.0,0.0,0.0,0,0
Memet-Raim Memet-Ali,Memet-Raim Memet-Ali,-197153,Tai'an Tiankuang,Tai'an Tiankuang,https://cdn5.wyscout.com/photos/team/public/g-16379_120x120.png,China League Two,"RW, CF, AMF",RW,31,CF,24,AMF,16,25.0,2000-09-01,25000,,9,828,2,2.81,1,1.05,28.7,42.42,China PR,['China PR'],right,173,74,False,4.67,3.8,71.43,4.67,18.6,0.0,0.0,0.11,1.96,3.02,1.74,0,0.0,0,0.0,5.65,0.22,2,0.22,0.31,1,0.11,27,2.93,29.63,7.407,0.11,3.37,41.94,0.33,33.33,3.04,42.86,0.43,4.67,69.77,15.43,44.37,4.02,0.33,0.11,15.87,1.63,3.26,25.87,68.91,5.11,48.94,7.07,87.69,19.89,77.05,2.93,44.44,18.21,31.49,0.11,1.09,0.11,0.0,0.11,100.0,0.65,3.04,53.57,2.93,55.56,0.22,50.0,0.98,1.3,3.7,70.59,70.0,8.7,0,,0,,0,0.0,0.0,0.0,,,0.11,,4.67,0.11,0.11,0.0,0.11,0,0
