Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Róger Guedes,Róger Krug Guedes,391151,Al Rayyan,Al Rayyan,https://cdn5.wyscout.com/photos/team/public/1250_120x120.png,Qatar Stars League,"AMF, CF, LCMF",AMF,61,CF,16,LCMF,10,29.0,1996-10-02,10000000,2027-06-30,17,1761,17,13.0,1,1.08,11.19,42.92,Brazil,['Brazil'],right,182,67,False,2.04,1.02,45.0,1.74,47.06,0.1,0.16,0.05,1.48,2.38,0.77,2,0.1,0,0.0,3.32,0.87,12,0.61,0.66,2,0.1,67,3.42,49.25,25.373,0.05,0.77,46.67,0.26,20.0,0.51,60.0,0.1,2.3,53.33,6.7,45.8,3.73,2.56,0.41000000000000003,20.24,1.38,1.48,24.63,81.33,7.82,74.51,4.4,89.53,21.77,84.51,2.1,60.98,17.18,34.56,0.06,0.66,0.0,0.0,0.05,100.0,0.31,3.88,72.37,1.28,72.0,0.26,20.0,0.77,0.31,3.7800000000000002,83.78,85.35,8.02,0,,0,,0,0.0,0.0,0.0,,,0.05,,1.74,0.46,0.36,28.57,0.56,5,100.0
Khalifa Ababacar,Khalifa Ababacar N'Diaye,82163,Al Gharafa,Al Gharafa,https://cdn5.wyscout.com/photos/team/public/1849_120x120.png,Qatar Stars League,GK,GK,100,,0,,0,36.0,1989-07-07,100000,2026-06-30,17,1751,0,0.0,0,0.0,0.77,86.67,Senegal,"['Senegal', 'Qatar']",right,203,92,False,1.85,0.21,75.0,0.46,88.89,0.0,0.0,0.0,1.7000000000000002,2.49,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,0.15,0.15,13.26,84.5,8.17,76.1,0.0,0.0,8.38,95.71,4.88,65.26,31.59,43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,63.64,0.0,0.0,0.05,0.0,0.0,0.0,3.96,68.83,98.85,4.47,23,1.18,82,4.21,3,71.95,17.91,0.92,-5.09,-0.262,0.0,1.85,0.46,,,,0.0,0,0.0
Saoud Al Khater,Saoud Mubarak Al Khater,208806,Al Wakrah,Al Wakrah,https://cdn5.wyscout.com/photos/team/public/1826_120x120.png,Qatar Stars League,GK,GK,100,,0,,0,34.0,1991-04-09,250000,,17,1740,0,0.0,0,0.0,0.5700000000000001,81.82,Qatar,['Qatar'],right,177,72,False,1.97,0.21,50.0,0.16,100.0,0.0,0.0,0.0,1.8599999999999999,3.21,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,8.64,0.31,0.21,14.69,84.51,8.28,75.0,0.0,0.0,8.64,97.6,6.05,65.81,31.9,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,42.86,0.05,0.0,0.05,0.0,0.0,0.0,4.8100000000000005,73.12,96.36,5.69,24,1.24,71,3.67,5,66.2,21.88,1.13,-2.12,-0.11,0.0,0.8300000000000001,0.16,,,,0.0,0,0.0
O. Tannane,Oussama Tannane,218123,Umm Salal,Umm Salal,https://cdn5.wyscout.com/photos/team/public/1828_120x120.png,Qatar Stars League,"AMF, CF, RW",AMF,37,CF,17,RW,17,31.0,1994-03-23,1700000,2026-06-30,17,1716,8,3.87,6,4.63,21.82,43.27,Morocco,"['Morocco', 'Netherlands']",left,178,80,False,4.51,5.61,51.4,1.78,8.82,0.21,0.26,0.1,1.42,1.74,2.15,2,0.1,0,0.0,3.51,0.42,7,0.37,0.2,0,0.0,54,2.83,38.89,14.815,0.31,1.3599999999999999,30.77,0.63,16.67,0.63,41.67,0.16,3.62,50.72,12.06,45.22,1.52,2.47,0.52,23.29,1.0,3.2,30.42,77.59,10.38,71.72,6.08,93.1,26.17,82.36,2.88,56.36,17.0,38.05,0.24,1.8900000000000001,0.1,0.05,0.26,60.0,0.63,5.35,70.59,2.5700000000000003,48.98,0.52,30.0,0.84,0.47000000000000003,4.77,82.42,76.19,7.71,0,,0,,0,0.0,0.0,0.0,,,0.05,,1.78,3.46,1.26,45.83,3.51,2,50.0
Shehab Ellethy,Shehab Mamdouh Ellethy,436441,Al Shahaniya,Al Shahaniya,https://cdn5.wyscout.com/photos/team/public/g12891_120x120.png,Qatar Stars League,GK,GK,100,,0,,0,25.0,2000-04-18,250000,2027-06-30,17,1691,0,0.0,0,0.0,0.43,75.0,Qatar,['Qatar'],left,180,77,False,0.96,0.11,50.0,0.21,100.0,0.0,0.0,0.0,0.9,1.18,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,10.64,0.21,0.11,15.27,85.71,6.65,71.2,0.0,0.0,10.75,98.51,4.52,55.29,28.54,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,50.0,0.0,0.0,0.11,50.0,0.05,0.0,3.19,55.0,96.6,7.82,32,1.7000000000000002,80,4.26,4,60.0,26.07,1.3900000000000001,-5.93,-0.316,0.0,1.06,0.21,,,,0.0,0,0.0
Akram Afif,Akram Hassan Afif,343739,Al Sadd,Al Sadd,https://cdn5.wyscout.com/photos/team/public/2431_120x120.png,Qatar Stars League,"LAMF, LW, CF",LAMF,54,LW,15,CF,10,29.0,1996-11-18,6000000,,17,1671,11,6.98,11,8.16,9.69,53.33,Qatar,"['Qatar', 'Tanzania']",right,177,69,False,2.05,1.35,60.0,0.27,40.0,0.16,0.26,0.11,1.08,1.74,0.16,2,0.11,0,0.0,5.22,0.59,10,0.54,0.38,0,0.0,41,2.21,51.22,26.829,0.59,2.59,56.25,1.56,55.17,0.92,58.82,0.54,3.93,61.64,7.06,55.73,5.17,4.79,0.97,32.15,2.75,1.4,38.46,79.55,10.83,75.62,7.65,91.55,33.02,82.38,2.96,69.09,17.7,35.45,0.44,2.96,0.11,0.16,0.43,50.0,1.56,4.79,71.91,4.52,66.67,0.43,37.5,2.96,1.29,7.86,87.67,81.36,12.71,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.27,0.65,0.05,0.0,3.99,1,100.0
Ali Nader,Ali Nader Mahmoud,-182771,Qatar SC,Qatar SC,https://cdn5.wyscout.com/photos/team/public/1827_120x120.png,Qatar Stars League,GK,GK,100,,0,,0,21.0,2004-07-07,0,2027-06-30,16,1655,0,0.0,0,0.0,0.92,88.24,Qatar,"['Qatar', 'Egypt']",right,0,0,False,2.18,0.16,33.33,0.54,100.0,0.0,0.0,0.0,2.12,3.05,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.22,100.0,0.0,0.0,0.0,7.29,0.33,0.33,11.91,84.02,6.53,74.17,0.0,0.0,7.5600000000000005,97.12,4.35,61.25,30.91,45.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,23.08,0.05,0.0,0.0,0.0,0.0,0.0,3.37,70.97,96.63,4.84,26,1.4100000000000001,77,4.19,3,66.23,26.0,1.4100000000000001,0.0,0.0,0.0,1.4100000000000001,0.54,,,,0.0,0,0.0
João Pedro,João Pedro Pereira dos Santos,171037,Qatar SC,Qatar SC,https://cdn5.wyscout.com/photos/team/public/1827_120x120.png,Qatar Stars League,CF,CF,100,,0,,0,32.0,1993-04-22,5500000,2027-06-30,16,1655,13,8.19,1,0.61,24.69,34.36,Brazil,['Brazil'],right,182,88,False,2.94,2.34,46.51,5.38,35.35,0.11,0.16,0.11,1.74,2.51,1.58,2,0.11,0,0.0,2.83,0.71,11,0.6000000000000001,0.45,0,0.0,57,3.1,38.6,22.807,0.05,0.44,12.5,0.27,0.0,0.16,33.33,0.05,2.94,53.7,13.6,33.2,2.83,1.4100000000000001,0.27,11.91,1.69,1.9,18.76,74.49,3.81,54.29,5.33,83.67,17.46,77.57,0.87,43.75,16.26,21.31,0.03,0.65,0.05,0.0,0.05,0.0,0.27,1.79,54.55,0.92,64.71,0.11,0.0,0.6000000000000001,0.05,2.23,65.85,75.76,5.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.38,0.16,0.16,0.0,0.0,2,100.0
Diogo Amaro,Diogo Fonseca Amaro,-280126,Al Sailiya,Al Sailiya,https://cdn5.wyscout.com/photos/team/public/g9611_120x120.png,Qatar Stars League,"RDMF, RCMF, RCB",RDMF,33,RCMF,24,RCB,13,21.0,2004-11-05,0,,16,1632,3,1.81,1,0.6900000000000001,12.24,57.21,Portugal,['Portugal'],right,186,80,False,10.53,5.29,60.42,2.65,64.58,0.28,0.33,0.77,7.06,8.4,0.88,1,0.06,0,0.0,0.72,0.17,3,0.17,0.1,1,0.06,9,0.5,55.56,33.333,0.06,0.39,28.57,0.17,0.0,0.22,50.0,0.0,0.55,50.0,2.87,51.92,0.72,1.05,0.06,16.6,0.5,1.16,31.65,82.75,12.96,73.62,3.58,96.92,27.96,86.39,3.31,58.33,20.21,35.23,0.04,0.28,0.06,0.06,0.11,50.0,0.17,5.57,70.3,0.66,58.33,0.39,14.29,0.39,0.11,6.12,73.87,92.0,11.03,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.65,0.06,0.0,0.0,0.0,0,0.0
B. Seck,Babacar Seck,-247507,Al Shamal,Al Shamal,https://cdn5.wyscout.com/photos/team/public/3673_120x120.png,Qatar Stars League,GK,GK,100,,0,,0,30.0,1995-06-15,0,2027-06-30,16,1627,0,0.0,0,0.0,0.44,87.5,Guinea,['Guinea'],,0,0,False,1.49,0.06,100.0,0.33,83.33,0.0,0.0,0.0,1.44,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.01,0.22,0.06,15.65,77.74,9.68,68.57,0.06,0.0,8.8,94.97,6.75,56.56,35.3,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,39.02,0.06,0.0,0.11,0.0,0.0,0.0,4.59,66.27,94.95,5.48,18,1.0,58,3.21,6,68.97,19.65,1.09,1.65,0.091,0.0,1.44,0.33,,,,0.0,0,0.0
