Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Alsayed,Amjad Nizar Alsayed,-398845,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,GK,GK,100,,0,,0,35.0,1990-06-06,0,,26,2590,0,0.0,0,0.0,1.08,77.42,Syria,['Syria'],unknown,0,0,False,1.32,0.17,60.0,0.76,86.36,0.03,0.05,0.0,1.18,1.5899999999999999,0.1,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.03,0.0,8.34,0.17,0.24,13.69,78.93,8.24,67.51,0.03,0.0,7.61,96.8,6.08,56.57,35.15,52.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,38.33,0.17,20.0,0.14,25.0,0.03,0.0,3.86,72.97,96.21,4.59,52,1.81,129,4.48,2,59.69,40.55,1.4100000000000001,-11.45,-0.398,0.0,2.02,0.76,,,,0.0,0,0.0
Ali Al Hosani,Ali Mohamed Ali Mohamed Al Hosani,114374,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,GK,GK,100,,0,,0,37.0,1988-05-26,75000,,26,2580,0,0.0,0,0.0,1.29,75.68,United Arab Emirates,['United Arab Emirates'],right,172,68,False,1.43,0.24,71.43,0.63,83.33,0.1,0.16,0.0,1.15,1.73,0.03,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,0.0,8.65,0.17,0.28,13.08,83.2,7.95,74.56,0.03,100.0,7.74,97.3,5.3,63.16,31.86,45.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,36.36,0.07,0.0,0.0,0.0,0.0,0.0,3.87,67.57,97.06,4.74,33,1.15,108,3.77,7,69.44,31.12,1.09,-1.88,-0.066,0.0,1.22,0.63,,,,0.0,0,0.0
Gjoko Zajkov,Gjoko Zajkov,194667,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,"RCB, LCB",RCB,76,LCB,16,,0,31.0,1995-02-10,750000,,26,2569,0,1.15,0,0.22,8.58,61.22,North Macedonia,['North Macedonia'],right,187,79,False,5.89,3.92,66.96,3.12,49.44,0.04,0.05,0.53,3.22,4.86,0.53,4,0.14,0,0.0,0.25,0.0,0,0.0,0.04,0,0.0,10,0.35000000000000003,30.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.14,100.0,0.53,53.33,0.49,0.7000000000000001,0.04,22.91,0.32,0.21,35.52,88.66,16.12,81.3,1.8599999999999999,98.11,32.27,92.18,3.22,54.35,21.06,33.85,0.01,0.04,0.0,0.04,0.0,0.0,0.0,3.19,74.73,0.25,14.29,0.18,40.0,0.04,0.0,6.8,71.13,96.24,14.92,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,3.12,0.0,0.0,0.0,0.0,0,0.0
Khalid Eisa,Khalid Eisa Mohamed Bilal Saeed,115627,Al Ain,Al Ain,https://cdn5.wyscout.com/photos/team/public/2886_120x120.png,UAE Pro League,GK,GK,100,,0,,0,36.0,1989-09-15,400000,,26,2569,0,0.0,0,0.19,0.49,92.86,United Arab Emirates,['United Arab Emirates'],right,178,74,False,0.67,0.0,0.0,0.39,100.0,0.04,0.06,0.0,0.63,1.0,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,10.93,0.28,0.07,16.26,82.11,9.49,70.85,0.0,0.0,9.56,99.63,6.69,57.07,33.16,49.9,0.01,0.07,0.0,0.0,0.0,0.0,0.04,2.35,58.21,0.35000000000000003,60.0,0.46,61.54,0.25,0.0,4.59,70.99,97.81,6.41,18,0.63,80,2.8,14,77.5,22.89,0.8,4.89,0.171,0.0,1.33,0.39,,,,0.0,0,0.0
Diney Borges,Edilson Alberto Monteiro Sanches Borges,380767,Al Bataeh,Al Bataeh,https://cdn5.wyscout.com/photos/team/public/g-11512_120x120.png,UAE Pro League,"CB, RCB, RCB3",CB,57,RCB,18,RCB3,17,31.0,1995-01-17,1000000,,25,2520,2,2.01,0,0.56,14.29,62.5,Cape Verde Islands,"['Cape Verde Islands', 'Portugal']",right,185,78,False,9.29,5.36,70.0,6.21,59.2,0.43,0.59,0.61,5.11,7.04,1.0,6,0.21,0,0.0,0.14,0.07,2,0.07,0.07,0,0.0,15,0.54,26.67,13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.18,54.55,1.0,0.5,0.04,19.93,0.11,0.46,33.11,84.03,14.61,72.86,2.11,94.92,28.36,89.17,4.75,53.38,22.23,40.76,0.02,0.11,0.0,0.07,0.04,0.0,0.11,4.61,63.57,0.54,13.33,0.21,16.67,0.29,0.0,6.25,66.29,94.81,13.75,0,,0,,0,0.0,0.0,0.0,,,1.57,,6.21,0.0,0.0,0.0,0.0,0,0.0
M. Palacios,Matías Damián Palacios,-64290,Al Ain,Al Ain,https://cdn5.wyscout.com/photos/team/public/2886_120x120.png,UAE Pro League,"LCMF3, LCMF",LCMF3,72,LCMF,12,,0,24.0,2002-05-10,1200000,2029-06-30,26,2482,7,4.64,11,5.4,11.02,44.74,Argentina,"['Argentina', 'Italy']",right,171,0,False,4.46,3.99,49.09,1.63,53.33,0.15,0.23,0.15,2.36,3.75,1.05,5,0.18,0,0.0,1.81,0.25,7,0.25,0.17,0,0.0,49,1.78,40.82,14.286,0.4,1.12,38.71,0.62,35.29,0.47000000000000003,46.15,0.11,0.9400000000000001,57.69,4.35,38.33,1.6,1.63,0.22,40.1,1.05,0.8300000000000001,49.71,87.82,14.54,76.31,10.08,95.68,43.01,91.48,5.62,69.03,19.34,37.91,0.2,1.8900000000000001,0.18,0.11,0.29,37.5,0.58,7.98,76.36,3.15,54.02,0.98,33.33,1.45,0.47000000000000003,6.96,86.98,94.39,17.44,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.63,1.02,0.22,33.33,3.19,1,0.0
Fahad Al Dhanhani,Fahad Mohamed Ahmed Hassan Al Dhanhani,213764,Bani Yas,Bani Yas,https://cdn5.wyscout.com/photos/team/public/2890_120x120.png,UAE Pro League,GK,GK,100,,0,,0,34.0,1991-09-03,300000,2027-06-30,25,2480,0,0.0,0,0.0,0.54,93.33,United Arab Emirates,['United Arab Emirates'],,175,65,False,1.27,0.07,100.0,0.33,88.89,0.04,0.05,0.0,1.16,1.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,11.0,0.22,0.22,18.47,87.62,9.83,81.18,0.0,0.0,12.27,97.93,6.17,67.65,30.2,45.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,48.0,0.15,0.0,0.04,0.0,0.0,0.0,4.5,73.39,96.36,7.98,39,1.42,117,4.25,5,66.67,34.74,1.26,-4.26,-0.155,0.0,1.45,0.33,,,,0.0,0,0.0
H. Al Meqebaali,Hamad Al Meqebaali,-573533,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,https://cdn5.wyscout.com/photos/team/public/2177_120x120.png,UAE Pro League,GK,GK,100,,0,,0,22.0,2003-07-13,0,,25,2449,0,0.0,0,0.31,0.4,90.91,United Arab Emirates,['United Arab Emirates'],,187,0,False,1.21,0.0,0.0,0.37,100.0,0.0,0.0,0.0,1.21,2.16,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,0.18,0.11,10.0,87.87,4.74,75.19,0.0,0.0,6.87,97.86,3.12,65.88,28.66,37.05,0.01,0.04,0.0,0.0,0.0,0.0,0.04,0.62,64.71,0.04,0.0,0.04,0.0,0.0,0.0,2.35,70.31,100.0,4.78,16,0.59,56,2.06,13,71.43,15.62,0.5700000000000001,-0.38,-0.014,0.0,0.88,0.37,,,,0.0,0,0.0
Pedro Malheiro,Pedro Jorge Gonçalves Malheiro,-198160,Al Wasl,Al Wasl,https://cdn5.wyscout.com/photos/team/public/2569_120x120.png,UAE Pro League,RB,RB,96,,0,,0,25.0,2001-01-21,0,,25,2449,1,0.71,1,1.48,14.55,53.28,Portugal,['Portugal'],right,179,69,False,7.61,7.02,63.35,1.25,44.12,0.04,0.07,0.11,3.12,5.54,0.88,1,0.04,0,0.0,2.54,0.04,1,0.04,0.03,0,0.0,21,0.77,19.05,4.7620000000000005,0.04,3.42,35.48,0.04,0.0,3.34,35.16,0.66,1.8399999999999999,64.0,4.52,45.53,1.21,1.73,0.4,37.82,2.2,0.29,49.69,85.36,17.35,81.57,8.67,95.34,42.34,92.19,4.12,55.36,17.95,36.39,0.05,0.59,0.04,0.0,0.0,0.0,0.26,6.36,77.46,3.31,48.89,0.48,38.46,0.73,1.21,8.12,75.11,83.42,14.19,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.25,0.04,0.0,0.0,0.0,0,0.0
Neto,Antonio Fialho de Carvalho Neto,-107696,Al Bataeh,Al Bataeh,https://cdn5.wyscout.com/photos/team/public/g-11512_120x120.png,UAE Pro League,"LCMF, RCMF, DMF",LCMF,50,RCMF,37,DMF,12,23.0,2002-09-11,500000,,25,2424,0,1.53,0,0.4,10.47,52.13,Brazil,['Brazil'],right,178,75,False,6.01,4.53,54.1,1.26,44.12,0.41000000000000003,0.56,0.22,3.16,4.36,1.34,6,0.22,0,0.0,1.08,0.0,0,0.0,0.06,0,0.0,30,1.11,26.67,0.0,0.0,0.52,42.86,0.15,50.0,0.33,44.44,0.0,1.0,51.85,3.27,56.82,0.22,1.34,0.11,32.9,0.22,1.19,44.44,78.95,17.71,63.1,5.35,89.58,35.46,85.76,8.47,52.63,21.27,39.38,0.02,0.33,0.0,0.04,0.11,33.33,0.11,11.77,64.35,2.08,37.5,1.37,29.73,0.63,0.19,9.73,80.53,90.42,15.89,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.26,0.85,0.15,25.0,0.0,1,0.0
