Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Čadež,Luka Čadež,513316,Krka,Krka,https://cdn5.wyscout.com/photos/team/public/g8799_120x120.png,2. SNL,GK,GK,100,,0,,0,26.0,2000-03-01,100000,2026-05-31,23,2177,0,0.0,0,0.04,1.28,83.87,Slovenia,['Slovenia'],right,186,75,False,2.07,0.21,80.0,0.54,92.31,0.0,0.0,0.0,1.9,2.5,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.17,100.0,0.0,0.0,0.0,10.58,0.17,0.33,20.59,80.52,11.99,68.62,0.0,0.0,11.86,95.82,8.72,59.72,34.19,49.58,0.0,0.04,0.0,0.04,0.0,0.0,0.04,2.6,41.27,0.08,0.0,0.12,33.33,0.0,0.0,5.91,69.23,97.87,7.77,36,1.49,113,4.67,7,68.14,38.58,1.5899999999999999,2.58,0.107,0.0,2.19,0.54,,,,0.0,0,0.0
L. Jerak,Lan Jerak,-608583,ND Slovan Ljubljana,ND Slovan Ljubljana,https://cdn5.wyscout.com/photos/team/public/g11011_120x120.png,2. SNL,LB,LB,98,,0,,0,22.0,2003-12-04,0,,23,2167,2,3.21,1,3.76,16.32,59.03,Slovenia,['Slovenia'],unknown,0,0,False,11.13,8.43,70.44,1.83,31.82,0.25,0.35000000000000003,0.17,4.94,7.01,1.04,3,0.12,0,0.0,2.33,0.08,0,0.0,0.13,0,0.0,16,0.66,31.25,12.5,0.04,3.45,30.12,3.36,29.63,0.0,0.0,0.5,1.5,69.44,3.9,55.32,0.8300000000000001,1.54,0.21,23.96,2.24,1.04,36.55,71.25,17.24,66.51,5.57,91.79,27.08,81.29,6.23,48.67,20.93,35.19,0.16,1.04,0.04,0.04,0.08,50.0,0.37,5.36,60.47,3.36,45.68,0.25,16.67,0.66,1.08,10.63,68.36,73.45,9.39,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.83,0.5,0.0,0.0,1.33,3,66.667
J. Krznarić,Josip Krznarić,219839,Krka,Krka,https://cdn5.wyscout.com/photos/team/public/g8799_120x120.png,2. SNL,"RDMF, RCMF, LCMF3",RDMF,34,RCMF,15,LCMF3,12,33.0,1993-01-07,100000,2026-05-31,23,2129,3,1.57,3,3.41,18.01,57.51,Croatia,['Croatia'],right,176,70,False,9.47,5.96,65.96,3.59,51.76,0.17,0.22,0.47000000000000003,5.37,7.03,0.72,1,0.04,0,0.0,2.37,0.13,3,0.13,0.07,0,0.0,39,1.65,33.33,7.692,0.13,1.01,20.83,0.47000000000000003,27.27,0.55,15.38,0.25,2.41,63.16,6.38,53.64,1.27,1.06,0.17,23.21,0.59,1.69,38.26,77.9,13.32,63.17,5.96,92.2,32.89,83.03,4.44,52.38,19.78,37.7,0.14,1.6099999999999999,0.0,0.0,0.17,50.0,0.30000000000000004,7.1,63.1,1.78,45.24,0.42,30.0,0.76,0.21,6.98,69.09,87.65,13.7,0,,0,,0,0.0,0.0,0.0,,,0.21,,3.59,1.94,0.30000000000000004,42.86,2.79,0,0.0
S. Moćić,Stefan Moćić,-98590,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,GK,GK,100,,0,,0,24.0,2001-07-03,50000,2026-06-30,22,2085,0,0.0,0,0.0,0.6000000000000001,92.86,Slovenia,['Slovenia'],right,183,78,False,1.38,0.09,50.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.34,2.1,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,12.17,0.30000000000000004,0.26,20.33,87.05,10.4,76.76,0.0,0.0,14.16,98.78,6.17,60.14,30.2,49.35,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.04,45.83,0.09,0.0,0.13,33.33,0.0,0.0,4.71,67.89,97.58,8.94,18,0.78,61,2.63,11,70.49,16.09,0.6900000000000001,-1.9100000000000001,-0.082,0.0,1.38,0.30000000000000004,,,,0.0,0,0.0
L. Erjavšek,Lucas  Erjavšek,-391086,Nafta,Nafta,https://cdn5.wyscout.com/photos/team/public/1026_120x120.png,2. SNL,GK,GK,100,,0,,0,21.0,2004-07-05,0,2027-06-30,22,2068,0,0.0,0,0.0,0.65,86.67,Slovenia,['Slovenia'],right,188,77,False,2.0,0.04,100.0,0.39,100.0,0.0,0.0,0.0,1.96,2.67,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.17,50.0,0.0,0.0,0.0,8.31,0.22,0.13,16.45,80.42,9.01,67.63,0.0,0.0,10.79,98.39,5.48,47.62,28.61,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,32.43,0.13,0.0,0.04,0.0,0.0,0.0,3.79,56.32,97.84,6.05,18,0.78,75,3.26,8,76.0,20.74,0.9,2.74,0.11900000000000001,0.0,2.0,0.39,,,,0.0,0,0.0
D. Vezjak,Denis Vezjak,289048,Dravinja,Dravinja,https://cdn5.wyscout.com/photos/team/public/g4594_120x120.png,Tweede Divisie,RB,RB,68,,0,,0,30.0,1995-09-26,50000,,22,2047,2,1.32,0,1.92,20.93,52.94,Slovenia,['Slovenia'],right,0,0,False,11.83,9.06,67.48,3.17,50.0,0.66,0.8200000000000001,0.48,5.06,6.31,0.84,2,0.09,0,0.0,2.15,0.09,1,0.04,0.06,0,0.0,13,0.5700000000000001,30.77,15.385,0.0,3.12,35.21,0.66,33.33,2.46,35.71,0.48,2.33,37.74,6.9,36.31,0.53,1.3599999999999999,0.26,20.97,0.75,1.1,36.67,62.83,22.07,58.96,2.15,87.76,23.17,73.81,10.68,46.5,24.25,40.4,0.08,0.84,0.0,0.0,0.0,0.0,0.13,8.97,51.96,3.61,34.15,0.44,30.0,0.26,1.1,13.54,72.4,64.08,9.06,0,,0,,0,0.0,0.0,0.0,,,0.4,,3.17,1.01,0.09,0.0,1.1400000000000001,1,100.0
Z. Žabkar,Žan  Žabkar,-429048,Tabor Sežana,Tabor Sežana,https://cdn5.wyscout.com/photos/team/public/g2815_120x120.png,2. SNL,"AMF, RCMF, LCMF",AMF,24,RCMF,20,LCMF,10,21.0,2005-03-30,0,2027-05-31,22,2037,1,1.2,2,1.77,22.27,52.18,Slovenia,['Slovenia'],unknown,0,0,True,9.59,9.5,66.51,2.21,32.0,0.35000000000000003,0.48,0.13,2.92,3.92,1.55,3,0.13,0,0.0,1.5,0.04,1,0.04,0.05,0,0.0,17,0.75,17.65,5.882,0.09,1.1,32.0,0.44,30.0,0.66,33.33,0.22,1.9,51.16,8.09,44.81,0.4,0.88,0.09,17.41,0.97,2.47,30.53,78.15,10.6,64.58,5.39,93.44,25.27,85.84,4.15,43.62,19.46,37.24,0.08,0.84,0.09,0.0,0.09,50.0,0.13,5.61,57.48,2.43,41.82,0.5700000000000001,38.46,0.62,0.4,4.9,71.17,83.05,10.43,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.21,0.93,0.18,25.0,1.46,0,0.0
L. Sever,Leon Sever,470634,Tabor Sežana,Tabor Sežana,https://cdn5.wyscout.com/photos/team/public/g2815_120x120.png,2. SNL,"LDMF, AMF, RCMF",LDMF,34,AMF,19,RCMF,15,28.0,1998-04-09,150000,2026-06-30,23,2017,3,1.77,1,3.38,19.9,46.86,Belgium,"['Belgium', 'Slovenia']",right,175,66,False,9.1,6.78,63.16,3.48,51.28,0.85,1.3599999999999999,0.27,3.9699999999999998,6.36,1.25,3,0.13,0,0.0,2.32,0.13,3,0.13,0.08,0,0.0,30,1.34,40.0,10.0,0.04,1.87,42.86,1.03,43.48,0.76,41.18,0.45,1.6099999999999999,52.78,7.36,36.36,0.76,1.2,0.13,34.85,0.4,1.43,54.84,81.61,17.58,68.27,9.59,91.63,46.05,87.6,7.09,52.2,19.41,38.77,0.15,1.47,0.13,0.18,0.13,100.0,0.22,10.53,68.64,3.17,46.48,0.85,36.84,0.85,0.85,10.13,80.18,89.04,19.95,0,,0,,0,0.0,0.0,0.0,,,0.54,,3.48,1.03,0.0,0.0,2.2800000000000002,0,0.0
A. Kaučič,Alan Kaučič,-174506,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,LCB,LCB,89,,0,,0,24.0,2001-08-12,0,,21,1990,0,0.6900000000000001,1,0.37,10.45,56.71,Slovenia,['Slovenia'],right,188,0,False,8.14,4.39,64.95,3.89,52.33,0.77,1.21,0.59,4.52,7.14,0.9,5,0.23,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,7,0.32,28.57,0.0,0.05,0.18,50.0,0.14,66.67,0.05,0.0,0.0,0.05,100.0,0.86,31.58,0.63,2.13,0.18,39.12,0.23,0.32,59.52,88.98,19.99,76.02,2.94,95.38,52.33,93.69,7.01,54.84,23.09,39.01,0.02,0.14,0.05,0.05,0.05,100.0,0.09,5.7,63.49,0.68,33.33,0.36,25.0,0.18,0.09,8.5,68.62,96.73,33.24,0,,0,,0,0.0,0.0,0.0,,,1.85,,3.89,0.05,0.0,0.0,0.0,0,0.0
A. Jelovica,Anej Jelovica,-425143,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,"RDMF, RCMF",RDMF,57,RCMF,36,,0,21.0,2005-03-16,0,2027-06-30,22,1985,0,1.3900000000000001,4,4.73,18.54,53.3,Slovenia,['Slovenia'],,0,0,False,9.39,8.16,64.44,1.9,42.86,1.04,1.63,0.09,3.08,4.8100000000000005,1.99,3,0.14,0,0.0,1.5899999999999999,0.0,0,0.0,0.06,0,0.0,30,1.3599999999999999,23.33,0.0,0.18,1.18,34.62,0.27,50.0,0.8200000000000001,33.33,0.23,1.6800000000000002,43.24,5.62,45.97,1.22,0.86,0.09,21.54,0.36,1.54,34.78,78.62,12.38,63.37,5.85,93.02,30.11,83.28,3.63,53.75,18.84,37.62,0.21,1.31,0.18,0.09,0.32,42.86,0.5,5.67,68.0,2.68,49.15,0.63,42.86,1.13,0.32,5.94,72.52,87.01,11.52,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.9,1.0,0.05,0.0,1.09,0,0.0
