Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bertini,Matteo Bertini,-254883,Poggibonsi,Poggibonsi,https://cdn5.wyscout.com/photos/team/public/390_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,20.0,2005-09-07,0,2026-06-30,26,2511,0,0.0,0,0.0,1.0,85.71,Italy,['Italy'],,0,0,False,1.94,0.07,50.0,0.54,93.33,0.0,0.0,0.0,1.9,2.43,0.07,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,6.09,0.22,0.43,13.98,77.44,8.64,65.56,0.04,100.0,7.35,99.02,6.5600000000000005,54.1,36.0,49.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,44.78,0.14,0.0,0.14,50.0,0.0,0.0,4.44,73.39,98.43,4.55,37,1.33,126,4.52,5,70.63,38.89,1.3900000000000001,1.8900000000000001,0.068,0.0,2.11,0.54,,,,0.0,0,0.0
J. Formiconi,Jacopo  Formiconi,-375063,Orvietana Calcio,Orvietana Calcio,https://cdn5.wyscout.com/photos/team/public/1454_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,19.0,2006-12-29,0,,26,2510,0,0.0,0,0.0,0.43,91.67,Italy,['Italy'],,0,0,False,1.15,0.0,0.0,0.29,100.0,0.0,0.0,0.0,1.15,1.55,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,4.95,0.22,0.22,14.99,82.3,8.43,71.06,0.0,0.0,9.47,98.48,5.52,54.55,31.09,48.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,56.0,0.04,100.0,0.04,0.0,0.0,0.0,3.66,79.41,97.24,5.2,31,1.11,119,4.27,9,73.95,30.8,1.1,-0.2,-0.007,0.0,1.9,0.29,,,,0.0,0,0.0
J. Cecconi,Jacopo Cecconi,-90369,Montevarchi,Montevarchi,https://cdn5.wyscout.com/photos/team/public/1445_120x120.png,Serie D - Girone E,"RCB3, LB, RB",RCB3,48,LB,13,RB,12,25.0,2000-12-12,75000,2026-06-30,26,2505,3,1.37,6,5.29,17.21,54.07,Italy,['Italy'],both,185,0,False,9.38,7.15,68.34,3.49,48.45,0.18,0.25,0.22,4.31,5.93,1.26,3,0.11,0,0.0,2.98,0.11,3,0.11,0.05,0,0.0,17,0.61,52.94,17.647,0.22,3.74,30.77,1.69,29.79,2.05,31.58,0.75,2.48,59.42,4.78,42.86,0.68,1.72,0.11,17.03,1.08,0.54,30.07,57.23,17.5,52.77,1.94,83.33,15.95,72.75,10.53,43.34,27.37,39.55,0.19,1.72,0.0,0.0,0.04,100.0,0.43,9.23,46.69,4.42,28.46,0.97,29.63,0.4,1.19,10.63,66.89,61.43,8.01,0,,0,,0,0.0,0.0,0.0,,,0.25,,3.49,1.87,0.22,83.33,2.01,0,0.0
A. Giusti,Andrea Giusti,-42041,Montevarchi,Montevarchi,https://cdn5.wyscout.com/photos/team/public/1445_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,28.0,1997-05-13,0,,26,2505,0,0.0,0,0.0,0.61,70.59,Italy,['Italy'],right,180,74,False,1.98,0.07,50.0,0.32,77.78,0.0,0.0,0.0,1.94,2.67,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,7.51,0.14,0.11,17.14,82.18,10.81,73.09,0.0,0.0,9.23,98.44,7.9,63.18,34.91,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,65.15,0.07,0.0,0.07,0.0,0.0,0.0,5.82,79.63,97.33,5.39,29,1.04,91,3.27,11,68.13,23.67,0.85,-5.33,-0.191,0.0,1.58,0.32,,,,0.0,0,0.0
N. Valentini,Nahuel Valentini,68733,Scandicci 1908,Scandicci 1908,https://cdn5.wyscout.com/photos/team/public/1450_120x120.png,Serie D - Girone E,"RCB, CB",RCB,76,CB,22,,0,37.0,1988-09-19,100000,2026-06-30,26,2478,2,1.38,0,0.14,11.15,61.24,Argentina,"['Argentina', 'Italy']",right,184,79,False,8.24,4.18,74.78,4.58,57.94,0.18,0.24,0.91,4.94,6.6,0.58,4,0.15,0,0.0,0.29,0.07,2,0.07,0.05,1,0.04,6,0.22,66.67,33.333,0.0,0.25,57.14,0.11,66.67,0.15,50.0,0.0,0.11,0.0,0.58,25.0,0.62,0.44,0.04,13.98,0.18,0.22,29.85,78.59,14.49,68.17,1.85,90.2,21.1,86.92,8.5,58.55,25.04,40.34,0.01,0.11,0.0,0.0,0.0,0.0,0.04,4.87,59.7,1.05,31.03,0.51,42.86,0.18,0.15,8.43,66.81,90.61,11.22,0,,0,,0,0.0,0.0,0.0,,,1.45,,4.58,0.0,0.0,0.0,0.0,0,0.0
J. Pagnini,Jacopo Pagnini,454204,Terranuova Traiana,Terranuova Traiana,https://cdn5.wyscout.com/photos/team/public/g-16634_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,29.0,1997-02-09,50000,2026-06-30,25,2419,1,0.67,0,0.0,0.86,95.65,Italy,['Italy'],right,189,76,False,0.97,0.04,100.0,0.52,100.0,0.0,0.0,0.0,0.93,1.3,0.0,6,0.22,0,0.0,0.04,0.04,1,0.04,0.02,1,0.04,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.04,0.0,0.0,4.76,0.04,0.37,13.47,78.73,9.19,71.66,0.0,0.0,6.55,97.73,6.85,61.41,35.77,50.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,50.0,0.11,33.33,0.11,33.33,0.04,0.0,5.39,71.03,93.41,3.39,20,0.74,87,3.24,11,77.01,26.31,0.98,6.31,0.23500000000000001,0.0,1.67,0.52,,,,0.0,0,0.0
D. Butano,Damiano Butano,-620254,Ghiviborgo,Ghiviborgo,https://cdn5.wyscout.com/photos/team/public/g34867_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,17.0,2008-11-02,0,2026-06-30,25,2413,0,0.0,0,0.0,0.86,82.61,Italy,['Italy'],,0,0,False,1.31,0.07,50.0,0.45,91.67,0.0,0.0,0.0,1.27,1.75,0.04,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,83.33,0.0,0.0,0.04,10.15,0.22,0.30000000000000004,18.5,83.67,9.29,73.09,0.0,0.0,13.65,96.99,4.77,46.88,24.85,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.04,0.0,0.07,0.0,0.0,0.0,3.36,50.0,93.68,7.09,34,1.27,116,4.33,4,70.69,34.76,1.3,0.76,0.028,0.0,1.6,0.45,,,,0.0,0,0.0
L. Paletta,Leonardo Jose Paletta,-47722,Orvietana Calcio,Orvietana Calcio,https://cdn5.wyscout.com/photos/team/public/1454_120x120.png,Serie D - Girone E,"RB, RB5, RWB",RB,44,RB5,26,RWB,15,28.0,1997-07-18,0,2026-06-30,26,2409,0,0.88,1,1.17,11.54,54.37,Venezuela,"['Venezuela', 'Italy']",,0,0,False,7.29,5.01,64.93,2.32,50.0,0.30000000000000004,0.4,0.11,3.74,5.0,0.78,4,0.15,0,0.0,0.97,0.0,0,0.0,0.03,0,0.0,10,0.37,10.0,0.0,0.04,1.87,26.0,0.0,0.0,1.87,26.0,0.15,0.9,50.0,2.91,46.15,0.56,1.31,0.19,18.57,2.05,0.6000000000000001,28.43,66.36,13.08,50.86,4.45,92.44,21.07,77.3,5.57,38.26,21.81,37.22,0.04,0.6000000000000001,0.0,0.0,0.0,0.0,0.19,5.12,44.53,2.35,30.16,0.26,28.57,0.45,0.49,6.65,64.61,77.84,6.91,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.32,0.04,0.0,0.0,0.11,0,0.0
A. Marini,Alberto Marini,470898,Terranuova Traiana,Terranuova Traiana,https://cdn5.wyscout.com/photos/team/public/g-16634_120x120.png,Serie D - Girone E,"RWB, RB5, RW",RWB,34,RB5,21,RW,10,26.0,1999-03-17,0,2026-06-30,25,2405,1,0.97,3,3.19,23.01,48.29,Italy,['Italy'],right,0,0,False,8.57,7.11,65.26,0.9400000000000001,32.0,0.11,0.16,0.34,3.8200000000000003,5.39,0.86,5,0.19,0,0.0,5.46,0.04,1,0.04,0.04,0,0.0,18,0.67,38.89,5.556,0.11,4.9,26.72,0.9,33.33,3.93,24.76,1.42,7.19,54.17,13.14,41.03,2.2800000000000002,1.83,0.26,15.08,1.72,0.8200000000000001,25.19,58.54,8.49,50.22,3.63,86.6,18.52,68.89,1.98,35.85,18.78,23.29,0.12,0.79,0.0,0.04,0.15,0.0,0.41000000000000003,2.77,47.3,3.52,31.91,0.11,33.33,0.30000000000000004,1.27,5.8,61.29,48.65,6.92,0,,0,,0,0.0,0.0,0.0,,,0.11,,0.9400000000000001,0.19,0.04,100.0,0.86,0,0.0
J. Giuliani,Jacopo Giuliani,514905,Sporting Trestina,Sporting Trestina,https://cdn5.wyscout.com/photos/team/public/3883_120x120.png,Serie D - Girone E,"LWB, LB, RWB",LWB,30,LB,28,RWB,11,27.0,1999-01-09,50000,2026-06-30,25,2395,6,4.69,3,2.77,16.68,54.73,Italy,['Italy'],left,175,67,False,8.23,6.01,71.88,2.86,51.32,0.23,0.34,0.19,3.68,5.47,0.79,3,0.11,0,0.0,2.18,0.23,2,0.08,0.18,0,0.0,20,0.75,50.0,30.0,0.11,2.29,32.79,1.77,29.79,0.49,38.46,0.30000000000000004,1.92,54.9,5.26,40.0,0.9,0.98,0.15,18.38,1.2,1.13,30.63,69.69,13.42,63.31,4.1,90.83,21.98,78.29,6.43,53.22,20.96,35.67,0.1,1.09,0.0,0.0,0.0,0.0,0.41000000000000003,5.45,58.62,2.63,41.43,0.45,50.0,0.64,0.71,8.08,66.98,70.35,8.49,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.86,0.79,0.04,0.0,1.54,4,100.0
